C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:54:59

dec >=0&rah >=18.0&rah< 18.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5965

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |HD 166559                                                                                                |Star                              |18 08 50.5502541192 +47 07 10.948364652|074.5837158785616 +26.4901901454829| -9.369 -29.809   |7.95     |K0             |    ~     ~    |    1|  335.132   pc  |  -1.7296     +1.7296  |paral   |2020yCat.1350....0G
66  |BD+47 2592                                                                                               |Star                              |18 10 06.7308592080 +47 05 19.686875604|074.6016139831810 +26.2725241854826| 22.308 -15.362   |8.81     |F0             |    ~     ~    |    1|  151.156   pc  |  -0.2787     +0.2787  |paral   |2020yCat.1350....0G
67  |V* V986 Her                                                                                              |Long-Period Variable Candidate    |18 11 34.2443674056 +47 39 34.505499348|075.2822049334747 +26.1544433517519|    0.926 6.429   |8.07     |M2             |    ~     ~    |    1|  600.673   pc  |  -6.3502     +6.3502  |paral   |2020yCat.1350....0G
68  |BD+46 2404                                                                                               |Star                              |18 01 28.8085169208 +46 04 20.858739348|073.1410469476607 +27.5118677610132|  13.472 25.008   |8.57     |K0             |    ~     ~    |    1|  352.262   pc  |  -1.7869     +1.7869  |paral   |2020yCat.1350....0G
69  |BD+46 2405                                                                                               |Star                              |18 01 50.6326501464 +46 26 07.503709056|073.5562219450040 +27.5225889414957|   5.897 33.942   |8.82     |K0             |    ~     ~    |    1|  381.257   pc  |  -1.6425     +1.6425  |paral   |2020yCat.1350....0G
70  |BD+46 2407                                                                                               |Star                              |18 02 17.2249186040 +46 31 23.925508570|073.6704068319778 +27.4652505653705|  -3.734 23.467   |8.92     |F8             |    ~     ~    |    1|  141.1034  pc  |  -8.7764     +8.7764  |paral   |2018yCat.1345....0G
71  |BD+46 2409                                                                                               |Star                              |18 02 26.4813313080 +46 27 12.715741440|073.5993135475138 +27.4253272295459|  -6.220 -3.809   |10.09    |A0             |    ~     ~    |    1|  376.053   pc  |  -1.9515     +1.9515  |paral   |2020yCat.1350....0G
72  |HD 165298                                                                                                |High Proper Motion Star           |18 02 59.7733340376 +46 14 09.066076908|073.3809674929724 +27.2876800977907| -23.338 47.221   |8.17     |F8             |    ~     ~    |    1|  107.898   pc  |  -1.5135     +1.5135  |paral   |2020yCat.1350....0G
73  |BD+46 2413                                                                                               |Star                              |18 02 55.8516255096 +46 55 22.011506256|074.1362592634681 +27.4361382024185|   9.213 12.253   |9.52     |K0             |    ~     ~    |    1|  617.093   pc  |  -3.9223     +3.9223  |paral   |2020yCat.1350....0G
74  |BD+46 2414                                                                                               |Star                              |18 03 43.6595777424 +46 07 18.818679864|073.2846769875634 +27.1404234101455| -2.492 -22.050   |8.84     |G5             |    ~     ~    |    1|  491.690   pc  |  -2.8769     +2.8769  |paral   |2020yCat.1350....0G
75  |HD 165523                                                                                                |Star                              |18 04 05.0559996048 +46 26 31.490203416|073.6510403893790 +27.1458540439982|  30.013 27.024   |7.58     |G5             |    ~     ~    |    1|  224.522   pc  |  -0.6957     +0.6957  |paral   |2020yCat.1350....0G
76  |BD+46 2417                                                                                               |Star                              |18 04 28.6147283040 +46 37 54.049804140|073.8750870303586 +27.1184591678268|    2.043 1.626   |9.44     |G5             |    ~     ~    |    1|  812.084   pc  |  -7.5840     +7.5840  |paral   |2020yCat.1350....0G
77  |BD+46 2418                                                                                               |Star                              |18 04 32.1900119448 +46 35 13.177343112|073.8282897684617 +27.0993175923517|   2.884 -9.878   |9.73     |A2             |    ~     ~    |    1|  379.607   pc  |  -2.0174     +2.0174  |paral   |2020yCat.1350....0G
78  |BD+46 2421                                                                                               |Star                              |18 04 56.6202373944 +46 04 35.518733076|073.2841006673406 +26.9247997824854| -1.336 -29.556   |10.23    |K2             |    ~     ~    |    1|  605.400   pc  |  -3.9217     +3.9217  |paral   |2020yCat.1350....0G
79  |HD 166067                                                                                                |Variable Star                     |18 06 38.8166901552 +46 16 23.793954492|073.5693863401778 +26.6782023872335|   3.661 -3.177   |7.45     |kA7hF1mF5(II)  |    ~     ~    |    1|  166.742   pc  |  -2.3493     +2.3493  |paral   |2020yCat.1350....0G
80  |HD 166118                                                                                                |Star                              |18 06 54.0655380288 +46 46 42.941542908|074.1326443898161 +26.7421942317544|   1.420 45.914   |8.32     |F2             |    ~     ~    |    1|  130.736   pc  |  -0.2632     +0.2632  |paral   |2020yCat.1350....0G
81  |HIP 88734                                                                                                |Double or Multiple Star           |18 06 54.1205942448 +46 46 13.390013856|074.1236932992788 +26.7403211718342|    2.739 3.784   |10.1     |~              |    ~     ~    |    1| 1155.802   pc  | -13.2252    +13.2252  |paral   |2020yCat.1350....0G
82  |BD+46 2429                                                                                               |Spectroscopic Binary              |18 07 17.8381525056 +46 27 22.987535436|073.7962915842433 +26.6076019986747|    0.167 3.672   |9.56     |K0             |    ~     ~    |    1|  494.096   pc  | -15.5999    +15.5999  |paral   |2020yCat.1350....0G
83  |BD+46 2431                                                                                               |High Proper Motion Star           |18 08 13.1544354384 +46 13 33.358891260|073.5831326057028 +26.4025670520721| -2.395 -91.909   |9.33     |F5             |    ~     ~    |    1|  127.162   pc  |  -0.1892     +0.1892  |paral   |2020yCat.1350....0G
84  |BD+46 2432                                                                                               |Star                              |18 08 21.7956140952 +46 49 42.887763408|074.2464286327052 +26.5081881293972|   6.018 -3.213   |9.72     |K0             |    ~     ~    |    1|  697.350   pc  |  -5.2034     +5.2034  |paral   |2020yCat.1350....0G
85  |BD+46 2435                                                                                               |Star                              |18 10 41.8166881224 +46 58 53.500100484|074.5090088942067 +26.1519733048939|  -5.155 17.019   |9.090    |F5             |    ~     ~    |    1|  201.248   pc  |  -0.4658     +0.4658  |paral   |2020yCat.1350....0G
86  |BD+46 2437                                                                                               |Star                              |18 11 49.5559642008 +46 44 55.983102504|074.3039365037646 +25.9123724359118|    2.427 4.460   |9.87     |A2             |    ~     ~    |    1|  616.675   pc  |  -5.1719     +5.1719  |paral   |2020yCat.1350....0G
87  |HD 165220                                                                                                |Star                              |18 02 42.0360921912 +45 07 47.516698488|072.1525073879610 +27.1086811108766|   -8.332 7.487   |8.42     |K0             |    ~     ~    |    1|  361.847   pc  |  -1.7807     +1.7807  |paral   |2020yCat.1350....0G
88  |BD+45 2647                                                                                               |Star                              |18 02 43.9025077824 +45 22 06.304550196|072.4158241047053 +27.1536329377080|   22.432 0.708   |10.02    |F8             |    ~     ~    |    1|  299.410   pc  |  -0.9682     +0.9682  |paral   |2020yCat.1350....0G
