C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
98  |AKARI-IRC-V1 J1501440-340517                                                                             |Long-Period Variable Candidate        |15 01 44.0812653528 -34 05 16.698167052|331.5546067429986 +21.4421072399448|  -4.429 -7.985     |10.95    |~               |    ~     ~    |    0|                |                         |        |                   
99  |CPD-34 6293                                                                                              |Star                                  |15 00 35.8266042288 -35 03 37.562216616|330.8057927869285 +20.7263094000834| -4.314 -23.656     |10.52    |~               |    ~     ~    |    1|  190.085   pc  |  -0.8491     +0.8491    |paral   |2020yCat.1350....0G
100 |TYC 7319-178-1                                                                                           |Star                                  |15 01 50.0377026120 -34 57 00.988249320|331.0987457694386 +20.6917540073135|   0.446 -4.497     |10.90    |~               |    ~     ~    |    1|  742.611   pc  | -16.2684    +16.2684    |paral   |2020yCat.1350....0G
101 |TYC 7319-202-1                                                                                           |Star                                  |15 03 57.1898600760 -34 05 27.963824172|331.9745456373491 +21.2013875288078|    4.772 1.200     |10.96    |~               |    ~     ~    |    1|  432.339   pc  |  -4.8411     +4.8411    |paral   |2020yCat.1350....0G
102 |TYC 7319-354-1                                                                                           |Star                                  |15 02 02.2626323616 -33 47 49.511978628|331.7737858185017 +21.6589162501018|   -2.353 0.107     |10.74    |~               |    ~     ~    |    1|  779.849   pc  |  -9.7306     +9.7306    |paral   |2020yCat.1350....0G
103 |TYC 7319-447-1                                                                                           |Star                                  |15 08 42.1439019504 -34 32 31.825566168|332.6100304014306 +20.3002982527645|  -7.388 -7.843     |10.98    |~               |    ~     ~    |    1|  720.305   pc  | -10.7400    +10.7400    |paral   |2020yCat.1350....0G
104 |TYC 7319-459-1                                                                                           |Star                                  |15 02 19.5025891800 -34 15 22.005147276|331.5738944088963 +21.2350830881560| -19.942 -1.592     |10.95    |~               |    ~     ~    |    1|  282.757   pc  |  -1.5671     +1.5671    |paral   |2020yCat.1350....0G
105 |TYC 7319-464-1                                                                                           |Star                                  |15 03 42.1263073488 -35 16 08.931080712|331.2730055712760 +20.2216567533197|   -5.537 1.766     |10.78    |~               |    ~     ~    |    1|  621.659   pc  | -10.2798    +10.2798    |paral   |2020yCat.1350....0G
106 |TYC 7319-534-1                                                                                           |Star                                  |15 01 53.3476039680 -34 22 54.333390936|331.4217106159199 +21.1737776175951|   -2.241 3.885     |10.34    |~               |    ~     ~    |    1|  705.119   pc  | -10.3913    +10.3913    |paral   |2020yCat.1350....0G
107 |TYC 7319-656-1                                                                                           |Star                                  |15 05 52.1612460528 -35 14 34.856063628|331.6897146227112 +20.0135082507589| 12.342 -13.804     |10.78    |~               |    ~     ~    |    1|  297.717   pc  |  -1.5866     +1.5866    |paral   |2020yCat.1350....0G
108 |TYC 7319-666-1                                                                                           |Star                                  |15 01 40.5976463736 -35 26 51.574160580|330.7976287718396 +20.2808280630684|   -2.033 8.644     |10.97    |~               |    ~     ~    |    1|  299.994   pc  |  -1.5929     +1.5929    |paral   |2020yCat.1350....0G
109 |TYC 7319-793-1                                                                                           |Star                                  |15 07 54.9787073544 -35 03 24.971969628|332.1723871325334 +19.9507747081890|-27.353 -14.539     |10.97    |~               |    ~     ~    |    1|  398.740   pc  |  -3.3230     +3.3230    |paral   |2020yCat.1350....0G
110 |TYC 7319-875-1                                                                                           |Star                                  |15 01 40.5664958112 -35 21 44.919207936|330.8439247313256 +20.3541155887529|   2.486 -3.195     |10.51    |~               |    ~     ~    |    1| 1181.614   pc  | -28.7620    +28.7620    |paral   |2020yCat.1350....0G
111 |TYC 7319-1039-1                                                                                          |Star                                  |15 03 52.4370918192 -34 47 14.361443700|331.5716494902921 +20.6154340595385| -14.481 -9.253     |10.83    |~               |    ~     ~    |    1|  527.621   pc  |  -5.2058     +5.2058    |paral   |2020yCat.1350....0G
112 |TYC 7319-1078-1                                                                                          |Star                                  |15 07 36.5460070608 -35 05 11.399187228|332.0990156742591 +19.9590668249434| -13.517 -7.218     |10.90    |~               |    ~     ~    |    1|  557.631   pc  |  -4.4777     +4.4777    |paral   |2020yCat.1350....0G
113 |TYC 7320-60-1                                                                                            |Star                                  |15 10 20.7316647888 -35 11 16.852678296|332.5439895390200 +19.5744512900892| -19.336 -0.923     |10.80    |~               |    ~     ~    |    1|  274.446   pc  |  -2.4178     +2.4178    |paral   |2020yCat.1350....0G
114 |TYC 7320-85-1                                                                                            |Star                                  |15 09 36.4870297248 -34 22 11.378269596|332.8766571487785 +20.3455465418919|-16.939 -13.422     |10.44    |~               |    ~     ~    |    1|  452.284   pc  |  -4.2140     +4.2140    |paral   |2020yCat.1350....0G
115 |TYC 7320-263-1                                                                                           |Star                                  |15 10 09.9913513176 -34 23 01.937908968|332.9720639485001 +20.2716096914255|-13.064 -10.376     |10.84    |~               |    ~     ~    |    1|  338.146   pc  |  -2.1382     +2.1382    |paral   |2020yCat.1350....0G
116 |TYC 7320-283-1                                                                                           |Star                                  |15 11 02.1020897136 -35 02 04.393473216|332.7578965941494 +19.6276238114270|-13.900 -33.624     |10.77    |~               |    ~     ~    |    1|  225.561   pc  |  -1.0125     +1.0125    |paral   |2020yCat.1350....0G
117 |TYC 7323-652-1                                                                                           |Star                                  |15 08 34.3731240024 -35 44 34.965973608|331.9058618730694 +19.2983749124964|  -5.486 -2.447     |10.29    |~               |    ~     ~    |    1| 1063.377   pc  | -48.6232    +48.6232    |paral   |2020yCat.1350....0G
118 |TYC 7323-686-1                                                                                           |Star                                  |15 08 59.9975616168 -35 58 11.412001200|331.8558435080543 +19.0602775768868|-31.315 -25.816     |10.53    |~               |    ~     ~    |    1|  280.089   pc  |  -1.7102     +1.7102    |paral   |2020yCat.1350....0G
119 |TYC 7324-30-1                                                                                            |Star                                  |15 10 50.7512142240 -35 50 55.578547644|332.2583696161655 +18.9626747979384|-18.598 -13.374     |10.50    |~               |    ~     ~    |    1|  565.707   pc  |  -6.2405     +6.2405    |paral   |2020yCat.1350....0G
120 |TYC 7324-60-1                                                                                            |Star                                  |15 09 23.3616071568 -35 55 31.394166168|331.9514611449218 +19.0559340294015|  -1.993 -5.272     |10.75    |~               |    ~     ~    |    1|  913.325   pc  | -20.6873    +20.6873    |paral   |2020yCat.1350....0G
121 |TYC 7324-102-1                                                                                           |Star                                  |15 09 21.7741867344 -35 54 30.842872524|331.9561539369122 +19.0730198989871|  -4.451 -3.291     |10.85    |~               |    ~     ~    |    1| 1212.856   pc  | -26.7726    +26.7726    |paral   |2020yCat.1350....0G
