C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
69  |TYC 4912-986-1                                                                                           |Star                                |10 39 09.8061226704 -00 01 01.089806736|247.9546570032457 +48.2184560947384|-28.139 -34.889   |10.9     |~                    |    ~     ~    |    1|  197.543   pc  |  -0.7531     +0.7531  |paral   |2020yCat.1350....0G
70  |TYC 4912-1003-1                                                                                          |Star                                |10 38 27.8088824256 -00 44 46.782857976|248.5652025697979 +47.5899085289292|  -5.080 -4.096   |10.9     |~                    |    ~     ~    |    1|  242.084   pc  |  -1.1955     +1.1955  |paral   |2020yCat.1350....0G
71  |TYC 4912-1116-1                                                                                          |Star                                |10 38 07.8225645096 -01 08 36.950114544|248.9039250740884 +47.2548939973251| -0.793 -20.300   |10.71    |~                    |    ~     ~    |    1|  699.937   pc  |  -9.7003     +9.7003  |paral   |2020yCat.1350....0G
72  |TYC 4913-910-1                                                                                           |Star                                |10 41 03.3621008760 -00 08 56.535914040|248.5884781169850 +48.4711394956077| -12.067 -1.177   |10.33    |~                    |    ~     ~    |    1|  557.569   pc  | -14.4872    +14.4872  |paral   |2020yCat.1350....0G
73  |TYC 4913-1103-1                                                                                          |Star                                |10 40 36.339 -00 27 58.39              |248.815791 +48.170416              |   -12.00 -6.40   |10.7     |~                    |    ~     ~    |    0|                |                       |        |                   
74  |RX J1031.8-0224                                                                                          |Star                                |10 31 52.3 -02 24 23                   |248.6566 +45.2521                  |            ~ ~   |10.36    |K2                   |    ~     ~    |    0|                |                       |        |                   
75  |GSC 04913-00718                                                                                          |Double or Multiple Star             |10 41 00.7879316448 -00 07 08.685916176|248.5446170949425 +48.4840672281346|  5.138 -19.471   |10.234   |~                    |    ~     ~    |    1|  206.770   pc  |  -0.7439     +0.7439  |paral   |2020yCat.1350....0G
76  |HD 91246                                                                                                 |Star                                |10 32 07.1375760816 -02 39 26.449405056|248.9742618231076 +45.1229879672321|-23.281 -40.334   |7.88     |K0III                |    ~     ~    |    1|  298.721   pc  |  -2.2398     +2.2398  |paral   |2020yCat.1350....0G
77  |TYC 4915-149-1                                                                                           |High Proper Motion Star             |10 30 30.7166557608 -02 43 09.789632220|248.6451268155927 +44.7903414674010|-13.742 -55.945   |10.374   |~                    |    ~     ~    |    1|  149.372   pc  |  -1.8410     +1.8410  |ST-L    |2020AJ....160...83S
78  |TYC 4915-228-1                                                                                           |Star                                |10 31 02.4471811272 -02 41 50.192115972|248.7512714180739 +44.9010925256460|    9.815 5.492   |9.983    |~                    |    ~     ~    |    1|  601.938   pc  | -27.3100    +27.3100  |ST-L    |2020AJ....160...83S
79  |HD 90984                                                                                                 |Star                                |10 30 11.6025494016 -03 41 46.933968120|249.5522319462183 +44.0547221094981| -37.666 -4.879   |8.02     |F3/5V                |    ~     ~    |    1|  111.253   pc  |  -0.3614     +0.3614  |paral   |2020yCat.1350....0G
80  |HD 91012                                                                                                 |Star                                |10 30 20.5783537440 -03 14 20.175964980|249.1304457058988 +44.4001047597660|  3.045 -16.451   |9.582    |F0/2V                |    ~     ~    |    1|  292.151   pc  | -11.0600    +11.0600  |ST-L    |2020AJ....160...83S
81  |HD 91183                                                                                                 |Star                                |10 31 33.7619410320 -02 51 59.340968280|249.0509460289964 +44.8778510415837| -20.304 26.139   |8.10     |K0III                |    ~     ~    |    1|  289.352   pc  |  -2.1517     +2.1517  |paral   |2020yCat.1350....0G
82  |HD 91167                                                                                                 |Star                                |10 31 25.9829491944 -03 44 36.346551936|249.9007567114299 +44.2426599421274|  -24.549 8.980   |8.56     |K0III                |    ~     ~    |    1|  409.199   pc  |  -4.0354     +4.0354  |paral   |2020yCat.1350....0G
83  |HD 91077                                                                                                 |Star                                |10 30 42.6963295632 -04 50 35.233300788|250.8048292268230 +43.3394493555880|  -29.374 4.402   |9.10     |G8IV                 |    ~     ~    |    1|  512.136   pc  | -19.3400    +19.3400  |ST-L    |2020AJ....160...83S
84  |HD 91086                                                                                                 |Star                                |10 30 47.6652933960 -05 03 20.838629916|251.0305940333735 +43.2029524472098|  -8.507 -2.576   |9.786    |Fm_dD                |    ~     ~    |    1|  491.469   pc  | -19.8600    +19.8600  |ST-L    |2020AJ....160...83S
85  |HD 91118                                                                                                 |Star                                |10 31 09.9393032904 -05 02 47.728205304|251.1120086641413 +43.2744605969621|   17.893 2.837   |9.51     |F3V                  |    ~     ~    |    1|  188.665   pc  |  -2.7630     +2.7630  |ST-L    |2020AJ....160...83S
86  |BD-02 3157                                                                                               |Star                                |10 30 00.3801 -03 22 23.483            |249.1837946 +44.2463967            | -19.510 10.637   |10.486   |~                    |    ~     ~    |    1|  465.070   pc  | -14.2500    +14.2500  |ST-L    |2020AJ....160...83S
87  |BD-03 2936                                                                                               |Star                                |10 30 21.9258453528 -04 28 36.491446164|250.3641540727084 +43.5375455712099|   -5.895 3.098   |10.46    |~                    |    ~     ~    |    1|  497.378   pc  | -19.9900    +19.9900  |ST-L    |2020AJ....160...83S
88  |BD-02 3163                                                                                               |Star                                |10 30 57.8280369864 -03 19 45.567594336|249.3723082934667 +44.4485137732204| 17.431 -12.893   |10.568   |~                    |    ~     ~    |    1|  439.907   pc  | -14.2400    +14.2400  |ST-L    |2020AJ....160...83S
89  |BD-03 2940                                                                                               |Star                                |10 31 33.7014646872 -04 39 53.395347600|250.8387144520457 +43.6151978033775| -22.626 -8.861   |10.202   |~                    |    ~     ~    |    1|  492.282   pc  | -16.6700    +16.6700  |ST-L    |2020AJ....160...83S
90  |BD-02 3167                                                                                               |High Proper Motion Star             |10 32 05.2881706824 -03 29 12.929111016|249.8052365692813 +44.5390553461255|-51.125 -18.800   |9.855    |~                    |    ~     ~    |    1|  268.762   pc  |  -4.0580     +4.0580  |ST-L    |2020AJ....160...83S
91  |BD-03 2941                                                                                               |Star                                |10 32 20.3998 -04 17 01.396            |250.6568242 +44.0222006            | -5.728 -10.869   |10.203   |~                    |    ~     ~    |    1|  365.684   pc  | -12.4700    +12.4700  |ST-L    |2020AJ....160...83S
92  |BD-02 3168                                                                                               |Star                                |10 32 25.8414065016 -03 29 05.081786844|249.8872010002160 +44.6015223200669|  16.037 -6.994   |10.52    |~                    |    ~     ~    |    1|  618.450   pc  | -22.5900    +22.5900  |ST-L    |2020AJ....160...83S
93  |BD-02 3162                                                                                               |Star                                |10 30 36.4570279752 -02 52 52.374490860|248.8330222998403 +44.6957438015239| -5.298 -14.892   |10.288   |~                    |    ~     ~    |    1|  518.936   pc  | -17.2100    +17.2100  |ST-L    |2020AJ....160...83S
94  |BD-03 2938                                                                                               |Star                                |10 31 25.4543071656 -03 58 40.419485544|250.1311742303153 +44.0763656566348|  14.750 -5.074   |10.716   |~                    |    ~     ~    |    1|  325.540   pc  |  -6.9610     +6.9610  |ST-L    |2020AJ....160...83S
95  |BD-02 3166                                                                                               |Star                                |10 31 39.0989793408 -02 53 28.153371048|249.0977620313011 +44.8767034200481|  -7.675 -1.926   |10.540   |~                    |    ~     ~    |    1| 3446.850   pc  |-781.8000   +781.8000  |ST-L    |2020AJ....160...83S
