C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4583|CD-59 3129                                                                                               |Star                                |10 30 51.2632912824 -60 32 46.696608996|286.4757739236310 -02.2470485282449|   -6.217 3.243   |10.95    |B7/8                 |    ~     ~    |    1| 1969.279   pc  | -70.9685    +70.9685  |paral   |2020yCat.1350....0G
4584|TYC 8956-1768-1                                                                                          |Star                                |10 30 46.8527566296 -61 12 17.708561136|286.8062565432558 -02.8170031434048|  -4.455 -3.473   |10.60    |~                    |    ~     ~    |    1|  425.188   pc  |  -2.9830     +2.9830  |paral   |2020yCat.1350....0G
4585|HD 305320                                                                                                |Star                                |10 32 33.1944969312 -61 03 37.192341780|286.9165599995525 -02.5834954635972|   -4.530 9.227   |10.97    |A2                   |    ~     ~    |    1|  578.804   pc  |  -4.4557     +4.4557  |paral   |2020yCat.1350....0G
4586|TYC 8956-1933-1                                                                                          |Star                                |10 30 46.5253476576 -60 19 51.062036664|286.3568391528190 -02.0670766516879|   -7.449 2.937   |9.58     |~                    |    ~     ~    |    1| 2372.479   pc  | -66.9810    +66.9810  |paral   |2020yCat.1350....0G
4587|HD 305313                                                                                                |Star                                |10 33 59.9172118488 -60 49 39.307900548|286.9505013990155 -02.2939826483991| -34.203 -4.764   |9.95     |G0                   |    ~     ~    |    1|  235.344   pc  |  -0.6923     +0.6923  |paral   |2020yCat.1350....0G
4588|HD 305303                                                                                                |Star                                |10 34 10.6893857592 -60 30 35.454317688|286.8097929320295 -02.0082041691508|   -5.081 2.439   |10.12    |A2                   |    ~     ~    |    1| 2345.766   pc  | -58.3277    +58.3277  |paral   |2020yCat.1350....0G
4589|HD 305235                                                                                                |Star                                |10 30 04.5217714968 -60 25 28.201362168|286.3307595809989 -02.1918742118482|   -9.161 5.830   |10.01    |F2                   |    ~     ~    |    1| 1022.913   pc  | -15.5906    +15.5906  |paral   |2020yCat.1350....0G
4590|TYC 8956-2262-1                                                                                          |Star                                |10 30 22.4024066712 -60 17 56.968454184|286.2978135444488 -02.0654455652373|  -11.798 9.622   |10.14    |~                    |    ~     ~    |    1| 1090.275   pc  | -12.6002    +12.6002  |paral   |2020yCat.1350....0G
4591|HD 305290                                                                                                |Star                                |10 32 30.6145820832 -60 13 32.216404836|286.4881776308262 -01.8668746468036|   -8.629 2.847   |10.71    |A0                   |    ~     ~    |    1| 1281.394   pc  | -43.5122    +43.5122  |paral   |2020yCat.1350....0G
4592|HD 305293                                                                                                |Star                                |10 32 42.6413368896 -60 04 49.551390372|286.4360417106647 -01.7290881628199|   -8.537 3.266   |10.12    |A0                   |    ~     ~    |    1|  768.285   pc  | -10.5657    +10.5657  |paral   |2020yCat.1350....0G
4593|HD 305372                                                                                                |Star                                |10 35 15.1075869408 -60 11 28.592640312|286.7653725839468 -01.6659361125910|  -16.130 7.058   |10.47    |A0                   |    ~     ~    |    1|  747.217   pc  |  -7.9283     +7.9283  |paral   |2020yCat.1350....0G
4594|TYC 8957-447-1                                                                                           |Star                                |10 35 56.2263538224 -60 56 42.183971160|287.2136502599718 -02.2779417785388| -24.992 15.403   |10.98    |~                    |    ~     ~    |    1|  485.956   pc  |  -2.8575     +2.8575  |paral   |2020yCat.1350....0G
4595|HD 305373                                                                                                |Star                                |10 35 09.3543648744 -60 12 50.123876256|286.7663402752394 -01.6915072244375|  -10.151 3.313   |9.98     |A                    |    ~     ~    |    1|  908.100   pc  | -15.0910    +15.0910  |paral   |2020yCat.1350....0G
4596|HD 305405                                                                                                |Star                                |10 35 05.1591747624 -61 09 00.306299808|287.2264125172375 -02.5070397293918|   -6.112 2.979   |10.62    |B9                   |    ~     ~    |    1| 3302.510   pc  |-175.5958   +175.5958  |paral   |2020yCat.1350....0G
4597|HD 305288                                                                                                |Star                                |10 34 20.2086950352 -60 09 10.026438156|286.6475416344343 -01.6894854439244|  -10.063 6.424   |10.58    |A0                   |    ~     ~    |    1|  660.720   pc  |  -7.9016     +7.9016  |paral   |2020yCat.1350....0G
4598|HD 305408                                                                                                |Star                                |10 34 46.6415732208 -61 17 51.652243572|287.2680545609211 -02.6534419377468|  -10.210 2.261   |10.04    |B9                   |    ~     ~    |    1| 1224.440   pc  | -33.2834    +33.2834  |paral   |2020yCat.1350....0G
4599|HD 305381                                                                                                |Star                                |10 37 09.0359139432 -60 28 01.438063392|287.1062814327121 -01.7890773078269|   -7.036 2.773   |10.26    |B8                   |    ~     ~    |    1| 2663.825   pc  |-143.3385   +143.3385  |paral   |2020yCat.1350....0G
4600|TYC 8957-1697-1                                                                                          |Star                                |10 34 39.6708955152 -61 02 37.220592948|287.1286651897946 -02.4405438245839|   -7.826 3.872   |10.74    |~                    |    ~     ~    |    1| 1543.448   pc  | -25.4899    +25.4899  |paral   |2020yCat.1350....0G
