C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
90  |Braes 61                                                                                                 |Long-Period Variable Candidate        |16 46 23.2295858448 -42 17 37.251675960|342.1801350391548 +01.9944356808211| -4.520 -11.918    |9.27     |M3/4           |    ~     ~    |    1|  779.241   pc  | -22.7099    +22.7099    |paral   |2020yCat.1350....0G
91  |HD 326065                                                                                                |Star                                  |16 46 28.4311669584 -42 17 00.334720320|342.1983487745255 +01.9888786350671|   3.449 -6.937    |10.49    |A0             |    ~     ~    |    1|  528.402   pc  |  -5.1095     +5.1095    |paral   |2020yCat.1350....0G
92  |HD 326064                                                                                                |Star                                  |16 46 35.6164140816 -42 17 55.780558080|342.2009763562745 +01.9620311903173|  -0.763 -7.366    |9.95     |B8             |    ~     ~    |    1|  722.230   pc  | -10.9018    +10.9018    |paral   |2020yCat.1350....0G
93  |HD 326063                                                                                                |Star                                  |16 46 58.1852968128 -42 19 08.223322980|342.2306953940085 +01.8960090305796|   0.223 -1.402    |10.36    |F2             |    ~     ~    |    1|  264.725   pc  |  -1.0862     +1.0862    |paral   |2020yCat.1350....0G
94  |HD 326096                                                                                                |Star                                  |16 47 09.2511402216 -43 12 34.139241504|341.5733868067598 +01.2939480022716|  -1.659 -2.037    |10.17    |B5             |    ~     ~    |    1| 1635.056   pc  | -42.5072    +42.5072    |paral   |2020yCat.1350....0G
95  |HD 326082                                                                                                |Star                                  |16 47 24.4404836040 -43 06 11.146004928|341.6844197239512 +01.3275319775483|  -0.069 -2.877    |9.85     |A2             |    ~     ~    |    1|  795.482   pc  | -24.2359    +24.2359    |paral   |2020yCat.1350....0G
96  |HD 151158                                                                                                |beta Cep Variable                     |16 47 34.3345442016 -42 52 36.289587540|341.8767103669765 +01.4507766821509|   0.130 -1.787    |8.25     |B2Ib/II        |    ~     ~    |    0|                |                         |        |                   
97  |HD 326077                                                                                                |High Proper Motion Star               |16 47 38.5313818080 -42 50 06.539473572|341.9167602703039 +01.4678560188243|-35.591 -81.230    |9.89     |G0             |    ~     ~    |    1|  141.405   pc  |  -1.3957     +1.3957    |paral   |2020yCat.1350....0G
98  |HD 151182                                                                                                |Star                                  |16 47 43.4274638976 -42 25 47.528633640|342.2360683177490 +01.7180541432519|  -1.346 -4.942    |9.95     |A1III/IV       |    ~     ~    |    1| 2137.760   pc  |-1375.0000   +1375.0000  |ST-L    |2020AJ....160...83S
99  |HD 326220                                                                                                |Star                                  |16 48 30.1468697088 -42 59 17.560737924|341.9013289553984 +01.2487659459717|   0.166 -3.196    |10.02    |B8             |    ~     ~    |    1| 1309.243   pc  | -26.7402    +26.7402    |paral   |2020yCat.1350....0G
100 |HD 151550                                                                                                |High Proper Motion Star               |16 49 55.9690790256 -43 06 26.710389972|341.9777823554580 +00.9718955588641|  1.624 -54.224    |7.21     |F2IV           |    ~     ~    |    1|  102.054   pc  |  -0.7815     +0.7815    |ST-L    |2020AJ....160...83S
101 |HD 151565                                                                                                |Star                                  |16 50 01.7951968944 -42 49 49.214732844|342.2020056236752 +01.1356972409840|  -2.750 -4.975    |9.59     |A0III          |    ~     ~    |    1|  530.646   pc  | -19.5300    +19.5300    |ST-L    |2020AJ....160...83S
102 |HD 326202                                                                                                |Double or Multiple Star               |16 50 35.474544 -42 19 30.48708        |342.656572444 +01.379368469        |     58.9 -45.5    |9.82     |G0             |    ~     ~    |    0|                |                         |        |                   
103 |HD 151834                                                                                                |Star                                  |16 51 45.9327431376 -42 37 01.915129272|342.5695991352625 +01.0263358631817|   0.618 -0.483    |8.18     |G3Iab          |    ~     ~    |    1| 1828.154   pc  | -63.5008    +63.5008    |paral   |2020yCat.1350....0G
104 |HD 326365                                                                                                |Pulsating Variable                    |16 52 25.0392149040 -42 14 28.482035568|342.9363861875456 +01.1723591755113|  -1.289 -2.686    |9.8      |B3             |    ~     ~    |    1| 1384.658   pc  | -33.3606    +33.3606    |paral   |2020yCat.1350....0G
105 |HD 151079                                                                                                |Star                                  |16 47 06.7983255888 -43 26 10.705660656|341.3955969937280 +01.1528465598537|   0.418 -1.577    |9.53     |F0V            |    ~     ~    |    1|  254.896   pc  |  -5.0440     +5.0440    |ST-L    |2020AJ....160...83S
106 |HD 326252                                                                                                |Star                                  |16 49 33.6496407408 -43 30 48.968625672|341.6226050217218 +00.7634687917106|  -1.434 -1.755    |10.15    |A0             |    ~     ~    |    1|  893.495   pc  | -22.1139    +22.1139    |paral   |2020yCat.1350....0G
107 |HD 326243                                                                                                |Star                                  |16 49 53.8661756496 -43 20 28.715957700|341.7940712833236 +00.8269677259553|  -0.929 -1.905    |10.307   |A0II           |    ~     ~    |    1| 1531.900   pc  |-177.3000   +177.3000    |ST-L    |2020AJ....160...83S
108 |HD 326244                                                                                                |Star                                  |16 50 31.0891708536 -43 18 23.842002960|341.8929395218906 +00.7624637695477|  -4.486 -7.727    |9.81     |A3             |    ~     ~    |    1|  803.794   pc  | -12.7925    +12.7925    |paral   |2020yCat.1350....0G
109 |HD 326245                                                                                                |Star                                  |16 50 47.8208292840 -43 17 15.022045968|341.9400667747877 +00.7356435359432|    6.356 5.488    |9.69     |G0             |    ~     ~    |    1|  457.645   pc  | -18.8704    +18.8704    |paral   |2020yCat.1350....0G
110 |HD 151727                                                                                                |Star                                  |16 51 06.9726614472 -43 35 51.274532976|341.7383217708959 +00.4931479084041|   0.095 -4.102    |9.49     |B7II           |    ~     ~    |    1|  867.152   pc  | -15.1895    +15.1895    |paral   |2020yCat.1350....0G
111 |HD 326250                                                                                                |Star                                  |16 51 12.3310236072 -43 37 54.667954488|341.7222293206312 +00.4588379177775|-10.442 -14.415    |9.66     |A5             |    ~     ~    |    1|  626.881   pc  | -16.0729    +16.0729    |paral   |2020yCat.1350....0G
112 |HD 151818                                                                                                |High Proper Motion Star               |16 51 42.9619523616 -43 24 19.654781184|341.9557058101472 +00.5317205172806|  5.838 -49.925    |9.02     |F6V            |    ~     ~    |    1|  134.012   pc  |  -0.3610     +0.3610    |paral   |2020yCat.1350....0G
113 |HD 151892                                                                                                |Star                                  |16 52 13.8856043424 -43 32 34.014071076|341.9091711588238 +00.3722373336889| -19.740 -9.090    |8.22     |F5V            |    ~     ~    |    1|  133.922   pc  |  -1.1670     +1.1670    |ST-L    |2020AJ....160...83S
114 |HD 326403                                                                                                |Star                                  |16 52 18.1772041728 -43 21 22.829633424|342.0614233149186 +00.4806302102316|   0.432 -1.226    |10.62    |A0             |    ~     ~    |    1|  614.742   pc  |  -9.2209     +9.2209    |paral   |2020yCat.1350....0G
115 |V* V569 Sco                                                                                              |Eclipsing Binary                      |16 50 02.4125860056 -42 36 08.463171204|342.3783907516840 +01.2802087165870|-15.095 -29.254    |10.96    |A3             |    ~     ~    |    1|  331.642   pc  |  -1.5068     +1.5068    |paral   |2020yCat.1350....0G
116 |HD 326051                                                                                                |Star                                  |16 45 37.3737836640 -42 07 54.774772644|342.2113136968893 +02.2071191712743|  -1.933 -2.660    |10.79    |B3             |    ~     ~    |    1| 1361.656   pc  | -40.7903    +40.7903    |paral   |2020yCat.1350....0G
117 |HD 326069                                                                                                |Star                                  |16 46 28.5808388952 -42 30 25.788202092|342.0282072225607 +01.8434732505410|-30.122 -27.471    |10.505   |K5             |    ~     ~    |    1|  487.258   pc  |  -4.0836     +4.0836    |paral   |2020yCat.1350....0G
118 |HD 326075                                                                                                |Star                                  |16 46 54.6034531536 -42 46 42.951395352|341.8730554634871 +01.6068561415353|  2.834 -28.024    |10.17    |G5             |    ~     ~    |    1|  480.538   pc  |  -2.9326     +2.9326    |paral   |2020yCat.1350....0G
119 |HD 326076                                                                                                |Star                                  |16 46 46.5483851832 -42 48 19.098394740|341.8367406848656 +01.6083270992210|  -6.279 -6.973    |10.81    |A7             |    ~     ~    |    1|  488.043   pc  |  -3.6681     +3.6681    |paral   |2020yCat.1350....0G
120 |HD 326078                                                                                                |Star                                  |16 47 56.5878329352 -42 53 00.582708084|341.9154282382182 +01.3945283241462|  -6.719 -7.348    |10.98    |A0             |    ~     ~    |    1|  419.481   pc  |  -5.4549     +5.4549    |paral   |2020yCat.1350....0G
121 |HD 326079                                                                                                |Star                                  |16 47 23.4386148288 -42 59 16.679211504|341.7703169920316 +01.4042783107086|  -0.240 -5.458    |10.88    |A0             |    ~     ~    |    1|  634.196   pc  | -13.5543    +13.5543    |paral   |2020yCat.1350....0G
122 |HD 326085                                                                                                |High Proper Motion Star               |16 45 20.6554018824 -42 57 57.795646752|341.5440817437508 +01.7033337359170|-40.103 -74.436    |10.92    |K0             |    ~     ~    |    1|  162.660   pc  |  -0.3995     +0.3995    |paral   |2020yCat.1350....0G
