C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
62  |HD 294371                                                             |Star                                  |05 47 28.7358988608 -03 32 01.527995832|208.7287773584443 -15.8309510152600|   -1.755 1.573  |9.93     |A0               |    ~     ~    |    1|  760.456   pc  |  -9.0792     +9.0792  |paral   |2020yCat.1350....0G
63  |HD 294391                                                             |Star                                  |05 47 52.1085326184 -03 25 11.807148180|208.6698346728117 -15.6924436840935|  -4.386 -3.160  |9.94     |F0               |    ~     ~    |    1|  240.142   pc  |  -1.0842     +1.0842  |paral   |2020yCat.1350....0G
64  |HD 294408                                                             |Star                                  |05 48 42.1194521184 -05 01 34.244050908|210.2562661251045 -16.2372654841616|  -0.516 18.705  |9.97     |K0               |    ~     ~    |    1|  515.570   pc  |  -4.0138     +4.0138  |paral   |2020yCat.1350....0G
65  |HD 294366                                                             |Star                                  |05 45 13.8687145392 -03 04 44.705717832|208.0409008029777 -16.1210052492507|   7.954 11.208  |10.85    |F8               |    ~     ~    |    1|  296.551   pc  |  -1.1696     +1.1696  |paral   |2020yCat.1350....0G
66  |HD 294367                                                             |Star                                  |05 45 20.6859133536 -03 05 56.487858000|208.0729051367541 -16.1049833700684|  13.538 41.581  |10.69    |G0               |    ~     ~    |    1|  209.696   pc  |  -1.1785     +1.1785  |paral   |2020yCat.1350....0G
67  |HD 294375                                                             |Star                                  |05 47 00.3544162896 -03 52 57.150618996|208.9954436306991 -16.0952312263830|   0.496 -8.309  |10.37    |A3               |    ~     ~    |    1|  463.542   pc  |  -6.2957     +6.2957  |paral   |2020yCat.1350....0G
68  |HD 294376                                                             |Star                                  |05 47 21.6047120352 -04 07 46.079483952|209.2661276836152 -16.1290914951189|    1.319 2.797  |10.22    |F2               |    ~     ~    |    1|  260.797   pc  |  -1.4555     +1.4555  |paral   |2020yCat.1350....0G
69  |HD 294378                                                             |Star                                  |05 45 28.6820381520 -04 57 36.223762356|209.8164021194405 -16.9238124637931|  11.169 -0.150  |10.77    |F8               |    ~     ~    |    1|  235.799   pc  |  -0.7395     +0.7395  |paral   |2020yCat.1350....0G
70  |HD 294379                                                             |Star                                  |05 45 33.7623187872 -04 58 45.082125876|209.8441985547479 -16.9136457419679| -21.342 -6.431  |10.58    |F5               |    ~     ~    |    1|  186.965   pc  |  -0.5139     +0.5139  |paral   |2020yCat.1350....0G
71  |HD 294389                                                             |Star                                  |05 48 09.0516677712 -03 12 02.582609292|208.5010165231572 -15.5293704075927|  7.013 -34.503  |10.45    |F8               |    ~     ~    |    1|  386.458   pc  |  -2.5390     +2.5390  |paral   |2020yCat.1350....0G
72  |HD 294390                                                             |Star                                  |05 48 39.2827747992 -03 24 58.306597920|208.7595933782833 -15.5162658236924|  8.651 -33.048  |10.46    |F2               |    ~     ~    |    1|  362.122   pc  |  -8.4187     +8.4187  |paral   |2020yCat.1350....0G
73  |HD 294393                                                             |Star                                  |05 48 12.1512808728 -03 35 31.876719180|208.8685378070452 -15.6970843041258|   -6.375 0.411  |10.01    |F8               |    ~     ~    |    1|  289.654   pc  |  -1.3843     +1.3843  |paral   |2020yCat.1350....0G
74  |2MASS J05475781-0402157                                               |Red Giant Branch star                 |05 47 57.8086259976 -04 02 15.771691140|209.2523773035426 -15.9533529475663|   9.498 16.860  |10.62    |~                |    ~     ~    |    1|  511.666   pc  | -14.6347    +14.6347  |paral   |2020yCat.1350....0G
75  |TYC 4776-528-1                                                        |Star                                  |05 46 56.0332480728 -05 26 57.736691736|210.4435720576537 -16.8208800820640| -1.064 -25.693  |10.88    |~                |    ~     ~    |    1|  251.534   pc  |  -2.0752     +2.0752  |paral   |2020yCat.1350....0G
76  |TYC 4776-556-1                                                        |Star                                  |05 48 12.8814490824 -05 29 49.084150020|210.6375307787624 -16.5575476430877|   10.041 1.445  |10.71    |~                |    ~     ~    |    1|  316.907   pc  |  -1.3960     +1.3960  |paral   |2020yCat.1350....0G
77  |TYC 4776-595-1                                                        |Star                                  |05 48 38.7492845448 -05 34 56.900747604|210.7674756810463 -16.5000941283938|   3.041 -3.565  |10.32    |~                |    ~     ~    |    1|  511.143   pc  |  -4.4415     +4.4415  |paral   |2020yCat.1350....0G
78  |TYC 4776-619-1                                                        |Star                                  |05 48 08.7354901080 -05 33 56.939415768|210.6936544866789 -16.6038339555523|  -9.699 -0.527  |10.84    |~                |    ~     ~    |    1|  433.445   pc  |  -2.9308     +2.9308  |paral   |2020yCat.1350....0G
79  |TYC 4776-635-1                                                        |Star                                  |05 47 06.3350575176 -05 32 07.716866964|210.5439910011598 -16.8214165558246|-11.729 -17.106  |10.46    |~                |    ~     ~    |    1|  272.487   pc  |  -1.3736     +1.3736  |paral   |2020yCat.1350....0G
80  |TYC 4776-743-1                                                        |Star                                  |05 47 07.4537158704 -05 20 53.785998492|210.3715298482712 -16.7330885971994|  12.597 -9.961  |10.82    |~                |    ~     ~    |    1|  348.359   pc  |  -2.2086     +2.2086  |paral   |2020yCat.1350....0G
81  |TYC 4776-819-1                                                        |Star                                  |05 46 17.1033702048 -05 06 02.316283596|210.0423154995741 -16.8079905694204|  -0.084 -0.413  |10.69    |~                |    ~     ~    |    1|  440.878   pc  |  -2.9350     +2.9350  |paral   |2020yCat.1350....0G
82  |TYC 4776-915-1                                                        |Star                                  |05 48 23.3520773664 -05 17 49.198337412|210.4716285801809 -16.4288281249756|   -1.790 0.205  |10.94    |~                |    ~     ~    |    1|  477.304   pc  |  -3.6223     +3.6223  |paral   |2020yCat.1350....0G
83  |TYC 4776-990-1                                                        |Star                                  |05 45 51.5886846888 -05 16 06.630990024|210.1490024942946 -16.9781889945438|-19.375 -26.794  |10.20    |~                |    ~     ~    |    1|  254.712   pc  |  -1.4468     +1.4468  |paral   |2020yCat.1350....0G
84  |TYC 4776-1068-1                                                       |Star                                  |05 46 24.2830979400 -05 05 18.127584528|210.0449197989123 -16.7758606345572|    2.245 2.048  |10.98    |~                |    ~     ~    |    1|  631.872   pc  |  -8.3845     +8.3845  |paral   |2020yCat.1350....0G
85  |GSC 04776-01288                                                       |Double or Multiple Star               |05 48 39.9117211104 -05 09 25.230425076|210.3736108558165 -16.3044329377271|-25.559 -10.814  |10.696   |~                |    ~     ~    |    1|  205.461   pc  |  -1.7772     +1.7772  |paral   |2020yCat.1350....0G
86  |HD 294388                                                             |Spectroscopic Binary                  |05 48 02.7009971352 -02 55 45.985785708|208.2383480757857 -15.4283313104573|    3.914 0.742  |10.60    |F5               |    ~     ~    |    1|  179.083   pc  |  -0.5067     +0.5067  |paral   |2020yCat.1350....0G
87  |BD-05 1389                                                            |Star                                  |05 46 18.6016761600 -05 51 38.731396284|210.7551075746926 -17.1442283458692|   7.587 -5.270  |8.688    |K5               |    ~     ~    |    1|  627.825   pc  |  -8.9870     +8.9870  |paral   |2020yCat.1350....0G
88  |HD 38786                                                              |High Proper Motion Star               |05 48 02.2264294776 -05 40 52.674415968|210.7887226317738 -16.6797805958324|-43.469 -43.162  |9.62     |A8/F0+(G)        |    ~     ~    |    1|  146.062   pc  |  -0.3072     +0.3072  |paral   |2020yCat.1350....0G
89  |HD 38868                                                              |Star                                  |05 48 36.0200250480 -05 49 45.885436572|210.9924613058657 -16.6209299198234|  -3.931 -5.114  |8.22     |A0V              |    ~     ~    |    1|  258.987   pc  |  -2.0659     +2.0659  |paral   |2020yCat.1350....0G
90  |BD-06 1308                                                            |Star                                  |05 46 09.6112082136 -06 08 19.327117992|210.9978937110401 -17.3019087288089|-22.413 -19.253  |10.05    |G0               |    ~     ~    |    1|   87.278   pc  |  -0.1287     +0.1287  |paral   |2020yCat.1350....0G
