C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
126 |TYC 3540-1263-1                                                                                          |Star                           |18 55 36.9228127392 +46 44 16.851392448|076.5880951815535 +18.7199539124935| -8.011 -10.535    |10.88    |M3III          |    ~     ~    
127 |TYC 3540-1352-1                                                                                          |Star                           |18 49 36.1726078824 +45 37 43.963173300|075.1123039094129 +19.3253489831687|   1.341 -4.394    |10.87    |K1.5III        |    ~     ~    
128 |TYC 3540-1359-1                                                                                          |delta Sct Variable             |18 51 14.9129203152 +46 26 56.157713052|076.0325156104780 +19.3286169667747| -7.733 -10.922    |10.40    |~              |    ~     ~    
129 |TYC 3540-1462-1                                                                                          |Star                           |18 53 48.0452657256 +46 11 59.131080888|075.9410773020803 +18.8298525327497|   -0.962 5.745    |10.28    |~              |    ~     ~    
130 |TYC 3540-1465-1                                                                                          |Star                           |18 54 20.6978186136 +46 28 45.089194476|076.2524666155586 +18.8366627439610|  -3.379 -1.553    |9.50     |~              |    ~     ~    
131 |KOI-3162                                                                                                 |Rotating Variable              |18 48 46.7588779968 +46 31 22.402844904|075.9582912444496 +19.7543309814326|   12.867 4.391    |10.12    |~              |    ~     ~    
132 |TYC 3540-1568-1                                                                                          |delta Sct Variable             |18 50 55.3333122816 +46 06 48.547923948|075.6774775049518 +19.2701293419761|    6.021 2.934    |9.88     |F0Vwkmet(A7)   |    ~     ~    
133 |TYC 3540-1631-1                                                                                          |Red Giant Branch star          |18 53 00.9870510408 +46 30 43.670501856|076.2033901254238 +19.0629518261592|   0.576 -0.178    |10.45    |M0III          |    ~     ~    
134 |TYC 3540-1645-1                                                                                          |Red Giant Branch star          |18 50 27.0859225656 +46 47 05.929254960|076.3209245120895 +19.5688374580912|   2.478 -1.033    |10.982   |~              |    ~     ~    
135 |TYC 3540-1891-1                                                                                          |Horizontal Branch Star         |18 49 16.4620396848 +46 32 30.665405256|076.0068196178535 +19.6800221823864|    0.054 0.516    |10.94    |G8IV-V         |    ~     ~    
136 |2MASS J18560384+4617014                                                                                  |Red Giant Branch star          |18 56 03.8446397064 +46 17 01.500385452|076.1661069056961 +18.4911118252333|    4.400 0.269    |10.18    |~              |    ~     ~    
137 |TYC 3540-1959-1                                                                                          |Star                           |18 51 54.5283501120 +46 23 57.791618448|076.0232158971683 +19.2048272555307|   2.466 11.296    |9.56     |K4III          |    ~     ~    
138 |TYC 3540-1966-1                                                                                          |delta Sct Variable             |18 55 47.5614748776 +45 31 27.491726208|075.3984271512645 +18.2714298951971|    7.920 8.650    |10.03    |~              |    ~     ~    
139 |TYC 3540-2014-1                                                                                          |Star                           |18 50 35.2313018376 +46 03 19.194591456|075.5988839887050 +19.3055390449132|  14.128 47.944    |10.91    |G5V            |    ~     ~    
140 |TYC 3540-2049-1                                                                                          |Star                           |18 55 14.4534621144 +46 22 13.825062372|076.2003511707928 +18.6544167270839|  -5.264 -9.243    |10.41    |~              |    ~     ~    
141 |TYC 3540-2280-1                                                                                          |High Proper Motion Star        |18 53 07.3387228560 +45 26 12.779417148|075.1412360505920 +18.6803801011779|  45.834 77.284    |10.27    |K0V            |    ~     ~    
142 |TYC 3540-2380-1                                                                                          |delta Sct Variable             |18 53 55.8096513912 +45 28 35.901304032|075.2320012424142 +18.5610010695357| -0.346 -11.596    |10.76    |F6II           |    ~     ~    
143 |TYC 3540-2382-1                                                                                          |Star                           |18 50 44.2339888968 +45 43 51.984788196|075.2844136047690 +19.1726883856935|  -2.387 -1.680    |10.25    |~              |    ~     ~    
144 |TYC 3540-2440-1                                                                                          |Rotating Variable              |18 53 32.9985073008 +45 44 27.623774616|075.4699407540947 +18.7142266193138|  40.658 17.283    |10.71    |G8V            |    ~     ~    
145 |TYC 3540-2458-1                                                                                          |Star                           |18 48 45.6308166696 +45 33 55.676423088|074.9970878187322 +19.4433355745046|  -1.733 -1.451    |10.81    |~              |    ~     ~    
146 |TYC 3540-2491-1                                                                                          |delta Sct Variable             |18 56 09.0721476120 +45 26 59.243293140|075.3480725576454 +18.1865000918793|   1.498 -0.894    |10.59    |F6II           |    ~     ~    
147 |TYC 3540-2561-1                                                                                          |Star                           |18 55 58.6787477976 +46 09 45.832923972|076.0409642809360 +18.4631901567571|   11.646 8.169    |10.50    |~              |    ~     ~    
148 |TYC 3540-2598-1                                                                                          |Star                           |18 51 24.4948603992 +45 45 30.617021880|075.3533256359300 +19.0716129779593|  -4.246 -5.643    |9.59     |~              |    ~     ~    
149 |TYC 3540-2644-1                                                                                          |Star                           |18 50 24.0916015584 +45 20 42.054640548|074.8785530549678 +19.0985248127631| 15.376 -35.456    |10.60    |~              |    ~     ~    
150 |TYC 3540-2656-1                                                                                          |Star                           |18 52 23.6220367656 +45 38 00.110105700|075.2903201793399 +18.8673577302090|  34.622 28.807    |10.05    |F8V            |    ~     ~    
151 |TYC 3540-2662-1                                                                                          |Rotating Variable              |18 54 04.6070359896 +45 41 51.729737568|075.4602954954255 +18.6130006150521|   8.390 40.485    |10.31    |F8V            |    ~     ~    
152 |TYC 3540-2692-1                                                                                          |Red Giant Branch star          |18 53 52.9506661056 +45 21 32.669585100|075.1125614578727 +18.5283138435868|   -2.595 0.233    |10.29    |~              |    ~     ~    
153 |TYC 3540-2703-1                                                                                          |Star                           |18 48 19.8997121784 +45 51 40.867586964|075.2673673530342 +19.6114540762881| -9.340 -19.173    |10.53    |~              |    ~     ~    
154 |TYC 3540-2919-1                                                                                          |Star                           |18 54 00.8179653024 +45 38 09.424388220|075.3951083290048 +18.6021261202555|  3.017 -10.626    |10.52    |F2V            |    ~     ~    
155 |TYC 3540-2938-1                                                                                          |Star                           |18 52 29.2313132088 +45 47 13.273585260|075.4489310760108 +18.9041682656086|  -6.060 -7.527    |9.95     |F9V            |    ~     ~    
156 |TYC 3540-3014-1                                                                                          |delta Sct Variable             |18 52 58.5906181536 +45 36 43.687029636|075.3058972753474 +18.7643183108160|   2.549 10.455    |10.99    |~              |    ~     ~    
157 |TYC 3540-3109-1                                                                                          |Horizontal Branch Star         |18 51 25.7786540448 +45 23 55.240390212|074.9964124772200 +18.9466437568357|   1.238 -1.705    |10.89    |K1III          |    ~     ~    
158 |TYC 3541-133-1                                                                                           |Star                           |18 57 51.6993215736 +46 38 59.064824832|076.6411435272685 +18.3280056304844|-12.656 -25.634    |10.83    |G5             |    ~     ~    
159 |TYC 3541-244-1                                                                                           |Rotating Variable              |18 58 12.1488312696 +45 24 29.520502668|075.4408172142073 +17.8351128804438| 20.348 -13.592    |10.61    |~              |    ~     ~    
