C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
112 |TYC 3540-387-1                                                                                           |Star                           |18 54 23.5063029360 +46 09 26.781038352|075.9359479516939 +18.7192448348955|   3.432 -4.753    |10.72    |~              |    ~     ~    
113 |TYC 3540-424-1                                                                                           |Star                           |18 50 48.8740125480 +45 08 43.487567916|074.7057075585192 +18.9627766776831|    8.800 5.614    |10.489   |~              |    ~     ~    
114 |TYC 3540-428-1                                                                                           |Star                           |18 55 46.6113598344 +46 42 39.142357848|076.5711888210711 +18.6846548237966|    4.450 0.368    |10.16    |G8III          |    ~     ~    
115 |TYC 3540-537-1                                                                                           |Spectroscopic Binary           |18 53 33.5720438064 +46 13 50.149073820|075.9567279162242 +18.8795806626570|  7.682 -20.798    |10.04    |~              |    ~     ~    
116 |TYC 3540-588-1                                                                                           |Star                           |18 54 23.8919105664 +46 11 02.586803820|075.9627535826744 +18.7273052853391|  14.408 36.310    |10.66    |F3/F5V         |    ~     ~    
117 |TYC 3540-606-1                                                                                           |Star                           |18 50 20.7311038176 +45 55 56.583899904|075.4612363392588 +19.3042055897202|  -5.567 -7.104    |10.87    |K1III          |    ~     ~    
118 |TYC 3540-656-1                                                                                           |Star                           |18 50 56.9122110696 +46 49 23.032097436|076.3887787791144 +19.5010339473533| -23.390 35.010    |9.87     |~              |    ~     ~    
119 |TYC 3540-797-1                                                                                           |Star                           |18 54 57.7733298360 +46 31 46.397999496|076.3407884821974 +18.7538894483912|   -5.922 5.050    |10.71    |~              |    ~     ~    
120 |TYC 3540-816-1                                                                                           |Star                           |18 54 58.7296339848 +46 12 18.138231648|076.0199270107253 +18.6401088993366|-12.538 -18.399    |10.18    |~              |    ~     ~    
121 |TYC 3540-858-1                                                                                           |Star                           |18 53 38.2489268328 +46 15 44.246244636|075.9930697155005 +18.8776709612979|    2.214 7.031    |10.54    |G4V            |    ~     ~    
122 |TYC 3540-1036-1                                                                                          |Star                           |18 54 17.0346988296 +45 53 48.887280528|075.6708151630186 +18.6475339778353|  -4.335 12.648    |10.41    |~              |    ~     ~    
123 |TYC 3540-1096-1                                                                                          |Rotating Variable              |18 48 10.7916578424 +46 04 04.381530456|075.4654497461140 +19.7039461395160|    6.766 8.681    |10.73    |F5V            |    ~     ~    
124 |TYC 3540-1162-1                                                                                          |Star                           |18 53 12.0015143808 +46 00 07.568975160|075.7072503770885 +18.8605378248381|-34.186 -25.510    |10.10    |G3V            |    ~     ~    
125 |TYC 3540-1217-1                                                                                          |Star                           |18 55 53.0909417976 +46 35 40.500170988|076.4626338453906 +18.6273107843568|   7.176 -0.372    |10.46    |K5III          |    ~     ~    
