C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:21:12

dec >=0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2365

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
85  |BD+79 452                                                                                                |Star                              |14 38 21.3246751080 +79 02 25.978245972|116.8030612863779 +36.7830344406356|   12.511 0.430   |10.13    |F0                |    ~     ~    |    1|  245.302   pc  |  -0.6739     +0.6739  |paral   |2020yCat.1350....0G
86  |BD+78 488                                                                                                |Star                              |14 34 07.5164953416 +78 15 53.478053352|116.5502303696689 +37.5604409185389|-22.182 -22.537   |9.65     |K0                |    ~     ~    |    1|  406.207   pc  |  -1.7160     +1.7160  |paral   |2020yCat.1350....0G
87  |TYC 4562-1540-1                                                                                          |Star                              |14 39 02.4494590392 +78 15 17.856316440|116.2705033544553 +37.4448036787538| -38.143 26.223   |10.79    |K0                |    ~     ~    |    1|  378.702   pc  |  -1.7066     +1.7066  |paral   |2020yCat.1350....0G
88  |BD+78 490                                                                                                |Star                              |14 38 37.1768421552 +78 16 21.656543376|116.3050685232347 +37.4403635891870|  4.427 -27.392   |10.50    |K0                |    ~     ~    |    1|  430.589   pc  |  -2.1507     +2.1507  |paral   |2020yCat.1350....0G
89  |BD+78 491                                                                                                |Star                              |14 40 57.0872000304 +77 51 05.761113120|115.9025168718503 +37.7405301663856| -17.875 -7.485   |10.17    |K0                |    ~     ~    |    1|  505.638   pc  |  -7.4144     +7.4144  |paral   |2020yCat.1350....0G
90  |BD+78 487                                                                                                |Star                              |14 33 13.5911615136 +77 24 39.426984432|116.0754145694277 +38.3293289003709|    5.840 5.277   |10.08    |G5                |    ~     ~    |    1|  246.281   pc  |  -0.8006     +0.8006  |paral   |2020yCat.1350....0G
91  |HD 128421                                                                                                |Double or Multiple Star           |14 31 10.44079 +76 33 55.0573          |115.67854221 +39.12470004          |    13.88 -3.03   |8.29     |F0                |    ~     ~    |    0|                |                       |        |                   
92  |BD+77 548B                                                                                               |Star                              |14 31 07.8121397448 +76 33 54.186517044|115.6812627403056 +39.1261422733548|  12.842 -1.790   |10.50    |~                 |    ~     ~    |    1|  146.259   pc  |  -0.2460     +0.2460  |paral   |2020yCat.1350....0G
93  |BD+77 549                                                                                                |Star                              |14 32 42.8210801496 +77 02 26.337517008|115.8763936198042 +38.6664735820572|   -4.749 7.475   |10.47    |K0                |    ~     ~    |    1|  891.504   pc  |  -9.6168     +9.6168  |paral   |2020yCat.1350....0G
94  |BD+77 550                                                                                                |Star                              |14 39 02.4186287448 +77 15 41.021079048|115.6284417207194 +38.2993837909290|  6.687 -38.755   |9.72     |G5                |    ~     ~    |    1|  162.459   pc  |  -0.3141     +0.3141  |paral   |2020yCat.1350....0G
95  |TYC 4559-1140-1                                                                                          |Star                              |14 35 12.0369694368 +77 20 27.925757412|115.9118875344279 +38.3370944390204|   2.590 -4.359   |10.69    |~                 |    ~     ~    |    1| 1172.333   pc  | -39.9940    +39.9940  |paral   |2020yCat.1350....0G
96  |TYC 4559-1200-1                                                                                          |Star                              |14 36 40.7800891080 +77 17 25.233416196|115.7898936856329 +38.3404866939808|  -1.430 -4.345   |10.81    |~                 |    ~     ~    |    1| 1026.273   pc  | -10.5324    +10.5324  |paral   |2020yCat.1350....0G
