C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:50:27

dec >=0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2377

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |HD 91425                                                                                                 |Spectroscopic Binary               |10 37 28.1034323784 +78 05 18.470793804|131.1121050995056 +36.8240119808946| -11.184 -6.282   |8.25     |F5               |    ~     ~    |    1|  254.492   pc  |  -5.3302     +5.3302  |paral   |2020yCat.1350....0G
66  |TYC 4545-925-1                                                                                           |Star                               |10 31 54.9560871168 +79 58 24.868637904|129.9285767713799 +35.1789269190458|    5.760 2.807   |10.62    |~                |    ~     ~    |    1|  923.446   pc  |  -9.7214     +9.7214  |paral   |2020yCat.1350....0G
67  |TYC 4545-984-1                                                                                           |Star                               |10 33 50.7238595136 +79 24 48.517677036|130.2722472278516 +35.6715995994204| -12.227 -7.572   |10.30    |~                |    ~     ~    |    1|  860.363   pc  |  -8.6606     +8.6606  |paral   |2020yCat.1350....0G
68  |TYC 4545-1008-1                                                                                          |Star                               |10 31 57.8241685584 +79 25 29.786305152|130.3466608165464 +35.6088671856528|  -6.580 -0.451   |10.83    |~                |    ~     ~    |    1| 1197.031   pc  | -16.9080    +16.9080  |paral   |2020yCat.1350....0G
69  |TYC 4545-1115-1                                                                                          |Star                               |10 38 29.6498961096 +79 44 33.817931916|129.8205012829083 +35.5385989315281|-15.622 -24.441   |10.45    |~                |    ~     ~    |    1|  354.045   pc  |  -3.6727     +3.6727  |paral   |2020yCat.1350....0G
70  |TYC 4545-1496-1                                                                                          |Star                               |10 33 07.8119907576 +79 07 03.649154196|130.5308872367451 +35.8827263933453|  13.087 30.633   |10.75    |~                |    ~     ~    |    1|  104.743   pc  |  -0.1240     +0.1240  |paral   |2020yCat.1350....0G
71  |TYC 4545-1816-1                                                                                          |Star                               |10 30 10.7994967632 +78 49 52.009336020|130.8891562299385 +36.0165012620225|  -4.609 -8.197   |10.89    |~                |    ~     ~    |    1| 1016.157   pc  | -11.0486    +11.0486  |paral   |2020yCat.1350....0G
72  |TYC 4545-2035-1                                                                                          |Star                               |10 39 36.5646886320 +78 18 15.847087392|130.8395545632945 +36.7193580187906|   3.794 -1.357   |10.31    |~                |    ~     ~    |    1| 1258.336   pc  | -20.2677    +20.2677  |paral   |2020yCat.1350....0G
73  |TYC 4545-2133-1                                                                                          |Star                               |10 35 55.1898933504 +78 05 40.658617932|131.1859131020340 +36.7699142810686| -13.208 -8.536   |10.55    |~                |    ~     ~    |    1|  361.611   pc  |  -9.8334     +9.8334  |paral   |2020yCat.1350....0G
74  |TYC 4548-783-1                                                                                           |Star                               |10 31 23.1574061472 +80 19 38.479135908|129.6812328727415 +34.8879692198800|  2.448 -20.464   |10.96    |~                |    ~     ~    |    1|  329.848   pc  |  -1.3709     +1.3709  |paral   |2020yCat.1350....0G
75  |TYC 4548-1923-1                                                                                          |Star                               |10 39 42.1012563576 +80 00 56.266831584|129.5684633622337 +35.3511700903750|   7.420 -0.390   |9.90     |~                |    ~     ~    |    1|  650.830   pc  |  -6.0572     +6.0572  |paral   |2020yCat.1350....0G
76  |TYC 4552-515-1                                                                                           |Star                               |10 40 44.5671690744 +79 27 27.864827460|129.9293057658917 +35.8279133700642|   8.837 -6.492   |10.38    |~                |    ~     ~    |    1|  180.717   pc  |  -0.3952     +0.3952  |paral   |2020yCat.1350....0G
77  |TYC 4552-531-1                                                                                           |Star                               |10 41 01.1576966064 +79 25 14.975834484|129.9436783929417 +35.8651611876623| -9.750 -19.657   |10.89    |~                |    ~     ~    |    1|  191.454   pc  |  -0.4399     +0.4399  |paral   |2020yCat.1350....0G
78  |TYC 4552-584-1                                                                                           |Star                               |10 43 24.8458708512 +79 20 01.711853628|129.8964993309124 +36.0004122067052|-26.062 -18.846   |9.85     |~                |    ~     ~    |    1|  321.833   pc  | -12.2428    +12.2428  |paral   |2020yCat.1350....0G
79  |TYC 4552-1191-1                                                                                          |Star                               |10 43 49.6770541944 +79 13 55.766579448|129.9503997806537 +36.0942415850439|  33.241 -2.775   |10.84    |~                |    ~     ~    |    1|  255.337   pc  |  -0.8084     +0.8084  |paral   |2020yCat.1350....0G
80  |TYC 4552-1535-1                                                                                          |High Proper Motion Star            |10 40 23.5914653232 +78 10 15.414759120|130.9002327888145 +36.8499092993936|-43.200 -39.573   |10.75    |~                |    ~     ~    |    1|  250.006   pc  |  -0.8750     +0.8750  |paral   |2020yCat.1350....0G
81  |BD+78 351                                                                                                |Star                               |10 33 28.5416668656 +78 00 19.371723732|131.3788384623782 +36.7606615771676|  -0.323 -3.806   |9.58     |K5/8             |    ~     ~    |    1|  897.585   pc  | -11.8432    +11.8432  |paral   |2020yCat.1350....0G
82  |BD+78 357                                                                                                |Star                               |10 42 01.2626356224 +77 52 54.306579972|131.0327468414904 +37.1319719053397|-40.931 -10.381   |9.50     |K0               |    ~     ~    |    1|  544.425   pc  |  -3.2900     +3.2900  |paral   |2020yCat.1350....0G
83  |HD 90645                                                                                                 |Star                               |10 32 01.2607635696 +77 29 52.830834360|131.8555748921219 +37.1044044300354| -21.448 -3.238   |7.91     |G5               |    ~     ~    |    1|  177.447   pc  |  -0.5857     +0.5857  |paral   |2020yCat.1350....0G
84  |BD+77 403                                                                                                |Double or Multiple Star            |10 34 14.3297767488 +76 39 57.579909408|132.4021304752253 +37.8251031166350| -40.806 -2.774   |10.652   |F8               |    ~     ~    |    1|  221.112   pc  |  -0.6454     +0.6454  |paral   |2020yCat.1350....0G
85  |BD+78 355                                                                                                |High Proper Motion Star            |10 37 49.5854789064 +77 29 10.256734500|131.5574257009745 +37.3106759901383|-70.818 -38.995   |9.71     |G5               |    ~     ~    |    1|   78.078   pc  |  -0.0677     +0.0677  |paral   |2020yCat.1350....0G
86  |BD+78 358                                                                                                |Star                               |10 42 01.0898421456 +77 25 47.421681600|131.3731707457048 +37.4937993826112|    6.139 6.598   |9.21     |G5               |    ~     ~    |    1|  433.257   pc  |  -2.8157     +2.8157  |paral   |2020yCat.1350....0G
87  |HD 92319                                                                                                 |Star                               |10 43 08.7193169424 +77 24 42.409459872|131.3247836552329 +37.5449812917080|  -30.312 4.279   |7.75     |B9               |    ~     ~    |    1|  276.442   pc  |  -2.4302     +2.4302  |paral   |2020yCat.1350....0G
88  |HD 91103                                                                                                 |Star                               |10 34 49.1220908280 +76 43 54.733586052|132.3166370366296 +37.7952723820248|   -9.381 0.435   |7.59     |K0               |    ~     ~    |    1|  220.323   pc  |  -0.8495     +0.8495  |paral   |2020yCat.1350....0G
89  |HD 91809                                                                                                 |Star                               |10 39 16.7211975216 +76 26 29.731157844|132.2905476139945 +38.1835101116564|-24.662 -24.169   |8.51     |A0               |    ~     ~    |    1|  192.374   pc  |  -0.6698     +0.6698  |paral   |2020yCat.1350....0G
90  |HD 92093                                                                                                 |Star                               |10 41 19.4911568664 +77 13 24.200557032|131.5683375886577 +37.6356973971490|   16.156 8.651   |8.42     |A0               |    ~     ~    |    1|  338.949   pc  |  -5.3307     +5.3307  |paral   |2020yCat.1350....0G
91  |BD+76 397                                                                                                |Star                               |10 36 52.1635473336 +75 52 15.090460068|132.8882857910025 +38.5396408239654|  5.595 -22.650   |9.33     |K2               |    ~     ~    |    1|  397.725   pc  |  -8.6369     +8.6369  |paral   |2020yCat.1350....0G
92  |BD+76 399                                                                                                |Star                               |10 40 04.3553327712 +76 04 07.176494244|132.5366401294233 +38.5060774777970|    9.526 9.987   |10.44    |F8               |    ~     ~    |    1|  178.215   pc  |  -0.7750     +0.7750  |paral   |2020yCat.1350....0G
93  |TYC 4549-823-1                                                                                           |Star                               |10 43 15.7388511240 +76 08 55.485203820|132.2802897434190 +38.5594877155235| -16.701 -8.587   |10.71    |F8               |    ~     ~    |    1|  376.166   pc  |  -1.7546     +1.7546  |paral   |2020yCat.1350....0G
94  |HD 91190                                                                                                 |Star                               |10 35 05.4903371088 +75 42 46.446678396|133.1242880612376 +38.5925631394408|  -20.219 1.482   |4.853    |G8III-IIIb       |    ~     ~    |    1|   76.656   pc  |  -0.6188     +0.6188  |paral   |2020yCat.1350....0G
