C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
53  |BD+79 190                                                                                                |Star                           |06 01 17.9887258344 +79 57 24.820661772|133.7175483344828 +24.5390336283262|  -3.889 -4.298   |9.75     |K2                |    ~     ~    |    1| 1197.461   pc  | -22.9426    +22.9426  |paral   |2020yCat.1350....0G
54  |BD+79 191                                                                                                |Star                           |06 04 42.9237544368 +79 47 03.123933216|133.9472158527555 +24.6326162048648|    6.827 3.112   |10.12    |K0                |    ~     ~    |    1|  647.207   pc  |  -5.0265     +5.0265  |paral   |2020yCat.1350....0G
55  |BD+79 192                                                                                                |Star                           |06 07 05.3834042736 +79 11 48.959759832|134.6005147372746 +24.5712294277348| 22.662 -34.642   |9.04     |K0                |    ~     ~    |    1|  334.012   pc  |  -1.8631     +1.8631  |paral   |2020yCat.1350....0G
56  |BD+78 206                                                                                                |Star                           |06 07 33.0629847744 +78 55 19.033576176|134.8975226339295 +24.5155542964914|   -0.591 5.142   |9.32     |K2                |    ~     ~    |    1|  487.234   pc  |  -7.8579     +7.8579  |paral   |2020yCat.1350....0G
57  |HD 39861                                                                                                 |Double or Multiple Star        |06 10 12.7759572688 +81 30 46.230637524|132.1749906935374 +25.3083951023706|-90.922 -364.524  |9.19     |G0                |    ~     ~    |    1|   79.7811  pc  |  -0.4608     +0.4608  |paral   |2020yCat.1350....0G
58  |BD+81 203                                                                                                |Spectroscopic Binary           |06 10 37.4474352072 +81 06 57.349028772|132.6043088865527 +25.2244638155612|  18.412 -1.315   |9.90     |G5                |    ~     ~    |    1|  256.786   pc  |  -7.2665     +7.2665  |paral   |2020yCat.1350....0G
59  |BD+81 204                                                                                                |Star                           |06 11 59.1021211392 +81 05 38.867062884|132.6420479304450 +25.2700449980447|   2.655 -8.852   |9.70     |F0                |    ~     ~    |    1|  270.314   pc  |  -2.0898     +2.0898  |paral   |2020yCat.1350....0G
60  |BD+81 207                                                                                                |Spectroscopic Binary           |06 13 03.1043424816 +81 03 30.247350120|132.6914785731294 +25.3015100672278|   -3.028 8.312   |9.97     |F2                |    ~     ~    |    1|  279.065   pc  |  -7.2971     +7.2971  |paral   |2020yCat.1350....0G
61  |HD 40158                                                                                                 |Star                           |06 09 52.8096650184 +80 02 13.969497948|133.7470635680309 +24.9192238666039|   -1.596 8.101   |9.26     |A0                |    ~     ~    |    1|  451.488   pc  |  -3.7711     +3.7711  |paral   |2020yCat.1350....0G
62  |V* SY Cam                                                                                                |Long-Period Variable           |06 11 21.4951032576 +80 04 26.229812124|133.7260851324995 +24.9903587992097|   6.012 -6.315   |9.88     |M4                |    ~     ~    |    1|  884.173   pc  | -20.0131    +20.0131  |paral   |2020yCat.1350....0G
63  |BD+79 193                                                                                                |High Proper Motion Star        |06 10 16.8122262360 +79 58 15.058593876|133.8226998526331 +24.9186799232208|  8.835 -62.904   |9.74     |F8                |    ~     ~    |    1|  135.380   pc  |  -0.2419     +0.2419  |paral   |2020yCat.1350....0G
64  |BD+79 194                                                                                                |Star                           |06 10 43.2467333328 +79 02 27.761786232|134.8168280004240 +24.6937039494334|  -3.863 -0.328   |9.03     |K0                |    ~     ~    |    1|  425.062   pc  |  -2.4933     +2.4933  |paral   |2020yCat.1350....0G
65  |BD+79 195                                                                                                |Star                           |06 14 25.1083688592 +79 32 43.782266472|134.3279300413068 +24.9888522819870|    5.589 3.894   |9.36     |F2                |    ~     ~    |    1|  992.654   pc  | -13.4995    +13.4995  |paral   |2020yCat.1350....0G
66  |BD+78 210                                                                                                |Star                           |06 11 11.5786584912 +78 58 19.139334888|134.8966891319815 +24.6971338924520|  6.173 -26.425   |9.28     |A5                |    ~     ~    |    1|  231.626   pc  |  -0.8316     +0.8316  |paral   |2020yCat.1350....0G
67  |TYC 4533-35-1                                                                                            |Star                           |06 06 39.8273260824 +80 19 21.690989688|133.4034339289926 +24.8631999900813|  2.539 -41.342   |10.73    |~                 |    ~     ~    |    1|  327.633   pc  |  -1.0842     +1.0842  |paral   |2020yCat.1350....0G
