C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
135 |BD+73 378                                                                                                |Star                           |07 32 37.3329211008 +73 08 38.612187672|141.9413783838141 +28.8500382558375|   2.672 22.725   |10.07    |F8                |    ~     ~    
136 |HD 59201                                                                                                 |High Proper Motion Star        |07 35 50.7313422321 +73 16 33.405214376|141.7826602580626 +29.0787149233551|119.719 333.215   |8.51     |K0                |    ~     ~    
137 |HD 59056                                                                                                 |Double or Multiple Star        |07 34 49.5682 +72 26 42.236            |142.7353847 +29.0298153            |-13.936 -31.752   |9.15     |F8                |    ~     ~    
138 |HD 59762                                                                                                 |High Proper Motion Star        |07 38 33.5754380736 +73 35 44.935715652|141.4067632184208 +29.2575879645642|-32.054 -57.865   |7.57     |F5                |    ~     ~    
139 |HD 59797                                                                                                 |High Proper Motion Star        |07 38 37.4869801944 +73 20 58.340853780|141.6884335681723 +29.2748087788638|-50.394 -57.314   |9.14     |G                 |    ~     ~    
140 |HD 60469                                                                                                 |High Proper Motion Star        |07 40 57.8006033064 +72 22 22.111788360|142.7980408275296 +29.4959022345075|-39.125 -70.804   |8.64     |G0                |    ~     ~    
141 |BD+72 373                                                                                                |Star                           |07 41 24.6234831456 +71 58 16.577364036|143.2569962781229 +29.5498592350588|   3.789 15.656   |9.23     |K2                |    ~     ~    
142 |BD+72 368                                                                                                |Star                           |07 34 41.6244768120 +71 45 11.130535512|143.5268702160753 +29.0346653940735| -7.510 -12.417   |9.64     |K0                |    ~     ~    
143 |BD+71 411                                                                                                |Spectroscopic Binary           |07 40 32.0214538944 +71 40 28.508825640|143.6011356116291 +29.4948842266293|-10.172 -22.848   |9.27     |G0                |    ~     ~    
144 |TYC 4368-40-1                                                                                            |Spectroscopic Binary           |07 30 24.3613298928 +73 06 00.327101256|141.9948334822765 +28.6899976791389|   6.359 -5.283   |10.92    |~                 |    ~     ~    
145 |TYC 4368-264-1                                                                                           |Star                           |07 32 52.1181630528 +72 36 42.684792336|142.5485176386409 +28.8792472828756|  -6.941 -4.719   |10.76    |~                 |    ~     ~    
146 |TYC 4368-495-1                                                                                           |Star                           |07 30 50.8731683640 +72 07 59.548498680|143.0968539004395 +28.7321417346353|   5.424 36.193   |10.96    |~                 |    ~     ~    
147 |TYC 4368-662-1                                                                                           |Star                           |07 31 41.9511050520 +71 53 21.091063092|143.3747396972926 +28.7994177233733|  -2.414 -7.373   |10.59    |~                 |    ~     ~    
148 |TYC 4368-666-1                                                                                           |Star                           |07 32 03.6864166776 +72 14 33.589861836|142.9710474215225 +28.8239798560147|  -1.196 -4.707   |10.08    |~                 |    ~     ~    
149 |TYC 4368-970-1                                                                                           |Star                           |07 31 12.4046048352 +71 53 16.478161368|143.3764603047147 +28.7611551061513|   -9.961 4.016   |10.98    |~                 |    ~     ~    
150 |TYC 4368-1223-1                                                                                          |Star                           |07 35 08.3200157352 +71 51 29.559450780|143.4058700112179 +29.0673382713442|-23.470 -12.042   |10.84    |~                 |    ~     ~    
151 |TYC 4369-119-1                                                                                           |Star                           |07 43 53.8156066224 +71 46 41.965088844|143.4670343079408 +29.7531017551934|    0.242 7.545   |10.91    |~                 |    ~     ~    
152 |TYC 4369-164-1                                                                                           |Star                           |07 36 03.6225590832 +72 34 49.736222328|142.5774768501743 +29.1186285982142|  7.282 -19.122   |10.74    |~                 |    ~     ~    
153 |TYC 4369-166-1                                                                                           |High Proper Motion Star        |07 43 42.6207433968 +72 34 20.607503988|142.5553244161558 +29.6910000383111| -5.286 -52.408   |10.58    |~                 |    ~     ~    
154 |TYC 4369-200-1                                                                                           |Star                           |07 41 53.2338093528 +71 37 10.597893636|143.6588570121860 +29.6037559357959|   -3.098 8.784   |10.40    |~                 |    ~     ~    
155 |TYC 4369-223-1                                                                                           |Star                           |07 40 35.1791223168 +71 50 00.629763936|143.4185162367749 +29.4922417316448|  -8.974 13.343   |10.48    |~                 |    ~     ~    
156 |TYC 4369-263-1                                                                                           |Star                           |07 39 39.0175524024 +71 32 28.479545376|143.7572970827237 +29.4304738837639|  26.650 -5.271   |10.31    |~                 |    ~     ~    
157 |TYC 4369-363-1                                                                                           |Star                           |07 36 06.3357063264 +72 12 41.087663208|142.9996598779306 +29.1331582651606|    3.940 5.235   |10.89    |~                 |    ~     ~    
158 |TYC 4369-367-1                                                                                           |Star                           |07 41 17.3532179304 +71 29 51.723086100|143.8013402503961 +29.5619829774981|-19.895 -24.415   |10.90    |~                 |    ~     ~    
