C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
78  |HD 149965                                                                                                |Star                                  |16 39 52.5760319928 -41 19 45.607390824|342.1126107662251 +03.5427030013935| -5.549 -19.969   |9.65     |F0V               |    ~     ~    |    1|  439.968   pc  | -12.5800    +12.5800  |ST-L    |2020AJ....160...83S
79  |HD 150005                                                                                                |Pulsating Variable                    |16 40 04.5670668048 -41 33 33.777017928|341.9648783360420 +03.3622075357866|  -0.789 -7.013   |9.79     |B9III             |    ~     ~    |    1|  597.206   pc  | -21.9900    +21.9900  |ST-L    |2020AJ....160...83S
80  |HD 325894                                                                                                |Star                                  |16 40 45.4351482168 -41 27 40.483022940|342.1231057157414 +03.3315432176680|  -0.961 -1.878   |10.93    |B8II              |    ~     ~    |    1| 2027.986   pc  | -59.2233    +59.2233  |paral   |2020yCat.1350....0G
81  |HD 150180                                                                                                |Star                                  |16 41 12.6900462216 -41 40 49.272583944|342.0145292525918 +03.1230363997134|   18.818 6.148   |10.72    |F8                |    ~     ~    |    1|  154.443   pc  |  -0.4246     +0.4246  |paral   |2020yCat.1350....0G
82  |HD 321815                                                                                                |Star                                  |16 33 31.6891912200 -40 33 07.365300516|341.8863160720543 +04.9534892942347|  -3.501 -3.863   |10.78    |A                 |    ~     ~    |    1|  563.539   pc  |  -6.8596     +6.8596  |paral   |2020yCat.1350....0G
83  |HD 325697                                                                                                |Star                                  |16 37 09.4263665736 -41 07 31.459973448|341.9239206660330 +04.0599411591002|  -0.305 -3.431   |10.93    |A2                |    ~     ~    |    1|  610.687   pc  |  -7.2350     +7.2350  |paral   |2020yCat.1350....0G
84  |HD 325779                                                                                                |Star                                  |16 39 07.5977916600 -40 39 31.904994384|342.5213211158626 +04.0933750518508|  -0.388 -6.456   |10.72    |G5                |    ~     ~    |    1|  766.577   pc  |  -9.7548     +9.7548  |paral   |2020yCat.1350....0G
85  |HD 325780                                                                                                |Star                                  |16 39 18.2924041608 -40 38 05.968566528|342.5617215749025 +04.0839381672509|-11.409 -23.322   |10.72    |G0                |    ~     ~    |    1|  288.110   pc  |  -1.3032     +1.3032  |paral   |2020yCat.1350....0G
86  |HD 325782                                                                                                |Star                                  |16 39 24.8335889472 -41 04 34.125288708|342.2446737432588 +03.7757248756226| -7.723 -12.866   |10.82    |F0                |    ~     ~    |    1|  320.688   pc  |  -2.1288     +2.1288  |paral   |2020yCat.1350....0G
87  |HD 325796                                                                                                |Star                                  |16 38 20.7495355344 -41 29 58.570073880|341.7940609211996 +03.6439342564685|  -2.305 -8.861   |10.95    |A0                |    ~     ~    |    1|  537.432   pc  |  -6.9898     +6.9898  |paral   |2020yCat.1350....0G
88  |HD 325877                                                                                                |Star                                  |16 40 59.0068 -40 51 19.747            |342.6069638 +03.6996740            |   -3.733 1.128   |10.86    |A0                |    ~     ~    |    0|                |                       |        |                   
89  |HD 325891                                                                                                |Star                                  |16 40 56.6292421536 -41 16 56.278548948|342.2808358169967 +03.4234902840878|  -2.707 -2.906   |10.90    |B8                |    ~     ~    |    1| 1418.037   pc  | -31.3690    +31.3690  |paral   |2020yCat.1350....0G
90  |HD 149230                                                                                                |Star                                  |16 35 18.6954152976 -42 14 23.502609384|340.8642320689989 +03.5672269398676|-11.940 -21.035   |9.47     |A8V               |    ~     ~    |    1|  178.018   pc  |  -0.4785     +0.4785  |paral   |2020yCat.1350....0G
91  |HD 149276                                                                                                |Star                                  |16 35 40.0831952112 -42 08 52.851021432|340.9768143658296 +03.5802496306432|   0.798 -3.922   |10.03    |B6Ib              |    ~     ~    |    1| 1055.520   pc  | -18.7173    +18.7173  |paral   |2020yCat.1350....0G
92  |HD 149313                                                                                                |Be Star                               |16 35 48.6614607648 -42 07 22.456813872|341.0132945604626 +03.5775281691509|   0.006 -0.425   |9.27     |B2Ia/be           |    ~     ~    |    1| 1223.391   pc  | -26.7907    +26.7907  |paral   |2020yCat.1350....0G
93  |HD 325729                                                                                                |Star                                  |16 33 43.7062362552 -42 25 25.660073172|340.5302921203328 +03.6586941900254|   0.802 -2.982   |10.2     |B3                |    ~     ~    |    1| 1059.322   pc  | -17.0569    +17.0569  |paral   |2020yCat.1350....0G
94  |HD 149051                                                                                                |Star                                  |16 34 12.3772628352 -42 45 34.712414064|340.3422900387469 +03.3666043098813| -4.176 -19.220   |8.96     |A0III             |    ~     ~    |    1|  263.776   pc  |  -1.3707     +1.3707  |paral   |2020yCat.1350....0G
95  |HD 325738                                                                                                |Pulsating Variable                    |16 34 23.2953179928 -42 37 40.481736600|340.4621515903398 +03.4310609671493|  -0.447 -2.302   |10.46    |B9                |    ~     ~    |    1|  603.865   pc  |  -6.1626     +6.1626  |paral   |2020yCat.1350....0G
