C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
101 |HD 295153                                                             |Star                                  |06 33 14.7736149384 -02 53 00.066590052|213.4301973382163 -05.3602503392383|  -6.343 -1.112   |9.16     |M0                |    ~     ~    |    1|  795.292   pc  | -14.3575    +14.3575    |paral   |2020yCat.1350....0G
102 |HD 295118                                                             |Star                                  |06 30 06.5213666136 -03 17 04.576810308|213.4326082023936 -06.2402921367632|    0.595 5.848   |9.10     |G5                |    ~     ~    |    1|  514.139   pc  | -13.1641    +13.1641    |paral   |2020yCat.1350....0G
103 |HD 295138                                                             |Star                                  |06 30 10.8869288544 -04 15 04.564179108|214.3084361417205 -06.6614558557950|    3.051 1.035   |9.34     |K7                |    ~     ~    |    1|  467.792   pc  |  -4.0046     +4.0046    |paral   |2020yCat.1350....0G
104 |BD-02 1637                                                            |Star                                  |06 30 17.2439098824 -02 53 27.829287348|213.1001869726301 -06.0220684397287|  -5.285 -5.128   |10.44    |~                 |    ~     ~    |    1|  575.506   pc  |  -5.3656     +5.3656    |paral   |2020yCat.1350....0G
105 |HD 295119                                                             |Star                                  |06 30 28.0356527184 -03 15 25.175060424|213.4486493659937 -06.1480004251565|-17.788 -41.005   |10.25    |K7                |    ~     ~    |    1|  196.533   pc  |  -0.5562     +0.5562    |paral   |2020yCat.1350....0G
106 |BD-05 1665                                                            |Red Giant Branch star Candidate       |06 31 05.6604263592 -05 13 20.350635996|215.2845452682118 -06.8963147108324|  -5.577 -0.794   |9.35     |~                 |    ~     ~    |    1|  472.567   pc  |  -3.5508     +3.5508    |paral   |2020yCat.1350....0G
107 |HD 295113                                                             |Star                                  |06 31 12.4395508464 -03 00 42.852060180|213.3132230526324 -05.8722135549385|  -14.634 4.220   |9.78     |G0                |    ~     ~    |    1|  180.102   pc  |  -0.6844     +0.6844    |paral   |2020yCat.1350....0G
108 |HD 295141                                                             |Star                                  |06 31 32.8633630992 -04 34 38.830889460|214.7561891962233 -06.5048458343403| -8.494 -16.468   |10.15    |F5                |    ~     ~    |    1|  286.459   pc  |  -2.3879     +2.3879    |paral   |2020yCat.1350....0G
109 |BD-04 1556                                                            |Star                                  |06 32 25.4840776416 -04 40 51.676237452|214.9484374848991 -06.3565578104678|   4.192 -1.613   |10.22    |~                 |    ~     ~    |    1| 1134.301   pc  | -28.6921    +28.6921    |paral   |2020yCat.1350....0G
110 |HD 295159                                                             |Star                                  |06 33 34.4347284000 -03 07 22.423336356|213.6818926434129 -05.3960244909553| -0.429 -13.002   |10.04    |F2                |    ~     ~    |    1|  464.576   pc  |  -3.8634     +3.8634    |paral   |2020yCat.1350....0G
111 |HD 295112                                                             |Star                                  |06 30 51.2538752856 -03 02 06.759002472|213.2939076207364 -05.9613464602033|  -2.005 -0.864   |10.40    |F8                |    ~     ~    |    1|  674.309   pc  |  -7.2296     +7.2296    |paral   |2020yCat.1350....0G
112 |HD 295122                                                             |Star                                  |06 31 04.9750834536 -03 26 53.046002976|213.6899812618440 -06.0976038119653|  -4.455 10.576   |10.72    |G5                |    ~     ~    |    1|  420.292   pc  |  -2.7733     +2.7733    |paral   |2020yCat.1350....0G
113 |HD 295123                                                             |Star                                  |06 30 26.2775408784 -03 35 33.628796736|213.7463608171909 -06.3065766903880|   1.605 -1.001   |10.59    |A0                |    ~     ~    |    1| 1017.501   pc  | -21.5344    +21.5344    |paral   |2020yCat.1350....0G
114 |HD 295127                                                             |Star                                  |06 30 58.5198179448 -03 47 11.501197116|213.9813144568620 -06.2747653344766|  -6.803 -0.133   |10.52    |A7                |    ~     ~    |    1|  529.773   pc  |  -8.9530     +8.9530    |paral   |2020yCat.1350....0G
115 |HD 295128                                                             |Star                                  |06 30 34.5886595084 -03 50 55.192535856|213.9917827479573 -06.3916042353064|-18.939 -22.744   |10.35    |K2                |    ~     ~    |    0|                |                         |        |                   
116 |HD 295139                                                             |Star                                  |06 30 55.2356769432 -04 13 38.191303884|214.3706834451682 -06.4862099092656| -1.783 -14.570   |9.69     |K2                |    ~     ~    |    1|  561.136   pc  |  -8.9424     +8.9424    |paral   |2020yCat.1350....0G
117 |HD 295147                                                             |Star                                  |06 31 12.5244994776 -04 44 41.915076036|214.8683317907462 -06.6558014866286|  -1.723 -3.460   |10.42    |A3                |    ~     ~    |    1|  536.308   pc  |  -9.5780     +9.5780    |paral   |2020yCat.1350....0G
118 |HD 295155                                                             |Star                                  |06 32 20.2462860384 -02 52 21.816708960|213.3172370811667 -05.5576251073019|  -1.346 -7.669   |10.82    |F8                |    ~     ~    |    1|  474.136   pc  |  -3.7093     +3.7093    |paral   |2020yCat.1350....0G
119 |HD 295162                                                             |Star                                  |06 33 19.9533885144 -03 19 31.334425644|213.8357460733811 -05.5415224069873|       -7.2 0.7   |10.54    |A3                |    ~     ~    |    0|                |                         |        |                   
120 |HD 295166                                                             |Star                                  |06 32 24.9546279240 -03 58 01.262366940|214.3067031572221 -06.0359611532450|   -2.672 4.147   |10.93    |A0                |    ~     ~    |    1|  594.460   pc  | -19.3653    +19.3653    |paral   |2020yCat.1350....0G
121 |HD 295168                                                             |Star                                  |06 33 41.6355557616 -03 59 07.983211812|214.4682629889965 -05.7600817791069|  -29.453 6.458   |10.19    |F8                |    ~     ~    |    1|  148.772   pc  |  -0.5201     +0.5201    |paral   |2020yCat.1350....0G
122 |HD 295173                                                             |Star                                  |06 31 52.6286994552 -04 12 51.267297204|214.4674086080584 -06.2675627539616|   1.199 -1.330   |10.47    |K0                |    ~     ~    |    1|  345.054   pc  |  -2.9170     +2.9170    |paral   |2020yCat.1350....0G
123 |HD 295178                                                             |Star                                  |06 32 45.4882921152 -04 50 11.645984292|215.1258190661914 -06.3525968781426|   -1.778 2.131   |10.77    |A3                |    ~     ~    |    1|  874.891   pc  | -23.0396    +23.0396    |paral   |2020yCat.1350....0G
124 |HD 295181                                                             |Star                                  |06 33 37.7652176112 -04 50 55.719992724|215.2352997010979 -06.1644108676892|  -5.714 -2.345   |9.85     |A2                |    ~     ~    |    1|  277.986   pc  |  -1.5610     +1.5610    |paral   |2020yCat.1350....0G
125 |HD 295154                                                             |Star                                  |06 32 30.0921999336 -02 47 54.812965776|213.2695252087375 -05.4874509560957| -0.471 -17.991   |9.43     |K2                |    ~     ~    |    1|  658.198   pc  |  -6.8883     +6.8883    |paral   |2020yCat.1350....0G
126 |HD 295114                                                             |Star                                  |06 31 25.4181408240 -02 59 51.683753544|213.3251151036680 -05.8176388091219|    0.400 8.584   |9.480    |F8                |    ~     ~    |    1|  333.233   pc  |  -2.0765     +2.0765    |paral   |2020yCat.1350....0G
127 |HD 295172                                                             |Star                                  |06 32 55.2098988720 -04 07 45.279953472|214.5093762259594 -05.9971620184557|   -4.946 3.385   |9.791    |K0                |    ~     ~    |    1|  651.636   pc  |  -6.7516     +6.7516    |paral   |2020yCat.1350....0G
128 |TYC 4806-739-1                                                        |Star                                  |06 32 42.3312509904 -04 19 19.370388324|214.6580105015420 -06.1320370697201|  -7.097 -1.645   |10.33    |~                 |    ~     ~    |    1|  791.578   pc  |  -9.4616     +9.4616    |paral   |2020yCat.1350....0G
129 |TYC 4806-1179-1                                                       |Star                                  |06 32 43.2197211240 -04 37 02.031843612|214.9246077561613 -06.2620417104147|  -2.876 -4.527   |10.82    |~                 |    ~     ~    |    1|  503.322   pc  |  -5.3707     +5.3707    |paral   |2020yCat.1350....0G
130 |TYC 4806-1426-1                                                       |Star                                  |06 33 24.1765367880 -04 58 30.993923856|215.3232474413692 -06.2717961297490|  -0.543 -7.611   |10.91    |~                 |    ~     ~    |    1|  487.496   pc  |  -7.9613     +7.9613    |paral   |2020yCat.1350....0G
131 |TYC 4806-1518-1                                                       |Star                                  |06 33 01.7365170360 -05 05 38.559129360|215.3876730460669 -06.4084737004267|-37.808 -22.185   |10.19    |~                 |    ~     ~    |    1|  214.850   pc  |  -0.8447     +0.8447    |paral   |2020yCat.1350....0G
132 |TYC 4806-1589-1                                                       |Star                                  |06 31 00.6982527312 -05 08 16.799133120|215.1993697344339 -06.8767374209261|   -9.931 9.184   |10.18    |~                 |    ~     ~    |    1|   98.293   pc  |  -0.1420     +0.1420    |paral   |2020yCat.1350....0G
133 |TYC 4806-1628-1                                                       |Star                                  |06 31 32.7359558038 -05 07 15.846157543|215.2444472635013 -06.7504023974067|  -5.327 -1.929   |10.60    |~                 |    ~     ~    |    1|  331.038   pc  |  -1.9506     +1.9506    |paral   |2020yCat.1350....0G
134 |TYC 4806-2141-1                                                       |Star                                  |06 31 58.2530605872 -05 20 01.651887384|215.4837199446810 -06.7516430638432|  -13.271 1.309   |10.36    |~                 |    ~     ~    |    1|  240.842   pc  |  -0.8991     +0.8991    |paral   |2020yCat.1350....0G
