C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |HD 210630                                                                                                |Spectroscopic Binary               |22 10 44.6817905160 +42 44 11.784915600|094.0759810288880 -10.9545608694416|  22.013 -1.065   |7.82     |A2                  |    ~     ~    |    1|  184.434   pc  |  -1.0035     +1.0035  |paral   |2020yCat.1350....0G
82  |HD 210666                                                                                                |Star                               |22 11 03.7127999040 +43 01 50.455281648|094.2989004038382 -10.7498058408374|-25.816 -20.325   |6.76     |K0                  |    ~     ~    |    1|  227.619   pc  |  -0.7564     +0.7564  |paral   |2020yCat.1350....0G
83  |BD+42 4316                                                                                               |Star                               |22 11 04.2961213704 +43 06 16.276082076|094.3442079878061 -10.6908684183625|  16.142 -2.452   |10.80    |G                   |    ~     ~    |    1|  243.487   pc  |  -4.9504     +4.9504  |paral   |2020yCat.1350....0G
84  |HD 210682                                                                                                |Star                               |22 11 09.6448462896 +43 31 39.130207500|094.6083758714870 -10.3565809812883| -0.754 -39.087   |7.38     |K2                  |    ~     ~    |    1|  171.468   pc  |  -0.5204     +0.5204  |paral   |2020yCat.1350....0G
85  |BD+42 4321                                                                                               |Star                               |22 11 33.2392985400 +43 27 44.638928676|094.6288111631401 -10.4510531035325|   37.758 2.011   |9.51     |F8                  |    ~     ~    |    1|  206.522   pc  |  -0.5033     +0.5033  |paral   |2020yCat.1350....0G
86  |BD+42 4329                                                                                               |Pulsating Variable                 |22 13 22.8470444760 +43 22 27.588303768|094.8521306658768 -10.7148868923401|  -0.664 -4.961   |9.16     |B8                  |    ~     ~    |    1|  546.060   pc  | -10.3171    +10.3171  |paral   |2020yCat.1350....0G
87  |HD 211211                                                                                                |High Proper Motion Star            |22 14 44.3613363960 +42 57 14.038829388|094.8125151542889 -11.2013233158983| 49.458 -21.212   |5.720    |A2Vnn               |    ~     ~    |    1|   82.205   pc  |  -0.4284     +0.4284  |paral   |2020yCat.1350....0G
88  |BD+41 4405                                                                                               |Star                               |22 10 22.7221651752 +42 40 04.282043664|093.9794583562785 -10.9709421754793|    2.215 2.142   |10.64    |F8                  |    ~     ~    |    1|  501.807   pc  | -14.4287    +14.4287  |paral   |2020yCat.1350....0G
89  |BD+41 4406                                                                                               |Star                               |22 10 26.6930241096 +42 25 55.411289976|093.8487190001546 -11.1691501423939|   5.001 -6.912   |10.17    |A2                  |    ~     ~    |    1|  491.400   pc  |  -3.7670     +3.7670  |paral   |2020yCat.1350....0G
90  |BD+41 4408                                                                                               |Star                               |22 10 35.6354108784 +42 41 43.488424788|094.0285557115487 -10.9717671241537|   13.217 6.975   |9.34     |F0                  |    ~     ~    |    1|  240.772   pc  |  -1.2290     +1.2290  |paral   |2020yCat.1350....0G
