C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:18:19

dec< 0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1445|HD 3205                                                                                                  |Star                                |00 35 16.0827760680 -02 46 26.170766940|113.2159771869718 -65.3401979884722| -9.902 -18.914   |8.77     |K1III             |    ~     ~    |    1|  444.761   pc  |  -4.7475     +4.7475  |paral   |2020yCat.1350....0G
1446|BD-03 75                                                                                                 |Star                                |00 38 17.4243106800 -02 37 57.445796748|115.0529770650372 -65.3030472504450|  13.573 -4.211   |10.585   |~                 |    ~     ~    |    1|  176.900   pc  |  -1.9770     +1.9770  |ST-L    |2020AJ....160...83S
1447|BD-03 95                                                                                                 |Star                                |00 44 44.8659705912 -02 37 03.194845860|118.9099010281869 -65.4370428982346|-25.744 -28.088   |10.14    |~                 |    ~     ~    |    1|  255.728   pc  |  -1.1314     +1.1314  |paral   |2020yCat.1350....0G
1448|HD 3056                                                                                                  |Star                                |00 33 52.2882003816 -00 11 28.401002592|113.3099785047543 -62.7343352795268|   6.400 -8.882   |9.92     |K1(III)           |    ~     ~    |    1|  614.213   pc  |  -6.1870     +6.1870  |paral   |2020yCat.1350....0G
1449|BD-01 64                                                                                                 |Star                                |00 34 09.3993912576 -00 31 42.296608056|113.3549018999222 -63.0783754816174|   12.862 3.834   |10.368   |K2                |    ~     ~    |    1| 1629.760   pc  |-207.6000   +207.6000  |ST-L    |2020AJ....160...83S
1450|HD 3230                                                                                                  |Star                                |00 35 29.5189355496 -01 05 11.407273404|113.9129796140186 -63.6786694237832| 19.030 -16.724   |9.33     |G6V               |    ~     ~    |    1|  222.752   pc  |  -1.0172     +1.0172  |paral   |2020yCat.1350....0G
1451|* 14 Cet                                                                                                 |High Proper Motion Star             |00 35 32.8334053776 -00 30 20.198722752|114.1223985785514 -63.1052335504589|143.173 -62.295   |5.936    |F5V               |    ~     ~    |    1|   57.412   pc  |  -0.1035     +0.1035  |paral   |2020yCat.1350....0G
1452|BD-01 69                                                                                                 |High Proper Motion Star             |00 35 33.8382957000 -00 24 50.574970656|114.1590447751085 -63.0150919496141|-59.632 -112.701  |10.07    |G                 |    ~     ~    |    1|  124.594   pc  |  -0.2468     +0.2468  |paral   |2020yCat.1350....0G
1453|HD 3271                                                                                                  |Star                                |00 35 49.2331246272 -00 53 54.097314108|114.1541191743328 -63.5036275201000|  -0.929 -5.365   |8.43     |K2III             |    ~     ~    |    1|  620.655   pc  | -12.4424    +12.4424  |paral   |2020yCat.1350....0G
1454|HD 3168                                                                                                  |Spectroscopic Binary                |00 34 55.9965249253 -01 18 36.878779716|113.5279779470912 -63.8802296684606| 11.265 -20.595   |8.70     |F8V               |    ~     ~    |    1|  116.37    pc  |  -1.3054     +1.3054  |paral   |2018yCat.1345....0G
1455|HD 3231                                                                                                  |High Proper Motion Star             |00 35 32.7073050840 -02 03 58.295793096|113.6243968074443 -64.6503487443503| 157.839 -4.159   |9.51     |K1V               |    ~     ~    |    1|   49.890   pc  |  -0.0411     +0.0411  |paral   |2020yCat.1350....0G
1456|HD 3100                                                                                                  |High Proper Motion Star             |00 34 15.4852030200 -02 23 53.731423788|112.7606935826921 -64.9301868308730|-23.742 -120.921  |8.53     |G1/2V             |    ~     ~    |    1|   78.007   pc  |  -0.4446     +0.4446  |ST-L    |2020AJ....160...83S
1457|HD 3306                                                                                                  |Star                                |00 36 07.8848420616 -02 18 26.057862000|113.8842928227956 -64.9097557309886|  0.268 -15.428   |9.64     |K1/2(III)         |    ~     ~    |    1|  551.663   pc  |  -5.5084     +5.5084  |paral   |2020yCat.1350....0G
1458|BD-03 65                                                                                                 |Star                                |00 33 51.9725483040 -02 14 46.517906832|112.5900178219783 -64.7645817968246|   2.386 -4.568   |10.842   |~                 |    ~     ~    |    1|  176.441   pc  |  -2.0590     +2.0590  |ST-L    |2020AJ....160...83S
1459|BD-00 91                                                                                                 |Star                                |00 37 16.7795608560 -00 01 55.347236256|115.1983607125587 -62.6910014062985|  23.602 -4.035   |10.21    |K0                |    ~     ~    |    1|  273.254   pc  |  -1.3440     +1.3440  |paral   |2020yCat.1350....0G
1460|HD 3675                                                                                                  |High Proper Motion Star             |00 39 35.1609812928 -00 09 45.412454556|116.4200528778867 -62.8844149481916|124.884 -52.087   |10.09    |G8(V)             |    ~     ~    |    1|   85.666   pc  |  -0.1504     +0.1504  |paral   |2020yCat.1350....0G
1461|BD-00 97                                                                                                 |Star                                |00 39 50.7082855584 -00 06 19.283608260|116.5738706013488 -62.8339040190624|    5.638 3.227   |10.4     |M0                |    ~     ~    |    1| 1186.240   pc  | -30.9576    +30.9576  |paral   |2020yCat.1350....0G
1462|HD 3729                                                                                                  |Spectroscopic Binary                |00 40 05.3931476184 -00 15 41.239524348|116.6740843579029 -62.9952379917001|-12.320 -26.202   |10.5     |F2V               |    ~     ~    |    1|  272.829   pc  |  -5.6869     +5.6869  |paral   |2020yCat.1350....0G
1463|BD-00 99                                                                                                 |High Proper Motion Star             |00 40 49.8816152376 -00 04 07.322419380|117.1189300478829 -62.8206740760085|32.076 -130.575   |10.20    |G0                |    ~     ~    |    1|  238.158   pc  |  -1.1571     +1.1571  |paral   |2020yCat.1350....0G
1464|HD 3937                                                                                                  |Star                                |00 41 56.6213795592 -00 01 19.702257564|117.7339682934434 -62.7980270907336|  22.945 17.315   |9.62     |F3V               |    ~     ~    |    1|  212.062   pc  |  -0.8185     +0.8185  |paral   |2020yCat.1350....0G
1465|HD 3993                                                                                                  |High Proper Motion Star             |00 42 28.1494037760 -00 06 06.676612560|118.0071795617578 -62.8878108003860|-62.794 -58.376   |10.10    |F8/G0V            |    ~     ~    |    1|  213.438   pc  |  -0.9339     +0.9339  |paral   |2020yCat.1350....0G
1466|HD 4060                                                                                                  |High Proper Motion Star             |00 42 57.6217126392 -00 10 07.149133920|118.2653177189833 -62.9635607879981|-25.582 -58.416   |9.99     |G0/2V             |    ~     ~    |    1|  144.344   pc  |  -0.5605     +0.5605  |paral   |2020yCat.1350....0G
1467|BD-00 107                                                                                                |Star                                |00 44 21.8187034128 -00 03 23.804680140|119.0505675353285 -62.8750346506246| 25.639 -27.367   |10.26    |K0                |    ~     ~    |    1|  726.744   pc  |  -9.3484     +9.3484  |paral   |2020yCat.1350....0G
1468|HD 3350                                                                                                  |Star                                |00 36 24.4155099744 -00 34 55.389575424|114.5716488162568 -63.2095518536176| 13.455 -21.186   |9.43     |F5V               |    ~     ~    |    1|  142.611   pc  |  -1.2243     +1.2243  |paral   |2020yCat.1350....0G
1469|HD 3435                                                                                                  |High Proper Motion Star             |00 37 09.6381290808 -00 51 58.389776820|114.9081117958228 -63.5153205418910|-12.929 -50.414   |9.30     |F2/3V             |    ~     ~    |    1|  232.628   pc  |  -1.0715     +1.0715  |paral   |2020yCat.1350....0G
1470|HD 3470                                                                                                  |Star                                |00 37 35.2338389496 -00 19 31.474665012|115.2890929510160 -62.9914385169595| -14.468 -3.711   |9.66     |G3V               |    ~     ~    |    1|  230.351   pc  |  -4.2821     +4.2821  |paral   |2020yCat.1350....0G
1471|* 15 Cet                                                                                                 |Star                                |00 38 04.5424302192 -00 30 12.700979820|115.5111317080069 -63.1825870264154|-42.032 -10.345   |6.64     |K1III             |    ~     ~    |    1|  252.430   pc  |  -1.3764     +1.3764  |paral   |2020yCat.1350....0G
1472|HD 3534                                                                                                  |High Proper Motion Star             |00 38 19.2935600688 -00 57 19.745102268|115.5316136243835 -63.6386110324040| 86.533 -29.887   |9.16     |F7V               |    ~     ~    |    1|  137.516   pc  |  -0.3480     +0.3480  |paral   |2020yCat.1350....0G
1473|HD 3618                                                                                                  |Spectroscopic Binary                |00 38 59.0297968440 -01 09 49.728725928|115.8507003482386 -63.8641974899756|  2.475 106.848   |9.70     |G6V               |    ~     ~    |    1|   79.110   pc  |  -0.2291     +0.2291  |paral   |2020yCat.1350....0G
1474|HD 3662                                                                                                  |High Proper Motion Star             |00 39 25.8774293280 -00 43 44.885704260|116.2060814128464 -63.4439790275899| 46.325 -22.627   |10.27    |G6                |    ~     ~    |    1|  105.839   pc  |  -0.2946     +0.2946  |paral   |2020yCat.1350....0G
1475|HD 3676                                                                                                  |Star                                |00 39 31.3421104752 -00 58 51.560423256|116.1979307333264 -63.6968340354406| 29.552 -25.718   |9.91     |G8IV/V            |    ~     ~    |    1|  652.273   pc  |  -8.0837     +8.0837  |paral   |2020yCat.1350....0G
1476|HD 3691                                                                                                  |Star                                |00 39 44.0099188368 -00 31 56.621177796|116.4186259451900 -63.2560281392723|  17.500 -0.634   |10.8     |A2/3V             |    ~     ~    |    1|  766.871   pc  | -34.2269    +34.2269  |paral   |2020yCat.1350....0G
1477|BD-01 82                                                                                                 |Star                                |00 40 35.4024617376 -00 23 16.710849600|116.9222973994194 -63.1330752173250| -0.972 -24.804   |9.7      |K                 |    ~     ~    |    1|  150.152   pc  |  -4.3175     +4.3175  |paral   |2020yCat.1350....0G
1478|HD 3820                                                                                                  |Variable Star                       |00 40 51.2713286400 -00 57 44.201603268|116.9500930616980 -63.7110376095792|  -27.221 3.509   |10.09    |F3V               |    ~     ~    |    1|  277.100   pc  |  -2.1423     +2.1423  |paral   |2020yCat.1350....0G
1479|HD 3831                                                                                                  |High Proper Motion Star             |00 40 57.3139300008 -00 16 39.520752348|117.1454072947039 -63.0315564430750|  97.852 32.296   |9.76     |F6/7V             |    ~     ~    |    1|  189.973   pc  |  -0.7795     +0.7795  |paral   |2020yCat.1350....0G
1480|BD-01 85                                                                                                 |Star                                |00 41 25.7272590048 -00 26 18.367688220|117.3749321891392 -63.2021374331025|-11.120 -28.458   |10.4     |G0                |    ~     ~    |    1|  277.431   pc  |  -2.0243     +2.0243  |paral   |2020yCat.1350....0G
1481|HD 3952                                                                                                  |Star                                |00 42 07.8933877368 -01 12 14.096096784|117.6234646118470 -63.9797001682003|   13.536 9.815   |9.55     |G8IV              |    ~     ~    |    1|  793.588   pc  | -12.0288    +12.0288  |paral   |2020yCat.1350....0G
1482|HD 4008                                                                                                  |High Proper Motion Star             |00 42 37.4161201776 -00 20 40.008344676|118.0513526927770 -63.1326370211718|  68.369 22.872   |8.57     |K0III             |    ~     ~    |    1|  317.309   pc  |  -2.6581     +2.6581  |paral   |2020yCat.1350....0G
1483|HD 4096                                                                                                  |High Proper Motion Star             |00 43 24.6231636240 -00 53 40.821815868|118.3998786549970 -63.6957590694503|-116.673 -222.755 |9.25     |G3V               |    ~     ~    |    1|   70.535   pc  |  -0.0891     +0.0891  |paral   |2020yCat.1350....0G
1484|TYC 4673-156-1                                                                                           |Star                                |00 43 24.7267890624 -00 52 52.654916280|118.4029725812907 -63.6824428393997|    2.872 4.817   |10.5     |~                 |    ~     ~    |    1|  469.175   pc  |  -3.9623     +3.9623  |paral   |2020yCat.1350....0G
1485|HD 4204                                                                                                  |Star                                |00 44 28.7333314752 -00 43 05.314370808|119.0256674275966 -63.5370970445074|  -7.556 -6.204   |9.85     |G8/K0III/IV       |    ~     ~    |    1|  681.106   pc  |  -8.0720     +8.0720  |paral   |2020yCat.1350....0G
1486|HD 4205                                                                                                  |Double or Multiple Star             |00 44 31.751088 -01 03 39.64824        |119.006948620 -63.880097799        |     72.9 -33.5   |9.67     |G5V               |    ~     ~    |    0|                |                       |        |                   
1487|HD 3521                                                                                                  |Star                                |00 38 12.6616894080 -01 42 39.531256884|115.2677943235951 -64.3857232925010|-21.296 -30.579   |9.30     |F0V               |    ~     ~    |    1|  213.941   pc  |  -2.7740     +2.7740  |ST-L    |2020AJ....160...83S
1488|HD 3643                                                                                                  |Star                                |00 39 12.4325870928 -01 31 23.083070448|115.8876450646182 -64.2274149470543|  -2.827 -7.721   |9.67     |F6V               |    ~     ~    |    1|  290.934   pc  |  -1.5913     +1.5913  |paral   |2020yCat.1350....0G
1489|HD 3862                                                                                                  |High Proper Motion Star             |00 41 10.9782198864 -01 31 18.562575432|117.0188094624695 -64.2757691505327|58.131 -142.368   |8.49     |K1V               |    ~     ~    |    1|   34.132   pc  |  -0.0323     +0.0323  |paral   |2020yCat.1350....0G
1490|HD 3895                                                                                                  |High Proper Motion Star             |00 41 32.9381700480 -01 17 59.016978492|117.2736443229781 -64.0627781108821| 47.033 -18.605   |8.62     |F5V               |    ~     ~    |    1|  185.629   pc  |  -2.5464     +2.5464  |paral   |2020yCat.1350....0G
1491|BD-02 98                                                                                                 |Star                                |00 43 52.4730206448 -01 28 54.982718652|118.5714044437425 -64.2896327592032|-10.763 -28.839   |10.02    |K2                |    ~     ~    |    1|  491.811   pc  |  -4.4022     +4.4022  |paral   |2020yCat.1350....0G
1492|HD 3652                                                                                                  |Star                                |00 39 18.8642059512 -01 58 03.422695008|115.8364212990841 -64.6722117040495| 20.452 -13.351   |8.27     |F0V               |    ~     ~    |    1|  104.625   pc  |  -0.5473     +0.5473  |paral   |2018yCat.1345....0G
1493|HD 3730                                                                                                  |High Proper Motion Star             |00 40 05.2994070456 -01 46 48.021510756|116.3309486158810 -64.5061921012350|147.819 -39.318   |10.00    |G5V               |    ~     ~    |    1|  115.411   pc  |  -0.2637     +0.2637  |paral   |2020yCat.1350....0G
1494|HD 3779                                                                                                  |High Proper Motion Star             |00 40 32.2664469384 -01 46 15.671949024|116.5926700765207 -64.5085201209819|-59.738 -63.349   |8.51     |G1/2V             |    ~     ~    |    1|  114.441   pc  |  -0.3038     +0.3038  |paral   |2020yCat.1350....0G
1495|HD 3806                                                                                                  |Star                                |00 40 42.8094651216 -01 51 03.009733200|116.6762170224067 -64.5922430805565|  6.905 -18.251   |10.022   |F5/7V             |    ~     ~    |    1|  298.856   pc  |  -6.4680     +6.4680  |ST-L    |2020AJ....160...83S
1496|HD 4258                                                                                                  |Spectroscopic Binary                |00 44 59.9324049432 -02 07 53.366732940|119.1295558963144 -64.9556892217396|  14.686 22.106   |10.01    |F2V               |    ~     ~    |    1|  239.630   pc  |  -4.6168     +4.6168  |paral   |2020yCat.1350....0G
1497|HD 3746                                                                                                  |Star                                |00 40 15.6058960392 -02 25 58.623146832|116.2734540887989 -65.1600888736791| 11.472 -35.263   |10.277   |F6/8V             |    ~     ~    |    1|  306.037   pc  |  -5.7290     +5.7290  |ST-L    |2020AJ....160...83S
1498|HD 3832                                                                                                  |Star                                |00 40 51.7268435544 -02 18 37.267389396|116.6581136820339 -65.0531925158127|   12.625 0.601   |10.132   |A5/7II            |    ~     ~    |    1|  292.497   pc  |  -6.2810     +6.2810  |ST-L    |2020AJ....160...83S
1499|HD 4009                                                                                                  |Star                                |00 42 37.9179275088 -02 12 48.957448608|117.7214893879896 -64.9962215072745|   8.827 -5.089   |9.52     |F2V               |    ~     ~    |    1|  204.587   pc  |  -1.6031     +1.6031  |paral   |2020yCat.1350....0G
1500|HD 4165                                                                                                  |Long-Period Variable                |00 44 08.5063508976 -02 14 45.210951636|118.6067127935355 -65.0563486108807| -9.189 -16.341   |9.20     |M3III             |    ~     ~    |    1| 1176.056   pc  | -48.2704    +48.2704  |paral   |2020yCat.1350....0G
1501|HD 4196                                                                                                  |High Proper Motion Star             |00 44 21.8690070528 -02 24 45.673083900|118.7124293440673 -65.2264676238482| -27.372 58.895   |10.06    |G5/6V             |    ~     ~    |    1|  118.625   pc  |  -1.4030     +1.4030  |paral   |2020yCat.1350....0G
1502|HD 4217                                                                                                  |Star                                |00 44 35.2132990992 -02 13 52.528637568|118.8720399799810 -65.0489861169490| -6.581 -13.448   |10.51    |A9V               |    ~     ~    |    1|  274.288   pc  |  -1.8508     +1.8508  |paral   |2020yCat.1350....0G
1503|NGC 237                            NGC 237                                                               |Active Galaxy Nucleus               |00 43 27.8628000144 -00 07 29.805209400|118.5484189209602 -62.9288094246953|            ~ ~   |13.06    |~                 |0.763 0.519    |    1|   51.29    Mpc |  -5.08       +5.08    |T-F     |2020ApJ...902..145K
1504|NGC 227                            NGC 227                                                               |Galaxy towards a Group of Galaxies  |00 42 36.840 -01 31 43.62              |117.838952 -64.313239              |            ~ ~   |     ~   |~                 |1.113 0.846    |    1|   64.57    Mpc |                       |        |2016AJ....152...50T
1505|BD-03 72                                                                                                 |Star                                |00 36 35.1774000408 -02 28 06.415000644|114.0977240502147 -65.0851434118130|   0.872 -5.192   |10.144   |~                 |    ~     ~    |    1|  407.837   pc  | -11.4400    +11.4400  |ST-L    |2020AJ....160...83S
1506|BD-03 74                                                                                                 |Star                                |00 37 31.5960774864 -02 15 34.807201380|114.7138028487585 -64.9092087039031|  -2.474 -7.506   |10.789   |~                 |    ~     ~    |    1|  518.292   pc  | -21.6400    +21.6400  |ST-L    |2020AJ....160...83S
1507|BD-02 85                                                                                                 |Star                                |00 39 26.3976538656 -02 02 23.467502292|115.8908817435414 -64.7474489663060|  22.214 -6.061   |10.47    |~                 |    ~     ~    |    1|  486.050   pc  |  -3.7327     +3.7327  |paral   |2020yCat.1350....0G
1508|BD-02 88                                                                                                 |Star                                |00 40 34.8270975480 -02 11 42.448125408|116.5193028873516 -64.9316002131810|  10.948 -5.741   |10.666   |~                 |    ~     ~    |    1|  529.199   pc  | -17.5400    +17.5400  |ST-L    |2020AJ....160...83S
1509|BD-03 85                                                                                                 |High Proper Motion Star             |00 41 33.2093603832 -02 23 00.026740212|117.0500787137598 -65.1421436084214|-16.089 -53.160   |10.48    |~                 |    ~     ~    |    1|  195.492   pc  |  -0.9860     +0.9860  |paral   |2020yCat.1350....0G
1510|TYC 4672-324-1                                                                                           |Star                                |00 36 41.6672517336 -01 54 52.784662248|114.3362396212416 -64.5400684862069|  10.500 30.286   |10.761   |~                 |    ~     ~    |    1|  165.306   pc  |  -3.5150     +3.5150  |ST-L    |2020AJ....160...83S
1511|TYC 4672-667-1                                                                                           |Star                                |00 37 00.0721350936 -01 12 41.199738480|114.7210542509188 -63.8527993144263|-17.421 -22.958   |10.33    |~                 |    ~     ~    |    1|  287.588   pc  |  -1.5466     +1.5466  |paral   |2020yCat.1350....0G
1512|TYC 4672-783-1                                                                                           |Star                                |00 35 42.5419234320 -01 32 26.385445500|113.8908331927194 -64.1359547099670|-14.302 -10.497   |10.33    |~                 |    ~     ~    |    1|  299.805   pc  | -21.5090    +21.5090  |paral   |2020yCat.1350....0G
1513|TYC 4672-1015-1                                                                                          |Star                                |00 38 23.8141262160 -00 10 15.836706804|115.7697840289746 -62.8613219705423|  8.995 -22.104   |10.9     |~                 |    ~     ~    |    1|  308.957   pc  |  -2.0904     +2.0904  |paral   |2020yCat.1350....0G
1514|TYC 4673-114-1                                                                                           |Star                                |00 44 17.4900130896 -00 34 11.393455224|118.9413637702781 -63.3861935095045|   43.724 7.624   |10.8     |~                 |    ~     ~    |    1|  286.492   pc  |  -1.6498     +1.6498  |paral   |2020yCat.1350....0G
1515|TYC 4673-798-1                                                                                           |Star                                |00 41 50.0923171776 -01 22 31.932839460|117.4216031154132 -64.1444932724663|    0.518 1.630   |10.60    |~                 |    ~     ~    |    1| 1125.619   pc  | -21.0325    +21.0325  |paral   |2020yCat.1350....0G
1516|TYC 4673-548-1                                                                                           |Star                                |00 44 09.5304350880 -01 38 12.668874648|118.7114284538325 -64.4489338842453|  -4.352 -5.459   |10.76    |~                 |    ~     ~    |    1| 1676.446   pc  | -61.8304    +61.8304  |paral   |2020yCat.1350....0G
1517|CD-51 180                                                                                                |Star                                |00 42 58.2295412208 -50 43 09.952076712|306.2745271643511 -66.3538309152681|  20.539 -0.584   |10.095   |F2                |    ~     ~    |    1|  192.074   pc  |  -2.1700     +2.1700  |ST-L    |2020AJ....160...83S
1518|CD-51 181                                                                                                |High Proper Motion Star             |00 43 10.3475767968 -50 36 04.758279912|306.2187596015246 -66.4741488175567| 40.194 -33.280   |9.30     |~                 |    ~     ~    |    1|  504.999   pc  |  -3.5193     +3.5193  |paral   |2020yCat.1350....0G
1519|HD 4172                                                                                                  |Star                                |00 43 33.9990783984 -51 17 44.993367564|305.9328570366681 -65.7865325127578|  15.380 -4.176   |9.808    |K1/2(III)         |    ~     ~    |    1| 1065.300   pc  | -56.6500    +56.6500  |ST-L    |2020AJ....160...83S
1520|HD 4171                                                                                                  |Star                                |00 43 35.8599805248 -50 58 35.698831932|305.9795651311330 -66.1052499839020| -15.745 -6.776   |8.66     |F2V               |    ~     ~    |    1|  239.728   pc  |  -1.0919     +1.0919  |paral   |2020yCat.1350....0G
1521|HD 4240                                                                                                  |Spectroscopic Binary                |00 44 15.1074979584 -51 07 12.568367820|305.7016957085236 -65.9694306913443|-31.092 -37.677   |9.936    |G6V               |    ~     ~    |    1|  148.684   pc  |  -1.7710     +1.7710  |ST-L    |2020AJ....160...83S
1522|CD-52 124                                                                                                |Star                                |00 43 36.8797759296 -51 36 49.445463312|305.8578985841699 -65.4700491185152|  17.072 -6.205   |9.58     |~                 |    ~     ~    |    1| 1093.494   pc  | -17.2185    +17.2185  |paral   |2020yCat.1350....0G
1523|CD-52 125                                                                                                |Star                                |00 43 47.5181801472 -51 57 33.236296524|305.7330315201563 -65.1274156688588|  28.040 -1.158   |10.05    |~                 |    ~     ~    |    1|  263.555   pc  | -17.9200    +17.9200  |ST-L    |2020AJ....160...83S
1524|CPD-53 167                                                                                               |Star                                |00 44 24.5862924384 -52 21 16.567031520|305.4471150414365 -64.7393141873886|   4.973 12.832   |10.62    |~                 |    ~     ~    |    1|  472.166   pc  |  -3.7677     +3.7677  |paral   |2020yCat.1350....0G
1525|NGC 238                            NGC 238                                                               |Galaxy                              |00 43 25.7445053400 -50 10 58.333706292|306.2001369315345 -66.8945294950932|            ~ ~   |     ~   |~                 |1.017 0.630    |    0|                |                       |        |                   
1526|CD-50 165                                                                                                |Star                                |00 41 16.7560812312 -50 18 12.385219500|307.0423856164971 -66.7436575641355| 19.695 -42.941   |10.501   |~                 |    ~     ~    |    1|  185.332   pc  |  -1.8100     +1.8100  |ST-L    |2020AJ....160...83S
1527|CD-50 169                                                                                                |Star                                |00 41 53.2421105736 -50 14 30.930579096|306.8122501755244 -66.8143100298560|  15.651 -8.509   |10.288   |~                 |    ~     ~    |    1|  114.970   pc  |  -0.7199     +0.7199  |ST-L    |2020AJ....160...83S
1528|TYC 8030-51-1                                                                                            |Star                                |00 44 46.4794772040 -51 43 05.651644620|305.4094104850195 -65.3779509761682|  42.607 16.117   |10.946   |~                 |    ~     ~    |    1|  257.879   pc  |  -3.2220     +3.2220  |ST-L    |2020AJ....160...83S
1529|TYC 8030-54-1                                                                                            |Star                                |00 43 18.9136385784 -51 13 59.890452744|306.0401559107048 -65.8459003518462| -13.892 -6.754   |10.770   |~                 |    ~     ~    |    1|  890.438   pc  | -41.8700    +41.8700  |ST-L    |2020AJ....160...83S
1530|TYC 8030-752-1                                                                                           |Star                                |00 42 13.3709763936 -50 46 45.115895136|306.5551763038948 -66.2841755569322|   1.136 -2.767   |10.88    |~                 |    ~     ~    |    1| 1070.435   pc  | -16.5000    +16.5000  |paral   |2020yCat.1350....0G
1531|CD-50 175                                                                                                |Star                                |00 43 11.3169251184 -49 55 31.135118880|306.3520256271553 -67.1481208218328|   19.032 6.280   |10.601   |~                 |    ~     ~    |    1|  487.951   pc  | -12.9400    +12.9400  |ST-L    |2020AJ....160...83S
1532|CD-48 136                                                                                                |Star                                |00 39 07.9460667096 -47 42 47.878027632|308.7883768258423 -69.2747816444298|   4.263 16.207   |10.17    |G0                |    ~     ~    |    1|  444.129   pc  |  -9.2510     +9.2510  |paral   |2020yCat.1350....0G
1533|HD 3656                                                                                                  |High Proper Motion Star             |00 38 53.3529559872 -48 07 49.273342392|308.7438034024985 -68.8560442740590|  57.924 32.723   |9.75     |F0/2V             |    ~     ~    |    1|  261.691   pc  |  -2.5886     +2.5886  |paral   |2020yCat.1350....0G
1534|HD 3786                                                                                                  |High Proper Motion Star             |00 40 08.6947019928 -47 48 46.633315752|308.2761369606879 -69.1979454683143| 82.721 -31.890   |9.75     |G5/6V             |    ~     ~    |    1|   85.404   pc  |  -0.0919     +0.0919  |paral   |2020yCat.1350....0G
1535|HD 3668                                                                                                  |High Proper Motion Star             |00 39 01.9783795872 -48 27 41.449812588|308.5571074670306 -68.5310256862353|90.198 -228.515   |9.75     |F6V               |    ~     ~    |    1|  109.011   pc  |  -0.1426     +0.1426  |paral   |2020yCat.1350....0G
1536|CD-49 158                                                                                                |Spectroscopic Binary                |00 40 04.0294124904 -48 22 51.019113936|308.1189137390185 -68.6327346208396|  155.546 8.121   |10.32    |G0                |    ~     ~    |    1|  167.232   pc  |  -4.2901     +4.2901  |paral   |2020yCat.1350....0G
1537|HD 3852                                                                                                  |High Proper Motion Star             |00 40 43.9374771648 -49 35 31.419300732|307.4574858101968 -67.4420148207999|180.407 -124.795  |8.82     |G6V               |    ~     ~    |    1|   54.315   pc  |  -0.3207     +0.3207  |paral   |2020yCat.1350....0G
1538|CD-50 174                                                                                                |Spectroscopic Binary                |00 42 42.6874552128 -49 40 00.553300212|306.6077004378099 -67.3991044056802|-19.281 -25.456   |10.050   |G0                |    ~     ~    |    1|  194.635   pc  |  -2.0020     +2.0020  |ST-L    |2020AJ....160...83S
1539|CD-50 173                                                                                                |High Proper Motion Star             |00 42 35.5456151568 -49 43 52.390994304|306.6426853606859 -67.3332525325109| -70.867 -3.590   |9.66     |F8                |    ~     ~    |    1|  103.263   pc  |  -0.5414     +0.5414  |ST-L    |2020AJ....160...83S
1540|CD-49 152                                                                                                |High Proper Motion Star             |00 38 32.2371356520 -48 24 06.359508792|308.8019182245727 -68.5791866767599| 67.595 -19.098   |10.51    |~                 |    ~     ~    |    1|  208.786   pc  |  -0.8762     +0.8762  |paral   |2020yCat.1350....0G
1541|CD-49 163                                                                                                |Star                                |00 40 38.8470177984 -49 02 00.539498112|307.6558828623688 -67.9956777714107|   2.085 -1.785   |10.72    |~                 |    ~     ~    |    1|  298.018   pc  |  -3.1263     +3.1263  |paral   |2020yCat.1350....0G
1542|CD-50 171                                                                                                |Star                                |00 42 13.8816565704 -49 22 21.541760040|306.8810101478346 -67.6849486213730| 45.770 -11.932   |10.77    |~                 |    ~     ~    |    1|  310.106   pc  |  -1.6925     +1.6925  |paral   |2020yCat.1350....0G
1543|HD 3920                                                                                                  |Spectroscopic Binary                |00 41 20.8512075888 -47 32 50.848413252|307.7948624027777 -69.4854064007440|  45.877 -9.279   |9.830    |G1V               |    ~     ~    |    1|  128.082   pc  |  -1.9030     +1.9030  |ST-L    |2020AJ....160...83S
1544|CD-48 157                                                                                                |High Proper Motion Star             |00 42 41.1006307776 -47 29 39.526213992|307.1687818389245 -69.5618690060326| 100.554 16.983   |10.176   |F8                |    ~     ~    |    1|  188.383   pc  |  -4.8590     +4.8590  |ST-L    |2020AJ....160...83S
1545|HD 4139                                                                                                  |Star                                |00 43 22.6624237296 -47 30 33.645674376|306.8312273378759 -69.5578353326721|   -8.944 6.870   |9.779    |F3V               |    ~     ~    |    1|  223.806   pc  |  -2.5210     +2.5210  |ST-L    |2020AJ....160...83S
1546|HD 3869                                                                                                  |Star                                |00 40 49.6204457568 -47 49 44.560653240|307.9506458251966 -69.1956761157809|  16.137 21.119   |8.78     |G6/8III           |    ~     ~    |    1|  535.590   pc  |  -4.3602     +4.3602  |paral   |2020yCat.1350....0G
