C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
82  |HD 292340                                                                                                                                   |Star                                  |06 47 58.4094998544 -01 06 34.964294940|213.5248112452572 -01.2767340428352|   7.245 -5.971   |9.25     |K0                   |    ~     ~    
83  |HD 49432                                                                                                                                    |Star                                  |06 48 23.9747370240 -00 31 54.778439352|213.0589717649501 -00.9185368720992|   4.388 -7.807   |9.47     |F2                   |    ~     ~    
84  |HD 49433                                                                                                                                    |Star                                  |06 48 21.2831460528 -01 02 56.725323900|213.5142793003561 -01.1642870740012|  -1.598 -5.003   |9.20     |A0V                  |    ~     ~    
85  |HD 292453                                                                                                                                   |Star                                  |06 48 55.8599560776 -01 05 17.786371236|213.6148289713505 -01.0539337000521|  -9.714 -7.192   |10.46    |K7                   |    ~     ~    
86  |HD 292454                                                                                                                                   |Star                                  |06 48 56.7541029456 -01 03 10.997642700|213.5851739646144 -01.0345653651437|    2.057 7.781   |10.24    |G0                   |    ~     ~    
87  |HD 49608                                                                                                                                    |Red Giant Branch star                 |06 49 10.2365180664 -00 27 08.044919964|213.0759647010548 -00.7106719842636|  -5.270 -1.402   |7.77     |G8/K0III+F/G         |    ~     ~    
88  |HD 292445                                                                                                                                   |Star                                  |06 49 11.6999993808 -00 42 48.963153744|213.3113882212339 -00.8244049505611|  9.273 -47.850   |9.49     |G0                   |    ~     ~    
89  |HD 49642                                                                                                                                    |Star                                  |06 49 25.2358057416 -00 33 10.670432328|213.1941174762478 -00.7009760406731|  -3.919 -0.002   |9.81     |B9III/IV             |    ~     ~    
90  |HD 49660                                                                                                                                    |Star                                  |06 49 28.6396549728 -00 12 34.757172144|212.8950190707487 -00.5318224549122|  -1.129 -0.329   |8.98     |A0/1V                |    ~     ~    
91  |HD 292456                                                                                                                                   |Star                                  |06 49 28.1464484472 -00 56 24.340332228|213.5442396074029 -00.8666703974880|   -4.733 3.443   |9.61     |K0                   |    ~     ~    
92  |HD 292425                                                                                                                                   |Star                                  |06 49 43.8792763104 -00 13 06.269677176|212.9317643320185 -00.4793009579220|   -0.437 0.309   |10.7     |B5                   |    ~     ~    
93  |HD 292438                                                                                                                                   |Star                                  |06 50 25.8547208664 -00 35 26.617958304|213.3428874670681 -00.4934051429110|  -1.041 -7.351   |8.39     |M0                   |    ~     ~    
94  |HD 292460                                                                                                                                   |Double or Multiple Star               |06 50 27.2701370232 -01 02 34.487312928|213.7480560075421 -00.6943109620033|  -3.501 -0.848   |10.96    |A0                   |    ~     ~    
95  |HD 49861                                                                                                                                    |Star                                  |06 50 28.3201246632 -00 42 24.982558380|213.4510059529952 -00.5372476966877|  -3.651 -0.275   |9.43     |A0                   |    ~     ~    
96  |HD 49860                                                                                                                                    |Star                                  |06 50 30.1763196792 -00 30 28.077410916|213.2772882473733 -00.4395694716640|  -26.480 3.416   |8.95     |F5/6V                |    ~     ~    
97  |HD 292458                                                                                                                                   |Star                                  |06 50 43.9470563208 -00 57 58.195429560|213.7114185092438 -00.5974860573026|-10.347 -25.050   |10.21    |G0                   |    ~     ~    
98  |HD 49974                                                                                                                                    |Star                                  |06 50 57.8116198176 -01 09 00.069238332|213.9013977807429 -00.6298954532172|  -1.214 -4.539   |9.62     |A0III/IV             |    ~     ~    
99  |HD 292568                                                                                                                                   |Star                                  |06 51 07.5236584824 -00 15 35.238517596|213.1275092136754 -00.1879926963888| -1.230 -13.002   |8.88     |K5                   |    ~     ~    
100 |HD 292574                                                                                                                                   |Star                                  |06 52 01.8866126952 -00 27 21.582205488|213.4054149595723 -00.0758694304303|  -1.321 -0.667   |10.537   |A2                   |    ~     ~    
101 |HD 50188                                                                                                                                    |Star                                  |06 52 04.9534074192 -00 18 18.258471324|213.2769221249038 +00.0043222696983|  -2.051 -2.596   |9.538    |B8/9IV               |    ~     ~    
102 |HD 50209                                                                                                                                    |Be Star                               |06 52 10.3593170304 -00 17 43.927976508|213.2787059137064 +00.0287169997457|   0.193 -1.025   |8.36     |B9Ve                 |    ~     ~    
103 |HD 50230                                                                                                                                    |Pulsating Variable                    |06 52 19.8143879448 -00 40 38.959876308|213.6366017129870 -00.1103908352005|   -1.482 0.576   |8.95     |B3III                |    ~     ~    
104 |HD 292582                                                                                                                                   |Star                                  |06 52 46.5911750928 -00 36 33.747521004|213.6268543754180 +00.0199581663792|   -1.042 2.334   |9.20     |K0                   |    ~     ~    
105 |HD 50421                                                                                                                                    |Star                                  |06 53 11.8089288792 -00 50 21.644151720|213.8794337461951 +00.0085907205463|    0.309 1.603   |9.67     |F0V                  |    ~     ~    
106 |HD 50531                                                                                                                                    |Star                                  |06 53 42.7951559544 -00 31 21.492334992|213.6564511323257 +00.2679175900788|  0.839 -14.792   |8.86     |K1III                |    ~     ~    
107 |HD 50532                                                                                                                                    |Star                                  |06 53 39.5330737152 -00 59 07.046004156|214.0619930242318 +00.0448246670540|  31.705 14.741   |9.09     |G8IV                 |    ~     ~    
108 |HD 50560                                                                                                                                    |Star                                  |06 53 47.2591177368 -00 17 39.452318844|213.4617131527149 +00.3886052095324|  -1.522 -1.594   |8.91     |B8V                  |    ~     ~    
109 |HD 50583                                                                                                                                    |Star                                  |06 53 54.2196106104 -00 18 49.390607808|213.4922292653895 +00.4055559354816|  -1.431 -1.953   |8.25     |B9II                 |    ~     ~    
110 |HD 50584                                                                                                                                    |Star                                  |06 53 56.2785467664 -00 43 57.163921068|213.8688813389061 +00.2221810830867| -4.317 -20.854   |9.48     |F5V                  |    ~     ~    
111 |HD 50610                                                                                                                                    |Star                                  |06 53 58.4145876096 -00 27 14.279581224|213.6250167753941 +00.3571517335394|  -7.868 -4.432   |9.14     |A0V                  |    ~     ~    
112 |HD 50667                                                                                                                                    |Star                                  |06 54 13.2437874312 -00 11 51.838396872|213.4251522614713 +00.5289945473769|   0.133 -1.318   |9.44     |A0V                  |    ~     ~    
113 |HD 50697                                                                                                                                    |Star                                  |06 54 15.1484091768 -00 37 45.409402092|213.8128374324335 +00.3392441976718|  -1.169 -2.795   |9.32     |B2/3nne              |    ~     ~    
114 |HD 50747                                                                                                                                    |Star                                  |06 54 24.6514829592 -01 07 37.009187292|214.2737858876501 +00.1474889335385| 16.373 -13.167   |5.435    |A3V                  |    ~     ~    
115 |HD 50773                                                                                                                                    |Star                                  |06 54 37.0341189984 -00 27 09.480491892|213.6972185665709 +00.5009602799300| -10.256 -3.573   |9.36     |ApSr                 |    ~     ~    
116 |HD 50844                                                                                                                                    |delta Sct Variable                    |06 54 50.1143010144 -01 04 14.775168468|214.2721796155343 +00.2675105994572|  -1.111 -7.139   |9.09     |A2II                 |    ~     ~    
117 |HD 292732                                                                                                                                   |Double or Multiple Star               |06 55 02.2300107186 -01 02 00.785568588|214.2620822950504 +00.3294049537660| 42.961 -88.137   |9.83     |G0                   |    ~     ~    
118 |HD 292707                                                                                                                                   |Star                                  |06 55 19.785 -00 25 13.85              |213.749879 +00.674127              |     1.00 -3.90   |10.7     |A3                   |    ~     ~    
119 |BD-00 1493                                                                                                                                  |Star                                  |06 55 20.5517884632 -00 11 05.445308940|213.5415911058181 +00.7844572667650| -3.004 -23.199   |10.8     |G                    |    ~     ~    
120 |HD 50978                                                                                                                                    |Star                                  |06 55 29.6117105088 -00 49 32.160290196|214.1290633494054 +00.5257820346059|    0.320 0.023   |9.4      |B9III                |    ~     ~    
121 |HD 292722                                                                                                                                   |Star                                  |06 55 30.4755047712 -00 49 58.891700856|214.1373131444304 +00.5255971827900|   -2.122 1.791   |10.6     |A2                   |    ~     ~    
122 |HD 292705                                                                                                                                   |Star                                  |06 55 43.9173547992 -00 15 33.106305420|213.6521718725054 +00.8371873042023| 14.291 -32.309   |9.82     |G5                   |    ~     ~    
123 |HD 51148                                                                                                                                    |Star                                  |06 56 08.4548209416 -00 59 04.885777788|214.3444711304135 +00.5972059710641|   -1.270 5.354   |9.11     |F0V                  |    ~     ~    
124 |HD 49312                                                                                                                                    |Eclipsing Binary                      |06 47 44.8254940296 -01 20 56.325442560|213.7120552060188 -01.4361396333601|   1.032 -0.614   |9.29     |B8V                  |    ~     ~    
125 |HD 292496                                                                                                                                   |Star                                  |06 48 08.5625935944 -01 59 26.780831412|214.3286432648596 -01.6405062998919|   -2.805 0.849   |9.31     |F5                   |    ~     ~    
126 |HD 292482                                                                                                                                   |Star                                  |06 48 09.2930650176 -01 29 20.296851684|213.8831615720295 -01.4092046211498|  -5.095 -7.087   |9.95     |A0                   |    ~     ~    
127 |HD 49434                                                                                                                                    |gamma Dor Variable                    |06 48 19.0662941232 -01 19 08.124232296|213.7503065619152 -01.2954814669276|-37.120 -35.061   |5.731    |F0V+                 |    ~     ~    
128 |HD 49435                                                                                                                                    |Star                                  |06 48 22.0064987808 -01 49 04.563451920|214.2002282687765 -01.5119393607798|  -13.127 8.987   |7.60     |K4III                |    ~     ~    
129 |HD 49478                                                                                                                                    |Star                                  |06 48 29.1512703744 -01 39 43.862478984|214.0750942220419 -01.4144957409318|  -0.268 -0.207   |7.65     |G8III                |    ~     ~    
130 |HD 292467                                                                                                                                   |Star                                  |06 49 33.0332424576 -01 22 39.817423632|213.9431028860998 -01.0480244220569|   0.049 -3.904   |9.19     |K0                   |    ~     ~    
131 |HD 292476                                                                                                                                   |Star                                  |06 49 39.9698932056 -01 35 14.729230968|214.1429618501701 -01.1178714669154|   -1.516 0.465   |9.88     |B8                   |    ~     ~    
132 |V* V740 Mon                                                                                                                                 |alpha2 CVn Variable                   |06 49 44.2890454344 -01 20 23.757601308|213.9308289709948 -00.9890658692931|   -7.540 7.048   |7.30     |B9III                |    ~     ~    
