C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
146 |CD-36 13704                                                           |Star                                  |19 48 22.9277356656 -36 12 44.868300156|003.8303246372542 -26.4855900075028| 28.119 -14.452   |10.58    |~              |    ~     ~    
147 |HD 187310                                                             |High Proper Motion Star               |19 50 44.0791377864 -36 28 11.993848140|003.6916840439570 -27.0103996103508|-49.849 -38.127   |8.88     |F5V            |    ~     ~    
148 |HD 187628                                                             |Star                                  |19 52 24.0258500952 -36 04 30.068264964|004.2181712237057 -27.2320942555934|  17.825 -8.023   |10.16    |A9V            |    ~     ~    
149 |HD 186668                                                             |Star                                  |19 47 11.1967337880 -37 09 37.435150044|002.7380214842240 -26.5046513806582| 25.949 -31.037   |10.116   |F8/G0V         |    ~     ~    
150 |HD 187025                                                             |Star                                  |19 49 10.7100692112 -37 09 39.810935736|002.8524829184272 -26.8881064556884|   3.992 -6.300   |9.46     |K2/3III        |    ~     ~    
151 |HD 187112                                                             |Star                                  |19 49 41.5449852888 -36 50 06.990450036|003.2350968277930 -26.9031955793334| 10.270 -26.830   |9.23     |G8III          |    ~     ~    
152 |HD 187186                                                             |Star                                  |19 50 02.5297295826 -36 57 29.620414949|003.1220609905738 -27.0024662961493| 13.307 -47.502   |10.03    |G1V            |    ~     ~    
153 |HD 187387                                                             |Star                                  |19 51 09.8300588376 -36 53 47.591365236|003.2535301820827 -27.2033575776167| 17.633 -14.142   |8.42     |F3/5V+F0       |    ~     ~    
154 |HD 187497                                                             |Double or Multiple Star               |19 51 41.61426 -37 29 32.3490          |002.63451894 -27.45566321          |    11.57 11.44   |9.55     |G3V            |0.0067  0.0    
155 |HD 187518                                                             |High Proper Motion Star               |19 51 46.2019308024 -37 20 10.803888348|002.8089890636529 -27.4314246410516|-13.451 -67.534   |6.64     |K2III          |    ~     ~    
156 |HD 187561                                                             |High Proper Motion Star               |19 52 00.3563004456 -36 55 26.638408560|003.2717402869325 -27.3731533401435| -8.115 -52.635   |9.36     |K3III          |    ~     ~    
157 |HD 186418                                                             |Star                                  |19 45 45.9818784840 -37 44 20.413295628|002.0320978597346 -26.3832627061256|   5.432 -6.511   |10.17    |A9V            |    ~     ~    
158 |HD 186831                                                             |Star                                  |19 48 15.1856769600 -37 50 52.767230964|002.0552799934431 -26.8860476803552|    2.482 0.158   |8.22     |M3III          |    ~     ~    
159 |HD 187085                                                             |High Proper Motion Star               |19 49 33.9666332064 -37 46 49.973441628|002.2019673731727 -27.1199593024512| 8.356 -103.288   |7.21     |G0V            |    ~     ~    
160 |HD 186372                                                             |Star                                  |19 45 29.2539498384 -38 28 34.094925948|001.2206880406142 -26.5197364073024|  10.430 -7.714   |9.75     |F5V            |    ~     ~    
161 |CD-38 13676                                                           |High Proper Motion Star               |19 47 46.2961143312 -37 54 02.534906592|001.9711069151608 -26.8075178963784|-35.249 -54.924   |9.82     |K0             |    ~     ~    
162 |HD 186737                                                             |Star                                  |19 47 48.4058860776 -37 55 20.558525556|001.9495921844745 -26.8197299868667| -19.359 -9.363   |9.96     |A3/5III        |    ~     ~    
163 |HD 186914                                                             |Star                                  |19 48 39.1509457176 -37 59 38.055651540|001.9192076310861 -26.9991019091113| -7.789 -12.150   |9.09     |G8III/IV       |    ~     ~    
164 |HD 187290                                                             |Star                                  |19 50 46.0522163784 -38 33 42.622067412|001.4152010884657 -27.5414553196826|  7.150 -17.269   |9.77     |F0/2V          |    ~     ~    
165 |HD 187388                                                             |Star                                  |19 51 14.3003475960 -38 17 30.767342100|001.7358309752423 -27.5654200408386| 12.201 -16.929   |9.05     |K4III/V        |    ~     ~    
166 |HD 187538                                                             |Star                                  |19 51 58.4748255960 -38 24 08.315426520|001.6542946641201 -27.7322008811390|  3.587 -11.996   |7.97     |K3III          |    ~     ~    
167 |CD-37 13333                                                           |Star                                  |19 45 07.9339700256 -36 53 31.766475264|002.9054989056217 -26.0382543643905|   7.756 10.344   |10.549   |~              |    ~     ~    
168 |CD-39 13432                                                           |Star                                  |19 45 49.7969435904 -38 53 02.630983416|000.7980740573607 -26.6873171291600|  3.467 -14.126   |10.095   |~              |    ~     ~    
169 |CD-37 13360                                                           |Star                                  |19 48 32.8604738136 -37 06 09.948651660|002.8792311893262 -26.7515896316157|  7.813 -32.292   |9.90     |~              |    ~     ~    
170 |CD-37 13363                                                           |Star                                  |19 48 57.1878114888 -36 53 27.742912764|003.1317606705596 -26.7748460146582|   15.392 9.304   |10.774   |~              |    ~     ~    
171 |CPD-37 8593                                                           |High Proper Motion Star               |19 49 44.2750120320 -37 23 52.931382504|002.6273302587605 -27.0562628621457|-35.587 -139.907  |10.69    |~              |    ~     ~    
172 |CD-37 13372                                                           |Star                                  |19 49 46.2787936416 -37 09 45.583795872|002.8847345230532 -27.0026727241157|  0.176 -13.220   |10.81    |~              |    ~     ~    
173 |CD-38 13711                                                           |Star                                  |19 50 11.4978727440 -38 14 25.815599304|001.7353383778014 -27.3536409512643| -22.589 -5.665   |9.73     |~              |    ~     ~    
174 |CD-39 13475                                                           |Star                                  |19 50 33.7332564960 -38 41 37.683052980|001.2598617118935 -27.5344276157285|  2.699 -13.421   |10.18    |~              |    ~     ~    
175 |CD-38 13655                                                           |Star                                  |19 45 26.8599542208 -38 37 11.554935240|001.0630741763349 -26.5486731142923|  3.594 -33.526   |10.03    |~              |    ~     ~    
176 |CD-38 13659                                                           |Star                                  |19 45 33.7718896032 -38 33 26.169079932|001.1371554819018 -26.5545850901455|   0.428 -0.396   |10.470   |~              |    ~     ~    
177 |CD-38 13661                                                           |Star                                  |19 45 48.1473286368 -38 29 04.306619508|001.2291104279259 -26.5814727906530|  0.248 -12.793   |10.938   |~              |    ~     ~    
