C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
133 |TYC 7934-298-1                                                        |Star                                  |19 59 21.2250091272 -39 16 24.709057248|001.0626029059038 -29.3301596392827|  -25.812 1.591   |10.54    |~              |    ~     ~    
134 |TYC 7934-1840-1                                                       |Star                                  |19 59 07.0330010328 -39 07 43.936917060|001.2131043512328 -29.2540186454326|  -19.892 0.188   |10.30    |~              |    ~     ~    
135 |TYC 7934-2050-1                                                       |Star                                  |19 56 49.6037589984 -39 11 26.808971388|001.0320945862208 -28.8345790936481|  -10.822 2.519   |10.66    |~              |    ~     ~    
136 |TYC 7938-372-1                                                        |Star                                  |19 55 58.6361958120 -40 20 00.822961320|359.7177986388016 -28.9249640732768| 19.051 -27.563   |10.74    |~              |    ~     ~    
137 |TYC 7938-595-1                                                        |Star                                  |19 56 21.0688133616 -41 08 35.356310952|358.8294192901004 -29.1642581971424| -3.262 -11.418   |10.1     |~              |    ~     ~    
138 |TYC 7938-645-1                                                        |Star                                  |19 55 27.4126733856 -40 55 51.533690520|359.0267342949357 -28.9551968539521|   -7.331 3.334   |10.72    |~              |    ~     ~    
139 |TYC 7938-648-1                                                        |High Proper Motion Star               |19 57 53.5871910432 -40 46 11.005105728|359.3169950234700 -29.3723407521378| 38.429 -79.355   |10.95    |~              |    ~     ~    
140 |TYC 7938-1128-1                                                       |Star                                  |19 52 30.8348418792 -40 42 00.995659416|359.1473598288788 -28.3618438892427|  3.484 -15.145   |10.68    |~              |    ~     ~    
141 |TYC 7938-1347-1                                                       |Star                                  |19 58 42.3789501120 -39 35 54.433532544|000.6678662303921 -29.2780784069399| -1.032 -13.161   |10.89    |~              |    ~     ~    
142 |TYC 7938-1437-1                                                       |Star                                  |19 53 36.1136188008 -40 11 37.929666048|359.7607717200988 -28.4522738662190|   2.293 -6.527   |10.6     |~              |    ~     ~    
143 |TYC 7938-1461-1                                                       |Star                                  |19 57 18.4100252160 -41 02 54.400237296|358.9779801523970 -29.3210575506097| 25.046 -23.793   |10.270   |~              |    ~     ~    
144 |CD-40 13581                                                           |Double or Multiple Star               |19 58 40.4616605827 -40 29 21.207874628|359.6671543404987 -29.4596148797794|   20.275 9.916   |10.76    |~              |    ~     ~    
145 |CD-36 13709                                                           |Double or Multiple Star               |19 49 27.7014166992 -36 08 32.653507380|003.9705889491889 -26.6769893519966|    7.857 3.142   |10.79    |A3             |    ~     ~    
