C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:17:40

Vmag< 11&dec >=0&rah >=17.5&rah< 17.75
--------------------------------------

Number of objects : 4781

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2065|BD+12 3253C                                                           |Star                           |17 35 09.3127079016 +12 11 34.818319284|035.5564574559674 +22.3668941449074|   1.868 -8.679   |10.97    |G0             |    ~     ~    
2066|BD+12 3255                                                            |Star                           |17 35 36.6040326768 +12 36 46.052618040|036.0194791675750 +22.4397494628537| 11.404 -22.693   |10.06    |G0             |    ~     ~    
2067|HD 159736                                                             |Star                           |17 35 50.7831909576 +12 02 49.009463628|035.4888905497681 +22.1525015714373|   -5.573 9.921   |6.770    |K5             |    ~     ~    
2068|BD+12 3257                                                            |Star                           |17 35 55.2958387176 +12 19 46.464971700|035.7747780528714 +22.2532741618034|    1.328 1.738   |9.14     |K0III          |    ~     ~    
2069|BD+12 3258                                                            |Star                           |17 36 00.5384900064 +12 22 17.642097696|035.8256267968956 +22.2512745053752|  -7.910 -8.214   |9.21     |G5             |    ~     ~    
2070|BD+12 3259                                                            |Star                           |17 36 22.4313183384 +12 38 12.840524124|036.1264566638107 +22.2800240218653|   10.446 0.192   |9.10     |G0             |    ~     ~    
2071|BD+12 3261                                                            |Star                           |17 36 57.2766022656 +12 15 01.694959488|035.8101939610717 +21.9908744137726|    8.396 3.742   |9.17     |A5             |    ~     ~    
2072|BD+12 3262                                                            |Star                           |17 36 56.8130202888 +12 36 15.208345440|036.1567263461872 +22.1392219819104|   8.927 -5.044   |9.80     |G5             |    ~     ~    
2073|HD 160058                                                             |Double or Multiple Star        |17 37 24.8574 +12 33 00.671            |036.1545468 +22.0130361            |       10.7 8.3   |8.66     |F5             |    ~     ~    
2074|HD 158716                                                             |Star                           |17 30 22.6532691360 +11 55 26.458634712|034.7637833115607 +23.3172022728433|  10.860 14.652   |6.480    |A1V            |    ~     ~    
2075|HD 159005                                                             |Star                           |17 31 49.3233013440 +11 55 54.651592668|034.9315988253816 +22.9992470185275|   1.297 14.587   |7.94     |A0             |    ~     ~    
2076|HD 159082                                                             |Spectroscopic Binary           |17 32 14.8801753080 +11 55 48.177391296|034.9769634584235 +22.9037846351019|   1.985 17.076   |6.450    |B9.5V          |    ~     ~    
2077|BD+11 3193                                                            |Star                           |17 31 38.7704949216 +11 22 48.637090236|034.3680645021363 +22.8076114912525| -5.846 -22.693   |10.55    |F5             |    ~     ~    
2078|BD+11 3197                                                            |Star                           |17 32 22.3149804408 +11 22 09.177490200|034.4382752655678 +22.6415857095573|    1.299 1.833   |10.18    |F0             |    ~     ~    
2079|BD+11 3199                                                            |Star                           |17 32 49.4973355392 +11 44 14.417295072|034.8508939387317 +22.6950734138248|  -3.077 -4.108   |10.55    |F2             |    ~     ~    
2080|BD+11 3201                                                            |Star                           |17 34 46.7237702448 +11 13 22.893084516|034.5632232648211 +22.0447849826990| -7.683 -12.432   |10.03    |F0             |    ~     ~    
2081|V* V2380 Oph                                                          |Long-Period Variable           |17 35 32.6211200592 +11 22 01.927314516|034.7893833951219 +21.9353353830348|  3.233 -39.682   |7.55     |K5             |    ~     ~    
2082|BD+11 3208                                                            |Star                           |17 36 43.0097674560 +11 40 18.361953228|035.2172176008152 +21.8022940259140|  -1.679 -2.255   |9.62     |A0             |    ~     ~    
2083|AG+11 1920                                                            |Long-Period Variable Candidate |17 36 43.9436256264 +11 50 41.631452376|035.3883418544494 +21.8712630732192|  -1.783 -5.743   |9.12     |M4e            |    ~     ~    
2084|HD 159969                                                             |Star                           |17 37 03.1592025624 +11 39 19.061845560|035.2382004331885 +21.7207336141571|  -3.056 -7.309   |7.97     |K2             |    ~     ~    
2085|HD 160035                                                             |Star                           |17 37 22.2802550904 +11 18 25.080899868|034.9334547055897 +21.5035759918467|  -0.857 12.108   |8.40     |F8             |    ~     ~    
2086|IRAS 17339+1217                                                       |Star                           |17 36 19.5115863720 +12 15 51.525289188|035.7548515476312 +22.1364948628178|   -5.387 7.410   |9.71     |~              |    ~     ~    
2087|HD 159778                                                             |Star                           |17 36 04.2045762936 +11 18 45.360331560|034.7944879970320 +21.7953092169839|   -0.365 1.046   |7.24     |K2             |    ~     ~    
2088|NAME Rasalhague                    * alf Oph                          |Double or Multiple Star        |17 34 56.06945 +12 33 36.1346          |035.89375208 +22.56805441          | 108.07 -221.57   |2.07     |A5IVnn         |    ~     ~    
2089|ADS 10645 AB                                                          |Double or Multiple Star        |17 32 17.39 +13 12 58.8                |036.25592 +23.42536                |            ~ ~   |10.4     |~              |    ~     ~    
2090|TYC 996-26-1                                                          |Star                           |17 33 02.8789650432 +11 13 05.950530264|034.3655231157766 +22.4277511605046|    1.664 5.034   |10.62    |~              |    ~     ~    
2091|TYC 1000-19-1                                                         |Star                           |17 36 10.5443033256 +12 10 08.372377308|035.6448721646455 +22.1300940759458|  -0.766 -5.304   |10.63    |~              |    ~     ~    
2092|LSPM J1734+1202                                                       |High Proper Motion Star        |17 34 40.7576783400 +12 02 49.753869432|035.3606778766421 +22.4120163415462| 0.516 -170.880   |10.25    |~              |    ~     ~    
2093|TYC 1000-305-1                                                        |Star                           |17 33 23.8958998176 +12 40 03.493745400|035.8322405198621 +22.9538335558152|  -7.792 25.343   |10.67    |~              |    ~     ~    
2094|TYC 1000-318-1                                                        |Star                           |17 31 36.4428820536 +11 32 36.176699076|034.5245051374886 +22.8846956253016| -5.809 -16.272   |10.82    |~              |    ~     ~    
2095|TYC 1000-354-1                                                        |Star                           |17 31 57.9629416440 +11 15 44.735343912|034.2879459903401 +22.6869697482524|  -5.110 -9.055   |10.03    |~              |    ~     ~    
2096|TYC 1000-366-1                                                        |Star                           |17 36 08.8733773032 +11 34 05.167231320|035.0529093395620 +21.8853412753717| -6.671 -10.221   |10.43    |~              |    ~     ~    
2097|TYC 1000-562-1                                                        |Star                           |17 31 10.0088499768 +11 22 06.025682928|034.3028629304074 +22.9092650343650|  -6.500 21.047   |10.95    |~              |    ~     ~    
2098|TYC 1000-600-1                                                        |Star                           |17 34 25.3103753300 +11 33 10.560803340|034.8467697852999 +22.2627839178799|    3.835 2.843   |10.90    |~              |    ~     ~    
2099|TYC 1000-619-1                                                        |Star                           |17 36 20.5041784296 +12 07 52.408236756|035.6260184361624 +22.0774899913823|-10.318 -12.797   |10.95    |~              |    ~     ~    
2100|TYC 1000-799-1                                                        |Star                           |17 33 08.3803366776 +12 17 48.849596052|035.4374501124382 +22.8580199279822| 28.558 -21.034   |10.43    |~              |    ~     ~    
2101|IRAS 17294+1209                                                       |Star                           |17 31 45.0004600536 +12 07 50.367760608|035.1201107691641 +23.0979696451313|   -2.877 2.655   |9.45     |~              |    ~     ~    
2102|TYC 1000-913-1                                                        |Star                           |17 31 49.6690970304 +12 42 25.304045760|035.6996283590625 +23.3190584627001| -5.141 -10.635   |10.61    |~              |    ~     ~    
2103|TYC 1000-1006-1                                                       |Star                           |17 35 06.3967871352 +11 31 24.691153980|034.8938990793700 +22.0981786926775|  -3.731 -4.580   |10.47    |~              |    ~     ~    
2104|TYC 1000-1016-1                                                       |Star                           |17 36 04.6635587952 +11 16 32.433812940|034.7592682048859 +21.7780656059340|   2.631 -2.774   |10.65    |~              |    ~     ~    
2105|TYC 1000-1068-1                                                       |Star                           |17 32 26.8214732112 +11 18 00.564784344|034.3787729239316 +22.5958551528564|   -1.478 3.854   |10.48    |~              |    ~     ~    
2106|TYC 1000-1117-1                                                       |Star                           |17 31 49.3051780464 +12 09 10.176684948|035.1499515921225 +23.0912254186145|   -5.148 1.769   |10.79    |~              |    ~     ~    
2107|TYC 1000-1127-1                                                       |Star                           |17 32 17.8762381632 +12 34 40.973404224|035.6231937379519 +23.1614039163482|   8.628 -1.555   |10.63    |~              |    ~     ~    
2108|TYC 1000-1138-1                                                       |Star                           |17 31 44.3311286616 +11 45 34.904466756|034.7524380139253 +22.9459400706784|   3.447 -0.593   |10.15    |~              |    ~     ~    
2109|TYC 1000-1146-1                                                       |Star                           |17 32 49.4324741352 +11 32 49.300149984|034.6634778843402 +22.6156708968721|  -4.022 -1.844   |10.67    |~              |    ~     ~    
2110|TYC 1000-1273-1                                                       |Star                           |17 31 46.8777873360 +12 48 31.537094796|035.7955313828735 +23.3712582742659|  -5.229 -6.728   |10.99    |~              |    ~     ~    
2111|TYC 1000-1303-1                                                       |Star                           |17 31 34.3610822064 +12 11 14.480996856|035.1566342838578 +23.1609344929885|   1.082 -0.709   |10.94    |~              |    ~     ~    
2112|TYC 1000-1313-1                                                       |Star                           |17 31 26.1892820016 +12 50 24.326799468|035.7890073934366 +23.4607594430590|    0.598 2.202   |10.74    |~              |    ~     ~    
2113|TYC 1000-1577-1                                                       |Star                           |17 34 05.7936013272 +12 47 16.396063044|036.0273535603258 +22.8482275898343|  1.678 -16.244   |10.33    |F5V            |    ~     ~    
2114|TYC 1000-1761-1                                                       |Spectroscopic Binary           |17 36 41.4770017632 +12 05 55.959483588|035.6326557774699 +21.9863387780063|  23.746 12.594   |10.69    |~              |    ~     ~    
2115|TYC 1000-1799-1                                                       |High Proper Motion Star        |17 31 20.9368924872 +12 58 58.784614968|035.9215586137510 +23.5388658802403|-77.232 -74.886   |10.06    |~              |    ~     ~    
2116|TYC 1000-1897-1                                                       |Star                           |17 32 36.5295950952 +12 05 19.977942012|035.1736023420626 +22.8896675362694|   -3.449 5.247   |10.47    |~              |    ~     ~    
2117|TYC 1000-2002-1                                                       |Star                           |17 34 31.8903528144 +12 37 01.812327636|035.9061161069789 +22.6811984341448|    5.321 7.492   |10.64    |A7V            |    ~     ~    
2118|TYC 1000-2191-1                                                       |Star                           |17 31 48.6883027656 +12 32 42.534088548|035.5372779691661 +23.2559457688796|  -1.479 -9.432   |10.80    |~              |    ~     ~    
2119|TYC 1001-838-1                                                        |Spectroscopic Binary           |17 37 16.6857675528 +12 10 44.478734412|035.7755687902514 +21.8892828023576| -10.250 -6.409   |10.46    |~              |    ~     ~    
2120|TYC 1004-35-1                                                         |Star                           |17 35 27.6934263168 +13 53 00.604639932|037.2603688394271 +22.9927846072173| -12.082 22.487   |10.65    |~              |    ~     ~    
2121|TYC 1004-56-1                                                         |Star                           |17 34 35.7165386448 +13 17 37.840541280|036.5823290675055 +22.9450334181743| -8.970 -10.234   |10.09    |~              |    ~     ~    
2122|TYC 1004-89-1                                                         |Star                           |17 34 11.5475078520 +13 48 48.300164676|037.0549176889929 +23.2459753252707|   -5.866 3.899   |10.78    |~              |    ~     ~    
2123|TYC 1004-299-1                                                        |Spectroscopic Binary           |17 32 19.2957394272 +13 54 46.414488816|036.9536494900798 +23.7014601834321|  8.466 -13.730   |10.54    |~              |    ~     ~    
2124|TYC 1004-384-1                                                        |Star                           |17 34 37.8704765760 +13 08 04.983935568|036.4285890089004 +22.8719369036701| -16.897 21.875   |10.7     |~              |    ~     ~    
2125|TYC 1004-424-1                                                        |Star                           |17 32 59.0756349120 +13 30 50.518317096|036.6272183943368 +23.3924814026269|  18.690 -6.821   |10.43    |~              |    ~     ~    
2126|TYC 1004-444-1                                                        |Star                           |17 36 14.9874462456 +13 27 05.795972532|036.9168385333915 +22.6421725083037|   5.811 -8.846   |9.83     |~              |    ~     ~    
2127|TYC 1004-525-1                                                        |Star                           |17 36 27.8619625344 +13 52 42.102840828|037.3623958148694 +22.7682299631415| 10.009 -20.369   |10.79    |~              |    ~     ~    
2128|TYC 1004-544-1                                                        |Star                           |17 32 27.4897494120 +13 09 22.034127672|036.2143079018544 +23.3633426832798|   2.454 -8.593   |10.47    |~              |    ~     ~    
2129|TYC 1004-590-1                                                        |Spectroscopic Binary           |17 30 05.1211224456 +13 08 02.453731332|035.9344549439508 +23.8814515758207|  2.963 -14.574   |10.32    |~              |    ~     ~    
2130|TYC 1004-635-1                                                        |Star                           |17 35 51.5462104128 +13 52 26.239892556|037.2933745612656 +22.9007156057773|  -0.425 -5.629   |10.23    |~              |    ~     ~    
2131|TYC 1004-700-1                                                        |Star                           |17 36 53.2556196816 +13 30 36.585482112|037.0432719042187 +22.5245148714940|  -5.916 19.288   |10.67    |~              |    ~     ~    
2132|TYC 1004-960-1                                                        |Star                           |17 30 40.0953932016 +13 15 14.664160368|036.1176214057807 +23.8009827421202|   1.603 -3.878   |10.82    |~              |    ~     ~    
2133|TYC 1004-1024-1                                                       |Star                           |17 34 32.9698261800 +13 37 18.994129248|036.9028957917574 +23.0889787849324|   -2.782 3.087   |9.98     |~              |    ~     ~    
2134|TYC 1004-1072-1                                                       |Star                           |17 32 18.1012476864 +13 09 41.353165584|036.2026656312215 +23.4002963541715|  -11.419 7.742   |10.28    |~              |    ~     ~    
2135|TYC 1004-1214-1                                                       |Star                           |17 36 51.2600752128 +13 34 45.902968176|037.1081669626370 +22.5601400342313|  7.186 -45.129   |9.80     |~              |    ~     ~    
2136|TYC 1004-1386-1                                                       |Star                           |17 33 41.8346968124 +13 47 19.978400133|036.9774269083481 +23.3459318768863|      3.8 -45.8   |10.98    |~              |    ~     ~    
2137|TYC 1004-1418-1                                                       |Star                           |17 36 14.6528391816 +13 40 36.543455508|037.1391460846969 +22.7351920484081| -0.804 -10.413   |9.92     |~              |    ~     ~    
2138|TYC 1005-1493-1                                                       |Star                           |17 37 15.2673449904 +13 58 50.420206236|037.5480385022700 +22.6344713792847| -10.073 -8.223   |10.12    |~              |    ~     ~    
2139|TYC 1005-1937-1                                                       |Star                           |17 37 26.0758909992 +13 39 19.924918092|037.2455989679091 +22.4624029643393| -3.604 -16.034   |9.55     |~              |    ~     ~    
2140|TYC 1000-2324-1                                                       |Star                           |17 33 45.3245801928 +12 44 32.152021008|035.9450469209000 +22.9052341466031| -10.040 22.220   |10.93    |F5V            |    ~     ~    
2141|TYC 1000-1918-1                                                       |Star                           |17 34 25.7382919632 +12 48 16.773709824|036.0801339712696 +22.7812823349639|    4.632 2.514   |10.03    |K3III          |    ~     ~    
2142|TYC 1000-1133-1                                                       |Star                           |17 34 52.2531222720 +12 29 50.594754228|035.8250305906372 +22.5562827756385|  -19.826 2.719   |10.45    |F0V            |    ~     ~    
2143|TYC 1000-2203-1                                                       |Star                           |17 33 59.4250428168 +12 34 13.037692656|035.8007117556326 +22.7820715768996|  -9.894 -3.820   |10.17    |F5V            |    ~     ~    
2144|SV* HV 10964                                                          |Long-Period Variable           |17 31 33.1280375568 +11 17 19.754441268|034.2676321323685 +22.7901401375030|   1.306 -3.385   |10.93    |~              |    ~     ~    
2145|BD+13 3419                                                            |Star                           |17 37 54.9784662624 +13 00 44.150531544|036.6631721207220 +22.0921891434706|    5.050 3.742   |9.04     |F0             |    ~     ~    
2146|HD 160365                                                             |High Proper Motion Star        |17 38 57.8551898904 +13 19 45.311464560|037.0879840838610 +21.9896970685388| -22.331 47.998   |6.123    |F6III          |    ~     ~    
2147|HD 160488                                                             |Star                           |17 39 40.1607238056 +13 17 01.993494120|037.1191752871229 +21.8146349956343|  0.652 -23.764   |7.53     |F5             |    ~     ~    
2148|BD+13 3424                                                            |Star                           |17 39 39.2932158720 +13 32 05.720200944|037.3644118153854 +21.9206227742859|  -5.904 -7.679   |9.42     |A2             |    ~     ~    
2149|HD 160247                                                             |Star                           |17 38 25.3116976176 +12 44 14.539124112|036.4478445646399 +21.8666328393904|   3.902 12.918   |7.50     |K0             |    ~     ~    
2150|BD+12 3269                                                            |Star                           |17 39 13.2230795136 +12 11 25.418012784|035.9992540123630 +21.4624371657973|  -5.759 20.614   |10.34    |F5             |    ~     ~    
2151|BD+12 3271                                                            |Star                           |17 39 34.9855095600 +12 17 44.861445960|036.1418386636639 +21.4257107621227|   12.253 2.186   |9.11     |K0             |    ~     ~    
2152|BD+12 3268                                                            |Star                           |17 38 48.3443204256 +11 56 57.386111388|035.7183564190686 +21.4540343254044|   2.099 -6.277   |9.57     |F0             |    ~     ~    
2153|HD 160138                                                             |Star                           |17 37 49.5216812280 +11 41 16.730472912|035.3554009125206 +21.5626488664718|  2.130 -11.383   |8.26     |A5             |    ~     ~    
2154|HD 160230                                                             |Star                           |17 38 22.3826298864 +11 29 09.055721904|035.2187166813590 +21.3560910242279|   0.500 -2.605   |8.23     |F2             |    ~     ~    
2155|HD 160273                                                             |Star                           |17 38 37.3875456264 +11 14 43.565001684|035.0123580348836 +21.1993113198348| 10.331 -39.524   |8.04     |K2             |    ~     ~    
2156|BD+11 3219                                                            |Star                           |17 38 52.7993629200 +11 32 28.960014984|035.3288001937364 +21.2667156947974| 16.615 -11.905   |9.88     |F8             |    ~     ~    
2157|BD+11 3222                                                            |Star                           |17 39 32.8149894768 +11 50 02.998828356|035.6874597783011 +21.2412015598002|  -5.672 -4.739   |9.05     |K5             |    ~     ~    
2158|BD+14 3325                                                            |Star                           |17 43 49.8567875928 +13 58 04.935099648|038.2344681371243 +21.1715742124286| 18.254 -32.649   |8.41     |K0             |    ~     ~    
2159|BD+13 3425                                                            |Star                           |17 39 48.7753340808 +13 44 20.780236104|037.5822717433882 +21.9689011523932| -1.932 -11.123   |10.05    |A2             |    ~     ~    
2160|BD+13 3433                                                            |High Proper Motion Star        |17 42 12.0644229120 +13 19 44.201020260|037.4351104641521 +21.2714440397197|  51.182 12.641   |9.30     |F8             |    ~     ~    
2161|HD 160980                                                             |Spectroscopic Binary           |17 42 26.0693154360 +13 43 16.136587992|037.8441578854765 +21.3803143750468|  -8.783 -5.924   |7.72     |K0             |    ~     ~    
2162|BD+13 3435                                                            |Star                           |17 42 52.6266184056 +13 25 24.636383292|037.6000090677212 +21.1603252289665|   0.233 -7.613   |8.780    |K0             |    ~     ~    
2163|BD+13 3437                                                            |Spectroscopic Binary           |17 43 21.6941831304 +13 21 25.395711336|037.5869082944628 +21.0256067366738|-40.554 -43.676   |8.98     |G5             |    ~     ~    
2164|BD+13 3438                                                            |Double or Multiple Star        |17 43 37.1050 +12 57 06.708            |037.2192398 +20.8016999            |        1.0 2.9   |9.45     |F8             |    ~     ~    
2165|HD 161322                                                             |Star                           |17 44 18.3727212360 +13 47 02.298362064|038.1048355714064 +20.9911437314369|  -0.971 20.547   |6.90     |A3             |    ~     ~    
2166|HD 160694                                                             |Star                           |17 40 55.3823561688 +12 04 32.716666380|036.0735643756685 +21.0363731313455|  -1.321 13.306   |8.00     |K5             |    ~     ~    
2167|BD+12 3275                                                            |Star                           |17 41 06.3331862520 +12 07 17.145482196|036.1379763981754 +21.0148826731758|    8.422 3.414   |9.72     |F2             |    ~     ~    
2168|HD 160924                                                             |Star                           |17 42 08.5230116712 +12 18 02.095175232|036.4253463304861 +20.8593164596850|  20.795 -3.992   |8.84     |F2             |    ~     ~    
2169|BD+12 3277                                                            |Star                           |17 42 25.5817575960 +12 44 56.606111736|036.8929842113336 +20.9823731519085|  -1.445 -8.426   |9.60     |K0             |    ~     ~    
2170|HD 161075                                                             |Double or Multiple Star        |17 43 00.5329 +12 15 29.720            |036.4785248 +20.6491813            |      -2.6 -9.2   |9.57     |A2             |    ~     ~    
2171|BD+12 3279                                                            |Star                           |17 43 43.5458291088 +12 06 23.761622628|036.4094097399193 +20.4266954926143|  0.117 -32.270   |9.28     |G0             |    ~     ~    
2172|BD+12 3280                                                            |Star                           |17 43 56.7075737688 +12 52 59.420927352|037.1875457601201 +20.7008146182245|  30.601 20.141   |9.28     |K0             |    ~     ~    
2173|BD+12 3282                                                            |Star                           |17 44 22.2168271704 +12 29 43.331079984|036.8565600660171 +20.4456289219588|    8.800 2.245   |9.39     |A2             |    ~     ~    
2174|HD 160571                                                             |Star                           |17 40 15.2405792760 +11 28 33.715642368|035.4168512824760 +20.9338185088308|   -2.838 1.934   |9.28     |A2             |    ~     ~    
2175|HD 160695                                                             |Star                           |17 41 00.5126389344 +11 33 52.697178432|035.5860390416520 +20.8033491502123|  0.935 -12.938   |8.69     |K2             |    ~     ~    
2176|HD 160766                                                             |Variable Star                  |17 41 18.0785139432 +11 14 32.570383020|035.3058551096856 +20.6025864431023|   0.538 -4.946   |9.11     |A0             |    ~     ~    
2177|BD+11 3232                                                            |High Proper Motion Star        |17 41 19.5858545256 +11 46 53.907031092|035.8317030536333 +20.8237542388354|-56.264 -42.348   |10.42    |K0             |    ~     ~    
2178|BD+11 3234                                                            |Star                           |17 41 35.5533698088 +11 51 19.450866672|035.9325367037284 +20.7955154946630|   6.834 -2.511   |9.69     |A2             |    ~     ~    
2179|BD+11 3235                                                            |Star                           |17 41 49.1131173120 +11 52 40.891276452|035.9792663413138 +20.7547724888020|   3.081 10.484   |9.29     |F5             |    ~     ~    
2180|BD+11 3238                                                            |Star                           |17 42 54.3992015904 +11 17 45.459985092|035.5349202983295 +20.2683463349662|    0.090 9.216   |10.35    |K0             |    ~     ~    
2181|HD 161181                                                             |Star                           |17 43 41.4676808256 +11 40 18.581457180|035.9845888632019 +20.2522544605988|   -6.729 0.813   |8.69     |K0             |    ~     ~    
2182|HD 161240                                                             |Star                           |17 43 54.3849103080 +11 34 56.966004480|035.9218210302280 +20.1668688497213|-33.726 -22.262   |8.36     |K5             |    ~     ~    
2183|BD+11 3244                                                            |Star                           |17 44 03.1726845408 +11 49 52.776492492|036.1785009324258 +20.2388274145689|   5.721 -8.006   |9.12     |K0             |    ~     ~    
2184|BD+11 3248                                                            |Star                           |17 44 51.5701146360 +11 36 39.730741524|036.0539112753931 +19.9671180937376| 21.159 -23.989   |9.26     |G0             |    ~     ~    
2185|BD+11 3226                                                            |Star                           |17 40 35.6171518800 +11 34 01.838196444|035.5428199261780 +20.8966379670642|  -0.051 -6.022   |10.16    |~              |    ~     ~    
2186|TYC 1001-694-1                                                        |Star                           |17 44 23.3714368200 +12 12 39.622054284|036.5828656609962 +20.3228921398077| -13.820 -5.987   |10.62    |~              |    ~     ~    
2187|TYC 1001-40-1                                                         |Star                           |17 39 39.0149961888 +12 08 26.100148272|035.9976123892225 +21.3461836804906|   9.966 -2.153   |10.41    |~              |    ~     ~    
2188|TYC 1001-82-1                                                         |Star                           |17 39 25.8717938952 +12 31 09.713242776|036.3438791999556 +21.5522665821224|   3.740 11.444   |10.29    |~              |    ~     ~    
2189|TYC 1001-111-1                                                        |Star                           |17 44 23.8674893664 +11 29 18.246479280|035.8848824718840 +20.0180855814023|   -7.286 4.764   |10.79    |~              |    ~     ~    
2190|TYC 1001-267-1                                                        |Star                           |17 38 59.2848841512 +11 42 28.995651504|035.5031020835211 +21.3126030817467| -1.253 -16.613   |10.54    |~              |    ~     ~    
2191|TYC 1001-415-1                                                        |Star                           |17 43 17.1317625432 +11 22 50.466839880|035.6585443301211 +20.2198693866427| -9.598 -34.882   |10.50    |~              |    ~     ~    
2192|TYC 1001-498-1                                                        |Star                           |17 43 42.1119163608 +13 03 33.404254416|037.3328824884198 +20.8275337029300|    1.277 4.985   |10.31    |~              |    ~     ~    
2193|TYC 1001-600-1                                                        |Star                           |17 38 01.5804141744 +12 22 19.120421604|036.0464852807689 +21.8032042063553|   -0.433 0.763   |10.77    |~              |    ~     ~    
2194|TYC 1001-719-1                                                        |Star                           |17 38 40.4898214800 +11 26 28.537751292|035.2086471968913 +21.2702570287148|  -6.939 15.285   |10.16    |~              |    ~     ~    
2195|TYC 1001-735-1                                                        |Star                           |17 39 57.0050325264 +11 51 39.862029240|035.7579379521804 +21.1628609815014|   5.088 -4.221   |10.85    |~              |    ~     ~    
2196|TYC 1001-818-1                                                        |Spectroscopic Binary           |17 41 06.9619663392 +12 36 45.946618740|036.6181420468013 +21.2168220002881|   -4.553 6.141   |10.79    |~              |    ~     ~    
2197|TYC 1001-819-1                                                        |Star                           |17 43 19.3983313056 +11 49 12.287092620|036.0878006062918 +20.3961864207791|   3.765 -4.772   |10.40    |~              |    ~     ~    
2198|TYC 1001-927-1                                                        |Star                           |17 40 53.4526132680 +11 40 10.832405448|035.6750984191844 +20.8736007856153|  -3.339 -2.949   |10.14    |~              |    ~     ~    
2199|TYC 1001-940-1                                                        |Star                           |17 39 44.8423597440 +12 34 41.509538040|036.4358078629768 +21.5064247189573| -1.231 -10.149   |10.93    |~              |    ~     ~    
2200|TYC 1001-1015-1                                                       |Star                           |17 37 48.4792168488 +11 24 20.804923656|035.0781746542191 +21.4480639725361| -10.240 14.944   |10.99    |~              |    ~     ~    
2201|TYC 1001-1032-1                                                       |Star                           |17 42 12.6088146048 +12 57 49.619323800|037.0791547869602 +21.1191090499139|    0.191 8.056   |9.76     |~              |    ~     ~    
2202|TYC 1001-1205-1                                                       |Star                           |17 41 28.9999389072 +11 57 56.740741380|036.0278241319196 +20.8659520717112|   7.614 -2.100   |10.85    |~              |    ~     ~    
2203|TYC 1001-1207-1                                                       |Star                           |17 42 10.5158497224 +11 40 31.866429936|035.8218690983917 +20.5906257013033|  11.596 -2.162   |10.20    |~              |    ~     ~    
2204|TYC 1001-1220-1                                                       |Star                           |17 39 48.2179716696 +12 51 11.081561616|036.7110162101026 +21.6075845429493|  -0.645 -0.647   |10.05    |~              |    ~     ~    
2205|TYC 1001-1313-1                                                       |Star                           |17 44 26.4419499096 +12 01 42.061136016|036.4115264172354 +20.2352048910742| -10.895 -0.086   |10.81    |~              |    ~     ~    
2206|TYC 1001-1443-1                                                       |Star                           |17 38 06.1242970920 +12 00 03.617464104|035.6916711467059 +21.6320074195299|   -3.461 1.179   |10.27    |~              |    ~     ~    
2207|TYC 1001-1464-1                                                       |Star                           |17 40 03.5977374408 +12 09 50.010927624|036.0651388358282 +21.2648692976609|   -9.938 1.425   |10.41    |~              |    ~     ~    
2208|TYC 1001-1503-1                                                       |High Proper Motion Star        |17 38 33.4971686256 +11 52 27.705624888|035.6180489165997 +21.4777308040955| 22.086 -65.880   |10.44    |~              |    ~     ~    
2209|TYC 1001-1543-1                                                       |Star                           |17 42 33.4579188864 +12 03 42.935454900|036.2386647275698 +20.6674832921392|  -2.598 -6.049   |10.88    |~              |    ~     ~    
2210|TYC 1001-1595-1                                                       |Star                           |17 43 12.5717995944 +11 51 34.927356060|036.1137378930522 +20.4380677988131|  0.126 -24.576   |10.88    |~              |    ~     ~    
2211|TYC 1001-1906-1                                                       |Star                           |17 39 29.3088127800 +12 38 16.606127256|036.4661650334123 +21.5886572312535|   -2.995 2.139   |10.55    |~              |    ~     ~    
2212|TYC 1001-1927-1                                                       |Star                           |17 38 20.3606639880 +11 30 51.290266392|035.2426659686494 +21.3755124601727| -21.290 20.409   |10.95    |~              |    ~     ~    
2213|TYC 1001-2087-1                                                       |Star                           |17 38 59.2315597944 +11 43 41.905800444|035.5227445575880 +21.3212855290712|   12.631 1.495   |10.99    |~              |    ~     ~    
2214|TYC 1001-2133-1                                                       |High Proper Motion Star        |17 44 15.6381670992 +12 16 44.681282904|036.6348401638677 +20.3799072650588|-15.130 -58.017   |10.63    |~              |    ~     ~    
2215|TYC 1001-2151-1                                                       |Star                           |17 40 16.8750517488 +12 11 49.669278720|036.1217298569687 +21.2295546274783| -1.768 -46.748   |10.93    |~              |    ~     ~    
2216|TYC 1001-2153-1                                                       |Star                           |17 44 14.8195821960 +12 22 33.520721952|036.7273401205366 +20.4233146763887|    0.670 3.089   |10.92    |~              |    ~     ~    
2217|TYC 1001-2187-1                                                       |High Proper Motion Star        |17 38 02.0590045512 +12 49 12.597284316|036.4871004324251 +21.9868675756671|-48.410 -20.923   |10.39    |~              |    ~     ~    
2218|TYC 1002-901-1                                                        |Star                           |17 44 58.0878068904 +11 45 03.566705508|036.2009355336621 +20.0018056611212|   5.032 -3.071   |10.02    |~              |    ~     ~    
