C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
52  |BD+42 4396                                                                                               |Double or Multiple Star               |22 26 17.5952902 +43 08 04.535792      |096.7067262175 -12.2252239563      |      5.74 5.15   |9.87     |A5                 |0.0083  0.0    |    0|                |                       |        |                   
53  |BD+42 4397                                                                                               |Double or Multiple Star               |22 26 25.3142031336 +43 32 10.310444412|096.9479895490570 -11.8993908414362|   4.760 -0.600   |9.50     |A0                 |    ~     ~    |    0|                |                       |        |                   
54  |BD+42 4400                                                                                               |Star                                  |22 26 53.0673508824 +43 02 00.711389328|096.7441844183940 -12.3684946925526|-10.135 -26.111   |8.82     |K0                 |    ~     ~    |    1|  448.934   pc  |  -3.0433     +3.0433  |paral   |2020yCat.1350....0G
55  |HD 212921                                                                                                |Star                                  |22 27 02.4430855272 +43 20 00.844224360|096.9336005410416 -12.1306496847580|   5.512 -6.154   |9.16     |~                  |    ~     ~    |    1|  711.339   pc  | -12.4477    +12.4477  |paral   |2020yCat.1350....0G
56  |BD+42 4402                                                                                               |Star                                  |22 27 16.2081897648 +43 16 15.275141076|096.9352863017463 -12.2059192739418|    4.468 4.477   |8.76     |K5                 |    ~     ~    |    1|  429.830   pc  |  -4.1570     +4.1570  |paral   |2020yCat.1350....0G
57  |BD+42 4407                                                                                               |Star                                  |22 28 12.0052091328 +43 05 18.566339676|096.9821435531647 -12.4507097923925|   13.949 9.407   |9.37     |K0                 |    ~     ~    |    1|  514.615   pc  |  -3.1779     +3.1779  |paral   |2020yCat.1350....0G
58  |BD+41 4464                                                                                               |Star                                  |22 21 12.6669541248 +42 26 54.928459500|095.5240302221158 -12.2893396941085|  -0.709 -3.192   |9.93     |A0                 |    ~     ~    |    1| 1016.570   pc  | -19.3249    +19.3249  |paral   |2020yCat.1350....0G
59  |BD+41 4486                                                                                               |Star                                  |22 24 50.5722871680 +42 35 44.683038492|096.1792175009502 -12.5342750986103|  -5.445 -7.621   |9.14     |K                  |    ~     ~    |    1| 1151.145   pc  | -25.4426    +25.4426  |paral   |2020yCat.1350....0G
60  |BD+43 4198                                                                                               |Double or Multiple Star               |22 25 37.012248 +43 52 55.23600        |097.013107811 -11.529681125        |      -5.8 -0.7   |10.473   |~                  |    ~     ~    |    0|                |                       |        |                   
61  |V* V448 Lac                                                                                              |Post-AGB Star                         |22 24 31.4283564864 +43 43 10.978781916|096.7541769361896 -11.5593254857760|  -5.066 -3.065   |9.69     |F7I                |    ~     ~    |    1| 3007.52    pc  |-234.27     +234.27    |paral   |2020yCat.1350....0G
62  |IRAS 22206+4252                                                                                          |Long-Period Variable                  |22 22 46.7654779992 +43 07 18.544686816|096.1496141384392 -11.8870474196138|  -7.117 -6.667   |10.25    |~                  |    ~     ~    |    1| 1614.726   pc  | -51.6254    +51.6254  |paral   |2020yCat.1350....0G
63  |HD 211274                                                                                                |High Proper Motion Star               |22 15 03.5076439200 +43 46 24.014002800|095.3382647291974 -10.5623528981609|-25.286 -47.785   |6.83     |K0                 |    ~     ~    |    1|  149.165   pc  |  -0.5184     +0.5184  |paral   |2020yCat.1350....0G
64  |BD+42 4339                                                                                               |Star                                  |22 15 54.6290040096 +43 31 29.859259692|095.3231094973685 -10.8542842529125|   1.824 -4.394   |9.01     |K0                 |    ~     ~    |    1|  411.726   pc  |  -2.0003     +2.0003  |paral   |2020yCat.1350....0G
65  |HD 211458                                                                                                |Star                                  |22 16 15.9083236824 +43 30 59.593541004|095.3721113073175 -10.8977410778854|  9.711 -12.618   |8.23     |K2                 |    ~     ~    |    1|  316.066   pc  |  -1.7882     +1.7882  |paral   |2020yCat.1350....0G
66  |HD 211490                                                                                                |Star                                  |22 16 30.4806258768 +43 11 20.173072524|095.2196316833864 -11.1925043623668|  -5.694 -7.819   |8.32     |A2                 |    ~     ~    |    1|  509.918   pc  |  -4.7323     +4.7323  |paral   |2020yCat.1350....0G
67  |HD 211496                                                                                                |Star                                  |22 16 36.3105419784 +42 50 23.464956984|095.0323876459140 -11.4899464842258|-15.630 -10.409   |8.70     |A                  |    ~     ~    |    1|  314.169   pc  |  -1.4213     +1.4213  |paral   |2020yCat.1350....0G
68  |AG+42 2154                                                                                               |Long-Period Variable Candidate        |22 16 40.8527642952 +43 12 19.965393108|095.2556845637276 -11.1967033958795| 21.802 -15.252   |9.29     |M2                 |    ~     ~    |    1|  715.615   pc  | -11.0102    +11.0102  |paral   |2020yCat.1350....0G
69  |BD+41 4449                                                                                               |Star                                  |22 17 40.4653639848 +42 31 52.787955504|095.0191942651894 -11.8554997292620|-19.661 -14.286   |9.57     |A5                 |    ~     ~    |    1|  325.733   pc  |  -1.4536     +1.4536  |paral   |2020yCat.1350....0G
70  |V* UW Lac                                                                                                |Eclipsing Binary                      |22 20 39.7808541528 +42 24 28.773495900|095.4148955111040 -12.2668433407422|  44.676 21.559   |10.66    |A5:                |    ~     ~    |    1|  524.769   pc  |  -3.3046     +3.3046  |paral   |2020yCat.1350....0G
71  |HD 211783                                                                                                |Star                                  |22 18 45.8314346304 +42 08 33.370249164|094.9649337839880 -12.2900399748379|-19.406 -11.992   |7.85     |K2                 |    ~     ~    |    1|  353.020   pc  | -12.6866    +12.6866  |paral   |2020yCat.1350....0G
72  |BD+41 4488                                                                                               |Star                                  |22 24 55.5067541352 +42 28 41.707820568|096.1267267968908 -12.6410914487707|-13.298 -10.392   |10.38    |K2                 |    ~     ~    |    1| 1166.045   pc  | -18.8993    +18.8993  |paral   |2020yCat.1350....0G
73  |TYC 3207-75-1                                                                                            |Star                                  |22 19 33.3418551072 +42 42 22.143362328|095.4120982780269 -11.9056353325632|   1.831 -1.869   |10.09    |~                  |    ~     ~    |    1|  634.558   pc  |  -6.1608     +6.1608  |paral   |2020yCat.1350....0G
74  |TYC 3207-111-1                                                                                           |Star                                  |22 19 25.1425731504 +42 28 03.358143012|095.2542188838366 -12.0891853518839|-15.373 -15.385   |10.09    |~                  |    ~     ~    |    1|  155.444   pc  |  -0.7515     +0.7515  |paral   |2020yCat.1350....0G
75  |TYC 3207-112-1                                                                                           |Star                                  |22 19 30.9840989712 +42 17 14.607612600|095.1661361467956 -12.2485106912144|    1.422 5.917   |10.71    |~                  |    ~     ~    |    1|  580.417   pc  |  -4.4469     +4.4469  |paral   |2020yCat.1350....0G
76  |TYC 3207-303-1                                                                                           |Star                                  |22 16 34.2362270448 +42 42 38.097000108|094.9521061691586 -11.5927257367656|-13.090 -11.015   |10.24    |~                  |    ~     ~    |    1|  610.799   pc  |  -3.9546     +3.9546  |paral   |2020yCat.1350....0G
