C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
92  |TYC 3208-1256-1                                                                                          |Star                                  |22 24 49.8438310872 +42 40 59.751271272|096.2260780789735 -12.4596328859066| -2.773 -10.641   |9.67     |~                  |    ~     ~    |    1|  573.000   pc  |  -4.3339     +4.3339  |paral   |2020yCat.1350....0G
93  |TYC 3208-1268-1                                                                                          |Star                                  |22 24 02.3739366240 +42 33 32.033808324|096.0316700882438 -12.4844979125902|   0.044 -2.412   |10.58    |~                  |    ~     ~    |    1|  682.967   pc  |  -8.5826     +8.5826  |paral   |2020yCat.1350....0G
94  |TYC 3208-1301-1                                                                                          |Star                                  |22 29 46.6278386184 +42 44 18.315406824|097.0423040584813 -12.9006867870106|  -1.567 -1.060   |10.83    |~                  |    ~     ~    |    1|  898.150   pc  |  -9.5994     +9.5994  |paral   |2020yCat.1350....0G
95  |TYC 3208-1318-1                                                                                          |Star                                  |22 21 22.2352933056 +43 04 55.915255308|095.9081210539810 -11.7782595431288| -9.023 -10.022   |10.81    |~                  |    ~     ~    |    1|  404.875   pc  |  -2.1146     +2.1146  |paral   |2020yCat.1350....0G
96  |TYC 3208-1335-1                                                                                          |Star                                  |22 24 31.5498481320 +42 42 21.028795344|096.1905489449800 -12.4101900548290|  11.326 -5.646   |10.45    |~                  |    ~     ~    |    1|  336.780   pc  | -17.1265    +17.1265  |paral   |2020yCat.1350....0G
97  |TYC 3208-1358-1                                                                                          |Spectroscopic Binary                  |22 29 19.3390121400 +42 43 46.689899520|096.9648685684395 -12.8638903730356|   17.792 7.693   |10.36    |~                  |    ~     ~    |    1|  314.070   pc  |  -4.1528     +4.1528  |paral   |2020yCat.1350....0G
98  |TYC 3208-1370-1                                                                                          |High Proper Motion Star               |22 28 34.1234427504 +42 58 11.597286396|096.9758101346817 -12.5869702331617| -9.753 -73.470   |10.67    |~                  |    ~     ~    |    1|  180.620   pc  |  -1.2332     +1.2332  |paral   |2020yCat.1350....0G
99  |GSC 03208-01443                                                                                          |Double or Multiple Star               |22 26 01.8735149904 +43 01 07.773622824|096.6015895873354 -12.2968927249937| -10.365 -7.374   |10.920   |~                  |    ~     ~    |    1|  931.272   pc  | -12.3152    +12.3152  |paral   |2020yCat.1350....0G
100 |TYC 3208-1471-1                                                                                          |Star                                  |22 21 37.5833922912 +43 04 40.670808780|095.9454752123792 -11.8076303692514| -19.828 12.353   |10.54    |~                  |    ~     ~    |    1|  105.862   pc  |  -0.1502     +0.1502  |paral   |2020yCat.1350....0G
101 |TYC 3208-1577-1                                                                                          |Star                                  |22 21 50.0686500288 +42 54 11.666911176|095.8791851034207 -11.9742688886524|   23.169 2.917   |9.41     |~                  |    ~     ~    |    1|  485.319   pc  |  -3.1562     +3.1562  |paral   |2020yCat.1350....0G
102 |TYC 3208-1670-1                                                                                          |Star                                  |22 23 36.5515645800 +43 05 08.794765068|096.2588880481574 -12.0002234356099|   0.731 -0.596   |9.96     |~                  |    ~     ~    |    1|  890.076   pc  | -11.4874    +11.4874  |paral   |2020yCat.1350....0G
103 |TYC 3208-1680-1                                                                                          |Star                                  |22 28 20.5544256960 +42 51 37.505705364|096.8801331044199 -12.6575474631878|-10.084 -32.515   |10.40    |~                  |    ~     ~    |    1|  255.291   pc  |  -0.8733     +0.8733  |paral   |2020yCat.1350....0G
104 |TYC 3208-1728-1                                                                                          |Star                                  |22 27 57.1653718944 +43 05 20.909205672|096.9433922010998 -12.4260623265378|  -0.708 -4.940   |10.14    |~                  |    ~     ~    |    1|  583.022   pc  | -11.0812    +11.0812  |paral   |2020yCat.1350....0G
105 |TYC 3208-1837-1                                                                                          |Star                                  |22 22 03.3642670704 +42 45 43.326617040|095.8340570081320 -12.1144175051650| -4.377 -10.743   |10.90    |~                  |    ~     ~    |    1|  866.626   pc  | -11.8664    +11.8664  |paral   |2020yCat.1350....0G
106 |TYC 3208-1864-1                                                                                          |Star                                  |22 27 12.3081879720 +43 03 30.304786032|096.8084687113563 -12.3789496956531|  -17.000 1.536   |10.93    |~                  |    ~     ~    |    0|                |                       |        |                   
107 |TYC 3208-1901-1                                                                                          |Star                                  |22 23 30.5788016376 +43 02 30.744497148|096.2187668500810 -12.0270202898935|   5.644 -1.508   |10.55    |~                  |    ~     ~    |    1|  332.171   pc  |  -2.0081     +2.0081  |paral   |2020yCat.1350....0G
108 |TYC 3208-1920-1                                                                                          |Star                                  |22 27 31.4414474424 +43 04 27.179522436|096.8674832723591 -12.3968181950364|  -9.509 -3.224   |10.46    |~                  |    ~     ~    |    1|  958.497   pc  | -11.2083    +11.2083  |paral   |2020yCat.1350....0G
109 |TYC 3208-1928-1                                                                                          |Star                                  |22 27 36.1183043616 +42 49 41.510398476|096.7448955290864 -12.6122378824693|-41.928 -13.907   |10.30    |~                  |    ~     ~    |    1|  140.160   pc  |  -0.2515     +0.2515  |paral   |2020yCat.1350....0G
110 |GSC 03211-00002                                                                                          |Double or Multiple Star               |22 19 12.1524850272 +43 17 06.789280632|095.6883401664968 -11.3896011218483| -10.019 -6.722   |10.830   |~                  |    ~     ~    |    1|  496.771   pc  |  -3.9732     +3.9732  |paral   |2020yCat.1350....0G
111 |TYC 3211-154-1                                                                                           |High Proper Motion Star               |22 19 11.0227584192 +44 11 11.885086356|096.1988036721488 -10.6402647848709|-33.097 -38.879   |10.66    |~                  |    ~     ~    |    1|  245.345   pc  |  -4.7312     +4.7312  |paral   |2020yCat.1350....0G
112 |TYC 3211-163-1                                                                                           |Star                                  |22 19 50.5547118480 +44 01 51.135743136|096.2103614463848 -10.8355109781298|    9.893 2.513   |10.51    |~                  |    ~     ~    |    1|  641.149   pc  |  -4.7684     +4.7684  |paral   |2020yCat.1350....0G
113 |TYC 3211-204-1                                                                                           |Star                                  |22 19 37.2499013976 +44 53 57.846561504|096.6682546582388 -10.0917615260921|    9.995 5.391   |9.84     |~                  |    ~     ~    |    1|  617.475   pc  |  -6.5198     +6.5198  |paral   |2020yCat.1350....0G
114 |TYC 3211-604-1                                                                                           |Star                                  |22 15 32.9410336488 +43 37 07.595986944|095.3226830421548 -10.7398826189614|  10.027 -0.053   |10.06    |~                  |    ~     ~    |    1|  891.107   pc  |  -9.9259     +9.9259  |paral   |2020yCat.1350....0G
115 |TYC 3211-610-1                                                                                           |Star                                  |22 15 14.5193721744 +43 47 23.669310696|095.3755562018434 -10.5676474580519|   18.253 3.730   |10.79    |~                  |    ~     ~    |    1|  428.908   pc  |  -3.4769     +3.4769  |paral   |2020yCat.1350....0G
116 |TYC 3211-794-1                                                                                           |Star                                  |22 18 08.6843686824 +43 16 43.348616904|095.5221016894586 -11.2869460026490|-28.793 -18.685   |10.97    |~                  |    ~     ~    |    1|  595.451   pc  |  -5.0348     +5.0348  |paral   |2020yCat.1350....0G
117 |TYC 3211-891-1                                                                                           |Star                                  |22 17 56.7212504688 +44 52 33.901263984|096.4050409151855 -09.9453770483624| -8.689 -11.131   |10.89    |~                  |    ~     ~    |    1|  548.246   pc  |  -5.5305     +5.5305  |paral   |2020yCat.1350....0G
118 |TYC 3211-902-1                                                                                           |Star                                  |22 16 00.1226006592 +43 52 49.512403452|095.5426032432516 -10.5712429498560|  -8.204 -9.143   |10.70    |~                  |    ~     ~    |    1|  596.374   pc  |  -5.8684     +5.8684  |paral   |2020yCat.1350....0G
119 |TYC 3211-904-1                                                                                           |Spectroscopic Binary                  |22 16 09.6607468920 +43 37 52.915908612|095.4226915841843 -10.7925287663947|  27.591 21.461   |10.07    |~                  |    ~     ~    |    1|  132.942   pc  |  -0.7882     +0.7882  |paral   |2020yCat.1350....0G
120 |TYC 3211-910-1                                                                                           |Star                                  |22 15 36.7575831792 +43 54 54.170676360|095.5039292953167 -10.5028718423516|   -2.243 7.612   |10.8     |~                  |    ~     ~    |    1|  435.350   pc  |  -2.4070     +2.4070  |paral   |2020yCat.1350....0G
121 |BD+42 4347                                                                                               |Double or Multiple Star               |22 17 10.1948630112 +43 31 03.051706332|095.5103370345342 -10.9898751403379|  -6.799 -9.734   |10.732   |~                  |    ~     ~    |    1| 1116.321   pc  | -21.0603    +21.0603  |paral   |2020yCat.1350....0G
122 |TYC 3211-1685-1                                                                                          |Star                                  |22 15 15.6520767696 +43 23 59.119398744|095.1518204662113 -10.8899952679192|  -2.875 -5.949   |10.97    |~                  |    ~     ~    |    1|  858.001   pc  | -12.4412    +12.4412  |paral   |2020yCat.1350....0G
