C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:51:28

Vmag< 11&dec< 0&rah >=20.0&rah< 20.25
-------------------------------------

Number of objects : 4696

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
3674|HD 191601                                                                                                |Star                                  |20 12 24.0 -41 30 00                   |359.0671 -32.1914                  |            ~ ~    |9.8      |G0             |    ~     ~    
3675|CD-41 13919B                                                                                             |Star                                  |20 14 02.6 -40 53 28                   |359.8375 -32.3967                  |            ~ ~    |9.96     |~              |    ~     ~    
3676|HD 191959                                                                                                |Star                                  |20 14 02.6720300424 -40 53 38.327031024|359.8342097592672 -32.3973858755226|  10.818 -2.399    |9.91     |G8III(+G)      |    ~     ~    
3677|HD 192091                                                                                                |Star                                  |20 14 48.5858715456 -41 08 32.546962356|359.5714638797463 -32.5801880291202|  14.083 -3.715    |10.50    |A7/9II         |    ~     ~    
3678|CD-41 13912                                                                                              |Star                                  |20 12 42.7846993008 -41 24 59.458480344|359.1756947730505 -32.2356882700447|   31.703 6.612    |10.835   |~              |    ~     ~    
3679|CD-41 13913                                                                                              |Star                                  |20 12 52.3383437400 -40 57 54.441102996|359.7077544169476 -32.1908506892253| 19.891 -36.432    |10.55    |~              |    ~     ~    
3680|CD-40 13734                                                                                              |Star                                  |20 13 50.7055304640 -40 14 33.697192740|000.5863378013461 -32.2502438751423|  16.195 14.254    |10.61    |~              |    ~     ~    
3681|CD-40 13694                                                                                              |Star                                  |20 09 47.9374736040 -40 30 04.179864888|000.1270267953590 -31.5370716571384|   4.253 -4.483    |10.88    |~              |    ~     ~    
3682|CD-41 13897                                                                                              |Star                                  |20 10 57.8100641616 -40 42 15.786286704|359.9379816006523 -31.7905852921454|  -1.774 -7.680    |10.46    |~              |    ~     ~    
3683|CD-41 13902                                                                                              |Star                                  |20 11 29.2799566704 -40 54 49.497123348|359.7153727472987 -31.9245020438028| -16.359 17.938    |10.578   |~              |    ~     ~    
3684|CD-40 13712                                                                                              |Star                                  |20 11 29.9865609624 -40 15 34.905387672|000.4741745546911 -31.8126357837223| 10.401 -14.611    |10.464   |~              |    ~     ~    
3685|CD-41 13917                                                                                              |Star                                  |20 13 15.9922652232 -40 54 35.579042748|359.7868164706159 -32.2550463387524|  5.390 -15.444    |10.36    |~              |    ~     ~    
3686|CD-40 13737                                                                                              |Star                                  |20 14 08.0701772496 -40 08 06.800998812|000.7228117633904 -32.2861411462299| -3.709 -14.326    |10.423   |~              |    ~     ~    
3687|CD-41 13923                                                                                              |High Proper Motion Star               |20 14 15.6103119696 -40 42 27.454101624|000.0598838242899 -32.4067716291759| 31.157 -49.961    |10.720   |~              |    ~     ~    
3688|TYC 7951-555-1                                                                                           |Star                                  |20 07 02.0433599112 -40 50 27.779266860|359.6246847985394 -31.0830000065768|   -2.941 0.643    |10.674   |~              |    ~     ~    
3689|TYC 7951-2946-1                                                                                          |Star                                  |20 09 46.5276935952 -40 34 05.850185448|000.0485951184076 -31.5447028747754|   6.700 -9.213    |10.872   |~              |    ~     ~    
3690|TYC 7952-85-1                                                                                            |Star                                  |20 12 23.3264935992 -40 41 38.631992388|000.0049473875861 -32.0548800205080|-20.313 -32.486    |10.63    |~              |    ~     ~    
3691|CD-40 13709                                                                                              |Star                                  |20 11 12.6377330448 -40 32 03.983902980|000.1445111424379 -31.8070072710240| 19.748 -19.761    |10.58    |G2V            |    ~     ~    
3692|TYC 7952-288-1                                                                                           |Star                                  |20 10 47.0737892280 -40 23 35.900943360|000.2910135902693 -31.7022793750300|    2.355 4.369    |10.920   |~              |    ~     ~    
3693|TYC 7952-378-1                                                                                           |Star                                  |20 10 27.4087951056 -40 30 50.014139256|000.1385337039720 -31.6623806851892|   7.162 -1.818    |10.960   |~              |    ~     ~    
3694|TYC 7952-416-1                                                                                           |Star                                  |20 13 27.6362128224 -39 56 32.733581676|000.9205453998957 -32.1254702650398|   30.450 6.966    |10.70    |~              |    ~     ~    
3695|TYC 7952-2124-1                                                                                          |Star                                  |20 14 48.0982542504 -40 49 57.200522448|359.9338871781707 -32.5284968813759|    1.660 4.396    |10.518   |~              |    ~     ~    
3696|TYC 7955-292-1                                                                                           |Star                                  |20 07 39.9029253048 -41 23 27.945626676|359.0169673352982 -31.2984300429652|  -0.250 -3.941    |10.15    |~              |    ~     ~    
3697|TYC 6319-619-1                                                                                           |Star                                  |20 14 10.4180204424 -17 38 14.072079012|025.5082768118981 -25.9595535512899|   2.958 -6.650    |10.99    |~              |    ~     ~    
3698|TYC 6327-478-1                                                                                           |Star                                  |20 14 11.6626841304 -22 22 30.435167028|020.5558020448249 -27.6672632339269|  -1.577 -0.452    |10.962   |~              |    ~     ~    
3699|TYC 6892-203-1                                                                                           |Star                                  |20 05 08.3377 -22 45 00.549            |019.3569983 -25.8327977            |   12.697 4.197    |10.998   |~              |    ~     ~    
3700|TYC 6900-1012-1                                                                                          |Star                                  |20 01 17.1826052736 -27 39 04.054125888|013.8783893841698 -26.6268422758070| -6.418 -12.085    |10.892   |~              |    ~     ~    
3701|TYC 6909-196-1                                                                                           |Star                                  |20 09 17.4178444793 -24 34 18.577921151|017.7977556278750 -27.3420975652101|    0.128 7.387    |10.986   |~              |    ~     ~    
3702|TYC 6909-1849-1                                                                                          |Star                                  |20 09 19.4756607408 -25 27 36.769963824|016.8532950066931 -27.6376455489642| -11.665 -9.654    |10.974   |~              |    ~     ~    
3703|TYC 6913-1648-1                                                                                          |Star                                  |20 07 15.9708071616 -26 25 22.919740680|015.6574921150205 -27.5051360340619| 31.210 -24.383    |10.826   |~              |    ~     ~    
3704|TYC 7448-33-1                                                                                            |Star                                  |20 00 58.7802899616 -35 26 35.053283184|005.4103776824755 -28.7553560850937|  -15.172 1.809    |10.704   |~              |    ~     ~    
3705|TYC 7448-335-1                                                                                           |Star                                  |20 05 49.6038138816 -35 33 04.550817456|005.5642989955963 -29.7386875191958|   7.368 10.481    |10.932   |~              |    ~     ~    
3706|TYC 7448-693-1                                                                                           |Star                                  |20 04 02.4294348648 -34 51 09.089399340|006.2415120863585 -29.2154114729400|  0.825 -36.201    |10.701   |~              |    ~     ~    
3707|TYC 8396-805-1                                                                                           |Star                                  |20 12 01.3681995192 -46 54 21.674599740|352.7016028682203 -32.8467161461233|   2.953 -6.887    |10.961   |~              |    ~     ~    
3708|TYC 8404-1813-1                                                                                          |Star                                  |20 07 22.8072566616 -51 33 37.244148372|347.1153547079750 -32.4904675605229|  -1.381 -3.546    |10.17    |~              |    ~     ~    
3709|TYC 8776-337-1                                                                                           |Star                                  |20 03 56.2513709928 -52 38 22.624534176|345.8000244464356 -32.0352697928347| 11.153 -16.781    |10.936   |~              |    ~     ~    
3710|TYC 8776-1305-1                                                                                          |Star                                  |20 04 45.7647031416 -54 07 34.283638272|344.0556122941790 -32.2433080771832| 25.929 -20.840    |10.610   |~              |    ~     ~    
3711|TYC 8780-111-1                                                                                           |Star                                  |20 07 38.7915174072 -54 54 38.790476496|343.1454119321359 -32.6915895376512|  7.892 -12.552    |10.669   |~              |    ~     ~    
3712|TYC 8784-305-1                                                                                           |Star                                  |20 01 35.8988214840 -57 51 37.634773752|339.6331801225427 -31.9240270972760|   -2.017 8.081    |10.815   |~              |    ~     ~    
3713|TYC 8788-343-1                                                                                           |Star                                  |20 06 38.6830838640 -58 13 22.982097648|339.2098852646861 -32.5942760560307|  13.805 -9.761    |10.333   |~              |    ~     ~    
3714|TYC 8788-896-1                                                                                           |Star                                  |20 10 17.5484522328 -59 14 11.385027132|337.9945644725477 -33.0504079108491| -1.106 -20.302    |10.955   |~              |    ~     ~    
3715|SCR J2002-5824                                                                                           |High Proper Motion Star               |20 02 53.9661482808 -58 24 17.167454712|338.9938991220968 -32.1027422391713|133.153 -154.673   |10.854   |~              |    ~     ~    
3716|TYC 8789-1148-1                                                                                          |Star                                  |20 14 03.3000877536 -59 06 43.122104568|338.1227067360511 -33.5365748107524|  6.418 -23.974    |10.828   |~              |    ~     ~    
3717|TYC 9086-635-1                                                                                           |Star                                  |20 08 11.7761937912 -60 00 25.492972932|337.0865626658688 -32.7624878332056| -4.558 -11.941    |10.772   |~              |    ~     ~    
3718|TYC 9094-103-1                                                                                           |Star                                  |20 03 57.5467641456 -65 30 48.385371204|330.6049818086735 -31.9892624388490|  4.907 -12.987    |10.97    |~              |    ~     ~    
3719|TYC 9464-1411-1                                                                                          |Star                                  |20 09 11.7313814064 -78 30 48.766386240|315.5051999976648 -30.3867825980513|  7.396 -27.238    |10.942   |~              |    ~     ~    
3720|TYC 9460-1877-1                                                                                          |Star                                  |20 09 44.1058006944 -76 17 36.141647532|318.0142084254724 -30.9072702233231|    4.676 2.370    |10.770   |~              |    ~     ~    
3721|HD 189400A                                                                                               |Star                                  |20 00 52.9749004240 -27 10 53.076876932|014.3449771178423 -26.3937740333531|  15.952 -5.873    |8.96     |F3/5(V)        |    ~     ~    
3722|HD 190774A                                                                                               |Star                                  |20 06 55.857 -08 54 51.40              |033.410517 -20.797734              |       6.5 -9.7    |7.85     |~              |    ~     ~    
3723|HD 190220A                                                                                               |High Proper Motion Star               |20 06 50.0034664800 -56 15 18.393161256|341.5460666541583 -32.6075429929229|-133.217 -110.058  |9.07     |~              |    ~     ~    
3724|HD 190249                                                                                                |Star                                  |20 08 22.9870847100 -66 39 00.878929974|329.2201339745328 -32.3341132658859|   -5.489 4.803    |9.38     |F0V            |    ~     ~    
3725|HD 191073                                                                                                |Star                                  |20 09 15.3369349869 -33 21 59.155511636|008.2051503338236 -29.8906098576456|  9.714 -17.917    |8.06     |B9V            |    ~     ~    
3726|TYC 7947-865-1                                                                                           |Star                                  |20 00 38.8229129424 -39 22 08.171027112|001.0171194818913 -29.5949176385145|   -6.410 1.046    |10.78    |~              |    ~     ~    
3727|TYC 5172-1388-1                                                                                          |Star                                  |20 04 24.6490390032 -06 23 04.304804820|035.5339924599294 -19.1225536665931|   3.071 -7.188    |10.959   |~              |    ~     ~    
3728|TYC 5172-2349-1                                                                                          |Star                                  |20 03 58.1754201936 -07 02 21.348567852|034.8614684928620 -19.3159490883292|  7.703 -22.006    |10.999   |~              |    ~     ~    
3729|TYC 5160-148-1                                                                                           |Star                                  |20 06 01.6613049792 -01 12 25.033019580|040.5689608798458 -17.1041735836183|    3.475 2.333    |10.88    |~              |    ~     ~    
3730|TYC 5160-302-1                                                                                           |Star                                  |20 03 51.7235574456 -01 09 12.552356160|040.3522644270642 -16.6013357158698|   8.355 -4.336    |10.93    |~              |    ~     ~    
3731|TYC 5160-407-1                                                                                           |Star                                  |20 06 38.1923327472 -00 37 59.636386416|041.1730881865442 -16.9675165175506|    0.009 1.005    |10.83    |~              |    ~     ~    
3732|TYC 5160-595-1                                                                                           |Star                                  |20 00 09.3088002480 -00 06 20.529106812|040.8594734371800 -15.2903367598577|  -4.612 -8.523    |10.75    |~              |    ~     ~    
3733|HD 357800                                                                                                |Pulsating Variable                    |20 01 38.1581990847 -00 31 58.699562141|040.6497069109256 -15.8183226482922|   0.504 -2.345    |10.82    |A5             |    ~     ~    
3734|TYC 5160-1004-1                                                                                          |Star                                  |20 05 41.6853777624 -01 47 58.710425244|039.9802160462685 -17.3089035108593|   1.435 -1.171    |10.870   |~              |    ~     ~    
3735|HD 357801                                                                                                |Star                                  |20 01 59.6485404600 -00 38 56.538679956|040.5871306659254 -15.9519867740153|  -14.807 3.305    |10.820   |G5             |    ~     ~    
3736|TYC 5160-1050-1                                                                                          |Star                                  |20 04 50.1084003576 -01 11 39.375559536|040.4340498995073 -16.8351808644241| -12.374 -8.206    |10.95    |~              |    ~     ~    
3737|2MASS J20070825-0048105                                                                                  |Long-Period Variable Candidate        |20 07 08.2565893680 -00 48 10.475027892|041.0787215634609 -17.1581512079483|   5.568 -3.656    |10.96    |~              |    ~     ~    
3738|TYC 5160-1124-1                                                                                          |Star                                  |20 05 15.0397411248 -01 36 25.791046668|040.1038382674543 -17.1207039310085|  -5.641 -7.758    |10.97    |~              |    ~     ~    
3739|TYC 5160-1277-1                                                                                          |Star                                  |20 02 35.6555748384 -00 25 08.085545508|040.8717877693834 -15.9757422740934|   1.506 -0.511    |10.52    |~              |    ~     ~    
3740|TYC 5160-1514-1                                                                                          |Star                                  |20 01 49.9624228296 -00 06 23.422756464|041.0644098529939 -15.6603089613584|  6.102 -11.416    |10.87    |~              |    ~     ~    
3741|TYC 5160-1570-1                                                                                          |Star                                  |20 05 11.3569145712 -00 40 43.224686220|040.9525120338074 -16.6702338868598|   5.075 -0.393    |10.81    |~              |    ~     ~    
3742|TYC 5160-1636-1                                                                                          |Star                                  |20 03 09.4818621096 -00 12 38.483583840|041.1319678424489 -16.0014968316270|   1.997 -3.549    |10.84    |~              |    ~     ~    
3743|TYC 5160-1662-1                                                                                          |Star                                  |20 02 56.2125 -00 22 29.897            |040.9541709 -16.0304773            |   2.164 -0.284    |10.10    |~              |    ~     ~    
3744|TYC 5160-1788-1                                                                                          |Star                                  |20 03 52.9654463256 -00 35 01.809182904|040.8787939775567 -16.3375578905759|  -0.660 -8.482    |10.84    |~              |    ~     ~    
3745|TYC 5160-1851-1                                                                                          |Star                                  |20 06 20.4945109968 -01 01 29.196291576|040.7757524609764 -17.0875410406373|    6.513 0.647    |10.78    |~              |    ~     ~    
3746|HD 189759B                                                                                               |Star                                  |20 01 39.0568022410 -00 11 55.623156562|040.9576495039065 -15.6639002178233|    4.807 0.638    |8.37     |~              |    ~     ~    
3747|TYC 5161-21-1                                                                                            |Star                                  |20 11 15.9620745600 -00 00 40.227543900|042.3232132265024 -17.6893204877144|    7.378 2.454    |10.94    |~              |    ~     ~    
3748|TYC 5161-42-1                                                                                            |Star                                  |20 13 29.2767566496 -00 02 12.103880136|042.5794275717413 -18.1891098028525|  -3.987 -7.913    |10.64    |~              |    ~     ~    
3749|TYC 5161-138-1                                                                                           |Star                                  |20 11 34.1948896824 -00 06 07.074343728|042.2776689415551 -17.7994694705688|  -2.496 -5.775    |10.83    |~              |    ~     ~    
3750|TYC 5161-175-1                                                                                           |Star                                  |20 10 42.7362495504 -00 07 55.279845588|042.1423605529822 -17.6255107507660|  -2.255 -6.279    |10.86    |~              |    ~     ~    
3751|TYC 5161-216-1                                                                                           |Star                                  |20 10 10.0641032808 -00 09 05.903130960|042.0560935434817 -17.5152683806765|  -2.565 -6.072    |10.98    |~              |    ~     ~    
3752|TYC 5161-253-1                                                                                           |Star                                  |20 12 19.9428885432 -00 43 47.352824328|041.7930578505418 -18.2665817422250|   3.759 10.174    |10.81    |~              |    ~     ~    
3753|NSV 12898                                                                                                |Variable Star                         |20 13 01.6940377464 -00 43 15.010230180|041.8886535309943 -18.4152605173794|  -4.204 -2.711    |10.563   |~              |    ~     ~    
3754|TYC 5161-500-1                                                                                           |Star                                  |20 10 16.1090674056 -00 23 49.007898096|041.8424976129237 -17.6543759546067|   5.921 -7.415    |10.84    |~              |    ~     ~    
3755|TYC 5161-562-1                                                                                           |Star                                  |20 11 41.3543766360 -00 36 19.555163964|041.8276187581680 -18.0659763302482|   -1.502 1.747    |10.81    |~              |    ~     ~    
3756|TYC 5161-771-1                                                                                           |Star                                  |20 11 57.4240037064 -00 54 46.959155316|041.5763383537253 -18.2711715644637|    2.803 1.674    |10.22    |~              |    ~     ~    
3757|TYC 5161-773-1                                                                                           |Star                                  |20 13 53.5018231584 -00 59 43.894598568|041.7422128347743 -18.7358435779081|   4.840 -7.227    |10.90    |~              |    ~     ~    
3758|TYC 5161-854-1                                                                                           |Star                                  |20 14 04.5746639760 -00 52 15.358941804|041.8810958816079 -18.7171045577678|   13.936 0.012    |9.97     |~              |    ~     ~    
3759|TYC 5161-856-1                                                                                           |Star                                  |20 14 35.9517263880 -01 10 08.878368252|041.6696775865494 -18.9739629511485|  2.988 -18.030    |10.21    |~              |    ~     ~    
3760|IRAS 20101-0057                                                                                          |Star                                  |20 12 45.4395530472 -00 48 23.772310092|041.7751822137519 -18.3965502298185|  -7.818 -7.330    |10.90    |~              |    ~     ~    
3761|TYC 5161-1721-1                                                                                          |Star                                  |20 08 33.9888170690 -00 01 46.069087810|041.9684997148864 -17.1051656588874|  15.766 -8.386    |10.72    |~              |    ~     ~    
3762|TYC 5161-1725-1                                                                                          |Star                                  |20 07 35.6130487224 -00 37 30.103238568|041.2991858029703 -17.1743305165853|  -8.584 -7.105    |10.95    |~              |    ~     ~    
3763|TYC 5161-2075-1                                                                                          |Star                                  |20 07 58.0099177704 -00 16 56.091992412|041.6612470889188 -17.0937315001937|  18.301 -1.000    |10.99    |~              |    ~     ~    
3764|HD 357937                                                                                                |Star                                  |20 08 23.7555 -00 48 35.775            |041.2281490 -17.4385710            |    4.629 0.564    |10.86    |A2             |    ~     ~    
3765|TYC 5161-2325-1                                                                                          |Star                                  |20 07 36.6478325088 -00 36 43.219494180|041.3133272857608 -17.1719544573118|    4.761 7.492    |9.86     |~              |    ~     ~    
3766|TYC 5164-216-1                                                                                           |Star                                  |20 00 02.7660065136 -02 13 42.496042980|038.8969846826242 -16.2600334734577|  -14.152 1.910    |10.978   |~              |    ~     ~    
3767|TYC 5164-374-1                                                                                           |Star                                  |20 07 19.0564418544 -02 32 34.701662436|039.4889333045172 -18.0144294759843| -10.707 -2.832    |10.92    |~              |    ~     ~    
3768|TYC 5164-545-1                                                                                           |High Proper Motion Star               |20 02 35.3129832792 -02 28 46.396239024|038.9723516129307 -16.9391117083085|-23.983 -115.593   |10.82    |~              |    ~     ~    
3769|TYC 5164-637-1                                                                                           |Star                                  |20 01 06.9486682968 -02 43 20.541007920|038.5695409098838 -16.7255923889669| -0.468 -26.525    |10.66    |~              |    ~     ~    
3770|TYC 5164-937-1                                                                                           |High Proper Motion Star               |20 02 44.2323946896 -03 13 02.953009272|038.3056450941562 -17.3132400957774| 72.627 -16.893    |10.90    |~              |    ~     ~    
3771|TYC 5165-54-1                                                                                            |Star                                  |20 10 25.9172958864 -02 03 53.663701032|040.3167360578329 -18.4788539155135| 31.660 -11.466    |10.84    |~              |    ~     ~    
3772|TYC 5165-156-1                                                                                           |Star                                  |20 11 48.2452689984 -02 00 52.323260796|040.5334992246349 -18.7578936943598|  -1.541 -0.921    |10.70    |~              |    ~     ~    
3773|TYC 5165-222-1                                                                                           |Star                                  |20 14 27.7168034808 -02 24 37.869646320|040.4934980190555 -19.5300528586880|  1.830 -12.436    |10.50    |~              |    ~     ~    
3774|TYC 5165-315-1                                                                                           |Star                                  |20 10 19.6287094464 -02 15 00.147934404|040.1313233580352 -18.5424747571047|    9.519 2.516    |10.84    |~              |    ~     ~    
3775|TYC 5165-570-1                                                                                           |Star                                  |20 11 55.8055592136 -02 45 58.555350180|039.8467728428314 -19.1376591371760|    1.784 0.218    |10.75    |~              |    ~     ~    
3776|TYC 5165-1186-1                                                                                          |Star                                  |20 12 28.3144024032 -03 08 28.994386380|039.5618104558965 -19.4320556261653|  9.496 -12.329    |10.60    |~              |    ~     ~    
3777|TYC 5165-1205-1                                                                                          |Star                                  |20 13 56.3567635080 -03 28 41.479899744|039.4256489968173 -19.9128066066466|    4.135 1.135    |10.84    |~              |    ~     ~    
3778|TYC 5165-1372-1                                                                                          |Star                                  |20 11 57.2227145856 -03 18 48.442463712|039.3365468965221 -19.3974076345276| -8.637 -30.818    |10.83    |~              |    ~     ~    
3779|TYC 5165-1557-1                                                                                          |Star                                  |20 09 42.2420318328 -02 52 28.068878568|039.4719099635003 -18.6961689275661|  -4.342 -8.760    |10.98    |~              |    ~     ~    
3780|TYC 5165-1730-1                                                                                          |Star                                  |20 08 32.8416217968 -02 25 30.970175196|039.7491242173083 -18.2313299669817|  -6.451 -7.727    |10.96    |~              |    ~     ~    
3781|TYC 5165-2150-1                                                                                          |Star                                  |20 08 28.6134231576 -03 44 22.171099740|038.5123630867162 -18.8249524947896|   -2.716 3.757    |10.97    |~              |    ~     ~    
3782|HD 192007B                                                                                               |Star                                  |20 12 47.5154835728 -02 59 44.909572799|039.7378736777917 -19.4350300383562| -13.632 -5.304    |9.33     |~              |    ~     ~    
3783|TYC 5168-133-1                                                                                           |Star                                  |20 06 43.7655745512 -05 14 06.605163528|036.8950000183562 -19.1205570087771|   12.174 1.538    |10.98    |~              |    ~     ~    
3784|TYC 5168-215-1                                                                                           |Star                                  |20 06 26.2774576200 -05 12 48.916648440|036.8805850854338 -19.0460874042196|  8.288 -38.913    |10.94    |~              |    ~     ~    
3785|TYC 5168-350-1                                                                                           |Star                                  |20 01 24.3888123072 -03 47 10.039441992|037.6168708307805 -17.2795417891155|    2.203 1.002    |10.972   |~              |    ~     ~    
3786|TYC 5168-523-1                                                                                           |Star                                  |20 05 16.5114535968 -05 21 02.816568288|036.6127648026169 -18.8500187825928|  20.218 -6.162    |10.73    |~              |    ~     ~    
3787|TYC 5168-570-1                                                                                           |Star                                  |20 04 30.7458267264 -03 47 25.584217908|037.9855504007542 -17.9700909718947|   0.053 -0.070    |10.60    |~              |    ~     ~    
3788|TYC 5168-742-1                                                                                           |Star                                  |20 03 37.0376974920 -04 35 11.232880368|037.1335875738525 -18.1353623049994|  -7.328 -0.679    |10.77    |~              |    ~     ~    
3789|TYC 5168-749-1                                                                                           |Star                                  |20 05 00.8935169136 -05 20 22.278814656|036.5924402665096 -18.7871326347744|   0.651 -4.878    |10.73    |~              |    ~     ~    
3790|TYC 5168-837-1                                                                                           |Star                                  |20 06 30.1678169664 -05 08 18.658439664|036.9591184146596 -19.0264653158553|   41.066 1.166    |10.67    |~              |    ~     ~    
3791|TYC 5168-1208-1                                                                                          |Spectroscopic Binary                  |20 05 20.3357587104 -04 33 57.157023168|037.3586875515993 -18.5079652928446|  12.584 -3.563    |10.83    |~              |    ~     ~    
3792|TYC 5168-1390-1                                                                                          |Star                                  |20 02 25.4432129544 -04 25 49.963169748|037.1371818538950 -17.7996022199025|  16.898 -9.334    |10.95    |~              |    ~     ~    
3793|HD 190437B                                                                                               |High Proper Motion Star               |20 05 07.2587788488 -04 18 30.428742816|037.5740168054824 -18.3421831483656|  62.134 56.605    |9.03     |~              |    ~     ~    
3794|TYC 5169-149-1                                                                                           |Star                                  |20 14 13.7829859680 -04 25 45.278483952|038.5624637208105 -20.4160055881191|  0.421 -22.311    |10.73    |~              |    ~     ~    
3795|TYC 5169-233-1                                                                                           |Star                                  |20 14 23.4610611984 -04 33 37.767492936|038.4576844950069 -20.5119492140259|-13.323 -25.768    |10.789   |~              |    ~     ~    
3796|TYC 5169-236-1                                                                                           |Star                                  |20 10 57.7955256288 -04 39 56.746445652|037.9415202858649 -19.8006890807583| -7.990 -21.623    |10.87    |~              |    ~     ~    
3797|TYC 5169-444-1                                                                                           |Star                                  |20 11 04.2214180896 -04 02 08.723382396|038.5491114069168 -19.5355958315426|  0.960 -29.451    |10.99    |~              |    ~     ~    
3798|TYC 5169-517-1                                                                                           |Star                                  |20 13 06.8253054624 -05 32 58.359398640|037.3623559959528 -20.6796292849004|   5.089 -4.663    |10.80    |~              |    ~     ~    
3799|TYC 5169-600-1                                                                                           |Star                                  |20 13 56.3801630304 -04 03 10.914410232|038.8831372551046 -20.1787131725888|  12.390 -3.392    |10.73    |~              |    ~     ~    
3800|TYC 5169-726-1                                                                                           |Star                                  |20 14 50.6580991032 -04 04 08.755801788|038.9788365031328 -20.3862975662369| -5.239 -33.897    |10.97    |~              |    ~     ~    
3801|TYC 5169-893-1                                                                                           |Star                                  |20 11 56.7773228520 -04 44 07.563058080|037.9946197991506 -20.0503951915356|   6.204 -3.582    |10.66    |~              |    ~     ~    
3802|TYC 5169-964-1                                                                                           |Star                                  |20 10 43.4957074248 -04 42 05.495567148|037.8788857466784 -19.7641959505715|   1.605 -2.551    |10.30    |~              |    ~     ~    
3803|TYC 5169-1912-1                                                                                          |Star                                  |20 08 32.0399405448 -04 33 41.461491672|037.7465819106743 -19.2145584451947|  20.462 -3.803    |10.82    |~              |    ~     ~    
3804|TYC 5169-1918-1                                                                                          |Star                                  |20 08 36.2951924448 -04 28 38.546692644|037.8343922102735 -19.1918427229896|  11.812 24.881    |10.95    |~              |    ~     ~    
3805|TYC 5169-1981-1                                                                                          |Star                                  |20 08 39.6838594296 -04 37 46.666651764|037.6977419990703 -19.2738964407588|    3.334 2.475    |10.926   |~              |    ~     ~    
3806|TYC 5172-52-1                                                                                            |Star                                  |20 05 38.8797609720 -05 53 40.257712572|036.1435918453275 -19.1778781686722|   -4.259 1.786    |10.46    |~              |    ~     ~    
3807|TYC 5172-268-1                                                                                           |Star                                  |20 03 18.9637506048 -05 38 40.574044320|036.1037639633087 -18.5474259428481|   6.053 -5.971    |10.97    |~              |    ~     ~    
3808|TYC 5172-463-1                                                                                           |Star                                  |20 01 41.8315178616 -06 51 40.986994032|034.7653049381906 -18.7316659067376|   3.257 -3.037    |10.96    |~              |    ~     ~    
3809|TYC 5172-616-1                                                                                           |Star                                  |20 04 20.1659579688 -06 06 14.743769400|035.7905215278617 -18.9804538205738|  -0.189 -4.043    |10.42    |~              |    ~     ~    
3810|TYC 5172-881-1                                                                                           |Star                                  |20 05 56.3279677920 -07 15 24.454463616|034.8842535108093 -19.8502400137898|  -2.742 -1.559    |10.58    |~              |    ~     ~    
3811|TYC 5172-984-1                                                                                           |Star                                  |20 05 29.6424564936 -06 00 01.631088324|036.0251712120194 -19.1912583351133| -4.536 -21.287    |10.82    |~              |    ~     ~    
3812|TYC 5172-1084-1                                                                                          |Star                                  |20 07 26.9983710672 -05 55 35.988192156|036.3266977216034 -19.5925980406439|  -3.320 -7.476    |10.814   |~              |    ~     ~    
3813|TYC 5172-1198-1                                                                                          |Star                                  |20 02 16.6898774136 -06 09 12.651243552|035.5018927073744 -18.5452167763577|  -2.944 -7.248    |10.75    |~              |    ~     ~    
3814|TYC 5172-1241-1                                                                                          |Star                                  |20 07 14.9113548264 -07 18 26.514184680|034.9890093165423 -20.1638587867504|   3.424 -7.071    |10.61    |~              |    ~     ~    
3815|TYC 5172-1282-1                                                                                          |Star                                  |20 01 44.7558932952 -06 13 52.055830740|035.3662929087720 -18.4616295522192|  -3.495 -6.835    |10.52    |~              |    ~     ~    
3816|TYC 5172-1563-1                                                                                          |Star                                  |20 06 40.8104304408 -07 03 49.466104416|035.1549686036772 -19.9295094520451| -9.199 -23.374    |10.78    |~              |    ~     ~    
3817|TYC 5172-2093-1                                                                                          |Star                                  |20 00 57.7577877168 -07 21 17.406634176|034.2128373588906 -18.7868593140705|  -14.847 5.620    |10.98    |~              |    ~     ~    
3818|TYC 5172-2290-1                                                                                          |Star                                  |20 03 37.7503650648 -06 33 03.635798472|035.2846600614644 -19.0231138698797|   8.739 -5.184    |10.82    |~              |    ~     ~    
3819|TYC 5172-2341-1                                                                                          |Star                                  |20 06 50.4846130200 -06 51 25.536384864|035.3707608884239 -19.8735310290971|  -4.242 -9.881    |10.96    |~              |    ~     ~    
3820|TYC 5172-2376-1                                                                                          |Star                                  |20 01 25.5508465848 -06 09 43.425828828|035.3938950010893 -18.3595869293517|   2.429 -7.398    |10.73    |~              |    ~     ~    
3821|TYC 5172-2429-1                                                                                          |Star                                  |20 02 53.0924869296 -06 27 41.317947144|035.2821929879861 -18.8177122571887|  4.532 -15.959    |10.95    |~              |    ~     ~    
3822|TYC 5172-2433-1                                                                                          |Star                                  |20 06 35.8403878920 -06 12 13.915403748|035.9628476849683 -19.5276192729747|   3.606 -0.528    |10.78    |~              |    ~     ~    
