C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
69  |BD+00 2563                                                                                               |Star                              |09 49 31.2850400664 -00 27 01.055055240|237.5506435821680 +38.3474893163466|   5.160 -7.779    |10.292   |~              |    ~     ~    |    1|  764.689   pc  | -36.2300    +36.2300  |ST-L    |2020AJ....160...83S
70  |TYC 4895-1646-1                                                                                          |Star                              |09 49 34.1919699576 -01 21 01.681470180|238.4817343061646 +37.8246039441786|  4.470 -22.144    |10.50    |~              |    ~     ~    |    1|  823.181   pc  | -12.9427    +12.9427  |paral   |2020yCat.1350....0G
71  |BD-00 2253                                                                                               |Star                              |09 49 54.3699963240 -01 30 14.931469584|238.7013174701954 +37.8003503029868| 16.019 -10.861    |10.50    |~              |    ~     ~    |    1|  331.664   pc  |  -3.1790     +3.1790  |paral   |2020yCat.1350....0G
72  |TYC 4896-587-1                                                                                           |Star                              |09 50 05.9500659912 -01 37 31.817061912|238.8608649070229 +37.7663825438816|   -6.431 8.381    |10.46    |~              |    ~     ~    |    1| 1201.634   pc  | -27.4346    +27.4346  |paral   |2020yCat.1350....0G
73  |BD-01 2311                                                                                               |Star                              |09 50 48.3930540960 -02 21 49.287315528|239.7389035101290 +37.4624009743211|  -1.969 -6.722    |10.21    |~              |    ~     ~    |    1|  274.228   pc  |  -1.2859     +1.2859  |paral   |2020yCat.1350....0G
74  |BD-01 2313                                                                                               |Star                              |09 51 10.9641729456 -02 10 59.453492124|239.6296580540092 +37.6465576450869|  -42.938 7.703    |10.26    |~              |    ~     ~    |    1|  214.394   pc  |  -0.9607     +0.9607  |paral   |2020yCat.1350....0G
75  |BD-00 2260                                                                                               |Star                              |09 51 33.6730978848 -01 29 03.378153012|238.9954147303862 +38.1434666929995|   7.876 -4.618    |10.71    |~              |    ~     ~    |    1|  354.472   pc  |  -2.6387     +2.6387  |paral   |2020yCat.1350....0G
76  |TYC 4896-200-1                                                                                           |Star                              |09 52 02.2670248776 -01 59 31.015200408|239.6008162152720 +37.9323617153664|   5.988 -3.460    |10.65    |~              |    ~     ~    |    1|  220.882   pc  |  -1.0392     +1.0392  |paral   |2020yCat.1350....0G
77  |BD-00 2261                                                                                               |High Proper Motion Star           |09 52 43.2746356992 -01 26 43.060291296|239.1777364269800 +38.3985732144349| 90.698 -93.961    |10.31    |~              |    ~     ~    |    1|  128.604   pc  |  -0.2679     +0.2679  |paral   |2020yCat.1350....0G
78  |TYC 4896-738-1                                                                                           |Star                              |09 52 54.6119939784 -01 12 01.463307588|238.9639616950826 +38.5835156430153|   2.364 -2.340    |10.94    |~              |    ~     ~    |    1|  770.357   pc  | -13.8274    +13.8274  |paral   |2020yCat.1350....0G
79  |TYC 4896-264-1                                                                                           |High Proper Motion Star           |09 53 12.5851444896 -01 44 18.598298856|239.5698134795714 +38.3188782011021| -77.561 12.668    |10.65    |~              |    ~     ~    |    1|  290.901   pc  |  -2.3948     +2.3948  |paral   |2020yCat.1350....0G
80  |TYC 4896-328-1                                                                                           |High Proper Motion Star           |09 53 12.6591378360 -02 09 57.295390212|240.0020907001383 +38.0595532093652| 39.426 -34.817    |10.477   |~              |    ~     ~    |    1|  426.897   pc  | -44.4300    +44.4300  |ST-L    |2020AJ....160...83S
81  |TYC 4896-894-1                                                                                           |Star                              |09 53 20.7848276040 -01 26 21.737692320|239.2919289699111 +38.5268387178367|  1.410 -12.245    |10.53    |~              |    ~     ~    |    1|  838.243   pc  | -41.8900    +41.8900  |ST-L    |2020AJ....160...83S
82  |TYC 4896-1174-1                                                                                          |Star                              |09 53 38.8464561768 -00 19 07.347662796|238.1960289887468 +39.2576120323193|  8.023 -14.428    |10.676   |~              |    ~     ~    |    1|  771.192   pc  | -45.5400    +45.5400  |ST-L    |2020AJ....160...83S
83  |TYC 4896-244-1                                                                                           |Star                              |09 53 40.9386851427 -02 08 01.442429562|240.0608693018548 +38.1725212332122|  11.065 -7.448    |10.94    |~              |    ~     ~    |    0|                |                       |        |                   
84  |TYC 4896-974-1                                                                                           |Star                              |09 53 52.3513061232 -01 42 01.314222588|239.6591332161616 +38.4737429117574|  -1.000 -6.417    |10.73    |~              |    ~     ~    |    1|  320.051   pc  |  -1.7004     +1.7004  |paral   |2020yCat.1350....0G
85  |TYC 4896-67-1                                                                                            |Star                              |09 54 22.1346071616 -01 48 25.817042880|239.8637797725553 +38.5074469424667|-48.530 -10.323    |10.51    |~              |    ~     ~    |    1|  137.391   pc  |  -0.4493     +0.4493  |paral   |2020yCat.1350....0G
86  |TYC 4896-661-1                                                                                           |Star                              |09 54 39.2878812144 -01 07 03.093698856|239.2153885474231 +38.9817674120919|-18.628 -10.615    |10.57    |~              |    ~     ~    |    1|  730.087   pc  | -12.5261    +12.5261  |paral   |2020yCat.1350....0G
87  |TYC 4896-117-1                                                                                           |Star                              |09 55 04.6211016864 -01 51 27.996091848|240.0529099300711 +38.6169774265957|   4.034 -6.781    |10.87    |~              |    ~     ~    |    1| 1305.142   pc  | -30.3205    +30.3205  |paral   |2020yCat.1350....0G
88  |TYC 4896-814-1                                                                                           |Star                              |09 55 13.2690328512 -01 27 04.422860352|239.6671551695855 +38.8928116522847|  37.213 -4.408    |10.962   |~              |    ~     ~    |    1|  242.359   pc  |  -5.3440     +5.3440  |ST-L    |2020AJ....160...83S
89  |TYC 4896-1023-1                                                                                          |High Proper Motion Star           |09 55 18.2221655064 -01 39 13.980888144|239.8899191477630 +38.7860961318350|-60.619 -27.684    |10.64    |~              |    ~     ~    |    1|  189.362   pc  |  -0.8283     +0.8283  |paral   |2020yCat.1350....0G
90  |BD-00 2269                                                                                               |Star                              |09 55 30.8711072088 -01 40 23.728880028|239.9507910036039 +38.8161006558628| 22.314 -30.385    |10.613   |~              |    ~     ~    |    1|  560.004   pc  |  -6.2721     +6.2721  |paral   |2020yCat.1350....0G
91  |TYC 4896-860-1                                                                                           |Star                              |09 55 59.8364886504 -01 13 35.017026960|239.5883162772146 +39.1833772162388|  -1.840 -4.687    |10.32    |~              |    ~     ~    |    1|  722.804   pc  |  -8.9861     +8.9861  |paral   |2020yCat.1350....0G
92  |SA 101-308                                                                                               |High Proper Motion Star           |09 54 11.7148272936 -00 27 34.451448156|238.4475067955045 +39.2839720596728|-82.473 -49.987    |10.60    |~              |    ~     ~    |    1|  211.457   pc  |  -0.9256     +0.9256  |paral   |2020yCat.1350....0G
93  |TYC 4896-105-1                                                                                           |Star                              |09 51 15.4193518056 -01 51 28.293454332|239.3160364429527 +37.8579576563976|   2.073 -9.103    |10.25    |~              |    ~     ~    |    1|  661.726   pc  |  -8.5825     +8.5825  |paral   |2020yCat.1350....0G
94  |TYC 4895-558-1                                                                                           |Star                              |09 46 13.0701035304 -02 02 51.531921276|238.5580614981759 +36.7364845500800| -12.092 -3.297    |10.562   |~              |    ~     ~    |    1|  700.633   pc  | -27.5100    +27.5100  |ST-L    |2020AJ....160...83S
