C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2062|BD-03 2822                                                                                               |High Proper Motion Star           |09 57 56.1749801616 -04 15 40.541709168|243.0097016097298 +37.6788665499048| -62.850 23.692    |10.203   |~              |    ~     ~    |    1|  276.802   pc  |  -4.6120     +4.6120  |ST-L    |2020AJ....160...83S
2063|BD-03 2823                                                                                               |Star                              |09 58 15.9538962504 -04 08 58.474297428|242.9666241547215 +37.8132860326157| -19.618 15.421    |10.026   |~              |    ~     ~    |    1| 1162.090   pc  | -84.0600    +84.0600  |ST-L    |2020AJ....160...83S
2064|BD-01 2328                                                                                               |Star                              |09 57 40.8187785432 -02 40 02.602885764|241.3820006172115 +38.6309327522470|  -27.245 4.566    |10.57    |~              |    ~     ~    |    1|  349.479   pc  |  -5.8625     +5.8625  |paral   |2020yCat.1350....0G
2065|TYC 4899-282-1                                                                                           |Star                              |09 57 49.5556682232 -03 11 50.837836992|241.9401162111452 +38.3286021615968|  -47.694 7.865    |10.85    |~              |    ~     ~    |    1|  287.971   pc  |  -7.3360     +7.3360  |ST-L    |2020AJ....160...83S
2066|BD-02 3020                                                                                               |Star                              |09 57 54.5333977320 -02 49 19.156954332|241.5822998896566 +38.5793767607369| -28.131 -2.173    |10.09    |~              |    ~     ~    |    1|  298.409   pc  |  -2.2707     +2.2707  |paral   |2020yCat.1350....0G
2067|BD-02 3021                                                                                               |Star                              |09 58 28.0600565520 -02 47 50.388862920|241.6690454801317 +38.7038156117386|  -0.399 -6.085    |10.62    |~              |    ~     ~    |    1| 1563.966   pc  | -44.7616    +44.7616  |paral   |2020yCat.1350....0G
2068|HD 86518                                                                                                 |Star                              |09 58 57.3142676208 -03 32 57.298328916|242.5147198779482 +38.3265020182950|  2.075 -41.853    |8.92     |F7/8V          |    ~     ~    |    1|   94.879   pc  |  -0.7391     +0.7391  |ST-L    |2020AJ....160...83S
2069|AG-02 555                                                                                                |Star                              |09 59 04.0550907648 -03 00 56.388934512|242.0073388615634 +38.6840664302912| -32.243 -3.704    |9.3      |F8             |    ~     ~    |    1|  170.861   pc  |  -0.4992     +0.4992  |paral   |2020yCat.1350....0G
2070|HD 86535                                                                                                 |Star                              |09 59 01.8819672864 -03 01 17.720353956|242.0059872640956 +38.6733073940149| 26.810 -23.067    |7.48     |F0/2III        |    ~     ~    |    1|  144.951   pc  |  -3.2462     +3.2462  |paral   |2020yCat.1350....0G
2071|BD-02 3026                                                                                               |Star                              |09 59 11.8401949848 -02 48 46.317066876|241.8306340320007 +38.8363506203542|  -7.562 -6.499    |10.278   |G5             |    ~     ~    |    1|  794.988   pc  | -33.0800    +33.0800  |ST-L    |2020AJ....160...83S
2072|HD 86579                                                                                                 |Star                              |09 59 18.5514500232 -03 04 29.604000144|242.1149096875781 +38.6938528725652| 27.447 -15.977    |8.880    |F2V            |    ~     ~    |    1|  150.938   pc  |  -1.7990     +1.7990  |ST-L    |2020AJ....160...83S
2073|HD 86664                                                                                                 |Star                              |09 59 54.1425966096 -03 27 03.087443736|242.6080376085525 +38.5718546771858|  -34.375 2.142    |9.05     |F2/3IV/V       |    ~     ~    |    1|  176.529   pc  |  -0.5765     +0.5765  |paral   |2020yCat.1350....0G
2074|HD 86536                                                                                                 |Star                              |09 59 01.6789476672 -04 27 45.387467532|243.4250911400692 +37.7603393199533|  -19.636 4.927    |9.330    |K3III          |    ~     ~    |    1|  580.036   pc  | -37.9600    +37.9600  |ST-L    |2020AJ....160...83S
2075|NGC 3083                           NGC 3083                                                              |Galaxy towards a Group of Galaxies|09 59 49.6745418672 -02 52 38.914483332|242.0220337009911 +38.9185870209188|            ~ ~    |     ~   |~              |0.933 0.299    |    1|   79.07    Mpc |                       |        |2016AJ....152...50T
2076|TYC 4899-1174-1                                                                                          |Star                              |09 59 23.6146053432 -04 06 07.252234668|243.1467937541703 +38.0605464938067| -13.422 -3.826    |10.59    |~              |    ~     ~    |    1|  439.020   pc  |  -4.1053     +4.1053  |paral   |2020yCat.1350....0G
2077|BD-04 2766                                                                                               |Spectroscopic Binary              |09 57 30.7829759256 -05 01 18.312010428|243.6622292867957 +37.1125372350777|  12.782 -9.290    |10.112   |~              |    ~     ~    |    1|  287.793   pc  | -10.3500    +10.3500  |ST-L    |2020AJ....160...83S
2078|BD-04 2762                                                                                               |Star                              |09 56 44.7051288000 -05 21 53.027357868|243.8381749911346 +36.7459177113858|   -5.420 6.063    |9.07     |M3             |    ~     ~    |    1|  949.848   pc  | -24.9010    +24.9010  |paral   |2020yCat.1350....0G
2079|HD 86280                                                                                                 |Star                              |09 57 16.9193632776 -05 10 57.578962548|243.7707730656978 +36.9652460028492| -47.302 -3.391    |8.47     |F5IV/V         |    ~     ~    |    1|   98.437   pc  |  -0.2141     +0.2141  |paral   |2020yCat.1350....0G
2080|HD 86205                                                                                                 |Star                              |09 56 49.5038351 -05 47 04.153132      |244.2545062611 +36.4911014950      |   -6.88 -11.01    |8.42     |F7/8V          |    ~     ~    |    0|                |                       |        |                   
2081|BD-05 2952                                                                                               |High Proper Motion Star           |09 57 59.1552059952 -06 00 08.712196632|244.6937430095200 +36.5702345424779| -54.316 45.398    |9.922    |G2             |    ~     ~    |    1|  156.720   pc  |  -2.6850     +2.6850  |ST-L    |2020AJ....160...83S
2082|HD 86240                                                                                                 |High Proper Motion Star           |09 57 08.2594038048 -06 26 51.205295976|244.9437943910852 +36.1207614141711| -56.081 -1.196    |9.71     |G2V            |    ~     ~    |    1|  129.825   pc  |  -0.3708     +0.3708  |paral   |2020yCat.1350....0G
2083|HD 86379                                                                                                 |High Proper Motion Star           |09 58 00.2910662592 -06 27 19.349824464|245.1250490960239 +36.2791148247977| -55.815 12.875    |9.435    |K0III          |    ~     ~    |    1|  298.906   pc  |  -5.6250     +5.6250  |ST-L    |2020AJ....160...83S
