C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
93  |V* AY Cam                                                                                                |Spectroscopic Binary           |08 25 51.7866730824 +77 13 06.845960820|136.6964319317576 +31.5694235048651|  -5.201 -5.060   |9.72     |A0V+F0V              |    ~     ~    
94  |V* MV Cam                                                                                                |Mira Variable                  |08 19 47.1537869376 +77 44 32.223413040|136.2153654060190 +31.1069636647026|   -3.733 2.505   |10.62    |M7/8                 |    ~     ~    
95  |TYC 4540-1218-1                                                                                          |Star                           |08 22 41.4991966464 +77 10 39.124088796|136.8008159569186 +31.4124989973774|  13.532 -1.546   |10.25    |~                    |    ~     ~    
96  |TYC 4540-1358-1                                                                                          |Star                           |08 18 46.4855450832 +77 28 44.722316928|136.5285780128779 +31.1245343010255|   31.014 4.882   |10.90    |~                    |    ~     ~    
97  |TYC 4540-1522-1                                                                                          |Star                           |08 20 05.3151118968 +77 20 36.686080248|136.6593012477640 +31.2293852800585|  -7.716 -8.448   |10.17    |~                    |    ~     ~    
98  |TYC 4540-1540-1                                                                                          |Star                           |08 18 51.2801637936 +76 33 04.465887984|137.5758802570423 +31.3678743275119|  0.995 -40.440   |10.56    |~                    |    ~     ~    
99  |TYC 4540-2198-1                                                                                          |Star                           |08 25 13.9827141624 +76 29 10.665129372|137.5331126481036 +31.7434712517942|   6.723 -6.905   |10.73    |~                    |    ~     ~    
100 |TYC 4540-2332-1                                                                                          |Star                           |08 26 43.8239444688 +76 24 54.219516120|137.5843679998590 +31.8477208957270|   7.248 -8.474   |10.81    |~                    |    ~     ~    
101 |TYC 4540-2614-1                                                                                          |Star                           |08 28 15.7364764008 +76 48 52.285069800|137.1041535127206 +31.8165131823838| -3.799 -24.879   |10.35    |~                    |    ~     ~    
102 |TYC 4543-1072-1                                                                                          |Star                           |08 27 28.4489342760 +78 04 34.010101812|135.7062571237985 +31.3968867445233| -11.223 -3.535   |10.84    |~                    |    ~     ~    
103 |TYC 4543-1245-1                                                                                          |Star                           |08 27 58.5739128480 +78 01 12.034982244|135.7595513939085 +31.4387780496096|-10.150 -23.982   |10.84    |~                    |    ~     ~    
104 |TYC 4543-1835-1                                                                                          |Star                           |08 15 54.1331863752 +77 47 43.240098480|136.2182110558460 +30.8945512575235|   -2.943 4.703   |10.77    |~                    |    ~     ~    
105 |TYC 4543-1848-1                                                                                          |Red Giant Branch star          |08 22 35.7776437416 +78 45 26.628571944|135.0312894406371 +30.9603355041348| 15.658 -24.697   |10.67    |~                    |    ~     ~    
106 |TYC 4543-2138-1                                                                                          |Pulsating Variable             |08 16 13.0705589976 +79 10 45.570494460|134.6589769576199 +30.5495787926225|   -0.410 3.848   |10.88    |~                    |    ~     ~    
107 |TYC 4543-2561-1                                                                                          |Star                           |08 20 53.7503128992 +78 14 30.664073292|135.6359686314336 +31.0257767341330|-20.128 -27.460   |10.37    |~                    |    ~     ~    
108 |TYC 4543-2803-1                                                                                          |High Proper Motion Star        |08 27 41.3323617048 +77 52 49.066756932|135.9208870183705 +31.4671086178069|-41.432 -47.698   |10.96    |~                    |    ~     ~    
109 |TYC 4540-2726-1                                                                                          |Star                           |08 15 38.2982374920 +76 18 44.071537212|137.9011844738057 +31.2435709151633|  18.136 15.450   |10.29    |K0                   |    ~     ~    
110 |HD 67869                                                                                                 |High Proper Motion Star        |08 17 43.1533660272 +76 12 43.899249996|137.9799874031168 +31.3875845552679|-64.776 -110.192  |8.09     |G0                   |    ~     ~    
111 |BD+76 311                                                                                                |Star                           |08 19 43.8538472784 +75 55 16.200113088|138.2754217408407 +31.5770134113577|   0.638 -0.477   |8.66     |K5                   |    ~     ~    
112 |BD+76 313                                                                                                |Star                           |08 20 45.3654 +76 13 07.928            |137.9190812 +31.5609920            |    5.920 8.365   |10.32    |F8                   |    ~     ~    
113 |HD 68701                                                                                                 |Star                           |08 21 02.4883788192 +75 53 07.204887168|138.2924018012570 +31.6632863881099|-13.402 -16.772   |8.22     |K0                   |    ~     ~    
114 |HD 67707                                                                                                 |High Proper Motion Star        |08 16 47.8694096592 +75 44 34.668641040|138.5294081505264 +31.4463185640627|-40.843 -95.128   |7.62     |F5                   |    ~     ~    
