C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
138 |BD+74 358                                                                                                |Star                           |08 23 18.9880531800 +74 21 05.479282224|139.9973817584373 +32.1924442914536|   31.211 4.749   |10.23    |K0                   |    ~     ~    
139 |HD 69659                                                                                                 |Star                           |08 24 33.5909870736 +74 26 16.839688776|139.8734708989813 +32.2514682037216| -8.964 -19.921   |8.62     |K2                   |    ~     ~    
140 |HD 69827                                                                                                 |Star                           |08 25 09.7402176984 +74 00 52.272933876|140.3456827262644 +32.3990999529858|  -8.997 -3.550   |8.43     |K0                   |    ~     ~    
141 |TYC 4380-378-1                                                                                           |Star                           |08 27 22.5381281184 +74 45 06.303635280|139.4571099941782 +32.3491440949643| -4.470 -14.535   |10.61    |K0                   |    ~     ~    
142 |BD+74 351                                                                                                |High Proper Motion Star        |08 16 00.3827007768 +73 42 39.814251696|140.8692628985411 +31.8512494692956|-14.635 -56.410   |8.17     |F0                   |    ~     ~    
143 |HD 68281                                                                                                 |Star                           |08 18 07.7463635568 +73 46 08.137002252|140.7647287995039 +31.9837418592749|  7.939 -41.292   |8.17     |K0                   |    ~     ~    
144 |BD+73 410                                                                                                |Star                           |08 24 59.7426507816 +73 13 54.312229920|141.2477736820734 +32.5832524486121| 20.444 -14.209   |9.64     |F8                   |    ~     ~    
145 |HD 69916                                                                                                 |Star                           |08 25 03.1785925008 +73 00 21.600535572|141.5064583663409 +32.6424316700444|    7.616 0.007   |8.89     |K0                   |    ~     ~    
146 |BD+73 414                                                                                                |Red Giant Branch star Candidate|08 28 05.9898937008 +73 01 22.871463852|141.4207821879884 +32.8536455415423|    7.099 0.801   |9.66     |K0                   |    ~     ~    
147 |V* EW UMa                                                                                                |Variable Star                  |08 18 26.6331858840 +73 05 15.685212696|141.5433391435748 +32.1547790933415|   4.256 -8.905   |9.76     |~                    |    ~     ~    
148 |TYC 4380-23-1                                                                                            |Star                           |08 27 22.0692617448 +74 05 36.792881556|140.2086654902068 +32.5249034413621|-16.655 -37.868   |10.10    |~                    |    ~     ~    
149 |TYC 4380-54-1                                                                                            |Star                           |08 22 37.0834634808 +74 00 07.521394752|140.4115079298287 +32.2324650052721| -27.324 -2.656   |10.80    |~                    |    ~     ~    
150 |TYC 4380-139-1                                                                                           |High Proper Motion Star        |08 19 20.3362226040 +74 23 06.965279808|140.0351204872294 +31.9242940211796| 25.912 -53.388   |10.73    |~                    |    ~     ~    
151 |TYC 4380-179-1                                                                                           |Star                           |08 23 46.9390151520 +74 05 54.617112492|140.2777134218545 +32.2862421205471| -13.249 -9.927   |10.25    |~                    |    ~     ~    
152 |TYC 4380-184-1                                                                                           |Star                           |08 22 37.2498516336 +73 52 25.477853988|140.5586728866860 +32.2637904839664|   3.361 -9.254   |10.74    |~                    |    ~     ~    
153 |TYC 4380-265-1                                                                                           |Star                           |08 23 46.2064672296 +74 32 27.963079908|139.7715554933114 +32.1741393969323|   6.406 -1.204   |10.64    |~                    |    ~     ~    
154 |TYC 4380-309-1                                                                                           |Star                           |08 16 14.8849554888 +74 02 45.189721860|140.4801298206651 +31.7958457696642|   21.061 5.643   |10.79    |~                    |    ~     ~    
155 |TYC 4380-367-1                                                                                           |Star                           |08 27 13.6939077192 +74 01 53.778676764|140.2825360168209 +32.5320006470968|-10.171 -25.082   |10.47    |~                    |    ~     ~    
156 |TYC 4380-523-1                                                                                           |High Proper Motion Star        |08 20 09.4886442552 +73 51 19.692850248|140.6274898155079 +32.1018749862943|-21.147 -47.112   |9.98     |~                    |    ~     ~    
