C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
119 |BD-03 910                                                                                                |Long-Period Variable                  |04 51 32.6532918144 -03 35 29.425127316|201.7049229841327 -28.1854670669523|    3.223 1.305   |9.74     |~               |    ~     ~    
120 |BD-04 934                                                                                                |Star                                  |04 45 27.1977199416 -04 25 27.554903940|201.6976808460807 -29.9177721478708|  -18.826 6.772   |10.24    |~               |    ~     ~    
121 |BD-05 1024                                                                                               |Star                                  |04 45 52.1871551664 -05 05 04.733830104|202.4241939374671 -30.1440070229934| 18.784 -15.619   |9.69     |~               |    ~     ~    
122 |BD-03 885                                                                                                |Star                                  |04 46 37.6156942608 -03 26 23.694311724|200.8726319121994 -29.1831846217034| 11.800 -13.390   |10.027   |~               |    ~     ~    
123 |BD-05 1033                                                                                               |Star                                  |04 46 56.1346702224 -05 09 18.238691664|202.6419412638677 -29.9443594030471|   6.932 -0.462   |9.78     |~               |    ~     ~    
124 |BD-05 1035                                                                                               |Star                                  |04 47 09.3534221256 -04 59 28.809994452|202.5061487708402 -29.8180475081990|    3.768 1.840   |9.87     |~               |    ~     ~    
125 |BD-03 889                                                                                                |Star                                  |04 47 47.3129007312 -03 13 57.515786976|200.8284396942233 -28.8289005272525|  -0.665 -6.222   |10.17    |~               |    ~     ~    
126 |BD-04 944                                                                                                |Star                                  |04 47 54.3186650832 -04 09 57.138934464|201.7771324703199 -29.2577056528282|  -8.741 -4.386   |10.194   |~               |    ~     ~    
127 |BD-03 891                                                                                                |High Proper Motion Star               |04 47 55.6854806784 -03 39 12.922650432|201.2674614170464 -29.0042077672146| 23.503 -54.414   |10.290   |~               |    ~     ~    
128 |BD-05 1040                                                                                               |Star                                  |04 48 00.7061239464 -04 58 58.039185072|202.6146389229119 -29.6266493908208|-10.215 -13.205   |9.980    |~               |    ~     ~    
129 |BD-04 945                                                                                                |High Proper Motion Star               |04 48 01.4224810008 -04 27 18.415511820|202.0840773923974 -29.3712939487386| 70.733 -16.834   |9.68     |~               |    ~     ~    
130 |BD-04 951                                                                                                |Star                                  |04 49 49.6900635384 -04 16 39.734924736|202.1536891284032 -28.8916041455125|    7.978 0.234   |10.13    |~               |    ~     ~    
131 |BD-03 902                                                                                                |Star                                  |04 50 24.8507373576 -03 40 36.105512484|201.6342744894707 -28.4733585874692|-14.987 -12.200   |10.15    |~               |    ~     ~    
132 |BD-03 907                                                                                                |High Proper Motion Star               |04 50 42.3973473744 -02 47 52.832055264|200.8042148252458 -27.9808586266056|37.008 -109.122   |9.818    |~               |    ~     ~    
133 |BD-05 1055                                                                                               |Star                                  |04 50 48.6607743768 -04 47 42.922756428|202.8067103187004 -28.9243123490929|  13.388 -7.104   |9.74     |~               |    ~     ~    
134 |BD-02 1042                                                                                               |Star                                  |04 51 42.6995332824 -02 42 57.958234164|200.8628382776976 -27.7220003703846|  9.008 -16.570   |10.04    |~               |    ~     ~    
135 |BD-03 912                                                                                                |Spectroscopic Binary                  |04 51 43.5518007936 -03 44 20.364680040|201.8762479570752 -28.2172127582209|-14.459 -15.112   |9.602    |~               |    ~     ~    
136 |BD-03 916                                                                                                |Star                                  |04 52 18.3355110624 -03 23 38.882251680|201.6137923759756 -27.9235814231731|   8.206 -2.343   |9.26     |~               |    ~     ~    
137 |BD-04 962                                                                                                |Star                                  |04 52 20.2718783976 -03 58 13.875340656|202.1899510887823 -28.1952055644128|  22.823 -6.389   |9.56     |~               |    ~     ~    
138 |BD-05 1020                                                                                               |Star                                  |04 45 29.6385995112 -05 11 56.218542396|202.4887231240561 -30.2807963274008|    4.716 3.886   |10.05    |~               |    ~     ~    
139 |BD-03 877                                                                                                |Star                                  |04 45 35.9335671072 -02 54 33.352894296|200.1989974903570 -29.1454867789021|   3.712 13.804   |9.99     |~               |    ~     ~    
140 |BD-04 942                                                                                                |Star                                  |04 47 49.2908221536 -04 11 03.504805368|201.7840612127238 -29.2849061360929| -12.917 -8.417   |9.48     |~               |    ~     ~    
141 |BD-03 895                                                                                                |Star                                  |04 48 28.0531934736 -03 37 42.496338396|201.3172775853910 -28.8744168289351|    4.595 0.579   |10.52    |~               |    ~     ~    
