C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
142 |BD-04 947                                                                                                |Star                                  |04 49 02.1441738528 -04 20 44.828479140|202.1132893158844 -29.0975442472916|  7.959 -15.457   |9.98     |~               |    ~     ~    
143 |BD-04 952                                                                                                |Star                                  |04 49 49.0605429936 -04 29 37.778033292|202.3688906906699 -28.9976774344135|  -4.766 11.005   |9.82     |~               |    ~     ~    
144 |BD-03 901                                                                                                |High Proper Motion Star               |04 50 23.7247739664 -03 24 07.561899828|201.3588365076781 -28.3440121386367| 11.733 -50.101   |10.25    |~               |    ~     ~    
145 |BD-04 953                                                                                                |Star                                  |04 50 25.1421907224 -04 30 17.728256952|202.4620736782476 -28.8714410213286|    0.825 3.012   |10.373   |~               |    ~     ~    
146 |BD-03 904                                                                                                |Star                                  |04 50 35.1320998944 -03 33 46.241806788|201.5446731102291 -28.3807256414641|    2.862 1.225   |10.47    |~               |    ~     ~    
147 |BD-03 906                                                                                                |Star                                  |04 50 37.5718878720 -03 29 57.315114672|201.4871132731697 -28.3409613612199|  10.616 -5.011   |10.164   |~               |    ~     ~    
148 |* mu. Eri                                                                                                |Eclipsing Binary                      |04 45 30.1503818 -03 15 16.776562      |200.5297447322 -29.3367636642      |   15.94 -14.52   |4.00     |B5IV            |    ~     ~    
149 |TYC 4740-165-1                                                                                           |Star                                  |04 47 50.8639329360 -02 44 49.098307632|200.3546597642308 -28.5770993122913|   15.768 0.712   |10.57    |~               |    ~     ~    
150 |TYC 4740-334-1                                                                                           |Star                                  |04 48 19.0510636656 -02 50 56.986292832|200.5217263982404 -28.5254431956833|   2.240 -2.612   |10.63    |~               |    ~     ~    
151 |TYC 4740-710-1                                                                                           |Star                                  |04 51 59.5060989672 -03 00 30.973950684|201.1897617381799 -27.8042360979829| -7.058 -19.058   |10.55    |~               |    ~     ~    
152 |TYC 4740-817-1                                                                                           |Star                                  |04 51 22.8757391424 -02 43 07.345191036|200.8196373967928 -27.7951618923096|   2.613 -8.386   |10.96    |~               |    ~     ~    
153 |TYC 4740-822-1                                                                                           |Star                                  |04 51 06.6960801888 -02 41 45.748836348|200.7599151853512 -27.8426851748636| -3.313 -37.067   |10.94    |~               |    ~     ~    
154 |TYC 4740-850-1                                                                                           |Star                                  |04 52 15.6959466144 -02 50 30.513459156|201.0626003120141 -27.6639114324258|   4.949 -3.052   |10.90    |~               |    ~     ~    
155 |TYC 4740-995-1                                                                                           |Star                                  |04 50 16.2384683352 -03 26 17.624421564|201.3774719890236 -28.3887995632978|  -2.019 -7.502   |10.61    |~               |    ~     ~    
