C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
93   |HD 293266                                                                                                                                                                      |Double or Multiple Star               |07 05 05.5212525024 -01 36 53.848359036|215.9277787267178 +02.2993156610695|  17.708 15.173   |9.977    |G0               |    ~     ~    
94   |HD 293268                                                                                                                                                                      |Star                                  |07 05 41.5840349592 -01 41 02.199848640|216.0579753591242 +02.4012780357399|   0.140 -2.531   |10.61    |A0               |    ~     ~    
95   |HD 293270                                                                                                                                                                      |Star                                  |07 05 56.1726914424 -01 30 47.908692792|215.9339702379384 +02.5334146892896|  -1.249 -3.525   |10.95    |A2               |    ~     ~    
96   |HD 293271                                                                                                                                                                      |Double or Multiple Star               |07 06 09.585264 -01 32 01.02228        |215.977644464 +02.573785759        |     -30.1 -3.1   |10.634   |G5               |    ~     ~    
97   |HD 293273                                                                                                                                                                      |Double or Multiple Star               |07 06 28.8754426776 -01 33 49.038814044|216.0411715817395 +02.6314784321748|     -17.2 -0.9   |10.01    |F0               |    ~     ~    
98   |HD 293281                                                                                                                                                                      |Star                                  |07 06 00.2221745976 -02 01 36.443435700|216.3985915778938 +02.3132754681520|  -0.972 -1.751   |10.92    |B8               |    ~     ~    
99   |HD 292924                                                                                                                                                                      |Star                                  |07 00 23.8088109768 -00 05 56.742872676|214.0418465758937 +01.9480078280383|  -3.076 -0.810   |10.29    |F0               |    ~     ~    
100  |HD 292925                                                                                                                                                                      |Star                                  |07 00 13.8766622064 -00 06 16.154597376|214.0277530769546 +01.9087229757815|  -2.822 -2.813   |10.8     |A                |    ~     ~    
101  |HD 292926                                                                                                                                                                      |Star                                  |07 00 01.7715725184 -00 04 36.066204696|213.9799735242590 +01.8765275291028|   -6.669 2.610   |9.86     |A5               |    ~     ~    
102  |HD 292941                                                                                                                                                                      |Star                                  |07 00 29.4097317168 -00 37 35.261064156|214.5219744421015 +01.7280661564619|    7.295 0.030   |10.7     |G5               |    ~     ~    
103  |HD 292945                                                                                                                                                                      |Double or Multiple Star               |07 01 06.6896803584 -00 30 16.642802412|214.4844702738022 +01.9218843201628|  0.138 -22.539   |10.299   |G5               |    ~     ~    
104  |HD 292954                                                                                                                                                                      |Star                                  |07 01 33.7334510424 -00 51 11.902165020|214.8463246575151 +01.8628958237578|   -1.489 0.576   |10.9     |K5               |    ~     ~    
105  |GSC 04814-02944                                                                                                                                                                |Long-Period Variable Candidate        |07 01 29.9687442864 -00 56 26.541248028|214.9169459103801 +01.8090212224677|   0.162 -0.715   |10.2     |M5               |    ~     ~    
106  |HD 292957                                                                                                                                                                      |Star                                  |07 01 01.3061023752 -00 48 46.937826720|214.7487503651723 +01.7611009318754|   0.407 -0.214   |10.8     |K7               |    ~     ~    
107  |HD 292968                                                                                                                                                                      |Star                                  |07 00 04.9602106056 -01 00 25.774263792|214.8142732709084 +01.4636142252102|  -1.767 -0.820   |10.96    |B9VCr            |    ~     ~    
108  |HD 292974                                                                                                                                                                      |Star                                  |07 01 41.5661268456 -01 11 23.610235344|215.1607961559967 +01.7381562162166|   2.579 -2.001   |10.57    |K7               |    ~     ~    
109  |HD 292976                                                                                                                                                                      |Star                                  |07 01 05.0856600144 -01 15 25.899061932|215.1512259400344 +01.5722280349284|   3.951 -3.827   |10.63    |K7               |    ~     ~    
110  |HD 292983                                                                                                                                                                      |Star                                  |07 00 29.6877520248 -01 19 37.283612484|215.1459775326404 +01.4091600047682|    1.414 1.330   |10.97    |A2               |    ~     ~    
111  |HD 292989                                                                                                                                                                      |Star                                  |07 00 59.8171302912 -01 31 00.890424948|215.3722990595036 +01.4340385565574|  -1.626 -1.409   |10.83    |A0               |    ~     ~    
112  |HD 292990                                                                                                                                                                      |Spectroscopic Binary                  |07 01 14.5132852488 -01 35 17.541912444|215.4637132250519 +01.4559057034226|  -7.652 -1.471   |10.84    |G                |    ~     ~    
113  |HD 292991                                                                                                                                                                      |Star                                  |07 00 51.1738266048 -01 34 00.941034648|215.4003442645885 +01.3791623448445|  -22.010 1.368   |10.48    |F5               |    ~     ~    
114  |HD 292993                                                                                                                                                                      |Star                                  |07 00 49.0971001824 -01 30 02.421611604|215.3374390194929 +01.4017423982693|  -1.878 -1.613   |10.97    |A7               |    ~     ~    
115  |HD 292996                                                                                                                                                                      |Double or Multiple Star               |07 00 11.629632 -01 30 29.57328        |215.272830461 +01.259475771        |       3.4 -3.6   |10.63    |B8               |    ~     ~    
116  |HD 293011                                                                                                                                                                      |Star                                  |07 01 58.6483293696 -01 37 14.493587772|215.5766691511650 +01.6045552067492|   -3.042 0.913   |10.54    |B8               |    ~     ~    
117  |HD 293012                                                                                                                                                                      |Star                                  |07 01 16.0835739912 -01 41 42.793121580|215.5619169170281 +01.4128139826140|  -9.073 -2.303   |10.89    |A5               |    ~     ~    
118  |HD 293014                                                                                                                                                                      |Star                                  |07 01 07.0045961112 -01 53 30.183361296|215.7194490851451 +01.2893707047103|   -9.579 1.313   |10.75    |K7               |    ~     ~    
119  |HD 293064                                                                                                                                                                      |Star                                  |07 04 12.7816642752 -00 08 59.853267168|214.5230077511396 +02.7736480413342|  -13.060 1.520   |10.7     |A7               |    ~     ~    
120  |HD 293067                                                                                                                                                                      |Star                                  |07 04 03.8730535632 -00 18 47.780245008|214.6514877572018 +02.6660421537693|    1.711 2.016   |10.47    |A2               |    ~     ~    
121  |HD 293075                                                                                                                                                                      |Star                                  |07 02 39.8242003992 -00 17 56.617527444|214.4787546273513 +02.3609819550239|    2.996 0.457   |10.4     |K0               |    ~     ~    
122  |HD 293080                                                                                                                                                                      |Star                                  |07 02 16.1217164328 -00 42 52.229057904|214.8034922096231 +02.0833962785397| 24.987 -33.095   |10.18    |G0               |    ~     ~    
123  |HD 293083                                                                                                                                                                      |Star                                  |07 04 10.415 -00 37 36.24              |214.943080 +02.547086              |      1.5 -14.0   |9.8      |G0               |    ~     ~    
124  |HD 293087                                                                                                                                                                      |Star                                  |07 03 07.8043735104 -00 42 48.068555508|214.9009014651292 +02.2754705268650|  -3.659 -0.155   |10.9     |B9               |    ~     ~    
