C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
80  |HD 216796                                                                                                |Star                                |22 55 10.3915313616 +46 27 44.642917116|102.9374233606128 -11.8464638757152| -10.095 -5.113    |9.59     |G5                  |    ~     ~    |    1|  691.276   pc  |  -5.9255     +5.9255  |paral   |2020yCat.1350....0G
81  |HD 216797                                                                                                |Star                                |22 55 13.7978763959 +46 22 20.162374072|102.9057043802126 -11.9316483467646|   0.521 -2.380    |8.29     |A0                  |    ~     ~    |    1|  736.214   pc  | -12.3037    +12.3037  |paral   |2020yCat.1350....0G
82  |HD 216830                                                                                                |Star                                |22 55 31.8135300672 +46 39 23.031522072|103.0810894486680 -11.6994235567491|   -1.157 0.007    |9.05     |K0                  |    ~     ~    |    1|  403.210   pc  |  -2.0973     +2.0973  |paral   |2020yCat.1350....0G
83  |BD+45 4095                                                                                               |High Proper Motion Star             |22 56 24.0613307928 +46 21 26.219356488|103.0844511150054 -12.0339516678755|   59.959 0.559    |10.04    |G0                  |    ~     ~    |    1|  286.238   pc  |  -0.9586     +0.9586  |paral   |2020yCat.1350....0G
84  |HD 217262                                                                                                |Star                                |22 58 49.5746597016 +46 19 38.229470148|103.4569017049206 -12.2425358792460|   0.867 -3.303    |8.23     |A0                  |    ~     ~    |    1|  723.327   pc  | -19.6201    +19.6201  |paral   |2020yCat.1350....0G
85  |BD+45 4106                                                                                               |Double or Multiple Star             |22 59 01.7818856424 +46 16 47.152214544|103.4684960307778 -12.3005413966145|   46.284 4.463    |9.49     |F5                  |    ~     ~    |    1|  176.019   pc  |  -7.1756     +7.1756  |paral   |2020yCat.1350....0G
86  |HD 216427                                                                                                |Star                                |22 52 07.6459264656 +45 48 26.983172808|102.1554006075954 -12.1961369852798|-28.345 -10.277    |9.13     |K0                  |    ~     ~    |    1|  351.013   pc  |  -2.3410     +2.3410  |paral   |2020yCat.1350....0G
87  |HD 216683                                                                                                |High Proper Motion Star             |22 54 18.5080619184 +46 09 11.796282036|102.6604896890078 -12.0573076181192|  41.730 25.765    |9.73     |F8                  |    ~     ~    |    1|  166.786   pc  |  -0.3978     +0.3978  |paral   |2020yCat.1350....0G
88  |HD 216339                                                                                                |Pulsating Variable                  |22 51 28.5878790216 +45 30 39.778782912|101.9138741674108 -12.4085776947085|  -0.997 -4.044    |8.99     |A0                  |    ~     ~    |    1|  766.107   pc  | -12.6775    +12.6775  |paral   |2020yCat.1350....0G
89  |HD 216340                                                                                                |Star                                |22 51 30.6258548424 +45 29 18.517536960|101.9087723710844 -12.4313838550243|  -0.195 -4.914    |8.76     |A0                  |    ~     ~    |    1|  549.995   pc  |  -7.3809     +7.3809  |paral   |2020yCat.1350....0G
90  |HD 216352                                                                                                |Star                                |22 51 39.7633307352 +45 42 07.500858408|102.0325492549570 -12.2532919244336| -7.418 -26.037    |10.21    |K0                  |    ~     ~    |    1|  240.015   pc  |  -0.7431     +0.7431  |paral   |2020yCat.1350....0G
91  |HD 216381                                                                                                |Star                                |22 51 47.9643892824 +45 45 33.639624972|102.0809110038911 -12.2131187017714| -1.472 -12.291    |10.03    |A0                  |    ~     ~    |    1|  409.433   pc  |  -4.5429     +4.5429  |paral   |2020yCat.1350....0G
92  |HD 216535                                                                                                |Star                                |22 53 04.3828075344 +45 25 46.172151264|102.1316592238850 -12.6080694377076|   6.231 -3.139    |9.99     |A2                  |    ~     ~    |    1|  503.423   pc  |  -4.2577     +4.2577  |paral   |2020yCat.1350....0G
