C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
115 |HD 13894                           |Star                                  |02 14 32.1343336008 -35 10 25.235891076|242.4556668238188 -70.5374334364648|   7.902 19.934   |9.02     |F3V            |    ~     ~    
116 |HD 13047                           |Star                                  |02 06 48.0827542800 -35 39 07.052359572|245.5708610771671 -71.8429721123442|   0.611 25.013   |9.84     |F6V            |    ~     ~    
117 |HD 13170                           |High Proper Motion Star               |02 07 50.5891093632 -35 35 59.230101264|245.1585135686869 -71.6672668173734|  61.214 53.040   |10.05    |F6/8V          |    ~     ~    
118 |HD 13169                           |High Proper Motion Star               |02 07 52.5933434904 -35 35 48.642801288|245.1417077756927 -71.6620891684746|-16.248 -90.465   |10.32    |F7/G0V         |    ~     ~    
119 |HD 13461                           |Star                                  |02 10 35.3291755632 -35 30 36.564846228|244.2526270041983 -71.1808268991236|   -8.425 0.156   |7.79     |K0III          |    ~     ~    
120 |HD 13586                           |Star                                  |02 11 44.7518684640 -35 26 23.362010376|243.7935717490043 -70.9851494087380|  15.639 -7.702   |9.84     |G5V            |    ~     ~    
121 |HD 13653                           |Star                                  |02 12 16.5699120960 -35 25 11.105165820|243.6216296184389 -70.8907086088780|  34.421 27.517   |9.43     |K0III          |    ~     ~    
122 |HD 13741                           |Pulsating Variable                    |02 13 01.2519491280 -35 35 50.708708484|243.9693176073832 -70.6871275230022|   3.545 13.215   |9.77     |A8V            |    ~     ~    
123 |HD 13923                           |Star                                  |02 14 35.8019846088 -35 30 33.243856956|243.3922789134718 -70.4158457024631| -19.541 19.019   |9.53     |F3V            |    ~     ~    
124 |CD-36 795                          |High Proper Motion Star               |02 07 21.0398542008 -36 05 16.325809116|246.7071364164546 -71.5687537573400|  95.852 40.432   |10.48    |G0             |    ~     ~    
125 |HD 13279                           |High Proper Motion Star               |02 08 49.1871413976 -35 49 22.779158232|245.5727643948388 -71.3991110245531|  62.664 35.662   |7.83     |K1IIICNII/III  |    ~     ~    
126 |HD 13289                           |Star                                  |02 08 54.3104895216 -35 47 31.724926620|245.4626840213689 -71.3948493285658|  34.059 18.335   |8.26     |F5V            |    ~     ~    
127 |CD-36 814                          |Star                                  |02 10 42.8032191672 -35 55 25.430408508|245.4118589147066 -71.0059052151655|   6.637 -8.425   |10.344   |K1             |    ~     ~    
128 |HD 13600                           |Spectroscopic Binary                  |02 11 49.5862602456 -36 18 38.867687352|246.2422328598393 -70.6509501923957|-10.396 -18.500   |9.83     |F6V            |    ~     ~    
129 |CD-36 826                          |Star                                  |02 12 40.4016654840 -35 56 35.129380272|245.0204971250942 -70.6300736361925|   12.099 3.106   |10.386   |G0             |    ~     ~    
130 |HD 13779                           |Star                                  |02 13 14.9313283176 -36 24 40.668106788|246.1920602460187 -70.3479224461132|   42.337 8.394   |8.78     |K1III          |    ~     ~    
131 |HD 13778                           |Star                                  |02 13 17.8394056632 -36 03 40.040529012|245.2122546241037 -70.4695136854787| 10.820 -14.264   |7.43     |M0III          |    ~     ~    
132 |CD-36 833                          |Star                                  |02 13 19.2310188672 -36 23 34.284412644|246.1250594360340 -70.3415925953693| -19.349 -4.211   |9.79     |K2             |    ~     ~    
133 |CD-36 837                          |Star                                  |02 13 49.2131520576 -36 12 23.743009368|245.4999906843563 -70.3178987660285|   32.687 1.685   |10.230   |G5             |    ~     ~    
134 |HD 13032                           |Star                                  |02 06 37.0726855872 -37 07 07.238800344|249.8293647036647 -71.2616711283168| -4.052 -16.989   |7.55     |K1III          |    ~     ~    
135 |HD 13193                           |Star                                  |02 07 58.4414558880 -36 25 37.345609236|247.5191337742938 -71.3156754369725|  -8.304 -4.936   |9.30     |G8IV           |    ~     ~    
136 |HD 13409                           |Star                                  |02 10 04.6587212424 -36 59 49.712083800|248.5675679738035 -70.6941199160433|   8.334 23.964   |10.57    |F0V            |    ~     ~    
137 |CD-37 832                          |Star                                  |02 12 13.2849813648 -36 56 21.060062844|247.8753275054631 -70.3288995866326|  24.628 14.608   |10.594   |G2             |    ~     ~    
138 |CD-37 843                          |Spectroscopic Binary                  |02 14 20.7388996680 -36 26 58.518228480|246.0500985306071 -70.1292148656171| 34.293 -55.483   |10.43    |G5             |    ~     ~    
139 |CD-38 703                          |High Proper Motion Star               |02 06 41.9069724624 -37 24 42.588540540|250.6154707443283 -71.1135590189172|  34.666 53.634   |10.70    |G5             |    ~     ~    
140 |CD-36 789                          |High Proper Motion Star               |02 06 34.3846682928 -36 24 24.846773544|247.8312266074646 -71.5802142030723|-12.154 -59.322   |10.73    |~              |    ~     ~    
141 |CD-36 797                          |Double or Multiple Star               |02 07 24.9693007584 -36 17 37.813232472|247.2838257410564 -71.4729051142811| -2.104 -12.579   |10.942   |~              |    ~     ~    
142 |CD-36 798                          |Star                                  |02 07 34.8924896592 -35 49 16.810533408|245.8731140710109 -71.6313561690900|  21.444 20.775   |10.91    |~              |    ~     ~    
143 |CD-36 810                          |Double or Multiple Star               |02 09 33.502536 -36 01 35.29020        |245.979509722 -71.182919862        |      23.0 -1.9   |10.717   |~              |    ~     ~    
144 |CPD-37 196                         |Star                                  |02 11 20.8290396648 -36 39 50.325795576|247.3352460083200 -70.6004726173965| 23.790 -40.350   |10.37    |~              |    ~     ~    
145 |CD-36 827                          |Star                                  |02 12 45.9897166920 -36 22 45.274705248|246.2140844959957 -70.4498786336059|   8.059 -9.335   |10.36    |~              |    ~     ~    
146 |CD-37 839                          |Star                                  |02 13 37.0095890448 -36 34 48.987780276|246.5707180601184 -70.2148801669217|   3.561 -1.996   |9.51     |~              |    ~     ~    
147 |CD-37 801                          |Star                                  |02 06 24.8380771200 -37 21 21.680289468|250.5430953879122 -71.1894623239097| -2.747 -27.612   |10.371   |~              |    ~     ~    
148 |TYC 7009-1189-1                    |Star                                  |02 11 30.6362309352 -37 16 09.071032764|248.9417042801225 -70.3199670195022| 34.298 -35.978   |10.826   |~              |    ~     ~    
