C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1421|CD-45 716                          |Star                                  |02 13 16.4665291128 -44 31 35.764924080|264.9809881234480 -66.0960646073072|  39.530 19.507   |10.27    |~              |    ~     ~    
1422|CD-44 663                          |High Proper Motion Star               |02 14 02.9902544208 -44 04 48.152753400|263.9075349734429 -66.2714930701640|  51.164 61.400   |10.351   |~              |    ~     ~    
1423|CD-43 682                          |Star                                  |02 14 08.9251273584 -43 08 56.744301948|262.0329894099857 -66.8288353630257|  26.774 25.713   |10.441   |~              |    ~     ~    
1424|CD-44 665                          |Star                                  |02 14 21.6220596720 -44 21 55.865598408|264.3706117920977 -66.0488700932406| 41.219 -10.795   |10.680   |~              |    ~     ~    
1425|CD-44 635                          |Spectroscopic Binary                  |02 09 38.6138417736 -43 26 27.343793832|263.9231732400216 -67.2919654521381|  21.022 13.920   |10.430   |~              |    ~     ~    
1426|CD-44 656                          |Spectroscopic Binary                  |02 13 20.9291655720 -44 01 03.137563668|263.9830000342094 -66.4088120714437|    5.386 4.840   |10.571   |~              |    ~     ~    
1427|TYC 7556-251-1                     |Star                                  |02 07 08.8943620056 -43 44 27.900285360|265.2777858040904 -67.4419900561250|-15.094 -10.664   |10.63    |~              |    ~     ~    
1428|TYC 7556-778-1                     |Star                                  |02 04 18.4199362224 -43 36 01.764739188|265.9018568469247 -67.9190340448159|   4.456 15.799   |10.98    |~              |    ~     ~    
1429|TYC 7556-943-1                     |High Proper Motion Star               |02 13 01.8372424848 -43 21 11.025365868|262.7596708699906 -66.8665674522774|  47.479 75.840   |10.84    |~              |    ~     ~    
1430|GSC 08042-00989                    |Double or Multiple Star               |02 12 52.6728157176 -45 07 50.105023500|266.2196130205679 -65.7576942526801|  28.094 -2.290   |10.564   |~              |    ~     ~    
1431|CD-44 591                          |Star                                  |02 02 00.2149568664 -43 30 52.138982016|266.4916779046259 -68.2839411124852|-11.390 -36.184   |10.28    |~              |    ~     ~    
1432|HD 13377                           |Star                                  |02 09 35.7040293912 -42 57 23.740578792|262.9571892388208 -67.6040786477494|  15.693 12.764   |9.91     |G6V            |    ~     ~    
1433|CD-43 663                          |Star                                  |02 10 25.8063842088 -42 53 50.737717392|262.5869997221627 -67.5209932600323|   7.613 -1.161   |9.84     |~              |    ~     ~    
1434|CD-43 625                          |Star                                  |02 03 01.2349240944 -43 12 39.646604916|265.5485998670889 -68.3537505210727|  -5.465 -7.029   |10.94    |~              |    ~     ~    
1435|CD-43 614                          |High Proper Motion Star               |02 00 38.5458553416 -42 36 47.970580572|265.1332002290327 -69.0776978010691|  98.529 23.592   |10.61    |~              |    ~     ~    
1436|CD-43 617                          |Star                                  |02 00 50.2552744944 -42 37 19.722420372|265.0841118251696 -69.0451539223754|  6.970 -24.879   |9.86     |~              |    ~     ~    
1437|HD 12617                           |High Proper Motion Star               |02 02 45.0456044400 -40 57 03.140359704|260.7806186480053 -69.8445081942735|177.415 -62.096   |9.00     |K3V            |    ~     ~    
1438|HD 12948                           |Spectroscopic Binary                  |02 05 43.2850905528 -41 10 50.600348508|260.3331000635021 -69.2597705989988|  58.418 -4.592   |8.50     |F8V            |    ~     ~    
1439|HD 12349                           |High Proper Motion Star               |02 00 06.1380869496 -41 32 36.178096236|263.0270626770326 -69.8583428357978|  51.412 12.282   |8.66     |K0III          |    ~     ~    
1440|HD 12631                           |Star                                  |02 02 46.3290326568 -41 38 04.735498092|262.3117955739557 -69.4160717049327|  32.875 25.895   |8.49     |K3III          |    ~     ~    
1441|HD 12903                           |Pulsating Variable                    |02 05 17.0828725632 -41 43 27.004672812|261.6829910140245 -68.9938428581749|  21.878 -2.986   |10.256   |A7II/III       |    ~     ~    
1442|HD 12388                           |Star                                  |02 00 28.0770176088 -41 46 32.561273784|263.4101214931547 -69.6556741603406|    6.140 2.772   |7.15     |K5/M0III       |    ~     ~    
1443|HD 12418                           |Star                                  |02 00 47.6761170048 -42 15 27.342266148|264.3340382658441 -69.2937863552509|   5.225 -0.945   |9.23     |K3III          |    ~     ~    
1444|HD 12797                           |Star                                  |02 04 25.4427738096 -42 04 03.789589332|262.7081421593733 -68.9039224278682| -17.031 12.401   |9.26     |G2V            |    ~     ~    
1445|HD 12914                           |Star                                  |02 05 28.0136082360 -41 56 40.524386820|262.1049279427276 -68.8304694808172|   45.784 4.296   |9.92     |F5V            |    ~     ~    
1446|HD 12961                           |delta Sct Variable                    |02 05 49.2823834296 -41 55 41.942612820|261.9563015733891 -68.7889429310806|  -0.855 13.249   |9.808    |A5/8(m)F0-F3   |    ~     ~    
1447|HD 13218                           |Star                                  |02 08 05.6847987552 -41 52 49.513321848|261.1412612257933 -68.4838683608601|-16.243 -11.431   |6.50     |A4V            |    ~     ~    
1448|HD 12892                           |Star                                  |02 05 07.0355850069 -42 58 53.806421245|264.3990880864606 -68.2186171422505|   2.568 12.930   |9.82     |F6V            |    ~     ~    
1449|HD 12904                           |Spectroscopic Binary                  |02 05 14.5888285392 -42 42 50.671986480|263.8079879978721 -68.3745916562964|   7.118 -5.965   |8.77     |F3III/IV       |    ~     ~    
1450|HD 13171                           |Star                                  |02 07 38.2843126128 -42 42 52.194967308|263.0536171803560 -68.0353562302195| 12.786 -20.036   |9.58     |F5/6IV/V       |    ~     ~    
1451|HD 13488                           |High Proper Motion Star               |02 10 38.2084395984 -42 27 21.077570484|261.6071523584267 -67.7607802324348|  61.070 -8.354   |9.66     |F5V            |    ~     ~    
1452|HD 13501                           |Spectroscopic Binary                  |02 10 44.2396828080 -42 25 11.605089108|261.5018008230946 -67.7677114485095| -9.932 -14.791   |9.23     |K3III          |    ~     ~    
1453|HD 13548                           |Star                                  |02 11 08.4266229120 -42 45 07.357268448|262.0778786616540 -67.5073374627427|  9.131 -23.144   |9.62     |G8II/III       |    ~     ~    
1454|CD-41 562                          |Star                                  |02 01 26.0168754792 -41 08 14.384581512|261.6534820343111 -69.9240656207425|   13.044 4.301   |10.25    |~              |    ~     ~    
1455|CD-43 623                          |Star                                  |02 02 24.6419197512 -42 26 14.866413684|264.1622377724258 -68.9506135969685|  27.217 20.154   |10.59    |~              |    ~     ~    
1456|CD-42 698                          |Star                                  |02 02 32.2902250224 -42 08 28.198063032|263.4908249069271 -69.1257000112596|    2.942 7.681   |10.45    |~              |    ~     ~    
1457|CD-41 572                          |High Proper Motion Star               |02 03 10.0145 -40 53 01.763            |260.4874216 -69.8230760            |     19.8 -69.7   |10.33    |~              |    ~     ~    
1458|CD-42 715                          |Spectroscopic Binary                  |02 05 34.9367392848 -42 22 28.237853388|262.9880968885933 -68.5436675315904|   2.173 -1.739   |10.42    |~              |    ~     ~    
1459|CD-42 720                          |Star                                  |02 06 30.9969272808 -42 16 04.771163136|262.4654007679544 -68.4765210517742|   2.064 -4.850   |10.84    |~              |    ~     ~    
1460|CD-42 721                          |High Proper Motion Star               |02 06 41.7958601352 -42 01 11.946042264|261.8774928510605 -68.6044302765224|  84.823 -8.037   |10.042   |~              |    ~     ~    
1461|CD-43 644                          |Star                                  |02 07 07.0104626285 -42 44 47.758903999|263.2821256898162 -68.0892479284912|  14.896 35.436   |10.551   |~              |    ~     ~    
1462|CD-43 652                          |Star                                  |02 08 41.3127522576 -42 51 38.478772116|263.0337745116059 -67.7935702435815|   -0.066 8.567   |10.527   |~              |    ~     ~    
1463|CD-43 655                          |Star                                  |02 09 05.1816937584 -42 52 25.121220420|262.9398515563486 -67.7286266027591| 19.111 -10.075   |10.435   |~              |    ~     ~    
1464|CD-42 735                          |Star                                  |02 09 27.3835115328 -41 50 19.443991812|260.6377554894354 -68.3059751648235|   18.503 3.911   |10.638   |~              |    ~     ~    
1465|CD-43 673                          |Star                                  |02 12 04.7493740784 -42 32 10.515104592|261.3559065149745 -67.4999971473079| 19.022 -10.944   |9.96     |~              |    ~     ~    
1466|HIP 10154                          |High Proper Motion Star               |02 10 36.8072491296 -42 27 28.770344172|261.6185316934883 -67.7629187551840|  65.074 -9.161   |10.59    |~              |    ~     ~    
1467|CD-41 576                          |Star                                  |02 03 52.1290749744 -40 53 57.275268828|260.2907708633260 -69.7081476757114| 37.099 -26.233   |10.72    |~              |    ~     ~    
1468|CD-41 577                          |Star                                  |02 04 02.0187909864 -40 43 19.972092036|259.8275420625368 -69.7894063002847|   20.401 0.669   |10.832   |~              |    ~     ~    
1469|CD-42 705                          |Star                                  |02 04 22.8909135360 -41 31 18.141518208|261.5290526036470 -69.2516651791627|   26.990 3.521   |10.94    |~              |    ~     ~    
