C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
88   |BD+00 2017                                                                                               |Star                                  |07 36 32.3018251776 -00 05 55.749437736|218.2152578163257 +09.9753183229897|   -2.708 2.974   |9.06     |K5                   |    ~     ~          |    1| 1100.231   pc  | -22.7576    +22.7576    |paral   |2020yCat.1350....0G
89   |BD+00 2023                                                                                               |Star                                  |07 38 14.2699170792 -00 00 59.205175956|218.3411583133232 +10.3899768695750|  -22.090 7.776   |10.41    |G0                   |    ~     ~          |    1|  251.617   pc  |  -1.7031     +1.7031    |paral   |2020yCat.1350....0G
90   |TYC 4831-1519-1                                                                                          |Star                                  |07 39 07.4465074224 -00 00 09.760923288|218.4332868863785 +10.5926471964447| -0.260 -19.086   |9.63     |F8                   |    ~     ~          |    1|  231.000   pc  |  -0.8858     +0.8858    |paral   |2020yCat.1350....0G
91   |BD+00 2040                                                                                               |Star                                  |07 40 50.5142717376 -00 06 57.511448892|218.7383704833362 +10.9203991340435|  6.902 -45.391   |9.34     |G5                   |    ~     ~          |    1|  183.295   pc  |  -7.6164     +7.6164    |paral   |2020yCat.1350....0G
92   |BD+00 2025                                                                                               |Star                                  |07 38 23.3679087984 -00 05 01.168674972|218.4195719433896 +10.3923929455661|   -5.852 0.205   |9.79     |~                    |    ~     ~          |    1| 1418.037   pc  | -44.2383    +44.2383    |paral   |2020yCat.1350....0G
93   |BD-02 2236                                                                                               |Star                                  |07 41 03.1060183512 -02 27 42.322430088|220.8712117950928 +09.8693643873306|  -0.789 -2.452   |9.57     |~                    |    ~     ~          |    1| 1051.083   pc  | -29.9394    +29.9394    |paral   |2020yCat.1350....0G
94   |V* V889 Mon                                                                                              |Long-Period Variable                  |07 34 23.0577696552 -01 27 22.824986436|219.1803736192723 +08.8679162191578|   -3.351 4.633   |10.94    |M4                   |    ~     ~          |    1| 2174.86    pc  |-203.863    +203.863     |paral   |2020yCat.1350....0G
95   |TYC 4830-131-1                                                                                           |Star                                  |07 33 04.1638060608 -01 10 17.019456492|218.7704654701040 +08.7095015882872|   0.355 -6.397   |10.31    |~                    |    ~     ~          |    1|  538.242   pc  |  -6.6342     +6.6342    |paral   |2020yCat.1350....0G
96   |TYC 4830-171-1                                                                                           |Star                                  |07 31 56.8755112992 -01 16 28.379328888|218.7311981539419 +08.4133535806675| -4.732 -34.042   |10.61    |~                    |    ~     ~          |    1|  272.005   pc  |  -1.1912     +1.1912    |paral   |2020yCat.1350....0G
97   |TYC 4830-220-1                                                                                           |Star                                  |07 36 59.9999780304 -00 02 14.321780592|218.2142004093361 +10.1060903430128| 22.708 -10.388   |10.26    |~                    |    ~     ~          |    1|  507.331   pc  |  -3.7063     +3.7063    |paral   |2020yCat.1350....0G
98   |GSC 04830-00223                                                                                          |Double or Multiple Star               |07 30 21.9655575240 -01 03 04.614657912|218.3459801434339 +08.1666485572272|  -4.563 -2.643   |10.591   |~                    |    ~     ~          |    1|  750.188   pc  | -13.0002    +13.0002    |paral   |2020yCat.1350....0G
99   |TYC 4830-268-1                                                                                           |Star                                  |07 30 52.0472887992 -00 04 26.874663600|217.5286895335777 +08.7296668718063|  5.646 -47.509   |10.7     |~                    |    ~     ~          |    1|  271.924   pc  |  -1.1831     +1.1831    |paral   |2020yCat.1350....0G
100  |TYC 4830-446-1                                                                                           |Star                                  |07 30 11.5524392256 -00 20 19.273568820|217.6872360179761 +08.4578531167417| -9.174 -29.272   |10.46    |~                    |    ~     ~          |    1|  296.542   pc  |  -1.3982     +1.3982    |paral   |2020yCat.1350....0G
101  |TYC 4830-536-1                                                                                           |Star                                  |07 36 36.6561149832 -00 17 15.686050956|218.3937015583213 +09.9038475941962|   -0.132 0.555   |10.8     |~                    |    ~     ~          |    1|  463.564   pc  |  -6.2533     +6.2533    |paral   |2020yCat.1350....0G
102  |TYC 4830-709-1                                                                                           |Star                                  |07 32 29.6546157576 -00 44 53.387466180|218.3236500362672 +08.7785201322562|  -5.868 -4.713   |9.95     |~                    |    ~     ~          |    1|  507.228   pc  |  -5.0427     +5.0427    |paral   |2020yCat.1350....0G
103  |TYC 4830-711-1                                                                                           |Star                                  |07 35 16.7416956264 -00 55 00.763259916|218.8021183722570 +09.3168347043120|   -6.010 6.233   |9.70     |~                    |    ~     ~          |    1|  223.719   pc  |  -3.1431     +3.1431    |paral   |2020yCat.1350....0G
104  |TYC 4830-737-1                                                                                           |Star                                  |07 33 53.8372052736 -01 08 35.681332020|218.8425392182151 +08.9058168958019| -10.112 15.990   |10.46    |~                    |    ~     ~          |    1|  239.166   pc  |  -1.1726     +1.1726    |paral   |2020yCat.1350....0G
105  |TYC 4830-744-1                                                                                           |Star                                  |07 34 34.0161546480 -00 18 52.297304220|218.1775845937642 +09.4386103453259|  -0.032 -4.009   |10.38    |~                    |    ~     ~          |    1|  650.999   pc  |  -6.7384     +6.7384    |paral   |2020yCat.1350....0G
106  |TYC 4830-802-1                                                                                           |Star                                  |07 33 52.6532604529 -00 01 54.368571368|217.8426469424720 +09.4166683260408|  -2.658 -3.683   |10.6     |~                    |    ~     ~          |    0|                |                         |        |                   
107  |TYC 4830-824-1                                                                                           |Star                                  |07 34 31.2936537696 -00 18 59.668923564|218.1740984039990 +09.4276084021992|   1.033 -3.510   |10.3     |~                    |    ~     ~          |    1| 1204.239   pc  | -20.0126    +20.0126    |paral   |2020yCat.1350....0G
108  |TYC 4830-910-1                                                                                           |Star                                  |07 31 29.4372969408 -00 20 33.425106936|217.8424185147367 +08.7438289034994|  -4.423 -2.693   |10.8     |~                    |    ~     ~          |    1|  463.822   pc  |  -9.3797     +9.3797    |paral   |2020yCat.1350....0G
109  |TYC 4830-924-1                                                                                           |Star                                  |07 32 53.5247969808 -00 24 11.318039136|218.0607584083589 +09.0264568813311|-13.810 -12.023   |9.76     |~                    |    ~     ~          |    1|  278.458   pc  |  -1.0778     +1.0778    |paral   |2020yCat.1350....0G
110  |TYC 4830-928-1                                                                                           |Star                                  |07 30 54.3040322208 -00 04 41.784614040|217.5367975496289 +08.7360970252982|   29.910 6.018   |10.28    |~                    |    ~     ~          |    1|  158.907   pc  |  -0.4874     +0.4874    |paral   |2020yCat.1350....0G
111  |TYC 4830-997-1                                                                                           |Star                                  |07 32 14.1557764704 -01 07 34.364883540|218.6321513045162 +08.5459766931742|   -5.579 2.661   |10.70    |~                    |    ~     ~          |    1| 1125.746   pc  | -23.4451    +23.4451    |paral   |2020yCat.1350....0G
112  |TYC 4830-1080-1                                                                                          |Star                                  |07 33 07.1587543032 -00 21 54.687102876|218.0533136781793 +09.0943789311799|   -4.898 0.923   |10.57    |~                    |    ~     ~          |    1|  520.535   pc  |  -5.1482     +5.1482    |paral   |2020yCat.1350....0G
113  |TYC 4830-1095-1                                                                                          |Star                                  |07 32 11.1048780504 -00 45 45.664546212|218.3004343990422 +08.7033061254839|  -0.761 -8.570   |10.32    |~                    |    ~     ~          |    1|  929.887   pc  | -13.4027    +13.4027    |paral   |2020yCat.1350....0G
114  |TYC 4830-1148-1                                                                                          |Star                                  |07 34 48.1545811200 -00 24 18.992860200|218.2867787006286 +09.4487713266698|   0.095 -4.065   |10.7     |~                    |    ~     ~          |    1|  843.170   pc  | -28.6507    +28.6507    |paral   |2020yCat.1350....0G
115  |TYC 4830-1226-1                                                                                          |Star                                  |07 32 55.2780898032 -00 32 29.157272088|218.1882841866375 +08.9689062370416| 11.058 -26.628   |10.8     |~                    |    ~     ~          |    1|  284.341   pc  |  -1.2774     +1.2774    |paral   |2020yCat.1350....0G
116  |TYC 4830-1256-1                                                                                          |Star                                  |07 36 24.8123487744 -00 29 50.651795184|218.5590067236011 +09.7628303903554|   -8.062 2.535   |9.88     |~                    |    ~     ~          |    1| 1550.868   pc  | -52.9142    +52.9142    |paral   |2020yCat.1350....0G
117  |TYC 4830-1322-1                                                                                          |Star                                  |07 30 36.3439636680 -00 09 32.122984032|217.5742280852500 +08.6324857740173|  0.739 -13.783   |10.24    |~                    |    ~     ~          |    1|  847.601   pc  | -10.7046    +10.7046    |paral   |2020yCat.1350....0G
118  |TYC 4830-1373-1                                                                                          |Star                                  |07 33 26.7882339432 -01 09 40.372863012|218.8056478947586 +08.7976908650552| -25.717 -7.903   |10.85    |~                    |    ~     ~          |    1|  200.308   pc  |  -0.6500     +0.6500    |paral   |2020yCat.1350....0G
