C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
78   |BD-02 2202                                                                                               |Star                                  |07 36 40.2663848928 -02 27 48.011522364|220.3517058533518 +08.9026827405050|   3.152 -4.305   |10.20    |~                    |    ~     ~          |    1| 1818.182   pc  | -66.4463    +66.4463    |paral   |2020yCat.1350....0G
79   |BD-02 2209                                                                                               |Star                                  |07 38 02.9121868344 -02 20 24.011685672|220.4047587118994 +09.2644015146671|  -6.424 10.383   |10.05    |~                    |    ~     ~          |    1|  962.371   pc  | -14.2628    +14.2628    |paral   |2020yCat.1350....0G
80   |TYC 4835-727-1                                                                                           |Star                                  |07 38 19.9408970040 -01 58 07.462459776|220.1060379467147 +09.5010481688149|   3.796 -4.789   |9.66     |~                    |    ~     ~          |    1|  960.892   pc  | -13.2957    +13.2957    |paral   |2020yCat.1350....0G
81   |TYC 4831-2791-1                                                                                          |Star                                  |07 39 04.8815598840 -00 47 57.557000760|219.1453141292913 +10.2128434532637|  -3.480 -0.346   |10.09    |~                    |    ~     ~          |    1|  808.473   pc  | -12.2228    +12.2228    |paral   |2020yCat.1350....0G
82   |TYC 4831-2876-1                                                                                          |Star                                  |07 39 18.2339273352 -00 47 25.562856876|219.1636612243912 +10.2662068023498|   3.677 -8.372   |9.80     |~                    |    ~     ~          |    1| 1268.392   pc  | -31.5328    +31.5328    |paral   |2020yCat.1350....0G
83   |TYC 4835-755-1                                                                                           |Star                                  |07 39 32.4408916200 -01 59 55.119297300|220.2763406353802 +09.7537288159392|  -1.957 -7.514   |9.73     |~                    |    ~     ~          |    0|                |                         |        |                   
84   |BD-00 1783                                                                                               |Star                                  |07 40 27.2177492712 -00 49 08.039312904|219.3254842338166 +10.5071965156108| -13.431 -4.723   |10.25    |~                    |    ~     ~          |    1|  446.269   pc  |  -9.7587     +9.7587    |paral   |2020yCat.1350....0G
85   |BD+00 1965                                                                                               |Star                                  |07 30 17.0568548832 -00 05 17.924915256|217.4733610504532 +08.5937809804453|  -2.017 -1.182   |10.53    |A0                   |    ~     ~          |    1| 1458.789   pc  | -47.2431    +47.2431    |paral   |2020yCat.1350....0G
86   |BD+00 2009                                                                                               |Star                                  |07 36 08.0818512240 -00 03 34.681422564|218.1325454338021 +09.9040292090816|   -7.760 5.740   |8.69     |K5                   |    ~     ~          |    1|  843.597   pc  | -16.4393    +16.4393    |paral   |2020yCat.1350....0G
87   |BD+00 2016                                                                                               |Star                                  |07 36 22.4694502416 -00 05 30.438226068|218.1896625972312 +09.9422683203791|  -17.050 2.474   |9.31     |F0                   |    ~     ~          |    1|  270.651   pc  |  -1.0915     +1.0915    |paral   |2020yCat.1350....0G
