C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
147 |BD+76 212                                                                                                |Star                           |05 55 00.4529958764 +76 45 24.580952665|136.9215857530187 +23.2137600189924| -3.493 -48.242  |9.66     |F5               |    ~     ~    
148 |BD+76 213                                                                                                |High Proper Motion Star        |05 54 29.0055951072 +76 03 33.431069016|137.6211717898896 +22.9430279302915|  5.730 -64.599  |9.79     |G5               |    ~     ~    
149 |BD+76 214                                                                                                |Star                           |05 54 32.1159205776 +76 07 56.990454384|137.5478648545088 +22.9715444568325| 12.445 -40.275  |9.98     |F8               |    ~     ~    
150 |BD+76 215                                                                                                |Star                           |05 56 35.0867671080 +76 48 58.991556564|136.8939970016094 +23.3187753093417|   3.525 -8.904  |9.34     |K0               |    ~     ~    
151 |TYC 4524-2014-1                                                                                          |Star                           |05 57 05.2894583736 +76 02 59.041340484|137.6897448962888 +23.0870274337448|  6.667 -41.490  |10.13    |F8               |    ~     ~    
152 |TYC 4524-2004-1                                                                                          |Star                           |05 57 08.3031181560 +76 09 04.694377752|137.5869950223220 +23.1243630558425| -9.100 -39.050  |10.64    |F8               |    ~     ~    
153 |BD+76 216                                                                                                |High Proper Motion Star        |05 57 29.2880210184 +76 27 22.744760508|137.2822574578051 +23.2468048935997|  5.165 -59.623  |9.96     |F8               |    ~     ~    
154 |BD+75 235                                                                                                |Star                           |05 49 48.6629023776 +76 02 33.993940632|137.5282428489700 +22.6742935471826|  4.033 -16.685  |9.97     |F2               |    ~     ~    
155 |TYC 4524-1885-1                                                                                          |Star                           |05 56 48.3664080168 +75 58 55.013301948|137.7526968537231 +23.0479036624393|  7.922 -11.201  |10.21    |~                |    ~     ~    
156 |BD+78 204                                                                                                |Star                           |05 59 53.1533362152 +78 17 22.049304036|135.4367663764298 +23.9664726142012|   -1.504 4.656  |9.19     |M3/4             |    ~     ~    
157 |TYC 4524-887-1                                                                                           |Star                           |05 47 21.4609222944 +76 18 01.697589360|137.2099672375965 +22.6339874244343| -6.789 -29.431  |10.95    |~                |    ~     ~    
158 |TYC 4524-979-1                                                                                           |Star                           |05 47 18.8112541992 +76 32 29.628981780|136.9666745141384 +22.7219621928669|   3.877 19.692  |10.86    |~                |    ~     ~    
159 |TYC 4524-1643-1                                                                                          |Star                           |05 50 11.7716663040 +76 13 09.418616580|137.3593849677608 +22.7604723078945|  3.424 -41.498  |10.71    |~                |    ~     ~    
