C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
136 |NAME Capella                       * alf Aur                                                             |Spectroscopic Binary                  |05 16 41.35871 +45 59 52.7693          |162.58847600 +04.56643053          |  75.25 -426.89  |0.08     |G3III:            |    ~     ~    
137 |BD+47 1123                                                                                               |Star                                  |05 18 18.3861765888 +47 19 49.058731380|161.6520345764605 +05.5573485798954|-23.722 -15.641  |9.38     |G0                |    ~     ~    
138 |HD 34268                                                                                                 |Star                                  |05 18 32.3711645880 +47 19 45.667066404|161.6754351657528 +05.5892592094449|   -1.283 1.405  |8.49     |A2                |    ~     ~    
139 |BD+46 991                                                                                                |High Proper Motion Star               |05 17 27.1534501824 +46 59 50.019401976|161.8431971344512 +05.2478662759634|-10.306 -51.115  |10.03    |G2IV              |    ~     ~    
140 |BD+46 994                                                                                                |Star                                  |05 18 24.3831572352 +46 23 23.107051428|162.4374180103276 +05.0345258282902| -12.946 -8.028  |9.86     |F0V               |    ~     ~    
141 |BD+45 1083                                                                                               |Star                                  |05 17 44.1409904016 +46 01 30.303987060|162.6709434550322 +04.7307026373644|  -0.742 -1.734  |9.88     |~                 |    ~     ~    
142 |BD+45 1087                                                                                               |Star                                  |05 18 29.9683030776 +45 28 41.187948168|163.1974039149613 +04.5267915187553|  -36.529 9.022  |9.84     |G0III             |    ~     ~    
143 |BD+45 1101                                                                                               |Star                                  |05 21 33.9461645808 +45 32 42.577710180|163.4482457714893 +05.0069769461622|   17.583 2.222  |10.70    |A0V               |    ~     ~    
144 |BD+45 1103                                                                                               |Star                                  |05 21 44.4205237656 +46 08 54.805909632|162.9650278526560 +05.3722486719687|   1.795 -7.228  |10.11    |A1                |    ~     ~    
145 |BD+45 1107                                                                                               |Star                                  |05 23 01.0274883600 +45 15 21.047340780|163.8322434949541 +05.0548035595393|   4.231 -8.578  |10.24    |A2                |    ~     ~    
146 |BD+44 1174                                                                                               |Star                                  |05 20 38.7240999096 +44 52 42.003276276|163.9079768235027 +04.4960655061036|   5.813 -1.770  |10.35    |~                 |    ~     ~    
147 |BD+44 1187                                                                                               |Star                                  |05 22 39.6694745976 +44 39 03.433536540|164.2989595380507 +04.6628839223244|   1.047 -5.549  |10.00    |M6                |    ~     ~    
148 |TYC 2908-43-1                                                                                            |Spectroscopic Binary                  |05 17 22.7435995128 +44 39 34.030370304|163.7560622591894 +03.8951946406232|  28.804 -2.211  |10.88    |~                 |    ~     ~    
149 |TYC 2908-185-1                                                                                           |Star                                  |05 19 01.4254900176 +44 45 39.915445392|163.8404997364239 +04.1928896067177| -3.094 -16.144  |10.35    |~                 |    ~     ~    
150 |TYC 2908-343-1                                                                                           |Star                                  |05 16 17.1249957216 +44 40 29.988095412|163.6309699450318 +03.7452817822061| 27.549 -23.671  |10.18    |~                 |    ~     ~    
151 |TYC 2908-351-1                                                                                           |Star                                  |05 19 20.1258664152 +44 49 50.501008308|163.8148370569852 +04.2780213843725|   14.498 2.264  |10.86    |~                 |    ~     ~    
152 |TYC 2908-377-1                                                                                           |Star                                  |05 15 04.1708760384 +44 42 54.485473752|163.4727453473966 +03.5924065931844|  -0.559 -2.235  |10.84    |~                 |    ~     ~    
153 |TYC 2908-401-1                                                                                           |High Proper Motion Star               |05 18 20.2155322056 +44 51 32.300116308|163.6901317193757 +04.1489572533230| 13.850 -91.024  |10.90    |~                 |    ~     ~    
154 |TYC 2908-527-1                                                                                           |Star                                  |05 18 46.4347913616 +44 38 28.157161884|163.9137276137990 +04.0879106818392|   0.915 -7.082  |9.68     |~                 |    ~     ~    
155 |TYC 2908-569-1                                                                                           |Star                                  |05 19 08.4274909536 +44 36 25.042554504|163.9792318507281 +04.1218873728697|      -1.4 -8.8  |10.57    |~                 |    ~     ~    
