C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
64  |BD+42 401a                                                                                               |Star                                |01 56 32.6431946496 +43 10 16.152455640|135.3521096618506 -18.1249308253575|   -2.617 0.188  |10.36    |F0             |    ~     ~            |    1|  582.852   pc  | -14.0643    +14.0643  |paral   |2020yCat.1350....0G
65  |HD 11748                                                                                                 |Double or Multiple Star             |01 56 20.4898374216 +42 51 18.111179448|135.4018077448957 -18.4396968377918|        5.5 0.6  |8.91     |A5             |    ~     ~            |    0|                |                       |        |                   
66  |BD+42 402                                                                                                |Star                                |01 56 48.7373673504 +43 11 27.450826764|135.3962669667839 -18.0929639800486|  -0.517 -3.123  |9.11     |M0             |    ~     ~            |    0|                |                       |        |                   
67  |BD+42 407                                                                                                |Star                                |01 57 42.5665700640 +42 42 37.694885904|135.6973638065693 -18.5126070407159|  -7.925 -5.689  |10.11    |K0             |    ~     ~            |    1|  765.814   pc  | -10.3219    +10.3219  |paral   |2020yCat.1350....0G
68  |BD+42 408                                                                                                |High Proper Motion Star             |01 57 55.9418246640 +43 23 52.207024812|135.5451006626337 -17.8394054645840| 43.198 -31.313  |9.46     |F2             |    ~     ~            |    1|  215.522   pc  |  -1.0683     +1.0683  |paral   |2020yCat.1350....0G
69  |HD 11951                                                                                                 |Star                                |01 58 22.5488774544 +43 37 19.137302040|135.5633167931665 -17.6019067006009|  -6.881 -8.290  |7.64     |A0             |    ~     ~            |    1|  391.160   pc  |  -5.0798     +5.0798  |paral   |2020yCat.1350....0G
70  |BD+42 413                                                                                                |Star                                |01 59 02.4741937272 +43 17 19.445358588|135.7799865546511 -17.8900947923670| 11.181 -13.097  |10.15    |A5             |    ~     ~            |    1|  560.381   pc  |  -7.0028     +7.0028  |paral   |2020yCat.1350....0G
71  |BD+42 416                                                                                                |Star                                |01 59 14.0652586320 +42 59 03.094055124|135.9029141677829 -18.1735108622332|  32.789 -5.772  |8.33     |K5             |    ~     ~            |    1|  665.823   pc  | -18.7525    +18.7525  |paral   |2020yCat.1350....0G
72  |HD 12062                                                                                                 |Star                                |01 59 29.2688174568 +43 41 27.520265364|135.7467629448036 -17.4810006516500|   6.088 -3.249  |9.39     |A0             |    ~     ~            |    1|  434.047   pc  |  -4.6157     +4.6157  |paral   |2020yCat.1350....0G
73  |BD+41 373                                                                                                |Double or Multiple Star             |01 56 25.445 +42 42 47.39              |135.456484 -18.572616              |        5.5 9.0  |9.1      |F0             |    ~     ~            |    0|                |                       |        |                   
74  |BD+41 378                                                                                                |Star                                |01 57 21.3426716160 +42 42 09.931236732|135.6334874643938 -18.5373870056077|    5.872 0.207  |8.52     |K5             |    ~     ~            |    1| 1042.644   pc  | -25.3296    +25.3296  |paral   |2020yCat.1350....0G
75  |BD+41 342                                                                                                |Double or Multiple Star             |01 47 11.4448 +42 11 38.053            |133.8444477 -19.4934207            |      18.6 -8.8  |8.90     |F0             |    ~     ~            |    0|                |                       |        |                   
76  |HD 11129                                                                                                 |High Proper Motion Star             |01 50 22.0397547432 +42 06 33.722678340|134.4725563362246 -19.4380130087570|-44.180 -24.817  |9.01     |G5III          |    ~     ~            |    1|  109.415   pc  |  -0.1915     +0.1915  |paral   |2020yCat.1350....0G
77  |BD+41 359                                                                                                |Star                                |01 50 45.2094646080 +42 09 58.694551128|134.5316913481626 -19.3655178339613|  -3.292 -2.059  |10.44    |A0             |    ~     ~            |    1| 1054.964   pc  | -38.8419    +38.8419  |paral   |2020yCat.1350....0G
78  |TYC 2824-781-1                                                                                           |Star                                |01 52 38.3516023056 +42 06 24.389197524|134.9063693244182 -19.3375237934730|  -3.626 -2.049  |10.93    |A0             |    ~     ~            |    1| 1036.377   pc  | -31.5779    +31.5779  |paral   |2020yCat.1350....0G
79  |AG+41 182                                                                                                |Star                                |01 52 47.4004599672 +41 50 33.873587448|135.0049935910168 -19.5862237673183|  -2.157 -1.373  |10.955   |~              |    ~     ~            |    1| 1263.264   pc  | -36.7042    +36.7042  |paral   |2020yCat.1350....0G
80  |HD 11375                                                                                                 |Star                                |01 52 45.1440257808 +41 50 29.580203076|134.9981110454970 -19.5891282112249|  8.512 -10.151  |8.62     |A0             |    ~     ~            |    1|  340.055   pc  |  -4.4752     +4.4752  |paral   |2020yCat.1350....0G
81  |BD+41 365                                                                                                |High Proper Motion Star             |01 53 28.8263682120 +42 11 33.808448256|135.0434824708051 -19.2152602419370| 29.826 -47.592  |9.60     |K2             |    ~     ~            |    1|  513.743   pc  |  -4.1701     +4.1701  |paral   |2020yCat.1350....0G
82  |HD 11612                                                                                                 |Star                                |01 55 01.1750079624 +42 06 42.505189272|135.3574489719528 -19.2207313814810|   2.282 -6.592  |9.66     |Ma             |    ~     ~            |    1|  887.154   pc  | -29.5141    +29.5141  |paral   |2020yCat.1350....0G
83  |StKM 1-201                                                                                               |Star                                |01 50 14.3177738784 +43 43 46.470646668|134.0403168886249 -17.8702357515795|   -1.593 3.026  |10.38    |K4             |    ~     ~            |    1|  687.002   pc  | -10.1002    +10.1002  |paral   |2020yCat.1350....0G
84  |HD 11095                                                                                                 |Star                                |01 50 03.1131107496 +44 18 02.460598236|133.8643570718083 -17.3232804412780|   -7.549 2.223  |8.42     |A1V            |    ~     ~            |    1|  308.328   pc  |  -3.2037     +3.2037  |paral   |2020yCat.1350....0G
85  |HD 11026                                                                                                 |Star                                |01 49 15.2582285952 +43 44 07.209079584|133.8572964286188 -17.9064892933419|  11.087 -8.149  |8.82     |G5III          |    ~     ~            |    1|  365.617   pc  |  -3.6761     +3.6761  |paral   |2020yCat.1350....0G
86  |BD+43 375                                                                                                |High Proper Motion Star             |01 49 28.2327439272 +43 49 05.375147124|133.8768234661631 -17.8168343442485| 45.340 -88.859  |9.29     |G0V            |    ~     ~            |    1|   79.786   pc  |  -0.3361     +0.3361  |paral   |2020yCat.1350....0G
87  |BD+42 368                                                                                                |Star                                |01 45 56.0671353336 +43 09 48.352456764|133.3763412670724 -18.6003860704374| -1.293 -12.547  |9.98     |K0             |    ~     ~            |    1|  654.707   pc  | -10.6732    +10.6732  |paral   |2020yCat.1350....0G
88  |BD+42 369                                                                                                |Star                                |01 46 06.5960291976 +42 51 20.477710764|133.4814349026391 -18.8933553698210|  -4.215 -4.192  |9.88     |G8IIIe         |    ~     ~            |    1| 1165.773   pc  | -28.8114    +28.8114  |paral   |2020yCat.1350....0G
89  |BD+41 343                                                                                                |Star                                |01 47 29.3512944312 +42 04 47.802354960|133.9291893987282 -19.5917567544967|  8.629 -16.224  |10.67    |F2V            |    ~     ~            |    1|  322.706   pc  |  -1.6454     +1.6454  |paral   |2020yCat.1350....0G
90  |BD+41 345                                                                                                |High Proper Motion Star             |01 47 42.0366030912 +41 46 35.641464996|134.0437815495984 -19.8780266679636| 19.277 -61.718  |9.64     |F5III          |    ~     ~            |    1|  175.208   pc  |  -0.5710     +0.5710  |paral   |2020yCat.1350....0G
91  |HD 11027                                                                                                 |Star                                |01 49 14.7142236360 +41 59 20.885215956|134.2882362933587 -19.6043488415501| -19.429 -8.377  |8.680    |F2V            |    ~     ~            |    1|  165.390   pc  |  -0.6975     +0.6975  |paral   |2020yCat.1350....0G
92  |BD+41 363                                                                                                |Star                                |01 52 54.0334529040 +41 45 06.877227672|135.0502969856293 -19.6690139396411|  -9.967 -4.098  |9.83     |K5             |    ~     ~            |    1|  972.290   pc  | -14.6529    +14.6529  |paral   |2020yCat.1350....0G
93  |BD+40 379                                                                                                |Star                                |01 49 53.9392594872 +41 37 05.720070108|134.5075341216683 -19.9357172069086|   2.226 -0.226  |10.52    |K0V            |    ~     ~            |    1|  609.570   pc  | -26.6791    +26.6791  |paral   |2020yCat.1350....0G
94  |BD+40 385                                                                                                |Star                                |01 51 49.9503677376 +41 36 04.306317732|134.8848131437208 -19.8645544336695| 13.406 -28.462  |10.64    |F8             |    ~     ~            |    1|  274.710   pc  |  -5.9391     +5.9391  |paral   |2020yCat.1350....0G
95  |BD+40 389                                                                                                |Star                                |01 52 26.4646535568 +41 37 59.621579544|134.9935281908902 -19.8053511647120|  6.471 -13.202  |10.51    |K0             |    ~     ~            |    1|  725.005   pc  | -10.1973    +10.1973  |paral   |2020yCat.1350....0G
96  |BD+40 391                                                                                                |Double or Multiple Star             |01 52 59.9968475088 +41 33 36.581696676|135.1204880685261 -19.8499795456454| -20.267 -9.639  |9.745    |K0             |    ~     ~            |    1|  463.865   pc  |  -4.0882     +4.0882  |paral   |2020yCat.1350....0G
