C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
58  |TYC 4950-1043-1                                                                                          |High Proper Motion Star             |12 55 25.2823791360 -02 00 04.519390968|304.9757961469911 +60.8546829244128| -55.321 -5.649   |10.59    |~                |    ~     ~    |    1|  269.825   pc  |  -1.4197     +1.4197    |paral   |2020yCat.1350....0G
59  |NGC 4666                           NGC 4666                                                              |Galaxy in Pair of Galaxies          |12 45 08.676 -00 27 42.88              |299.538115 +62.368359              |            ~ ~   |     ~   |~                | 4.57  1.55    |    1|   15.00    Mpc |  -0.94       +0.94      |T-F     |2020ApJ...902..145K
60  |HD 110978                                                                                                |High Proper Motion Star             |12 45 54.6073445136 -03 02 00.250317708|300.1869588115898 +59.8088796823771|-18.944 -70.601   |9.64     |K1/2IV           |    ~     ~    |    1|   61.930   pc  |  -0.0637     +0.0637    |paral   |2020yCat.1350....0G
61  |BD-03 3348                                                                                               |Star                                |12 45 17.1310985184 -03 53 01.411750572|299.9555318166620 +58.9524621858332| -35.089 10.724   |8.09     |~                |    ~     ~    |    1|  193.551   pc  |  -1.0452     +1.0452    |paral   |2020yCat.1350....0G
62  |HD 110886                                                                                                |Star                                |12 45 17.3508672864 -03 53 17.057953464|299.9576913638769 +58.9481629809718| -36.311 10.231   |7.26     |A7(III)+A/F      |    ~     ~    |    1|  194.678   pc  |  -0.8452     +0.8452    |paral   |2020yCat.1350....0G
63  |HD 111045                                                                                                |Star                                |12 46 31.5758206320 -04 01 09.111376488|300.5648552810454 +58.8299741129825|-13.639 -23.206   |9.545    |F5V              |    ~     ~    |    1|  167.570   pc  |  -1.7920     +1.7920    |ST-L    |2020AJ....160...83S
64  |HD 111046                                                                                                |High Proper Motion Star             |12 46 35.4844154208 -04 46 21.575764200|300.6480320719952 +58.0775941107501|-140.986 72.146   |9.633    |F6V              |    ~     ~    |    1|  127.062   pc  |  -1.1360     +1.1360    |ST-L    |2020AJ....160...83S
65  |HD 111197                                                                                                |Star                                |12 47 34.1292218496 -04 40 52.561641540|301.1034355342316 +58.1767434097093|-30.308 -16.472   |7.41     |K5/M0III         |    ~     ~    |    1|  485.861   pc  |  -4.8393     +4.8393    |paral   |2020yCat.1350....0G
66  |HD 110845                                                                                                |High Proper Motion Star             |12 45 02.0000490336 -05 16 21.185439564|299.9585340301617 +57.5622159789472| 30.145 -50.335   |9.19     |G3V              |    ~     ~    |    1|  167.040   pc  |  -3.3706     +3.3706    |paral   |2020yCat.1350....0G
67  |HD 110900                                                                                                |High Proper Motion Star             |12 45 26.4059776704 -05 07 36.068002824|300.1352827600845 +57.7124896761660| 68.798 -16.637   |8.54     |K1/2IIICNIb/II   |    ~     ~    |    1|  116.310   pc  |  -0.4288     +0.4288    |paral   |2020yCat.1350....0G
68  |HD 110918                                                                                                |Star                                |12 45 32.0283663456 -04 48 39.406788036|300.1533309799288 +58.0289447531069|  -17.498 6.289   |7.16     |K1III            |    ~     ~    |    1|  214.804   pc  |  -1.2412     +1.2412    |paral   |2020yCat.1350....0G
69  |BD-04 3353                                                                                               |Star                                |12 46 09.0685542408 -04 54 12.301773372|300.4503174886718 +57.9428543386673|  3.561 -16.715   |9.96     |F8               |    ~     ~    |    1|  359.699   pc  |  -3.1958     +3.1958    |paral   |2020yCat.1350....0G
70  |BD-03 3345                                                                                               |Star                                |12 45 02.9151295008 -03 48 47.638890864|299.8344921143661 +59.0200830158664|  -9.995 -4.614   |10.521   |~                |    ~     ~    |    1|  334.283   pc  |  -9.8720     +9.8720    |ST-L    |2020AJ....160...83S
71  |BD-04 3349                                                                                               |Star                                |12 45 07.3259997384 -04 57 48.112594092|299.9731070749380 +57.8720941808862|-15.253 -10.810   |10.65    |~                |    ~     ~    |    1|  767.578   pc  | -13.1975    +13.1975    |paral   |2020yCat.1350....0G
72  |BD-03 3346                                                                                               |Star                                |12 45 12.8891548608 -04 20 38.495698332|299.9626405914250 +58.4918384064776|-18.095 -25.791   |9.928    |~                |    ~     ~    |    1|  451.027   pc  | -19.9200    +19.9200    |ST-L    |2020AJ....160...83S
73  |BD-02 3571                                                                                               |High Proper Motion Star             |12 45 14.5638876648 -03 44 40.695647856|299.9222331870881 +59.0909019859587|-105.925 10.870   |10.77    |~                |    ~     ~    |    1|  175.923   pc  |  -1.3401     +1.3401    |paral   |2020yCat.1350....0G
