C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
3607|HD 298985                                                             |Star                           |10 16 28.7897642664 -52 27 52.183459872|280.4756422999997 +03.5174739586622|  -11.028 3.508   |10.81    |A0             |    ~     ~    
3608|HD 298986                                                             |High Proper Motion Star        |10 17 14.8774744591 -52 29 18.694800089|280.5863879653533 +03.5626431797714|  406.477 6.001   |10.03    |F5             |    ~     ~    
3609|HD 298987                                                             |Star                           |10 18 08.5138449672 -52 24 33.004863576|280.6558961719773 +03.7041992784209|  -6.695 -0.597   |10.98    |F2             |    ~     ~    
3610|HD 89494                                                              |Star                           |10 18 21.2180435712 -52 19 53.792004396|280.6399246990760 +03.7866974486773|  23.263 -8.381   |7.57     |K2/3III        |    ~     ~    
3611|HD 299033                                                             |Star                           |10 19 35.8619 -52 16 25.733            |280.7671521 +03.9396562            |     -8.10 6.60   |10.98    |B9             |    ~     ~    
3612|HD 89767                                                              |Blue Supergiant                |10 20 11.7405637392 -52 36 06.159291012|281.0235762792039 +03.7152434011459|   -7.012 4.448   |7.212    |B0.5/1Iab      |    ~     ~    
3613|HD 89858                                                              |Star                           |10 20 52.9964987832 -52 16 17.435230464|280.9309478110298 +04.0491210351281|  -16.717 9.832   |9.03     |K3III          |    ~     ~    
3614|HD 299040                                                             |Star                           |10 21 01.3841454840 -52 29 27.673144368|281.0687112425304 +03.8766337793097|   -9.477 4.953   |10.77    |A0             |    ~     ~    
3615|HD 299036                                                             |Star                           |10 22 20.3680674744 -52 18 49.702261860|281.1414645579889 +04.1344186379252| -14.509 -0.612   |10.58    |A2             |    ~     ~    
3616|HD 90118                                                              |Star                           |10 22 50.8495445232 -52 27 18.295722540|281.2833248377076 +04.0573052043520| -12.857 -4.371   |9.33     |F2V            |    ~     ~    
3617|HD 90261                                                              |High Proper Motion Star        |10 23 56.4651625416 -52 17 01.339199232|281.3321962513374 +04.2915255884675| -71.336 -0.667   |9.54     |F8/G0V         |    ~     ~    
3618|HD 299084                                                             |Pulsating Variable             |10 24 07.6742456808 -52 35 09.737453868|281.5185439894198 +04.0513710064720|   -5.999 3.951   |10.50    |B8             |    ~     ~    
3619|HD 90396                                                              |Star                           |10 24 53.1730513920 -52 33 05.939828244|281.5978435801691 +04.1419442667161|  -23.347 4.058   |8.32     |A5/7IV         |    ~     ~    
3620|HD 90451                                                              |Star                           |10 25 16.7966494728 -52 33 55.220943420|281.6559519842089 +04.1621811145720|   -9.148 5.702   |7.88     |A0IV           |    ~     ~    
3621|HD 89064                                                              |Star                           |10 15 10.7567627472 -53 14 03.508679292|280.7442398714351 +02.7696530497816|  -13.516 0.830   |8.99     |A0V            |    ~     ~    
3622|HD 89175                                                              |Chemically Peculiar Star       |10 15 46.6231220232 -52 38 37.347833004|280.4872655863816 +03.3091621752192| -20.412 15.422   |7.73     |G8Ib/II        |    ~     ~    
3623|HD 89176                                                              |Star                           |10 15 48.5015620920 -52 39 11.556598968|280.4965362133740 +03.3039481006816| -20.370 13.593   |7.79     |G5/8III/IV     |    ~     ~    
3624|HD 89513                                                              |High Proper Motion Star        |10 18 21.8332344936 -52 43 58.079336304|280.8632603939016 +03.4531157758422| -38.317 34.660   |8.00     |K2/3III        |    ~     ~    
3625|HD 299047                                                             |Pulsating Variable             |10 19 29.0385810816 -52 47 47.668623864|281.0401458335985 +03.4931532673287|   1.376 -3.028   |9.94     |F0             |    ~     ~    
3626|HD 89700                                                              |Star                           |10 19 43.3678968480 -52 59 50.976855060|281.1806984165567 +03.3448936737679|  -15.332 8.898   |9.66     |A5/6V          |    ~     ~    
3627|HD 299050                                                             |Star                           |10 20 44.8953472512 -52 54 05.125652208|281.2576986813034 +03.5097595904692|  -12.332 1.353   |9.65     |F2             |    ~     ~    
3628|HD 89916                                                              |Star                           |10 21 14.4858997344 -52 55 23.701066392|281.3320945163656 +03.5319081575504|   -7.991 4.733   |9.60     |A0IV           |    ~     ~    
3629|HD 299053                                                             |Star                           |10 21 31.4022058728 -53 19 45.286804020|281.5884739698360 +03.2139162763917|  -6.793 -3.305   |10.25    |A3             |    ~     ~    
3630|HD 299087                                                             |Star                           |10 23 26.1864211752 -52 51 46.017480744|281.5785583796413 +03.7616062087138|  -14.176 8.577   |10.04    |B9             |    ~     ~    
3631|HD 90311                                                              |Star                           |10 24 16.0035671040 -52 48 22.564760688|281.6543642009693 +03.8764865018406| -18.747 12.499   |9.55     |A3IV/V         |    ~     ~    
3632|CD-52 3727                                                            |Carbon Star                    |10 21 12.3839244120 -52 59 15.241266456|281.3626764969308 +03.4750511884115|   -3.339 1.749   |10.90    |C              |    ~     ~    
3633|IRAS 10137-5147                                                       |Long-Period Variable Candidate |10 15 41.7808273056 -52 02 48.853534920|280.1420237076468 +03.7965977013939|   0.671 -0.109   |10.85    |M4             |    ~     ~    
3634|HD 90298                                                              |Star                           |10 24 10.3031269992 -52 41 21.149706120|281.5794760479411 +03.9677427410991|  -18.093 7.300   |8.72     |K3/4(III)      |    ~     ~    
3635|IRAS 10240-5122                                                       |Star                           |10 26 04.7303122104 -51 37 31.212315012|281.2601804733033 +05.0241730975665|   -9.328 5.519   |10.46    |M3             |    ~     ~    
3636|HD 299043                                                             |High Proper Motion Star        |10 21 08.0796160176 -52 30 19.231646580|281.0908041404351 +03.8738594317601|-91.789 210.222   |10.26    |K7             |    ~     ~    
3637|SAO 237920                                                            |Double or Multiple Star        |10 19 51.10608 -51 34 07.3992          |280.41214384 +04.55068090          |    -9.91 -2.02   |9.99     |~              |    ~     ~    
3638|CD-52 3695                                                            |Star                           |10 17 11.6911547472 -52 59 27.985418880|280.8594265496454 +03.1403197789353|   -4.824 1.702   |10.34    |~              |    ~     ~    
3639|HD 299057                                                             |Star                           |10 19 05.1289848744 -53 31 28.696955628|281.3906544878837 +02.8519316445110|   -8.112 3.530   |10.92    |A              |    ~     ~    
3640|HD 299058                                                             |Star                           |10 19 11.5531288512 -53 32 24.521217540|281.4124949601603 +02.8477188504145|  -26.906 9.907   |10.33    |A2             |    ~     ~    
3641|HD 299046                                                             |Star                           |10 20 31.2978217872 -52 40 43.119826392|281.1071943635968 +03.6778132035492|   -7.428 2.152   |9.90     |K0             |    ~     ~    
3642|HD 298036                                                             |Star                           |10 21 11.4113594952 -51 24 24.394123296|280.4984356434005 +04.8001609126316|  -11.252 3.062   |10.07    |K5             |    ~     ~    
3643|CPD-51 3247                                                           |Star                           |10 21 36.2741588040 -51 43 43.881367296|280.7283705559863 +04.5648649640324|   -5.178 3.837   |10.5     |~              |    ~     ~    
3644|HD 299045                                                             |Star                           |10 22 20.9980059168 -52 39 17.584795620|281.3275469939892 +03.8482748795166|  -19.887 4.675   |10.47    |F8             |    ~     ~    
3645|HD 299091A                                                            |Star                           |10 23 10.6505086656 -53 28 26.794132428|281.8746658095085 +03.2250683899295|  -10.453 7.996   |10.53    |B8             |    ~     ~    
3646|HD 299083                                                             |Star                           |10 23 20.4466822176 -52 29 00.128471856|281.3620677241289 +04.0738812201356|  -17.017 0.839   |9.70     |K7             |    ~     ~    
3647|HD 298087                                                             |Star                           |10 25 13.9593882648 -51 23 39.354979200|281.0250191650766 +05.1501203643796|  -10.447 4.962   |10.82    |G0             |    ~     ~    
3648|HD 297973                                                             |Star                           |10 17 50.1151229952 -51 12 33.413875272|279.9499871475232 +04.6769988198972|  -12.179 4.898   |10.67    |K5             |    ~     ~    
3649|HD 298028                                                             |Star                           |10 21 51.2558225688 -51 03 30.565776564|280.3959837096164 +05.1490043344803|  -15.825 5.449   |10.16    |K0             |    ~     ~    
3650|HD 298032                                                             |Star                           |10 21 16.4166264024 -51 07 07.739283180|280.3520664377468 +05.0488073348013|  -17.898 5.589   |10.74    |G0             |    ~     ~    
3651|HD 298033                                                             |Star                           |10 20 51.1830232968 -51 12 07.375235328|280.3421074076909 +04.9430862574986|  -3.389 19.318   |10.52    |K5             |    ~     ~    
3652|HD 298034                                                             |Spectroscopic Binary           |10 21 24.4296907392 -51 21 25.513553124|280.4998056013706 +04.8602713480248|   1.636 -9.573   |10.74    |G0             |    ~     ~    
3653|HD 298042                                                             |Star                           |10 23 19.4401586160 -51 40 38.833953744|280.9253918738796 +04.7520783005416|  -14.265 6.571   |10.72    |K0             |    ~     ~    
3654|HD 298046                                                             |Star                           |10 22 08.5154450544 -51 46 43.383380736|280.8255904935655 +04.5680552425798|  -10.450 9.061   |10.81    |F8             |    ~     ~    
3655|HD 298088                                                             |Star                           |10 24 03.9929457336 -51 30 13.244563548|280.9294462665765 +04.9606033865583|  -24.782 4.414   |10.49    |M0             |    ~     ~    
3656|HD 298090                                                             |Star                           |10 24 49.6690795368 -51 33 08.706352068|281.0560440550713 +04.9826940293931| 28.747 -37.951   |10.79    |K0             |    ~     ~    
3657|HD 298091                                                             |High Proper Motion Star        |10 25 56.5693348032 -51 36 37.694063592|281.2342985807231 +05.0256008038013| -56.843 14.504   |10.76    |G5             |    ~     ~    
3658|HD 298092                                                             |Star                           |10 26 56.0019533400 -51 35 49.865161920|281.3583522706418 +05.1181404780280|  -15.317 5.995   |10.88    |A              |    ~     ~    
3659|HD 298096                                                             |Star                           |10 25 18.3121968624 -51 44 18.801014532|281.2184471421411 +04.8645790767380|  -19.017 6.288   |10.45    |K7             |    ~     ~    
3660|HD 298989                                                             |Star                           |10 18 10.0601835360 -52 34 34.125243420|280.7516900887798 +03.5672414998977|  -2.024 32.146   |10.79    |F8             |    ~     ~    
3661|HD 298990                                                             |Star                           |10 17 19.3237803144 -52 38 43.090762128|280.6830261026033 +03.4385399210586|  -17.543 3.229   |10.91    |A2             |    ~     ~    
3662|HD 298991                                                             |Star                           |10 16 38.2000957032 -52 59 13.930243872|280.7873511096912 +03.0968216623494|  -10.818 6.799   |10.95    |A3             |    ~     ~    
3663|HD 298992                                                             |Star                           |10 17 46.9491428376 -53 03 45.408820896|280.9727780402689 +03.1298350738937|   -3.638 3.991   |10.88    |A3             |    ~     ~    
3664|HD 298993                                                             |Star                           |10 16 18.8278356864 -53 13 53.465116404|280.8835189905236 +02.8670076381297|   -5.635 2.605   |10.56    |A2             |    ~     ~    
3665|HD 299025                                                             |Star                           |10 21 59.7343310376 -51 56 52.694246328|280.8984709275446 +04.4135298301657| -14.881 -0.453   |10.69    |A5             |    ~     ~    
3666|HD 299027                                                             |Star                           |10 22 26.4364341936 -52 02 56.596475328|281.0110960558371 +04.3655705290795|  -10.929 2.694   |9.58     |K0             |    ~     ~    
3667|HD 299034                                                             |Star                           |10 21 23.4553014672 -52 11 57.084782892|280.9568752655167 +04.1520880720557|  -14.688 7.635   |10.37    |K5             |    ~     ~    
3668|HD 299037                                                             |Star                           |10 21 51.7556005344 -52 22 23.260227348|281.1122413375002 +04.0451204408567|   -2.780 0.690   |10.08    |K5             |    ~     ~    
3669|HD 299038                                                             |Star                           |10 21 42.9378765648 -52 23 23.750472300|281.1024791714513 +04.0188439933403| -31.284 -5.854   |10.94    |G5             |    ~     ~    
3670|HD 299039                                                             |Star                           |10 21 32.1205071408 -52 28 29.740645740|281.1255624501436 +03.9325338821472|   -2.827 1.711   |10.75    |A0             |    ~     ~    
3671|HD 299048                                                             |Star                           |10 20 14.8413 -52 49 25.571            |281.1517695 +03.5335746            |   -9.759 4.962   |10.85    |A2             |    ~     ~    
3672|HD 299049                                                             |Star                           |10 20 18.3734349720 -52 51 03.817247904|281.1741691995441 +03.5155755361352|   -5.370 1.702   |10.63    |F0             |    ~     ~    
3673|HD 299051                                                             |Star                           |10 20 20.1851323032 -53 05 29.292775368|281.3095283755740 +03.3166772253411| -3.600 -14.209   |10.12    |F5             |    ~     ~    
3674|HD 299052                                                             |Star                           |10 20 47.0903370912 -53 09 23.910381756|281.4016124507941 +03.2987421735916|   1.135 -0.297   |10.28    |A2             |    ~     ~    
3675|HD 299054                                                             |Star                           |10 20 31.1158274184 -53 32 19.398557364|281.5768020698659 +02.9567422352659| -17.517 -3.529   |9.99     |G0             |    ~     ~    
3676|HD 299055                                                             |Star                           |10 21 50.9212608624 -53 34 57.792549216|281.7667800976572 +03.0271135155722|  -0.843 -8.196   |10.03    |A5             |    ~     ~    
3677|HD 299056                                                             |Star                           |10 21 03.4006525392 -53 37 29.814578040|281.6908875368292 +02.9279043471037|   4.024 -3.137   |10.20    |A0             |    ~     ~    
3678|HD 299079                                                             |Double or Multiple Star        |10 25 28.7029612512 -51 56 08.838954348|281.3463621623586 +04.7117125350064|  -12.079 7.236   |10.949   |A              |    ~     ~    
3679|HD 299082                                                             |Star                           |10 25 37.8798208536 -52 22 02.732422656|281.5960916008733 +04.3583200103059| -14.774 -0.420   |10.96    |A              |    ~     ~    
3680|HD 299085                                                             |Star                           |10 24 53.6628723192 -52 38 15.377689968|281.6447810084306 +04.0698473527320|   -9.107 5.345   |10.92    |A2             |    ~     ~    
3681|HD 299086                                                             |Star                           |10 25 28.5878215680 -52 40 14.642246064|281.7373985113827 +04.0887061552479|  -4.589 -8.612   |9.73     |K7             |    ~     ~    
3682|HD 89173                                                              |Star                           |10 15 50.6574172248 -51 19 36.868177128|279.7564500031305 +04.4057073820964|  -10.294 4.698   |9.73     |B8V            |    ~     ~    
3683|HD 297915                                                             |Star                           |10 16 17.7747262032 -50 57 19.144768032|279.6066271752723 +04.7532710954853|  -10.840 5.030   |10.30    |K0             |    ~     ~    
3684|CD-50 4982                                                            |Star                           |10 16 22.5306667488 -50 43 30.610983576|279.4878342572250 +04.9510437983828|   -8.540 4.438   |10.55    |~              |    ~     ~    
3685|HD 89248                                                              |Star                           |10 16 27.8996741712 -50 55 48.552071520|279.6146212746553 +04.7889978635967|   -9.006 3.812   |9.80     |B8/9II/III     |    ~     ~    
3686|HD 297916                                                             |Star                           |10 16 35.7630509784 -51 01 56.687459952|279.6891181284161 +04.7157116057290|  -7.157 -7.201   |10.72    |F5             |    ~     ~    
3687|V* GY Vel                                                             |Long-Period Variable           |10 16 40.1343280800 -51 12 16.694960184|279.7951064301315 +04.5792119511135| -40.971 11.550   |6.30     |M4/5III        |    ~     ~    
3688|HD 89302                                                              |Star                           |10 16 50.5442924016 -51 00 52.535920104|279.7113929690739 +04.7521188748121|   -5.556 2.911   |9.77     |B9Ib/II        |    ~     ~    
3689|HD 297904                                                             |Star                           |10 16 53.6547562248 -50 42 10.413906084|279.5437120835430 +05.0153889346996| -24.465 16.699   |9.82     |K5             |    ~     ~    
3690|HD 297969                                                             |Star                           |10 16 52.9245840504 -51 06 51.359634936|279.7723568946194 +04.6728592266395|  -14.875 5.226   |10.22    |F0             |    ~     ~    
3691|HD 297970                                                             |High Proper Motion Star        |10 16 53.3217944616 -51 10 09.056484372|279.8039408167809 +04.6278499467435| -69.945 39.761   |10.17    |K0             |    ~     ~    
3692|HD 297967                                                             |Star                           |10 16 57.3948564360 -50 47 54.059147736|279.6053642863974 +04.9416536734280|  -11.039 9.970   |10.73    |F0             |    ~     ~    
3693|CD-50 5003                                                            |Star                           |10 17 06.8437253160 -50 55 26.726469132|279.6964042248222 +04.8510973791286| -12.373 11.080   |10.83    |~              |    ~     ~    
3694|HD 297968                                                             |Star                           |10 17 09.0571181352 -50 58 45.754392504|279.7321470972893 +04.8084154271680|  -17.681 2.218   |9.99     |K7             |    ~     ~    
3695|HD 89400                                                              |Star                           |10 17 46.2527071008 -50 55 10.887456900|279.7802961883507 +04.9123097616777|   -8.704 2.280   |8.87     |K2/3(III)      |    ~     ~    
3696|V* V340 Vel                                                           |Eclipsing Binary               |10 18 12.0004839 -50 49 25.291372      |279.7834236638 +05.0297387859      |   -17.79 12.41   |7.86     |A3mA6-A7       |0.0050  0.0    
3697|CD-50 5027                                                            |Star                           |10 18 14.8660439304 -50 54 14.546463048|279.8343852113296 +04.9670065726664| -10.115 -6.574   |10.53    |~              |    ~     ~    
3698|HD 89137                                                              |Star                           |10 15 40.0854126480 -51 15 24.093239544|279.6940797443624 +04.4483939284369|   -8.338 6.362   |7.97     |ON9.7II(n)     |    ~     ~    
3699|CD-50 5036                                                            |Star                           |10 18 46.0367820768 -50 46 57.265363848|279.8355637621763 +05.1135622897880|   -4.043 1.713   |10.62    |~              |    ~     ~    
3700|CD-51 4613                                                            |Star                           |10 16 08.5470763512 -51 54 53.674826832|280.1249946097896 +03.9444228959588|   -5.265 8.379   |10.02    |M2/3           |    ~     ~    
3701|CPD-52 3457                                                           |Star                           |10 17 21.7211471352 -53 00 12.503469384|280.8872530774629 +03.1440042960383|  -10.826 7.035   |9.92     |~              |    ~     ~    
3702|CD-52 3702                                                            |Star                           |10 18 06.5064111792 -53 02 24.350001000|281.0011631085257 +03.1756937399594|   -6.279 3.202   |9.98     |M3             |    ~     ~    
3703|CD-50 5034                                                            |Star                           |10 18 34.1079563688 -50 47 38.017133052|279.8155472849737 +05.0867670261187|  -12.243 5.637   |10.40    |~              |    ~     ~    
3704|CD-50 5160                                                            |High Proper Motion Star        |10 27 36.0070147488 -51 38 10.293410832|281.4673374686875 +05.1393756818714| 22.708 -98.357   |10.71    |~              |    ~     ~    
3705|CD-51 4777                                                            |Star                           |10 27 38.2961019960 -51 58 54.690625128|281.6543852954852 +04.8481747596687|   -8.810 4.942   |10.8     |K2III          |    ~     ~    
3706|CD-50 5175                                                            |Star                           |10 28 22.9370380224 -51 33 05.392602432|281.5267395184590 +05.2751336934849|  -10.865 7.572   |10.8     |~              |    ~     ~    
3707|TYC 8195-590-1                                                        |Star                           |10 18 23.0727252168 -50 40 56.664628248|279.7292979533527 +05.1635556324001|   -9.595 4.054   |10.12    |~              |    ~     ~    
3708|TYC 8195-912-1                                                        |Star                           |10 16 45.5485230984 -51 03 30.562736364|279.7250644279772 +04.7083857770676|  -5.361 -0.284   |10.69    |~              |    ~     ~    
3709|TYC 8195-1591-1                                                       |Star                           |10 15 45.0257349072 -52 16 26.005481688|280.2763766365985 +03.6132499188142|   -3.794 4.399   |10.66    |~              |    ~     ~    
3710|TYC 8195-2082-1                                                       |Star                           |10 18 34.8398716872 -50 59 40.128343296|279.9284399345394 +04.9206621316475| -11.391 10.255   |10.85    |~              |    ~     ~    
3711|TYC 8196-167-1                                                        |Star                           |10 18 51.4381667376 -52 03 26.647812252|280.5527942409725 +04.0579733429969|  -5.703 16.774   |10.97    |~              |    ~     ~    
3712|TYC 8196-624-1                                                        |Star                           |10 20 08.6513711112 -50 49 59.859732972|280.0459699332318 +05.1908657851673|   0.155 -7.787   |10.88    |~              |    ~     ~    
3713|TYC 8196-948-1                                                        |Star                           |10 21 36.2687131128 -50 50 19.105111428|280.2429006272237 +05.3122288956445|  -11.037 5.380   |10.34    |~              |    ~     ~    
3714|TYC 8196-2178-1                                                       |Star                           |10 27 07.3320372432 -51 27 10.768806216|281.3071854144956 +05.2561904920766|  -17.254 6.372   |10.96    |~              |    ~     ~    
3715|TYC 8196-2834-1                                                       |Spectroscopic Binary           |10 19 57.5868350712 -51 07 58.041476940|280.1864214294566 +04.9244707733667|  -2.501 -2.345   |10.67    |~              |    ~     ~    
3716|TYC 8196-2943-1                                                       |Pulsating Variable             |10 20 45.6501374688 -51 40 41.168313876|280.5906495022244 +04.5362909723309| -14.848 -0.482   |10.83    |~              |    ~     ~    
3717|TYC 8196-3418-1                                                       |Star                           |10 20 42.7247519904 -50 56 46.911212196|280.1833561888133 +05.1452193096032| -4.839 -13.906   |10.79    |~              |    ~     ~    
3718|TYC 8196-3963-1                                                       |Pulsating Variable             |10 20 48.7608531432 -51 55 23.511848340|280.7314714311382 +04.3352341678723|  -19.413 2.267   |10.99    |~              |    ~     ~    
3719|TYC 8600-51-1                                                         |High Proper Motion Star        |10 21 35.6176279224 -52 53 31.684194456|281.3598504764885 +03.5868683964965|  5.659 -68.458   |10.52    |~              |    ~     ~    
3720|TYC 8600-162-1                                                        |Star                           |10 19 20.0715165888 -52 54 47.968923780|281.0854672294819 +03.3831853800902| -6.461 -13.908   |10.68    |~              |    ~     ~    
3721|TYC 8600-191-1                                                        |High Proper Motion Star        |10 15 27.5419926696 -52 37 19.662417480|280.4351225443891 +03.2999888996020| -50.194 34.312   |10.57    |~              |    ~     ~    
3722|TYC 8600-230-1                                                        |Star                           |10 19 26.3473295808 -52 42 24.963542424|280.9851646917110 +03.5643570315704|   -8.495 1.024   |10.53    |~              |    ~     ~    
3723|TYC 8600-262-1                                                        |Star                           |10 18 29.9074847208 -52 49 13.692954216|280.9287403817435 +03.3912454990040|   -2.948 0.860   |10.37    |~              |    ~     ~    
3724|TYC 8600-329-1                                                        |Star                           |10 18 48.1876247736 -53 02 25.842986628|281.0886134153636 +03.2329665912113| 12.346 -28.632   |10.27    |~              |    ~     ~    
3725|TYC 8600-374-1                                                        |Star                           |10 17 52.0330431720 -52 45 47.257761456|280.8173228593510 +03.3862859706865|-21.309 -31.976   |10.35    |~              |    ~     ~    
3726|TYC 8600-449-1                                                        |Star                           |10 16 38.9265317640 -52 38 40.017705180|280.5975378839095 +03.3824251874476|  -15.026 9.968   |10.43    |~              |    ~     ~    
3727|TYC 8600-596-1                                                        |Star                           |10 15 51.7161676728 -53 05 34.728673920|280.7497607866064 +02.9440439527401| -24.342 -5.166   |10.61    |~              |    ~     ~    
3728|TYC 8600-600-1                                                        |Star                           |10 15 24.3777176160 -53 19 16.194493776|280.8211578134732 +02.7168046562982|  -1.371 -1.624   |10.89    |~              |    ~     ~    
3729|TYC 8600-1735-1                                                       |Star                           |10 23 36.9656670792 -52 42 25.400471724|281.5177924757151 +03.9075952102471|   -3.641 3.794   |10.67    |~              |    ~     ~    
3730|TYC 8600-2293-1                                                       |Star                           |10 21 01.1812928880 -53 20 54.193521120|281.5356602702160 +03.1570088895360|   -6.307 1.782   |10.96    |~              |    ~     ~    
3731|TYC 8600-2899-1                                                       |Star                           |10 19 55.3710623424 -53 29 43.710526752|281.4788731493013 +02.9445925711950|-26.685 -23.859   |10.79    |~              |    ~     ~    
3732|TYC 8600-3459-1                                                       |Star                           |10 17 14.4728629800 -53 25 59.284971084|281.1110539117987 +02.7766039990904|  -5.236 -0.009   |10.91    |~              |    ~     ~    
3733|NGC 3228 18                        HD 298054                          |Star                           |10 22 00.1317021600 -51 53 01.253032692|280.8644024864105 +04.4681233051636|  -5.266 -7.476   |9.79     |G0             |    ~     ~    
3734|HD 298994                                                             |Star                           |10 17 48.1294707384 -53 29 04.166589012|281.2091308187067 +02.7801566754432| -17.158 -0.049   |9.54     |K0             |    ~     ~    
3735|HD 89754                                                              |Star                           |10 20 02.3846953992 -53 37 13.843903260|281.5619024637028 +02.8494119970196|  -8.343 -2.134   |8.91     |K2/K3III:      |    ~     ~    
3736|HD 89839                                                              |Star                           |10 20 40.5422616216 -53 39 50.736867444|281.6647933052479 +02.8643366655098|  -6.488 14.994   |7.64     |F7V            |    ~     ~    
3737|HD 89957                                                              |Star                           |10 21 27.2081560680 -53 42 06.126341688|281.7820418439405 +02.8953743083437|  -21.176 8.338   |9.67     |A3V            |    ~     ~    
3738|HD 90036                                                              |Star                           |10 22 07.8450757056 -53 45 58.314744144|281.9013228931523 +02.8953723478834| -30.029 11.555   |8.53     |A2V            |    ~     ~    
3739|CD-52 3694                                                            |Star                           |10 17 06.6641091984 -53 31 40.725155064|281.1476769432135 +02.6869815834251|   -6.873 0.844   |10.27    |K8/M0          |    ~     ~    
3740|HD 299059                                                             |Star                           |10 20 03.2825377296 -53 43 07.319102664|281.6175063125490 +02.7684098639025|  -5.143 -0.468   |9.77     |G5             |    ~     ~    
3741|HD 89262                                                              |Star                           |10 16 30.9795937488 -54 04 54.803321004|281.3831455991910 +02.1778834842072|  -12.937 7.029   |9.31     |A5III/IV       |    ~     ~    
3742|HD 89384                                                              |Star                           |10 17 33.3227756880 -53 48 01.051280316|281.3537510316021 +02.4969651202523|  -12.309 5.442   |9.67     |A0V            |    ~     ~    
3743|CPD-53 3583                                                           |Star                           |10 17 40.7254021392 -53 44 12.012484272|281.3336602125988 +02.5600304824907|  -10.646 6.784   |10.5     |K2III          |    ~     ~    
3744|HD 299003                                                             |Star                           |10 17 41.3494367472 -53 57 03.317016996|281.4537011079069 +02.3824834723871|  -16.556 9.540   |9.85     |K0             |    ~     ~    
3745|HD 89444                                                              |Double or Multiple Star        |10 18 00.4 -53 37 59                   |281.3167 +02.6732                  |            ~ ~   |9.8      |A(5m)A8-F2     |    ~     ~    
3746|HD 89495                                                              |Star                           |10 18 18.6466754016 -53 58 42.925281420|281.5452597903747 +02.4099651775486|  -10.605 4.585   |9.76     |B8V            |    ~     ~    
3747|HD 89723                                                              |Star                           |10 19 58.1881344672 -53 53 15.338847300|281.6994485863962 +02.6201440367870| -10.127 -2.531   |9.64     |A0IV/V         |    ~     ~    
3748|HD 89840                                                              |Star                           |10 20 42.6162804168 -53 52 32.206039284|281.7844363782655 +02.6897353710882|  -13.216 3.725   |9.96     |Ap(Si)         |    ~     ~    
3749|HD 89199                                                              |Star                           |10 16 06.1763146080 -54 35 42.773105112|281.6195960157945 +01.7182221015612|  -13.360 2.671   |10.11    |A1V            |    ~     ~    
3750|HD 299013                                                             |Star                           |10 16 52.6327314672 -54 28 08.971920804|281.6426384921342 +01.8854786881901|   -7.164 3.443   |10.47    |B8             |    ~     ~    
3751|HD 89385                                                              |Star                           |10 17 28.9240930968 -54 23 56.909887908|281.6769442336139 +01.9925412603851| -17.571 14.668   |8.35     |B8V(pCrEuSr)   |    ~     ~    
3752|HD 89429                                                              |Star                           |10 17 52.7904482088 -54 37 23.476503792|281.8491501528600 +01.8379196086363| -10.937 -4.256   |7.87     |B9V            |    ~     ~    
3753|HD 89514                                                              |High Proper Motion Star        |10 18 23.8909306968 -54 34 44.181496344|281.8873192128158 +01.9162604340700| 42.896 -39.836   |8.69     |F5V            |    ~     ~    
3754|HD 89568                                                              |Star                           |10 18 46.8370787016 -54 17 40.094760948|281.7769495055613 +02.1843061634929|  -10.630 2.463   |9.32     |F6V            |    ~     ~    
3755|HD 89104                                                              |Star                           |10 15 16.6396322256 -54 58 27.148439352|281.7330458148235 +01.3375121396978|  -13.373 2.867   |6.134    |B2IV           |    ~     ~    
3756|HD 89138                                                              |Star                           |10 15 29.8791634224 -55 20 47.785158168|281.9678767027494 +01.0467327308128|  -13.436 2.814   |9.49     |B9V            |    ~     ~    
3757|HD 89183                                                              |Star                           |10 15 51.4731655344 -55 13 50.571144552|281.9455009296721 +01.1714553272165|  -13.472 2.724   |9.82     |A0V            |    ~     ~    
3758|HD 299022                                                             |Star                           |10 17 53.1230025480 -54 49 32.324468628|281.9618161806741 +01.6696696369606|   -6.764 2.552   |10.08    |A0             |    ~     ~    
3759|HD 89464                                                              |Star                           |10 18 05.9884384560 -54 43 37.529996808|281.9331119893804 +01.7688948593962|  -16.104 6.391   |9.21     |B9V            |    ~     ~    
3760|V* W Vel                                                              |Mira Variable                  |10 15 14.8298044200 -54 28 41.989481076|281.4512388588447 +01.7456249888821| -17.498 11.832   |8.30     |M9             |    ~     ~    
3761|CD-54 3378                                                            |S Star                         |10 17 22.4404288464 -54 54 11.950744284|281.9435451411715 +01.5642510660613|   -6.462 7.149   |9.80     |S5,6           |    ~     ~    
3762|HD 299021                                                             |Star                           |10 15 14.7586637496 -54 45 19.447904124|281.6065672640424 +01.5161441298702|  -12.827 0.842   |9.08     |K7             |    ~     ~    
3763|CD-53 3457                                                            |Star                           |10 18 47.0169475176 -53 55 30.104239224|281.5738079522822 +02.4929965718815|   -7.288 3.091   |10.16    |~              |    ~     ~    
