C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
5728|TYC 9196-2795-1                                                                                          |Star                              |09 16 56.3828230296 -67 57 25.341776388|284.8670946673913 -12.9768654221440|   -8.815 4.260   |10.82    |~              |    ~     ~          |    1|  347.355   pc  |  -1.9064     +1.9064    |paral   |2020yCat.1350....0G
5729|TYC 9196-2826-1                                                                                          |Star                              |09 23 32.3515013688 -67 31 42.142147428|284.9881152656238 -12.2283549434918| -15.901 15.177   |10.88    |~              |    ~     ~          |    1|  147.855   pc  |  -0.2055     +0.2055    |paral   |2020yCat.1350....0G
5730|TYC 9196-3016-1                                                                                          |Star                              |09 23 01.4383146816 -67 30 08.368527636|284.9338940613254 -12.2455932338185| 19.482 -16.515   |10.91    |~              |    ~     ~          |    1|  289.293   pc  |  -0.8285     +0.8285    |paral   |2020yCat.1350....0G
5731|TYC 9196-3023-1                                                                                          |Star                              |09 17 36.7071855624 -67 48 19.457639208|284.7969141575406 -12.8274816743457| -26.963 19.346   |10.76    |~              |    ~     ~          |    1|  363.055   pc  |  -3.4270     +3.4270    |paral   |2020yCat.1350....0G
5732|TYC 9196-3040-1                                                                                          |Star                              |09 23 08.6996738592 -68 15 37.513002528|285.5004965810557 -12.7641043670150|   -6.739 0.099   |10.22    |~              |    ~     ~          |    1| 1392.758   pc  | -21.3375    +21.3375    |paral   |2020yCat.1350....0G
5733|HD 80288                                                                                                 |Star                              |09 15 13.4318338080 -68 06 25.216638660|284.8694480173924 -13.1964889715127|  -8.129 -1.277   |9.21     |K3III          |    ~     ~          |    1|  650.915   pc  |  -6.2706     +6.2706    |paral   |2020yCat.1350....0G
5734|HD 80530                                                                                                 |Star                              |09 16 42.8416327728 -68 12 50.149624248|285.0465326729897 -13.1663000255171|   -8.662 6.713   |10.11    |B9/A0(IV)      |    ~     ~          |    1|  672.993   pc  | -15.8069    +15.8069    |paral   |2020yCat.1350....0G
5735|HD 80884                                                                                                 |Star                              |09 18 37.2017026848 -68 27 00.370337508|285.3473050625353 -13.1974552676364|  -11.574 8.548   |9.81     |A2V            |    ~     ~          |    1|  359.260   pc  |  -2.1167     +2.1167    |paral   |2020yCat.1350....0G
5736|HD 80647                                                                                                 |Star                              |09 17 15.4715452296 -68 34 51.628060344|285.3589726107609 -13.3779070511681|   -9.280 4.380   |9.65     |A0V            |    ~     ~          |    1|  334.750   pc  |  -1.6585     +1.6585    |paral   |2020yCat.1350....0G
5737|* 128 Car                                                                                                |Double or Multiple Star           |09 17 17.2424584176 -68 41 22.535261160|285.4429904178538 -13.4494534556554|-105.204 -39.904  |5.39     |F5VFe-0.7CH-0.5|0.0017  0.0          |    1|   33.943   pc  |  -0.6141     +0.6141    |paral   |2020yCat.1350....0G
5738|V* V384 Car                                                                                              |Long-Period Variable              |09 17 45.3370842144 -68 36 26.520626124|285.4105353997438 -13.3623847366013|  -10.007 7.064   |10.75    |K5III          |    ~     ~          |    1| 1885.770   pc  |-184.1000   +184.1000    |ST-L    |2020AJ....160...83S
5739|Hen 3-270                                                                                                |Long-Period Variable              |09 18 09.5368624296 -68 36 55.731456360|285.4423225065274 -13.3409014463599|   -9.191 2.097   |10.19    |Me             |    ~     ~          |    1|  804.311   pc  | -21.4129    +21.4129    |paral   |2020yCat.1350....0G
5740|TYC 9196-428-1                                                                                           |Star                              |09 21 17.0405993280 -68 29 21.200251272|285.5484699818503 -13.0461696865340|  -1.472 -4.074   |10.46    |~              |    ~     ~          |    1|  500.200   pc  |  -3.3777     +3.3777    |paral   |2020yCat.1350....0G
5741|TYC 9196-830-1                                                                                           |Star                              |09 19 47.5193307288 -68 32 10.278708108|285.4872323705658 -13.1777616057399|   -9.207 3.142   |10.958   |~              |    ~     ~          |    1| 3155.340   pc  |-364.1000   +364.1000    |ST-L    |2020AJ....160...83S
5742|TYC 9196-1332-1                                                                                          |Star                              |09 20 21.9883262784 -68 37 32.803030920|285.5911695854043 -13.2009276630433|   1.167 -3.276   |10.88    |~              |    ~     ~          |    1|  511.535   pc  |  -3.5849     +3.5849    |paral   |2020yCat.1350....0G
5743|TYC 9196-1553-1                                                                                          |Spectroscopic Binary              |09 15 48.6889780968 -68 47 38.719361328|285.4294486853687 -13.6186946773112|  -1.496 -2.105   |10.72    |~              |    ~     ~          |    1|  347.983   pc  |  -2.6277     +2.6277    |paral   |2020yCat.1350....0G
5744|HD 82039                                                                                                 |Star                              |09 26 00.5757517752 -68 24 27.938980548|285.7978443612666 -12.6775849068956|   8.267 -9.175   |8.76     |K1III          |    ~     ~          |    1|  508.695   pc  | -13.7000    +13.7000    |ST-L    |2020AJ....160...83S
5745|HD 81738                                                                                                 |Star                              |09 23 52.2951416496 -68 38 02.261688468|285.8236350647085 -12.9756409669201|  -12.189 9.907   |8.38     |K1III          |    ~     ~          |    1|  251.231   pc  |  -1.0288     +1.0288    |paral   |2020yCat.1350....0G
5746|HD 82601                                                                                                 |Star                              |09 29 29.6438079456 -68 44 04.890933636|286.2654676241645 -12.6830411300829|  -9.937 10.846   |9.38     |A0V            |    ~     ~          |    1|  368.297   pc  |  -2.5501     +2.5501    |paral   |2020yCat.1350....0G
