C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
57  |HD 212411                                                                                                                                   |High Proper Motion Star               |22 24 51.9288396744 -41 23 14.855259228|357.8989048475509 -56.8486765034541| 89.698 -69.148   |7.82     |K2III          |    ~     ~    |    1|  162.896   pc  |  -0.5864     +0.5864  |paral   |2020yCat.1350....0G
58  |CD-42 15936                                                                                                                                 |High Proper Motion Star               |22 29 06.3818295480 -41 24 11.116978416|357.5087338793553 -57.6156281131670|-37.182 -41.306   |10.385   |G0             |    ~     ~    |    1|  191.133   pc  |  -2.4190     +2.4190  |ST-L    |2020AJ....160...83S
59  |HD 213096                                                                                                                                   |Star                                  |22 29 47.1069538824 -41 36 38.877683760|357.0722594786718 -57.6845156036439|   32.269 0.660   |9.29     |F6V            |    ~     ~    |    1|  209.740   pc  |  -0.7654     +0.7654  |paral   |2020yCat.1350....0G
60  |HD 212103                                                                                                                                   |Star                                  |22 22 41.4019195080 -41 52 13.420365348|357.2241038154041 -56.3383309109343|  18.624 -7.407   |9.71     |K1/2III/IV     |    ~     ~    |    1|  572.869   pc  |  -6.3995     +6.3995  |paral   |2020yCat.1350....0G
61  |HD 212197                                                                                                                                   |Star                                  |22 23 15.7802214528 -41 56 28.185769284|357.0532949455706 -56.4245272452879|  -1.573 -2.615   |9.61     |K2/3(III)      |    ~     ~    |    1|  564.334   pc  |  -5.0000     +5.0000  |paral   |2020yCat.1350....0G
62  |HD 212435                                                                                                                                   |Star                                  |22 25 02.0080377240 -42 01 42.944571372|356.7503910567762 -56.7212536444350| 14.977 -14.236   |9.34     |A2/3III(m)     |    ~     ~    |    1|  229.774   pc  |  -1.0506     +1.0506  |paral   |2020yCat.1350....0G
63  |HD 212435B                                                                                                                                  |Star                                  |22 25 00.9866363808 -42 01 48.401653915|356.7491855552786 -56.7178107235398| 14.681 -13.600   |10.91    |~              |    ~     ~    |    1|  229.184   pc  |  -0.9507     +0.9507  |paral   |2020yCat.1350....0G
64  |HD 212465                                                                                                                                   |High Proper Motion Star               |22 25 13.7231769984 -41 45 57.256002936|357.1976737517599 -56.8225135045483| 35.941 -44.034   |9.07     |G8IV           |    ~     ~    |    1|  434.122   pc  |  -3.6750     +3.6750  |paral   |2020yCat.1350....0G
65  |TYC 7999-105-1                                                                                                                              |Star                                  |22 22 53.7194410512 -41 05 48.422523516|358.5694746238624 -56.5551956359708|  -7.793 -4.188   |10.863   |~              |    ~     ~    |    1| 2172.990   pc  |-253.8000   +253.8000  |ST-L    |2020AJ....160...83S
66  |CD-42 15893                                                                                                                                 |Star                                  |22 22 46.6375211880 -41 30 11.607507144|357.8615812096975 -56.4411092996074|   2.500 -5.288   |10.85    |~              |    ~     ~    |    1|  502.382   pc  | -14.3700    +14.3700  |ST-L    |2020AJ....160...83S
