C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
77  |TYC 7998-291-1                                                                                           |Star                              |22 12 48.5627384688 -40 06 42.516781416|000.9374170922525 -54.8652569682982|   11.986 0.185    |10.810   |~               |    ~     ~    |    1|  319.408   pc  |  -6.1670     +6.1670  |ST-L    |2020AJ....160...83S
78  |TYC 7998-908-1                                                                                           |Star                              |22 12 50.4671621880 -40 37 20.792314920|000.0617418351232 -54.7857792144824|  22.206 -3.821    |10.831   |~               |    ~     ~    |    1|  443.544   pc  | -12.6300    +12.6300  |ST-L    |2020AJ....160...83S
79  |TYC 7998-1009-1                                                                                          |Star                              |22 12 06.2446013064 -40 41 30.966780732|359.9851290326532 -54.6360796632494| -19.537 -6.519    |10.830   |~               |    ~     ~    |    1|  284.866   pc  |  -5.8650     +5.8650  |ST-L    |2020AJ....160...83S
80  |TYC 7999-746-1                                                                                           |Star                              |22 14 08.4123572448 -40 16 30.586538316|000.5834383560410 -55.0888724739450|    8.627 1.988    |10.91    |~               |    ~     ~    |    1|  382.489   pc  |  -9.8400     +9.8400  |ST-L    |2020AJ....160...83S
81  |TYC 7999-878-1                                                                                           |Star                              |22 13 58.3682577288 -40 15 57.326126544|000.6087898695862 -55.0589669139453|  0.790 -11.761    |10.747   |~               |    ~     ~    |    1|  959.432   pc  | -60.0600    +60.0600  |ST-L    |2020AJ....160...83S
82  |TYC 7999-1070-1                                                                                          |High Proper Motion Star           |22 13 59.3793284664 -41 23 12.597212796|358.6882915628929 -54.8575060615482| 38.623 -46.163    |10.76    |~               |    ~     ~    |    1|  239.677   pc  |  -3.8790     +3.8790  |ST-L    |2020AJ....160...83S
83  |HD 209118                                                                                                |Star                              |22 01 56.6625872664 -37 56 41.538174468|005.0155037430796 -53.0240737383900|-30.311 -21.569    |9.416    |F6V             |    ~     ~    |    1|  160.287   pc  |  -1.7460     +1.7460  |ST-L    |2020AJ....160...83S
84  |HD 209254                                                                                                |Star                              |22 02 47.5314378960 -37 58 00.228282996|004.9580797517737 -53.1890562615808|   6.808 -3.654    |9.95     |A3III/IV        |    ~     ~    |    1|  449.400   pc  | -13.8300    +13.8300  |ST-L    |2020AJ....160...83S
85  |HD 209465                                                                                                |Star                              |22 04 29.3080086504 -38 03 43.048786320|004.7536789487185 -53.5143394669847| -0.325 -11.918    |9.47     |K1III           |    ~     ~    |    1|  501.781   pc  |  -3.8775     +3.8775  |paral   |2020yCat.1350....0G
86  |HD 209619                                                                                                |Star                              |22 05 36.5460241560 -38 24 43.657366824|004.1322887188810 -53.7017473470353| -3.478 -17.433    |9.15     |M1III           |    ~     ~    |    1|  998.702   pc  | -25.1346    +25.1346  |paral   |2020yCat.1350....0G
87  |CD-38 14885                                                                                              |Spectroscopic Binary              |22 06 28.2067481760 -38 18 06.024691008|004.2908054977401 -53.8804158559329| -10.607 -1.353    |10.44    |~               |    ~     ~    |    1|  359.906   pc  | -20.3884    +20.3884  |paral   |2020yCat.1350....0G
88  |CD-38 14875                                                                                              |Star                              |22 05 12.9653519304 -38 15 38.907573768|004.3988194721620 -53.6392611520371|   1.059 -5.268    |10.43    |~               |    ~     ~    |    1|  829.807   pc  | -14.2536    +14.2536  |paral   |2020yCat.1350....0G
89  |CD-39 14568                                                                                              |Star                              |22 06 39.8332984968 -38 24 42.429820968|004.0985190848342 -53.9074063505348|-10.003 -13.094    |10.08    |~               |    ~     ~    |    1| 1700.970   pc  | -55.5513    +55.5513  |paral   |2020yCat.1350....0G
90  |HD 209174                                                                                                |Star                              |22 02 04.7448290928 -35 32 46.236667920|009.0039911060002 -53.1631670040243|   2.448 -6.687    |7.33     |K3III           |    ~     ~    |    1|  745.379   pc  | -11.8896    +11.8896  |paral   |2020yCat.1350....0G
91  |HD 209083                                                                                                |Star                              |22 01 31.0093322400 -36 03 30.181685976|008.1557672504829 -53.0367600191638|  46.451 10.437    |8.86     |F2V             |    ~     ~    |    1|  154.481   pc  |  -0.6443     +0.6443  |paral   |2020yCat.1350....0G
92  |HD 209099                                                                                                |Star                              |22 01 38.0977065864 -36 07 24.617854560|008.0462831213761 -53.0586366542308|    2.948 6.539    |8.99     |F0V             |    ~     ~    |    1|  173.241   pc  |  -1.2635     +1.2635  |paral   |2020yCat.1350....0G
93  |HD 209109                                                                                                |Star                              |22 01 45.1718568720 -36 18 34.490451528|007.7354528154245 -53.0761474201443|  35.908 23.039    |8.77     |G8III/IV        |    ~     ~    |    1|  460.702   pc  | -11.5250    +11.5250  |paral   |2020yCat.1350....0G
94  |CD-36 15163                                                                                              |Star                              |22 04 17.8376311824 -36 08 26.828248956|007.9857295588895 -53.5952602850278|-16.493 -32.548    |10.223   |~               |    ~     ~    |    1|  405.061   pc  | -11.7300    +11.7300  |ST-L    |2020AJ....160...83S
95  |HD 208983                                                                                                |Star                              |22 00 54.8193679248 -36 51 37.285391376|006.8329503558589 -52.8851622591966| 37.548 -25.323    |9.17     |F3V             |    ~     ~    |    1|  139.624   pc  |  -0.3353     +0.3353  |paral   |2020yCat.1350....0G
