C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2614|TYC 8438-1562-1                                                                                          |Star                              |22 05 58.9190859312 -45 11 40.175592648|352.9669412168793 -52.5830343543859| -0.116 -20.987    |10.97    |~               |    ~     ~    |    1|  761.531   pc  | -35.5900    +35.5900  |ST-L    |2020AJ....160...83S
2615|NGC 7166                           NGC 7166                                                              |Galaxy in Pair of Galaxies        |22 00 32.9063111088 -43 23 22.828215012|356.1977792733108 -52.0341912506283|            ~ ~    |11.84    |~               |1.487 0.743    |    1|   38.55    Mpc |                       |        |2016AJ....152...50T
2616|HD 209804                                                                                                |Star                              |22 07 01.6725546624 -43 43 57.612653400|355.2450174129136 -53.1113160163302|   8.643 -1.070    |9.68     |F2IV            |    ~     ~    |    1|  465.459   pc  | -14.5600    +14.5600  |ST-L    |2020AJ....160...83S
2617|HD 209212                                                                                                |High Proper Motion Star           |22 02 40.3518024672 -43 48 01.005371100|355.4162727287754 -52.3289469092820|-46.371 -32.619    |9.90     |G2/3V           |    ~     ~    |    1|  200.947   pc  |  -2.4180     +2.4180  |ST-L    |2020AJ....160...83S
2618|HD 210022                                                                                                |Double or Multiple Star           |22 08 25.3519201848 -44 03 25.988132520|354.6214048182021 -53.2812862763030|  40.362 19.488    |9.25     |G0V             |0.0000  0.0    |    1|  118.700   pc  |  -0.9454     +0.9454  |paral   |2020yCat.1350....0G
2619|CD-44 14768                                                                                              |Eclipsing Binary                  |22 06 43.3225227240 -43 43 58.547931060|355.2650943489360 -53.0574008300734|  1.089 -11.370    |10.930   |~               |    ~     ~    |    1|  490.157   pc  | -16.4300    +16.4300  |ST-L    |2020AJ....160...83S
2620|CD-44 14772                                                                                              |Star                              |22 07 29.0238349416 -43 54 13.221125424|354.9363849883397 -53.1527305134318|    7.946 0.277    |10.11    |~               |    ~     ~    |    1|  679.440   pc  |  -7.6632     +7.6632  |paral   |2020yCat.1350....0G
2621|HD 209429                                                                                                |Star                              |22 04 23.7648884904 -42 28 11.383781016|357.4626410270211 -52.8992924112686| 16.291 -27.811    |10.130   |F2V             |    ~     ~    |    1|  302.206   pc  |  -6.5920     +6.5920  |ST-L    |2020AJ....160...83S
2622|NGC 7162A                          ESO 288-28                                                            |Galaxy in Pair of Galaxies        |22 00 35.4 -43 08 28                   |356.5925 -52.0886                  |            ~ ~    |     ~   |~               | 2.29  1.78    |    1|   19       Mpc |  -3          +4       |T-F     |2008ApJ...676..184T
2623|CD-42 15769                                                                                              |Star                              |22 07 07.2456529968 -41 39 58.307452956|358.6293747152276 -53.5423813208660| 18.923 -46.184    |10.871   |~               |    ~     ~    |    1|  190.322   pc  |  -2.1480     +2.1480  |ST-L    |2020AJ....160...83S
2624|CD-42 15773                                                                                              |High Proper Motion Star           |22 07 28.1351222280 -41 48 55.688787756|358.3625063509940 -53.5794552301837|  49.674 -9.677    |10.39    |~               |    ~     ~    |    1|  183.597   pc  |  -0.5461     +0.5461  |paral   |2020yCat.1350....0G
2625|HD 210161                                                                                                |Star                              |22 09 23.9769477504 -41 39 41.303528424|358.5066571567772 -53.9617855857659|  33.691 -6.895    |9.95     |G8(III)         |    ~     ~    |    1|  243.101   pc  |  -4.2080     +4.2080  |ST-L    |2020AJ....160...83S
2626|CD-42 15794                                                                                              |Spectroscopic Binary              |22 09 23.7011913792 -41 58 27.387203520|357.9852186448170 -53.9017920015915|-54.554 -100.377   |10.337   |G0              |    ~     ~    |    1|  140.273   pc  |  -3.3920     +3.3920  |ST-L    |2020AJ....160...83S
2627|HD 210246                                                                                                |Double or Multiple Star           |22 09 58.0078497992 -41 46 36.272730444|358.2801958350734 -54.0440828718010|-28.879 -34.047    |10.024   |F3/5V           |0.0117  0.0    |    1|  236.252   pc  | -20.0100    +20.0100  |ST-L    |2020AJ....160...83S
2628|HD 209282                                                                                                |Star                              |22 03 07.4940364128 -43 13 56.867822292|356.3007858935675 -52.5245047825981| 37.384 -29.760    |8.39     |K1III           |    ~     ~    |    1|  330.929   pc  |  -2.1136     +2.1136  |paral   |2020yCat.1350....0G
2629|HD 209417                                                                                                |High Proper Motion Star           |22 04 13.0499368032 -42 35 03.913872972|357.2862840255726 -52.8456014917869| 12.464 -65.016    |9.04     |K2/3III         |    ~     ~    |    1|  959.049   pc  | -17.9356    +17.9356  |paral   |2020yCat.1350....0G
2630|HD 209431                                                                                                |Double or Multiple Star           |22 04 16.5519006096 -42 59 23.961139296|356.6243743370998 -52.7782396591312| 37.117 -13.580    |9.780    |K1III           |    ~     ~    |    1|  521.295   pc  |  -3.8317     +3.8317  |paral   |2020yCat.1350....0G
2631|HD 209430                                                                                                |delta Sct Variable                |22 04 19.1846914344 -42 43 28.550262576|357.0525134723495 -52.8375477597212| 50.662 -27.003    |8.81     |A2mF0-F2        |    ~     ~    |    1|  255.781   pc  |  -1.3739     +1.3739  |paral   |2020yCat.1350....0G
2632|HD 209430B                                                                                               |High Proper Motion Star           |22 04 20.1355773360 -42 43 21.211521168|357.0549063396031 -52.8407940259816| 50.314 -27.237    |10.91    |~               |    ~     ~    |    1|  250.651   pc  |  -4.4060     +4.4060  |ST-L    |2020AJ....160...83S
2633|HD 209704                                                                                                |High Proper Motion Star           |22 06 25.0377916200 -42 58 25.302009972|356.5205303187865 -53.1652091220497|  52.497 45.804    |8.30     |F5V             |    ~     ~    |    1|   78.674   pc  |  -0.1597     +0.1597  |paral   |2020yCat.1350....0G
2634|HD 209827                                                                                                |Star                              |22 07 07.9741532856 -42 30 05.268245904|357.2502653251322 -53.3885355435239|   -6.677 9.174    |8.61     |K1III           |    ~     ~    |    1|  265.611   pc  |  -1.3475     +1.3475  |paral   |2020yCat.1350....0G
