C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
75  |BD+38 622                                                                                                                                                                      |Star                                |03 03 32.5743653256 +38 53 33.230989392|149.2841324879742 -17.1262968135333| -3.565 -11.898   |10.66    |A5                   |    ~     ~    |    1|  326.456   pc  |  -2.4192     +2.4192  |paral   |2020yCat.1350....0G
76  |BD+38 624                                                                                                                                                                      |Star                                |03 04 01.7263831296 +39 24 54.413814384|149.0916787813596 -16.6282858174216| 10.223 -14.321   |9.45     |A2                   |    ~     ~    |    1|  365.912   pc  |  -2.5707     +2.5707  |paral   |2020yCat.1350....0G
77  |HD 19011                                                                                                                                                                       |High Proper Motion Star             |03 04 49.8655413600 +39 32 12.917428044|149.1660227773560 -16.4446325259136| 57.675 -30.397   |8.64     |F5                   |    ~     ~    |    1|  133.447   pc  |  -0.4203     +0.4203  |paral   |2020yCat.1350....0G
78  |BD+38 633                                                                                                                                                                      |Star                                |03 06 22.9023740088 +39 28 53.889090024|149.4632438577874 -16.3387932749840|  16.754 -4.174   |10.98    |K                    |    ~     ~    |    1|  951.022   pc  | -18.8124    +18.8124  |paral   |2020yCat.1350....0G
79  |HD 19206                                                                                                                                                                       |Star                                |03 06 43.1302216392 +39 20 43.643600052|149.5945965221489 -16.4218804811075| -14.021 -2.998   |9.00     |A2                   |    ~     ~    |    1|  225.012   pc  |  -1.2607     +1.2607  |paral   |2020yCat.1350....0G
80  |BD+38 637                                                                                                                                                                      |Star                                |03 07 21.9583734456 +39 26 40.078020840|149.6527231730816 -16.2724714450553|  16.897 -8.226   |10.54    |F5                   |    ~     ~    |    1|  429.553   pc  |  -4.8528     +4.8528  |paral   |2020yCat.1350....0G
81  |BD+38 639                                                                                                                                                                      |Star                                |03 07 32.1529756728 +39 11 33.291305448|149.8181927392642 -16.4707672792901| 10.814 -17.740   |9.10     |A5                   |    ~     ~    |    1|  197.734   pc  |  -0.7624     +0.7624  |paral   |2020yCat.1350....0G
82  |HD 19301                                                                                                                                                                       |Star                                |03 07 32.0857092552 +39 05 12.143128164|149.8753589750295 -16.5613519779380|-27.145 -28.295   |7.85     |F3V                  |    ~     ~    |    1|   99.635   pc  |  -0.2929     +0.2929  |paral   |2020yCat.1350....0G
83  |BD+38 645A                                                                                                                                                                     |Star                                |03 08 27.4848725448 +39 09 39.683463516|149.9944046306295 -16.4046373401334|   -2.273 1.023   |10.21    |A2                   |    ~     ~    |    1|  399.074   pc  |  -5.4308     +5.4308  |paral   |2020yCat.1350....0G
84  |** AG 62B                                                                                                                                                                      |Star                                |03 08 27.7 +39 09 48                   |149.9938 -16.4023                  |            ~ ~   |10.0     |~                    |    ~     ~    |    0|                |                       |        |                   
85  |TYC 2851-1234-1                                                                                                                                                                |Star                                |03 09 29.5418826120 +39 29 52.173883068|149.9882953267588 -16.0129681394954|  -9.305 -6.948   |9.46     |K0                   |    ~     ~    |    1|  476.100   pc  |  -4.6921     +4.6921  |paral   |2020yCat.1350....0G
86  |BD+38 650                                                                                                                                                                      |Star                                |03 09 26.5523469528 +39 30 01.419621228|149.9783800644697 -16.0158233889122|   -2.821 5.611   |9.38     |A2                   |    ~     ~    |    1|  287.563   pc  |  -2.1335     +2.1335  |paral   |2020yCat.1350....0G
87  |BD+38 655                                                                                                                                                                      |High Proper Motion Star             |03 10 20.6443992456 +39 19 22.302177816|150.2296510602289 -16.0752056276052| 56.660 -28.551   |8.79     |G0                   |    ~     ~    |    1|  135.203   pc  |  -0.4734     +0.4734  |paral   |2020yCat.1350....0G
88  |HD 18881                                                                                                                                                                       |Star                                |03 03 31.9447272600 +38 24 36.075859488|149.5391442235523 -17.5429435876634|  5.396 -11.964   |7.14     |A0                   |    ~     ~    |    1|  274.725   pc  |  -2.8303     +2.8303  |paral   |2020yCat.1350....0G
89  |BD+37 694                                                                                                                                                                      |Star                                |03 04 00.1236505776 +38 33 53.321197068|149.5394269225047 -17.3629261571731|   0.381 -1.051   |9.85     |K2                   |    ~     ~    |    1| 1758.087   pc  | -70.1628    +70.1628  |paral   |2020yCat.1350....0G
90  |NAME Gorgonea Tertia               * rho Per                                                                                                                                   |Long-Period Variable                |03 05 10.59385 +38 50 24.9943          |149.59813439 -17.00902942          | 129.22 -105.70   |3.39     |M4+IIIa              |    ~     ~    |    0|                |                       |        |                   
91  |TYC 2847-46-1                                                                                                                                                                  |Star                                |03 00 51.8154244944 +39 20 44.546791812|148.5759138645784 -16.9959140527922|  -0.470 -1.705   |10.89    |~                    |    ~     ~    |    1| 1300.898   pc  | -42.8161    +42.8161  |paral   |2020yCat.1350....0G
92  |TYC 2847-136-1                                                                                                                                                                 |High Proper Motion Star             |03 00 21.1091192736 +39 04 06.857801688|148.6302250245588 -17.2856366580530| 92.847 -71.018   |10.34    |~                    |    ~     ~    |    1|  169.851   pc  |  -0.4847     +0.4847  |paral   |2020yCat.1350....0G
