C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
84  |BD+77 352                                                                                                |Double or Multiple Star            |09 04 59.11714 +77 01 54.9592          |135.94167537 +33.65962482          |     -9.20 3.44   |10.48    |F5               |    ~     ~    |    0|                |                       |        |                   
85  |TYC 4541-1180-1                                                                                          |Star                               |09 01 07.7180397864 +75 50 04.194580668|137.3570278484298 +33.9794218511330|-20.462 -32.710   |10.98    |~                |    ~     ~    |    1|  498.231   pc  |  -2.7802     +2.7802  |paral   |2020yCat.1350....0G
86  |BD+76 333                                                                                                |Star                               |09 01 57.7668149592 +76 27 24.224398596|136.6540244478836 +33.7581925625455| -7.930 -31.936   |10.64    |F8               |    ~     ~    |    1|  344.626   pc  |  -2.1853     +2.1853  |paral   |2020yCat.1350....0G
87  |HD 76810                                                                                                 |Star                               |09 05 03.0097062192 +76 10 07.731980076|136.8696044956735 +34.0484193478161|  -3.203 -2.142   |9.65     |A                |    ~     ~    |    1| 1034.233   pc  | -18.1838    +18.1838  |paral   |2020yCat.1350....0G
88  |HD 76863                                                                                                 |Star                               |09 06 09.7123387920 +77 32 12.519060252|135.3667475670934 +33.4874733466997|  14.575 -3.161   |9.56     |A                |    ~     ~    |    1|  441.813   pc  |  -3.0451     +3.0451  |paral   |2020yCat.1350....0G
89  |BD+77 353                                                                                                |Star                               |09 09 00.3656831160 +76 57 16.801167744|135.8995699628599 +33.8961119419194|    1.684 4.442   |9.82     |K2               |    ~     ~    |    1| 1162.250   pc  | -14.4538    +14.4538  |paral   |2020yCat.1350....0G
90  |HD 77442                                                                                                 |Star                               |09 08 59.9131143936 +76 38 37.730469588|136.2317256893573 +34.0401418687995| -10.298 -6.235   |9.21     |G5               |    ~     ~    |    1|  595.274   pc  |  -4.7837     +4.7837  |paral   |2020yCat.1350....0G
91  |HD 77539                                                                                                 |Star                               |09 09 51.4574766168 +77 06 34.781475456|135.7076699650529 +33.8657130247400| -6.355 -14.572   |8.70     |F0               |    ~     ~    |    1|  222.772   pc  |  -0.8635     +0.8635  |paral   |2020yCat.1350....0G
92  |BD+77 356                                                                                                |Star                               |09 11 30.1172574360 +77 01 17.440643172|135.7486893800072 +33.9885081076054|  5.161 -21.469   |9.91     |K2               |    ~     ~    |    1|  444.227   pc  |  -2.3483     +2.3483  |paral   |2020yCat.1350....0G
93  |HD 77035                                                                                                 |Star                               |09 06 28.1934882336 +76 20 01.336568244|136.6460777014509 +34.0503166049512|-11.683 -16.235   |9.24     |F5               |    ~     ~    |    1|  320.657   pc  | -21.8186    +21.8186  |paral   |2020yCat.1350....0G
94  |TYC 4541-2472-1                                                                                          |Star                               |09 10 38.4800108256 +76 11 04.218004644|136.6693612305018 +34.3388432401236|  -3.184 -8.800   |10.72    |K                |    ~     ~    |    1| 1667.500   pc  | -34.2009    +34.2009  |paral   |2020yCat.1350....0G
95  |BD+76 342                                                                                                |High Proper Motion Star            |09 13 45.4701504936 +76 08 42.367032276|136.6049610844020 +34.5217168478164| 34.995 -65.266   |9.96     |G5               |    ~     ~    |    1|   86.151   pc  |  -0.0943     +0.0943  |paral   |2020yCat.1350....0G
