C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
96  |CD-42 16565                                                           |Star                                |00 01 23.7064863072 -41 18 54.073957860|335.6545567062839 -72.4833871704468|  32.981 16.075    |10.348   |~                    |    ~     ~    
97  |CD-41 15381                                                           |High Proper Motion Star             |00 01 39.1557374568 -40 53 25.248463332|336.4498100618035 -72.8391079811727|  48.753 -8.459    |10.706   |~                    |    ~     ~    
98  |CD-41 15383                                                           |High Proper Motion Star             |00 02 28.6532307864 -40 58 38.786849292|335.8553763421423 -72.8731448850316|  81.558 -4.789    |10.420   |~                    |    ~     ~    
99  |HD 345                                                                |Star                                |00 08 00.8285489328 -39 36 43.627392720|336.0464172673321 -74.5981043302812| 44.238 -18.061    |9.882    |F3/5V                |    ~     ~    
100 |HD 225049                                                             |High Proper Motion Star             |00 02 57.4320149904 -39 31 38.685964188|338.9738072055191 -74.0232902404749| 59.600 -37.178    |9.01     |G8IV                 |    ~     ~    
101 |HD 457                                                                |High Proper Motion Star             |00 08 59.6781304488 -39 44 13.772027652|335.1968409608046 -74.6183104763706|113.112 -18.873    |7.73     |G0V                  |    ~     ~    
102 |HD 214                                                                |Star                                |00 06 49.7447246592 -40 54 47.868168204|333.7737921451211 -73.4348858614961|   14.012 6.689    |9.05     |K1(III)              |    ~     ~    
103 |HD 215                                                                |Star                                |00 06 53.4475928256 -40 59 25.548124272|333.5785062870759 -73.3803377805058|   15.516 8.970    |9.94     |F3V                  |    ~     ~    
104 |HD 227                                                                |Star                                |00 06 59.5171911096 -40 24 50.479035696|334.7686682794266 -73.8492949639860|  20.748 -6.727    |8.93     |F3IV/V               |    ~     ~    
105 |HD 270                                                                |Spectroscopic Binary                |00 07 25.4185588032 -40 28 46.463153304|334.3909454128102 -73.8479329403789|  176.907 5.785    |8.50     |K0V                  |    ~     ~    
106 |HD 494                                                                |Spectroscopic Binary                |00 09 23.3728170624 -41 02 40.329524508|332.1247461889917 -73.6139234730214|136.086 -135.989   |9.07     |G8/K0V               |    ~     ~    
107 |HD 513                                                                |Star                                |00 09 32.2429969824 -40 38 58.015835520|332.8643827223255 -73.9518759273720|  36.638 11.562    |9.15     |K1III                |    ~     ~    
108 |HD 547                                                                |High Proper Motion Star             |00 09 48.5594743128 -40 53 34.560712248|332.2047998953539 -73.7835035140235|136.498 -119.487   |8.55     |G3V                  |    ~     ~    
109 |HD 647                                                                |Star                                |00 10 36.6588095904 -41 07 07.113830268|331.3024662349144 -73.6838064346262|-16.897 -24.541    |8.65     |K0III                |    ~     ~    
110 |HD 225043                                                             |Star                                |00 02 46.6710373392 -40 58 59.631294936|335.6946800265617 -72.9049294221590| -5.519 -21.108    |8.85     |K1III                |    ~     ~    
111 |HD 225042                                                             |Star                                |00 02 48.1484616456 -40 48 33.437902032|336.0628523319546 -73.0415141966286| 42.833 -22.450    |9.53     |F8/G0V               |    ~     ~    
112 |HD 225121                                                             |Star                                |00 03 40.4894847840 -41 05 45.200316120|335.0062294892805 -72.9246677465876| 12.774 -13.512    |9.64     |F0V                  |    ~     ~    
113 |HD 225266                                                             |High Proper Motion Star             |00 04 47.3807720040 -40 53 59.407710648|334.8630646959974 -73.2091802287661|-42.221 -54.879    |9.62     |G3V                  |    ~     ~    
114 |HD 259                                                                |High Proper Motion Star             |00 07 15.3756450504 -41 53 22.448256612|331.5788806973611 -72.6926351570459| -64.260 17.505    |8.22     |F8/G0V               |    ~     ~    
115 |HD 495                                                                |Star                                |00 09 19.1059912992 -41 53 11.033430180|330.5124539717637 -72.9114799126829| -18.732 11.118    |9.650    |F6V                  |    ~     ~    
116 |HD 105                                                                |High Proper Motion Star             |00 05 52.5447817152 -41 45 11.044988352|332.5480205691336 -72.6541642831466| 97.863 -76.502    |7.53     |G0V                  |    ~     ~    
117 |CD-40 2                                                               |Star                                |00 06 26.1048466272 -39 55 53.432822928|336.1664165231816 -74.1588005548137| 14.326 -20.435    |10.84    |~                    |    ~     ~    
118 |CD-40 1                                                               |Star                                |00 06 26.1359412768 -39 50 08.724063984|336.3902837932496 -74.2326323321866|  16.457 -2.699    |10.602   |~                    |    ~     ~    
119 |CD-40 13                                                              |High Proper Motion Star             |00 08 23.2725907536 -39 38 46.386237732|335.7546413037084 -74.6168817293129| 36.672 -37.269    |10.945   |~                    |    ~     ~    
120 |CD-40 22                                                              |High Proper Motion Star             |00 10 31.0236902400 -39 48 06.232836096|334.1698423545122 -74.7453714753783| 72.574 -44.024    |10.478   |~                    |    ~     ~    
121 |CD-41 15385                                                           |High Proper Motion Star             |00 02 46.1322491976 -41 10 59.659164156|335.2687682058713 -72.7493896986286| 53.350 -48.383    |10.969   |~                    |    ~     ~    
122 |CD-42 16575                                                           |High Proper Motion Star             |00 03 27.9420123696 -41 47 43.449506844|333.6593828517108 -72.3507616722456| 70.252 -11.876    |10.09    |~                    |    ~     ~    
123 |CD-42 16578                                                           |High Proper Motion Star             |00 03 50.0401296336 -41 40 19.559273916|333.7281391574818 -72.4903809783395|-19.097 -59.242    |10.45    |~                    |    ~     ~    
124 |CD-41 15393                                                           |Star                                |00 04 48.3602020488 -40 21 25.540800732|336.0539214681256 -73.6324243059271|   33.038 4.568    |10.746   |~                    |    ~     ~    
125 |CPD-41 10006                                                          |Star                                |00 05 34.1523112824 -40 54 32.108147748|334.4421723987535 -73.2932401585472|   1.662 -2.712    |10.333   |~                    |    ~     ~    
126 |CD-41 15397                                                           |Star                                |00 05 46.2058531991 -40 59 35.420980000|334.1585442725084 -73.2499650860306|  22.079 30.131    |10.42    |~                    |    ~     ~    
127 |CD-42 16589                                                           |Star                                |00 06 17.0161594224 -41 19 50.988761112|333.1892702499768 -73.0393217260626|    1.885 1.396    |10.656   |~                    |    ~     ~    
128 |CD-41 2                                                               |Star                                |00 06 29.3086087488 -41 12 21.882727404|333.3397523881210 -73.1623321209507|   20.291 5.804    |10.403   |~                    |    ~     ~    
129 |CD-41 9                                                               |Star                                |00 07 33.7155267144 -41 12 15.589085580|332.7805169146498 -73.2836231767739| 21.597 -32.678    |9.78     |~                    |    ~     ~    
130 |CD-41 18                                                              |Star                                |00 09 15.3959545368 -41 17 02.685032196|331.7135475350324 -73.4032524617518|  21.921 -9.960    |10.780   |~                    |    ~     ~    
131 |CD-40 17                                                              |Star                                |00 09 22.4046061128 -40 12 28.616326056|333.9124835166211 -74.2890196417884| -10.284 -3.627    |10.20    |~                    |    ~     ~    
132 |TYC 7523-634-1                                                        |Star                                |00 03 50.6894418192 -39 59 26.575965924|337.3989808413944 -73.7925817392374| -5.677 -13.586    |10.668   |~                    |    ~     ~    
133 |TYC 7523-909-1                                                        |Star                                |00 07 13.5410144160 -39 47 44.593415556|336.0517710540841 -74.3600157987913|   0.743 -6.878    |10.817   |~                    |    ~     ~    
134 |TYC 7526-279-1                                                        |Star                                |00 10 11.3545090464 -41 23 38.635123056|330.9901030914679 -73.4112003405944| -18.231 -9.149    |10.433   |~                    |    ~     ~    
135 |TYC 7526-356-1                                                        |Star                                |00 09 19.7673762792 -41 06 41.119680564|332.0214656426381 -73.5526863201230|   22.768 1.850    |10.637   |~                    |    ~     ~    
136 |TYC 7526-366-1                                                        |Star                                |00 10 06.0643691208 -41 25 17.608988640|330.9844147249963 -73.3791609861215|  19.148 -5.468    |10.504   |~                    |    ~     ~    
137 |TYC 7526-475-1                                                        |Star                                |00 10 42.0375764280 -41 05 58.635467052|331.2907028516866 -73.7090267606810|   32.616 3.394    |10.46    |~                    |    ~     ~    
138 |TYC 7526-1056-1                                                       |High Proper Motion Star             |00 07 16.4017085424 -41 52 03.990432396|331.6121348729373 -72.7123161092301|  54.032 32.263    |10.508   |~                    |    ~     ~    
139 |CD-42 42                                                              |Spectroscopic Binary                |00 13 55.9774930800 -42 03 36.105503760|327.6971458657102 -73.2170305757741|  62.923 -8.775    |10.431   |~                    |    ~     ~    
140 |HD 813                                                                |High Proper Motion Star             |00 12 23.6931911976 -39 36 31.893665832|333.4931171367945 -75.1150904334149|  61.266 20.247    |9.58     |G8/K0IV              |    ~     ~    
141 |HD 706                                                                |Star                                |00 11 17.8511163213 -40 22 21.693590720|332.4549068485702 -74.3714340137027|  18.684 -3.068    |7.70     |K0III/IV             |    ~     ~    
142 |CD-41 34                                                              |High Proper Motion Star             |00 12 02.7141807360 -40 33 40.941664272|331.6241917715967 -74.2972097932901|-66.112 -40.674    |9.87     |~                    |    ~     ~    
143 |CD-41 37                                                              |High Proper Motion Star             |00 12 18.4108311960 -40 38 44.304670716|331.2982793761975 -74.2551871739665|132.759 -24.263    |10.561   |G0                   |    ~     ~    
144 |HD 879                                                                |Star                                |00 13 02.5792656024 -40 22 55.028167176|331.4126578385854 -74.5521066381554|  1.261 -23.130    |9.10     |K2/3III              |    ~     ~    
