C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
145 |HD 924                                                                |High Proper Motion Star             |00 13 30.9214459440 -40 21 29.753519328|331.1805105452821 -74.6217432031681| 122.454 49.308    |9.02     |K2+Vk:               |    ~     ~    
146 |CD-40 32                                                              |Double or Multiple Star             |00 13 11.6629775926 -39 42 21.560728655|332.7856627467339 -75.1255801507230| 26.787 -11.691    |10.509   |~                    |    ~     ~    
147 |CD-41 30                                                              |Spectroscopic Binary                |00 11 25.5621717384 -41 16 36.300802800|330.5371834076501 -73.6373940652489|  27.730 15.330    |10.50    |~                    |    ~     ~    
148 |CD-41 35                                                              |High Proper Motion Star             |00 12 08.0080007904 -40 28 08.209552440|331.7657472623323 -74.3830219541719|-46.890 -52.326    |10.85    |~                    |    ~     ~    
149 |HD 1040                                                               |High Proper Motion Star             |00 14 39.0855830448 -39 47 39.398294724|331.6887075079655 -75.2115138719067| 44.556 -48.802    |9.17     |G3V                  |    ~     ~    
150 |HD 1020                                                               |Star                                |00 14 25.6931152752 -40 25 12.596136420|330.5031769710971 -74.6649947886602|   24.089 4.322    |8.09     |K2III                |    ~     ~    
151 |CD-42 46                                                              |Spectroscopic Binary                |00 14 08.7273261816 -41 52 03.603299124|327.9155226797136 -73.4031225140891| -13.584 -1.876    |10.60    |~                    |    ~     ~    
152 |CD-41 53                                                              |Star                                |00 14 57.8610692976 -40 35 23.777766888|329.8357623837533 -74.5762324071361| 30.710 -12.394    |10.779   |~                    |    ~     ~    
153 |CD-40 34                                                              |Star                                |00 14 08.8847289792 -40 01 49.336238352|331.4898528555283 -74.9616388333611|  -11.333 3.182    |10.95    |~                    |    ~     ~    
154 |TYC 7523-590-1                                                        |Star                                |00 11 53.6490857880 -39 33 17.916715404|333.9198838051858 -75.1015566175422|  15.650 37.735    |10.83    |~                    |    ~     ~    
155 |TYC 7523-1073-1                                                       |Star                                |00 12 02.7877649376 -39 34 38.644051008|333.7762363925006 -75.1009146807365|   8.929 -0.328    |10.573   |~                    |    ~     ~    
156 |TYC 7526-346-1                                                        |Star                                |00 12 34.5709290264 -40 22 00.278859684|331.7208310473894 -74.5149341697557|   -1.361 4.292    |10.874   |~                    |    ~     ~    
157 |TYC 7526-405-1                                                        |High Proper Motion Star             |00 11 24.7854841416 -40 48 39.427273836|331.4733022547316 -74.0234311363587|  77.293 29.500    |10.54    |G5V                  |    ~     ~    
158 |TYC 7526-447-1                                                        |High Proper Motion Star             |00 11 29.6635488960 -40 49 19.956069516|331.4040937266318 -74.0227468241254|  76.995 29.877    |10.65    |G7V                  |    ~     ~    
159 |TYC 7526-871-1                                                        |Star                                |00 11 28.6818823488 -41 59 30.832796112|329.1640607705077 -73.0402391305143|   6.622 -8.105    |10.77    |~                    |    ~     ~    
160 |HD 225006                                                             |Star                                |00 02 29.2158305520 -39 12 45.313328412|340.0037029918726 -74.1901343788494| 29.466 -36.159    |9.43     |G8/K0III             |    ~     ~    
161 |HD 224900                                                             |Star                                |00 01 37.1216922936 -39 20 12.294343284|340.1305991411264 -73.9841257382937|-18.654 -28.280    |8.70     |F2V                  |    ~     ~    
162 |CD-39 15229                                                           |Star                                |00 01 03.3774221256 -39 09 42.684974424|340.8573726781510 -74.0326359074597| 13.003 -26.451    |10.683   |~                    |    ~     ~    
163 |HD 118                                                                |Star                                |00 06 00.1383236616 -39 08 15.313315452|338.3270516941576 -74.7076260857547|  9.631 -28.837    |8.54     |K3III                |    ~     ~    
164 |CD-39 15251                                                           |Star                                |00 05 37.8116628264 -39 13 20.639483364|338.3174780695288 -74.5963295766053|-31.578 -27.409    |10.969   |~                    |    ~     ~    
165 |HD 224936                                                             |Star                                |00 01 55.2735110400 -37 13 47.822495808|345.8086140003928 -75.4714468690707|-19.412 -44.111    |7.06     |K1III                |    ~     ~    
166 |CD-38 15705                                                           |Star                                |00 00 34.3322643408 -37 21 47.660753628|346.0912856709815 -75.1805550143636| -17.551 -9.150    |10.089   |F8                   |    ~     ~    
167 |CD-38 15712                                                           |Star                                |00 01 27.4709359512 -37 49 41.995667748|344.2786267175321 -75.0081967510805|   22.729 3.493    |10.07    |A5                   |    ~     ~    
168 |HD 224949                                                             |High Proper Motion Star             |00 02 00.2027238048 -37 54 06.755333400|343.7879935201461 -75.0386139687586|121.128 -35.553    |7.09     |K0III                |    ~     ~    
169 |CD-39 15223                                                           |Star                                |00 00 07.6001933688 -38 19 10.119381852|343.5624252358708 -74.4844006197264|  29.839 19.508    |10.72    |~                    |    ~     ~    
170 |CPD-39 9308                                                           |Star                                |00 00 13.4749098864 -39 05 29.921661348|341.4503851791276 -73.9675969461889|  15.879 -5.504    |10.95    |~                    |    ~     ~    
171 |CD-39 15225                                                           |Star                                |00 00 16.5761191824 -39 01 09.969649788|341.6122140348657 -74.0252532368458| 26.127 -12.340    |10.520   |~                    |    ~     ~    
172 |CD-37 15462                                                           |High Proper Motion Star             |00 01 08.3103093744 -37 00 37.983396816|346.8792871897104 -75.4925238691115| 114.844 27.451    |10.14    |~                    |    ~     ~    
173 |CD-39 15232                                                           |Star                                |00 01 27.0355719264 -38 52 53.917719636|341.3863523537351 -74.2846977327624|    5.144 1.353    |9.76     |~                    |    ~     ~    
174 |CD-37 15475                                                           |High Proper Motion Star             |00 02 24.9027066432 -36 56 55.247424216|346.4163456574652 -75.7282945679196|   84.431 5.666    |10.03    |~                    |    ~     ~    
