C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
115 |TYC 3187-792-1                                                                                           |Star                           |21 32 53.2869956856 +41 08 16.833619824|087.5457278892432 -07.7068089028223|  -5.410 -6.506   |10.69    |~                |    ~     ~    
116 |BD+40 4556                                                                                               |Star                           |21 31 34.6001488680 +40 40 03.462353256|087.0380269065650 -07.8789811146220|  -5.495 -6.176   |10.64    |B8V              |    ~     ~    
117 |TYC 3187-864-1                                                                                           |Star                           |21 32 39.6555190128 +41 03 16.686162648|087.4566404616062 -07.7382751107283|  14.144 12.295   |10.16    |~                |    ~     ~    
118 |TYC 3187-884-1                                                                                           |Star                           |21 33 51.2640322032 +41 01 12.885225420|087.5987189231721 -07.9172163146827|    8.801 0.448   |10.32    |~                |    ~     ~    
119 |TYC 3187-950-1                                                                                           |Spectroscopic Binary           |21 36 22.4192976312 +41 14 25.467646272|088.1013354444706 -08.0777703281720|   3.732 -3.193   |10.90    |~                |    ~     ~    
120 |TYC 3187-982-1                                                                                           |Star                           |21 34 28.6096169040 +41 12 42.406517088|087.8170948180305 -07.8568996559499| -16.431 19.494   |10.90    |~                |    ~     ~    
121 |TYC 3187-1002-1                                                                                          |Star                           |21 35 09.8877802344 +41 09 55.176191532|087.8810625330491 -07.9789502438824|    5.874 0.105   |10.71    |~                |    ~     ~    
122 |TYC 3187-1010-1                                                                                          |Star                           |21 32 54.0646871563 +40 59 30.063166784|087.4464564750360 -07.8151690144341|    1.91 -5.072   |10.99    |~                |    ~     ~    
123 |TYC 3187-1047-1                                                                                          |Star                           |21 36 09.9159270600 +40 52 39.097660728|087.8240923681175 -08.3184459759042|  -5.789 -8.012   |10.695   |~                |    ~     ~    
124 |TYC 3187-1059-1                                                                                          |Star                           |21 39 28.3845335472 +40 13 46.973751024|087.8526277034143 -09.2204608921018| -21.835 -9.883   |9.48     |~                |    ~     ~    
125 |TYC 3187-1071-1                                                                                          |Star                           |21 36 30.7493085888 +40 22 08.667204672|087.5251304310729 -08.7373169185526|   6.763 -1.440   |10.49    |~                |    ~     ~    
126 |TYC 3187-1072-1                                                                                          |Star                           |21 32 47.9255965104 +40 59 07.693061748|087.4279562876605 -07.8064802697110|   3.043 -2.536   |10.72    |~                |    ~     ~    
127 |TYC 3187-1073-1                                                                                          |Star                           |21 32 29.7677222472 +40 28 51.264095916|087.0366177119174 -08.1346118290923|  -4.681 -6.621   |10.72    |~                |    ~     ~    
