C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
139 |TYC 3187-1383-1                                                                                          |Star                           |21 33 20.3012653776 +40 31 29.121952872|087.1847982935056 -08.2123396476073|   1.146 -2.090   |10.86    |~                |    ~     ~    
140 |TYC 3187-1419-1                                                                                          |Star                           |21 38 30.8581519608 +40 36 33.685942824|087.9734697142142 -08.8165006958224|  -1.522 -4.686   |10.441   |~                |    ~     ~    
141 |TYC 3187-1431-1                                                                                          |Star                           |21 39 11.2933698600 +40 22 14.644279704|087.9075277688593 -09.0793988572290|  24.364 15.403   |9.13     |~                |    ~     ~    
142 |TYC 3187-1482-1                                                                                          |Star                           |21 35 28.3728036984 +40 24 19.627613352|087.4028850246969 -08.5763596702466|   2.420 -2.315   |10.34    |~                |    ~     ~    
143 |TYC 3187-1508-1                                                                                          |Spectroscopic Binary           |21 31 46.9405886520 +40 42 05.364730368|087.0901129969310 -07.8812090522039|  -4.785 -7.009   |10.69    |~                |    ~     ~    
144 |TYC 3187-1516-1                                                                                          |Star                           |21 33 54.0573 +40 01 53.935            |086.9231523 -08.6455620            |   19.782 2.175   |10.90    |~                |    ~     ~    
145 |TYC 3187-1517-1                                                                                          |Star                           |21 39 19.8527791032 +39 48 05.838606360|087.5412656640628 -09.5198413877875| -23.969 11.791   |10.16    |~                |    ~     ~    
146 |TYC 3187-1521-1                                                                                          |Star                           |21 32 25.0908894576 +40 22 01.525210896|086.9468158380304 -08.2072255641980|  12.205 15.016   |9.94     |~                |    ~     ~    
147 |TYC 3187-1542-1                                                                                          |Star                           |21 34 41.6077039416 +40 40 24.709419912|087.4773785068156 -08.2790991083769|   9.268 12.107   |10.46    |~                |    ~     ~    
148 |TYC 3187-1592-1                                                                                          |Star                           |21 34 14.2602414984 +40 40 37.248929652|087.4158470907109 -08.2176798935790|    2.126 2.062   |10.47    |~                |    ~     ~    
149 |TYC 3187-1642-1                                                                                          |Star                           |21 39 04.7206744728 +39 56 13.472964240|087.5970521437708 -09.3869453259930| -11.387 -9.660   |10.28    |~                |    ~     ~    
150 |TYC 3187-1651-1                                                                                          |Star                           |21 37 26.2177178448 +40 54 04.660152912|088.0194717734360 -08.4632531639299|  -4.174 -5.806   |10.47    |~                |    ~     ~    
151 |TYC 3187-1682-1                                                                                          |Star                           |21 38 01.8635471640 +40 23 07.489308732|087.7522381939095 -08.9204739600179|   0.886 -3.350   |10.44    |~                |    ~     ~    
152 |TYC 3187-1686-1                                                                                          |Star                           |21 35 49.1629487376 +40 11 00.494713140|087.2995016830194 -08.7841974902392|  -4.112 -8.983   |10.53    |~                |    ~     ~    
153 |TYC 3187-1706-1                                                                                          |Star                           |21 33 05.3790772272 +39 45 01.453260348|086.6136368106578 -08.7440811764289|   13.769 6.493   |10.55    |~                |    ~     ~    
154 |TYC 3187-1725-1                                                                                          |High Proper Motion Star        |21 32 29.2525659240 +40 07 50.349648324|086.7925305073272 -08.3882497631576| 58.855 -20.986   |10.25    |~                |    ~     ~    
155 |GSC 03187-01754                                                                                          |Spectroscopic Binary           |21 36 06.9841333392 +40 48 25.683414948|087.7690494978773 -08.3639937370523| -9.449 -15.338   |10.860   |~                |    ~     ~    
156 |TYC 3187-1769-1                                                                                          |Star                           |21 33 10.3147866240 +39 51 14.418504468|086.6971161531888 -08.6794749642070|  3.920 -22.046   |10.52    |~                |    ~     ~    
157 |TYC 3187-1806-1                                                                                          |Star                           |21 31 39.9112623096 +39 47 15.333266076|086.4383590973826 -08.5289607829928|   2.300 -0.888   |10.43    |~                |    ~     ~    
158 |TYC 3187-1842-1                                                                                          |Star                           |21 32 23.8518901032 +40 01 58.783719972|086.7120903847144 -08.4474226053960|  -11.116 9.444   |10.47    |~                |    ~     ~    
159 |TYC 3187-1848-1                                                                                          |Star                           |21 32 21.2623485672 +39 45 56.807074836|086.5203599931948 -08.6358986605436|  -4.216 -4.162   |10.78    |~                |    ~     ~    
