C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
61  |TYC 4923-888-1                                                                                                                                                                 |High Proper Motion Star               |11 23 02.3401117512 -00 40 59.559314232|261.9518709926541 +54.9953254658757|  -56.917 1.924   |10.1     |~              |    ~     ~    |    1|  175.214   pc  |  -0.8443     +0.8443  |paral   |2020yCat.1350....0G
62  |BD+00 2784                                                                                                                                                                     |Variable Star                         |11 24 53.9634708264 -00 22 10.912320300|262.2957206813308 +55.5208647058813| -15.701 -6.213   |10.06    |~              |    ~     ~    |    1|  912.159   pc  | -14.8102    +14.8102  |paral   |2020yCat.1350....0G
63  |TYC 4923-371-1                                                                                                                                                                 |Variable Star                         |11 25 49.8738426288 -00 57 21.799065816|263.2232508046414 +55.1745284413811|  6.391 -24.065   |10.48    |~              |    ~     ~    |    1|  251.143   pc  |  -1.1416     +1.1416  |paral   |2020yCat.1350....0G
64  |TYC 4923-344-1                                                                                                                                                                 |Variable Star                         |11 25 53.5188770592 -01 00 21.720286080|263.2948329163572 +55.1420330020606| -8.629 -32.259   |10.84    |~              |    ~     ~    |    1| 1161.980   pc  | -25.9238    +25.9238  |paral   |2020yCat.1350....0G
65  |NGC 3662                           NGC 3662                                                                                                                                    |Galaxy                                |11 23 46.4713104360 -01 06 17.620644600|262.6371436385051 +54.7583007555196|            ~ ~   |     ~   |~              |1.050 0.672    |    1|   84.33    Mpc | -10.25      +10.25    |T-F     |2020ApJ...902..145K
66  |TYC 4922-761-1                                                                                                                                                                 |Star                                  |11 15 59.0660309424 -01 39 16.002402192|260.5101886342390 +53.1684348363800|  -20.902 6.391   |10.95    |~              |    ~     ~    |    1|  461.255   pc  |  -9.0421     +9.0421  |paral   |2020yCat.1350....0G
67  |TYC 4922-978-1                                                                                                                                                                 |High Proper Motion Star               |11 15 13.4081837136 -02 29 22.688292084|261.0830818242195 +52.3851096823374| -47.780 33.569   |10.99    |~              |    ~     ~    |    1|  180.015   pc  |  -0.4602     +0.4602  |paral   |2020yCat.1350....0G
68  |TYC 4923-46-1                                                                                                                                                                  |Star                                  |11 24 56.5007399280 -02 11 39.913823040|264.1108838406012 +54.0262058602340|   18.930 9.474   |10.9     |~              |    ~     ~    |    1|  287.299   pc  |  -1.5848     +1.5848  |paral   |2020yCat.1350....0G
69  |TYC 4923-385-1                                                                                                                                                                 |Star                                  |11 25 00.5607297888 -00 26 40.880772960|262.4119361596015 +55.4756327113215| -24.948 -4.248   |10.895   |~              |    ~     ~    |    1|  260.938   pc  |  -4.3190     +4.3190  |ST-L    |2020AJ....160...83S
70  |TYC 4923-415-1                                                                                                                                                                 |Variable Star                         |11 23 06.3742929912 -01 34 12.246119904|262.8619343429274 +54.2815812926130| -32.504 -0.251   |10.83    |~              |    ~     ~    |    0|                |                       |        |                   
71  |TYC 4923-519-1                                                                                                                                                                 |Star                                  |11 22 49.8821676360 -01 06 23.409204048|262.3058198537099 +54.6208123222476| 19.026 -24.119   |10.805   |~              |    ~     ~    |    1|  304.191   pc  |  -6.6350     +6.6350  |ST-L    |2020AJ....160...83S
72  |TYC 4923-695-1                                                                                                                                                                 |Star                                  |11 21 56.8925829168 -01 10 56.294756760|262.0721109535937 +54.4308666599137|-21.820 -16.125   |10.51    |~              |    ~     ~    |    1|  520.291   pc  |  -4.4937     +4.4937  |paral   |2020yCat.1350....0G
73  |TYC 4922-112-1                                                                                                                                                                 |Variable Star                         |11 19 36.9074078928 -00 06 23.038442460|260.1551905365854 +54.9507584992672|-36.055 -26.798   |10.73    |~              |    ~     ~    |    1|   97.004   pc  |  -0.6048     +0.6048  |ST-L    |2020AJ....160...83S
74  |BD-02 3311                                                                                                                                                                     |High Proper Motion Star               |11 15 50.9945451384 -02 50 05.804574108|261.6231735213982 +52.1991268195564|-122.671 15.968   |10.647   |K0             |    ~     ~    |    1|   75.294   pc  |  -0.3675     +0.3675  |ST-L    |2020AJ....160...83S
75  |HD 98007                                                                                                                                                                       |High Proper Motion Star               |11 16 16.7005864296 -03 45 41.901125436|262.6378538452032 +51.5081665291894|-197.054 -6.068   |8.88     |G6IV/V         |    ~     ~    |    1|   59.015   pc  |  -0.0724     +0.0724  |paral   |2020yCat.1350....0G
76  |* phi Leo                                                                                                                                                                      |High Proper Motion Star               |11 16 39.6995972 -03 39 05.777018      |262.6614771223 +51.6532077142      | -110.37 -37.16   |4.450    |A5V            |    ~     ~    |    1|   57.3385  pc  |  -0.9501     +0.9501  |paral   |2018yCat.1345....0G
77  |HD 98046                                                                                                                                                                       |Star                                  |11 16 36.4547890080 -03 58 00.419636928|262.9349571846862 +51.3875721338249| 24.512 -10.144   |6.76     |A4IV/V         |    ~     ~    |    1|   87.591   pc  |  -0.2394     +0.2394  |paral   |2020yCat.1350....0G
78  |HD 98069                                                                                                                                                                       |Variable Star                         |11 16 44.6218931928 -03 56 34.504288260|262.9576175230988 +51.4265882750250|  -0.435 -4.224   |8.16     |A1/2III/IV     |    ~     ~    |    1|  292.355   pc  |  -2.5812     +2.5812  |paral   |2020yCat.1350....0G
