C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
144 |HD 291506                                                             |Star                                  |06 15 29.3972703456 -01 53 29.146814160|210.5064039717797 -08.8587753380875|    0.334 3.565   |10.85    |F2                  |    ~     ~          
145 |HD 291513                                                             |Star                                  |06 17 17.7344358288 -02 14 31.931618028|211.0303999227963 -08.6173043146169|   -0.027 1.059   |10.73    |A2                  |    ~     ~          
146 |HD 291540                                                             |Star                                  |06 18 49.5562145136 -00 19 36.400928628|209.4869538155802 -07.4010564406055|  -4.345 -2.700   |10.31    |A3                  |    ~     ~          
147 |HD 291543                                                             |Red Giant Branch star                 |06 18 23.2796370480 -00 28 50.084572296|209.5740882932115 -07.5689185953416|   -3.837 0.773   |10.06    |K2                  |    ~     ~          
148 |HD 291544                                                             |Star                                  |06 19 03.0248500200 -00 35 14.588249028|209.7464409974382 -07.4707676778077|   0.038 -2.361   |10.57    |B3                  |    ~     ~          
149 |HD 291547                                                             |Star                                  |06 19 32.1587777952 -00 40 39.168006888|209.8833686843047 -07.4042240887858|   34.70 -34.10   |9.59     |F5                  |    ~     ~          
150 |HD 291552                                                             |Star                                  |06 20 39.5642364288 -01 04 16.680890172|210.3659897055010 -07.3348514303353|   3.746 -4.874   |10.79    |A0                  |    ~     ~          
151 |HD 291554                                                             |Eclipsing Binary                      |06 19 26.1936785928 -01 09 23.529797136|210.3014164149208 -07.6456406965598|   1.897 -3.563   |10.52    |A0                  |    ~     ~          
152 |HD 291567                                                             |Double or Multiple Star               |06 19 02.7152956944 -01 43 54.604087680|210.7728396655887 -07.9955090556702|    4.861 4.428   |10.108   |A2                  |    ~     ~          
153 |HD 291574                                                             |Star                                  |06 20 11.2945737960 -01 56 18.556904400|211.0900407215129 -07.8356185622524|    3.430 6.648   |10.50    |G5                  |    ~     ~          
154 |HD 291575                                                             |Star                                  |06 20 46.6830567672 -01 53 44.181479292|211.1193274434273 -07.6849050524299|  -2.788 -1.925   |9.91     |A2                  |    ~     ~          
155 |HD 291579                                                             |Star                                  |06 19 43.1369336928 -02 07 56.194961952|211.2102519712968 -08.0282991510611|  -7.063 -2.701   |10.82    |A3                  |    ~     ~          
156 |HD 291583                                                             |Star                                  |06 19 46.9409558544 -02 12 23.674659048|211.2843391004089 -08.0480416412094|  9.247 -11.879   |10.42    |F8                  |    ~     ~          
157 |HD 291591                                                             |Star                                  |06 22 17.2259917728 -00 07 55.251876540|209.7126535626914 -06.5428843302556|  3.347 -18.080   |9.73     |K7                  |    ~     ~          
158 |HD 291592                                                             |Red Giant Branch star                 |06 21 17.2569907824 -00 11 21.789614796|209.6485673016085 -06.7912283578526|   1.267 -0.643   |10.18    |K7                  |    ~     ~          
159 |HD 291604                                                             |Star                                  |06 22 05.4177841704 -01 00 14.516735256|210.4705700181743 -06.9860223488485| -2.357 -13.209   |9.71     |F5                  |    ~     ~          
160 |HD 291605                                                             |High Proper Motion Star               |06 21 48.3144521160 -01 11 24.883460016|210.6046251697723 -07.1345237709458| 31.640 -70.911   |10.10    |G5                  |    ~     ~          
161 |HD 291606                                                             |Star                                  |06 21 34.0669192320 -01 11 53.548682208|210.5844229601207 -07.1909529972101|  -2.133 -4.952   |10.5     |A5                  |    ~     ~          
162 |HD 291611                                                             |Star                                  |06 21 06.4556964816 -01 31 07.648195368|210.8189721017961 -07.4397110883691| -0.615 -27.351   |9.73     |F8                  |    ~     ~          
163 |HD 291613                                                             |Star                                  |06 21 24.7311439200 -01 37 06.796114536|210.9435263032635 -07.4175204544930| -13.706 10.886   |10.19    |K0                  |    ~     ~          
164 |HD 291614                                                             |Star                                  |06 21 50.3614904136 -01 41 18.062347848|211.0552656589321 -07.3543743496044|  -0.113 -0.071   |10.15    |K5                  |    ~     ~          
165 |HD 291615                                                             |Star                                  |06 21 15.7814514648 -01 49 25.125724488|211.1104550203060 -07.5442446358315| -13.724 -0.727   |10.25    |K7                  |    ~     ~          
166 |HD 291619                                                             |High Proper Motion Star               |06 22 10.1439103248 -02 02 25.184313348|211.4090476750080 -07.4414896784734|-3.132 -120.323   |10.41    |F8                  |    ~     ~          
167 |HD 294792                                                             |Star                                  |06 16 20.6160197496 -02 24 48.144410316|211.0749911820323 -08.9069668517395|   -0.239 3.909   |10.41    |F0                  |    ~     ~          
168 |HD 294793                                                             |Star                                  |06 16 37.0259175552 -02 30 08.882310780|211.1867605955548 -08.8867036780331| -6.813 -17.482   |10.68    |F8                  |    ~     ~          
169 |HD 294794                                                             |Star                                  |06 15 50.5786343616 -02 36 49.647612924|211.1980510839307 -09.1095219435240|  -3.279 -1.849   |10.28    |A7                  |    ~     ~          
170 |HD 294858                                                             |Star                                  |06 18 05.1322406568 -02 32 27.448254564|211.3902735924042 -08.5776287661525|    1.761 0.435   |10.73    |A0                  |    ~     ~          
