C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
78  |HD 291608                                                             |Star                                  |06 21 25.0429882344 -01 21 44.474335308|210.7142924275783 -07.2993925151929|   1.396 -8.733   |10.58    |F0                  |    ~     ~          
79  |HD 291612                                                             |Star                                  |06 21 35.8887646464 -01 35 02.448078108|210.9339197032333 -07.3604068047024|  -0.392 -0.974   |10.71    |A2                  |    ~     ~          
80  |HD 291528                                                             |Star                                  |06 19 51.5903084160 -00 01 48.460015200|209.3409771383608 -07.0352184963177|   -2.501 4.955   |10.67    |A5                  |    ~     ~          
81  |HD 44176                                                              |Star                                  |06 20 16.2704970312 -02 03 16.605831420|211.2039145977130 -07.8701017647696|   0.575 -4.801   |7.56     |A0V                 |    ~     ~          
82  |HD 44501B                                                             |Star                                  |06 22 01.3560291480 -02 01 40.208886588|211.3810203287641 -07.4683751005718|  -4.086 -2.127   |10.31    |~                   |    ~     ~          
83  |HD 44501                                                              |Star                                  |06 22 01.2403310190 -02 01 45.638735230|211.3821531894218 -07.4694910576361|  -4.678 -2.623   |8.85     |A1V                 |    ~     ~          
84  |HD 43389                                                              |Spectroscopic Binary                  |06 15 47.0680552296 -02 23 08.240872344|210.9855896745075 -09.0186654342529|-10.330 -16.591   |8.32     |K0/1IIICNIIp        |    ~     ~          
85  |HD 43409                                                              |Star                                  |06 15 51.8952826824 -02 37 46.244812512|211.2147552882101 -09.1117941364607|   3.670 -2.447   |9.12     |A1/2V               |    ~     ~          
86  |HD 43423                                                              |Star                                  |06 15 58.4640524904 -02 16 32.439500976|210.9083880908132 -08.9263416070055|  -3.784 -1.239   |8.81     |A0V                 |    ~     ~          
87  |HD 43591                                                              |Star                                  |06 16 51.3949581408 -02 20 05.185453488|211.0632299719495 -08.7570950623902|   -3.229 0.970   |9.55     |B9V                 |    ~     ~          
88  |HD 294856                                                             |Star                                  |06 17 22.9606224456 -02 24 12.343729932|211.1856064229754 -08.6713618404734|   0.084 -0.716   |9.70     |K7                  |    ~     ~          
89  |HD 294857                                                             |Star                                  |06 17 49.1207950368 -02 26 27.068437356|211.2694502310370 -08.5914305797355|  -19.092 0.294   |9.63     |F5                  |    ~     ~          
90  |HD 291582                                                             |Star                                  |06 18 22.0673853768 -02 11 45.452109588|211.1121622937020 -08.3577965439930|  -4.029 -2.330   |9.56     |A2                  |    ~     ~          
91  |HD 43890                                                              |Star                                  |06 18 35.2271413368 -02 28 42.755082312|211.3917007342597 -08.4376735231299|   -6.756 2.562   |8.51     |A1mA7-F2            |    ~     ~          
92  |HD 291576                                                             |Star                                  |06 20 25.2484357848 -02 05 15.536382360|211.2507958644731 -07.8518756484692|   0.401 -1.589   |9.34     |A2                  |    ~     ~          
93  |HD 44564                                                              |Star                                  |06 22 14.8553844336 -02 26 18.370869936|211.7756160869022 -07.6052134917070|  -3.297 -1.161   |9.34     |A0V                 |    ~     ~          
94  |HD 44605                                                              |Star                                  |06 22 29.4118854528 -02 42 34.647850908|212.0471244447906 -07.6744980211917| -7.286 -18.253   |7.77     |K2III               |    ~     ~          
95  |HD 294927                                                             |Double or Multiple Star               |06 21 28.4101757448 -02 21 11.260591704|211.6102132486312 -07.7386009899295|  -4.577 -1.853   |10.567   |A7                  |    ~     ~          
96  |HD 294929                                                             |Star                                  |06 21 36.6397286088 -02 29 32.960193900|211.7511961859120 -07.7714780461498|   5.546 -3.037   |10.49    |K0                  |    ~     ~          
97  |HD 294937                                                             |Star                                  |06 20 48.8499026760 -02 28 14.975253408|211.6403954992667 -07.9388038619684|  -2.539 -0.936   |10.63    |K5                  |    ~     ~          
98  |HD 294939                                                             |Star                                  |06 20 18.7002988872 -02 27 37.793109672|211.5734618705186 -08.0458795139299|  1.085 -13.161   |10.44    |K5                  |    ~     ~          
99  |HD 294940                                                             |Star                                  |06 20 20.8716354096 -02 31 29.736435180|211.6355653123255 -08.0671321252748|  -3.090 -0.331   |10.56    |G                   |    ~     ~          
100 |HD 294790                                                             |Star                                  |06 16 53.4440257728 -02 24 07.577660160|211.1278139054809 -08.7801624539881|   -5.574 9.269   |10.26    |G5                  |    ~     ~          
101 |HD 294795                                                             |Star                                  |06 16 50.2477955064 -02 36 12.938824584|211.3032527126722 -08.8837081976955|  -2.487 -2.485   |10.85    |K7                  |    ~     ~          
102 |HD 294796                                                             |Star                                  |06 17 01.4853983088 -02 39 28.043862120|211.3736351240464 -08.8667015515916|   -2.290 0.055   |10.96    |F8                  |    ~     ~          
103 |HD 294860                                                             |Star                                  |06 17 59.5124414328 -02 36 39.583659348|211.4425967744786 -08.6303167074631|  -4.121 -4.377   |10.94    |F8                  |    ~     ~          
104 |HD 294863                                                             |Star                                  |06 17 10.2702400032 -02 47 25.717723800|211.5100756666778 -08.8944560204567| -0.637 -11.246   |10.43    |F0                  |    ~     ~          
105 |HD 294868                                                             |Star                                  |06 18 15.5795738544 -02 47 33.284429808|211.6369398194551 -08.6532936989668|   1.776 -2.376   |10.51    |A3                  |    ~     ~          
106 |HD 291580                                                             |Star                                  |06 18 52.9504766112 -02 07 07.001212728|211.1017910037658 -08.2080892953015|   0.567 -3.755   |10.99    |A3                  |    ~     ~          
107 |HD 291577                                                             |Star                                  |06 20 13.1529703584 -02 10 35.655767472|211.3075548019513 -07.9372146759156|  -4.739 -2.225   |10.86    |A5                  |    ~     ~          
108 |HD 291624                                                             |Star                                  |06 22 00.6373917864 -02 17 24.440614116|211.6152018933589 -07.5904564615366|   0.579 -0.832   |10.84    |A2                  |    ~     ~          
109 |IRAS 06140-0237                                                       |Long-Period Variable Candidate        |06 16 34.2861053592 -02 38 58.881774912|211.3142172038017 -08.9638414812091|  -2.576 -0.128   |10.90    |~                   |    ~     ~          
110 |TYC 4784-2005-1                                                       |Star                                  |06 15 22.4765725344 -01 51 53.728423776|210.4692188352765 -08.8723128571899|   -8.777 3.693   |10.99    |~                   |    ~     ~          
111 |BD-02 1543                                                            |Star                                  |06 16 59.15 -02 20 56.7                |211.09100 -08.73487                |            ~ ~   |10.0     |~                   |    ~     ~          
112 |BD-00 1260                                                            |Star                                  |06 20 12.62 -00 25 50.6                |209.74015 -07.14124                |            ~ ~   |10.0     |~                   |    ~     ~          
113 |HD 294804                                                             |Star                                  |06 15 20.0374510200 -02 45 26.961222096|211.2691227624461 -09.2880866126718|    5.339 4.434   |9.42     |K0                  |    ~     ~          
114 |HD 291509                                                             |Red Giant Branch star                 |06 16 24.3688543488 -02 03 26.153985924|210.7614269851745 -08.7307682338604|   -1.527 1.616   |10.30    |K0                  |    ~     ~          
115 |HD 291581                                                             |Star                                  |06 18 45.4949426832 -02 09 23.735694924|211.1216606557973 -08.2530290290665|    2.611 4.447   |9.92     |F8                  |    ~     ~          
116 |HD 294875                                                             |Star                                  |06 19 39.5870238480 -02 47 29.558919624|211.7966035881771 -08.3413702601923|  -3.728 -1.496   |9.50     |A0                  |    ~     ~          
117 |HD 291534                                                             |Star                                  |06 20 03.9055218840 -00 27 59.164964028|209.7553523892069 -07.1898873910827| -8.454 -12.033   |9.96     |K5                  |    ~     ~          
118 |HD 294942                                                             |Spectroscopic Binary                  |06 20 06.8893761888 -02 38 40.678466532|211.7165375804079 -08.1733918021936|  -0.800 13.403   |10.09    |G0                  |    ~     ~          
119 |HD 291584                                                             |Star                                  |06 20 17.2953788448 -02 13 39.308457828|211.3613429028490 -07.9450902209341|  -5.038 -6.820   |9.214    |K0                  |    ~     ~          
120 |HD 294938                                                             |Star                                  |06 20 36.3391502256 -02 27 34.741722060|211.6064278569168 -07.9801020522006|   0.371 -1.679   |9.73     |A0                  |    ~     ~          
121 |HD 291532                                                             |Star                                  |06 20 37.6108952256 -00 20 00.028299984|209.7010773703637 -07.0040508134278|   0.824 -1.773   |9.86     |K0                  |    ~     ~          
122 |HD 291586                                                             |Star                                  |06 20 57.4393002960 -02 19 00.544743912|211.5183616939398 -07.8368947674015|  0.985 -13.000   |9.21     |K0                  |    ~     ~          
123 |HD 294935                                                             |Spectroscopic Binary                  |06 21 10.0635633864 -02 42 33.439763520|211.8953882170508 -07.9685502123006|  7.334 -10.151   |10.16    |K0                  |    ~     ~          
124 |HD 291623                                                             |Star                                  |06 21 12.7533698016 -02 12 29.397274200|211.4500102233237 -07.7306674616222|    1.500 1.714   |9.773    |K2                  |    ~     ~          
