C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
9971 |TYC 8148-630-1                                                                                           |Star                           |08 12 48.9863795088 -52 16 40.979471232|267.3210993778687 -09.8672845644835|   -4.288 8.715   |10.86    |~                      |    ~     ~    |    1| 1384.850   pc  | -28.7671    +28.7671    |paral   |2020yCat.1350....0G
9972 |TYC 8148-633-1                                                                                           |Star                           |08 12 20.0072431200 -52 12 46.115401608|267.2251357312285 -09.8952876374219| -19.726 44.193   |10.930   |~                      |    ~     ~    |    1|  265.017   pc  |  -3.4190     +3.4190    |ST-L    |2020AJ....160...83S
9973 |TYC 8148-703-1                                                                                           |Star                           |08 14 11.8685471544 -52 21 16.306793028|267.5010182585340 -09.7295073199671| -1.748 -13.441   |10.744   |~                      |    ~     ~    |    1|  417.911   pc  |  -8.2080     +8.2080    |ST-L    |2020AJ....160...83S
9974 |TYC 8148-760-1                                                                                           |Star                           |08 04 18.2891370336 -51 06 56.362476564|265.6150960487142 -10.3867142400937|  -5.701 -0.698   |10.77    |~                      |    ~     ~    |    1|  623.480   pc  |  -5.0535     +5.0535    |paral   |2020yCat.1350....0G
9975 |HD 69306B                                                                                                |High Proper Motion Star        |08 13 54.0498614376 -52 22 55.561813968|267.5000607900068 -09.7825572232701| 13.924 -55.590   |10.81    |~                      |    ~     ~    |    1|  138.860   pc  |  -0.2237     +0.2237    |paral   |2020yCat.1350....0G
9976 |TYC 8566-81-1                                                                                            |Star                           |08 12 18.2051537184 -52 34 36.173588304|267.5360186136350 -10.0920373902704|  -2.105 -8.928   |10.76    |~                      |    ~     ~    |    1| 1190.476   pc  | -31.6043    +31.6043    |paral   |2020yCat.1350....0G
9977 |TYC 8566-516-1                                                                                           |Star                           |08 01 59.0444033328 -54 09 57.240353880|268.1205881544171 -12.2285144596782|   -1.350 1.850   |10.992   |~                      |    ~     ~    |    1| 1534.110   pc  |-111.9000   +111.9000    |ST-L    |2020AJ....160...83S
9978 |TYC 8566-776-1                                                                                           |Star                           |08 01 01.8008455536 -53 41 44.568433392|267.6316896144342 -12.1171558545867| -14.861 14.063   |10.744   |~                      |    ~     ~    |    1| 1106.400   pc  | -65.4600    +65.4600    |ST-L    |2020AJ....160...83S
9979 |TYC 8566-791-1                                                                                           |Star                           |08 03 16.0417224696 -54 03 10.690397712|268.1164316267251 -12.0091741794803|   -4.141 7.392   |10.868   |~                      |    ~     ~    |    1| 1175.360   pc  | -69.2200    +69.2200    |ST-L    |2020AJ....160...83S
9980 |TYC 8566-810-1                                                                                           |Star                           |08 03 47.5115333232 -53 29 38.236780680|267.6623172904322 -11.6613841018894|   -3.242 0.046   |10.979   |~                      |    ~     ~    |    1|  841.693   pc  | -32.6100    +32.6100    |ST-L    |2020AJ....160...83S
9981 |TYC 8566-923-1                                                                                           |Star                           |08 01 45.7550122272 -54 01 15.535134120|267.9753993434141 -12.1847146923555|  -0.255 -2.475   |9.89     |~                      |    ~     ~    |    1| 1253.761   pc  | -24.0503    +24.0503    |paral   |2020yCat.1350....0G
9982 |TYC 8566-934-1                                                                                           |Spectroscopic Binary           |08 02 26.3874354936 -54 19 15.652531740|268.2921694526583 -12.2478863186473|-30.430 119.126   |10.95    |~                      |    ~     ~    |    1|  187.340   pc  |  -0.7125     +0.7125    |paral   |2020yCat.1350....0G
9983 |TYC 8566-948-1                                                                                           |Star                           |08 04 49.4220154416 -53 49 22.411252488|268.0310687792572 -11.6954632478811| -12.727 15.579   |10.88    |~                      |    ~     ~    |    1|  775.074   pc  |  -6.4880     +6.4880    |paral   |2020yCat.1350....0G
9984 |TYC 8566-1367-1                                                                                          |Star                           |08 04 38.6631298896 -53 41 39.988924620|267.9042273541214 -11.6533687373097|   -5.982 8.661   |10.36    |~                      |    ~     ~    |    1| 2119.992   pc  | -54.3818    +54.3818    |paral   |2020yCat.1350....0G
9985 |TYC 8566-1384-1                                                                                          |High Proper Motion Star        |08 13 00.8931086376 -54 03 05.625476388|268.8659691248853 -10.7817945859076| -18.341 58.504   |10.33    |~                      |    ~     ~    |    1|  164.661   pc  |  -0.3552     +0.3552    |paral   |2020yCat.1350....0G
9986 |TYC 8566-1384-2                                                                                          |High Proper Motion Star        |08 13 01.7723128248 -54 02 57.988668336|268.8652915498571 -10.7788480089012| -17.774 58.435   |10.51    |~                      |    ~     ~    |    1|  164.978   pc  |  -0.3484     +0.3484    |paral   |2020yCat.1350....0G
9987 |TYC 8566-1472-1                                                                                          |Star                           |08 11 26.9958536784 -54 14 27.603032388|268.9074114117885 -11.0763159854001|  -0.269 -3.338   |10.915   |~                      |    ~     ~    |    1| 1330.370   pc  | -87.8200    +87.8200    |ST-L    |2020AJ....160...83S
9988 |TYC 8566-1522-1                                                                                          |Star                           |08 05 58.9506799896 -53 51 51.975432324|268.1561570162977 -11.5692517089707|  -2.583 -0.450   |10.772   |~                      |    ~     ~    |    1| 1005.850   pc  | -52.9500    +52.9500    |ST-L    |2020AJ....160...83S
9989 |TYC 8566-1878-1                                                                                          |Star                           |08 12 36.7105020024 -53 27 26.133893316|268.3204799839343 -10.5184495183595|  -7.834 12.777   |10.524   |~                      |    ~     ~    |    1|  619.211   pc  | -15.6900    +15.6900    |ST-L    |2020AJ....160...83S
9990 |TYC 8570-75-1                                                                                            |Star                           |08 01 19.4944562184 -55 57 01.443778704|269.6641727611798 -13.1908519255982|   -3.867 0.229   |10.89    |~                      |    ~     ~    |    1| 2453.386   pc  | -60.7929    +60.7929    |paral   |2020yCat.1350....0G
9991 |TYC 8570-222-1                                                                                           |Star                           |08 02 00.7036987056 -54 59 53.399795676|268.8628154001237 -12.6375638199677| -36.486 11.858   |10.939   |~                      |    ~     ~    |    1|  345.977   pc  |  -5.8080     +5.8080    |ST-L    |2020AJ....160...83S
9992 |TYC 8570-297-1                                                                                           |Star                           |08 02 05.7529996584 -55 58 03.818208864|269.7340471168724 -13.1053430870223|   -6.097 6.354   |10.87    |~                      |    ~     ~    |    1|  744.657   pc  |  -5.8224     +5.8224    |paral   |2020yCat.1350....0G
9993 |TYC 8570-340-1                                                                                           |Star                           |08 02 07.5129565464 -55 11 56.692856688|269.0500539265526 -12.7227767606055|   -1.470 5.864   |10.72    |~                      |    ~     ~    |    1|  803.019   pc  |  -6.8353     +6.8353    |paral   |2020yCat.1350....0G
