C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
73  |HD 219608                                                                                                |Star                              |23 17 24.1938466416 -40 36 07.856970588|352.0971207527172 -66.4040553657131| -9.752 -33.377   |9.76     |K1/2(III)      |    ~     ~    |    1| 1494.992   pc  | -30.1725    +30.1725  |paral   |2020yCat.1350....0G
74  |CD-40 15086                                                                                              |Star                              |23 16 06.1592843544 -39 45 37.422841896|354.2632844404844 -66.5561287727154|  25.070 30.506   |10.60    |~              |    ~     ~    |    1|  245.363   pc  |  -1.2402     +1.2402  |paral   |2020yCat.1350....0G
75  |CD-40 15089                                                                                              |Star                              |23 16 39.3604458432 -39 39 26.251550784|354.3835465614874 -66.6964138561116| 28.213 -12.957   |9.95     |~              |    ~     ~    |    1|  654.193   pc  |  -6.7191     +6.7191  |paral   |2020yCat.1350....0G
76  |CD-39 14991                                                                                              |Spectroscopic Binary              |23 19 04.7094415416 -39 13 18.468217344|354.8807011353424 -67.3052545337704|  -1.222 -5.888   |9.51     |K0             |    ~     ~    |    1|  920.980   pc  | -16.9641    +16.9641  |paral   |2020yCat.1350....0G
77  |HD 219860                                                                                                |Double or Multiple Star           |23 19 25.7919514368 -39 09 30.457190124|354.9541635060490 -67.3938350179863| 46.895 -32.013   |7.03     |A3V(m)         |0.0067  0.0    |    1|  218.221   pc  |  -7.6479     +7.6479  |paral   |2020yCat.1350....0G
78  |HD 220622                                                                                                |Star                              |23 25 27.0401254296 -39 26 11.604402384|352.9095746262045 -68.3104997598972|   1.493 -2.370   |9.28     |K0III          |    ~     ~    |    1|  436.262   pc  |  -3.5210     +3.5210  |paral   |2020yCat.1350....0G
79  |HD 220664                                                                                                |Star                              |23 25 47.8066686528 -39 31 03.237918204|352.6308574623029 -68.3310497682048|   6.344 -3.469   |9.97     |F2/3V(+A)      |    ~     ~    |    1|  336.293   pc  | -17.7669    +17.7669  |paral   |2020yCat.1350....0G
80  |HD 219760                                                                                                |Spectroscopic Binary              |23 18 42.5332596432 -39 53 59.869453956|353.3910341328827 -66.9451047478794|  27.134 -2.095   |9.62     |K0III          |    ~     ~    |    1|  487.805   pc  |  -3.9738     +3.9738  |paral   |2020yCat.1350....0G
81  |HD 219774                                                                                                |Star                              |23 18 45.2358725016 -40 03 37.845497376|353.0154185023882 -66.8806371680663| 26.035 -15.498   |9.77     |K2             |    ~     ~    |    1|  585.412   pc  |  -6.9227     +6.9227  |paral   |2020yCat.1350....0G
82  |HD 219974                                                                                                |Star                              |23 20 28.6595532648 -39 59 31.915930956|352.7854099370059 -67.2054588100837| -17.439 12.627   |8.25     |A6V            |    ~     ~    |    1|  174.807   pc  |  -2.5740     +2.5740  |ST-L    |2020AJ....160...83S
