C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:39

dec< 0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2351

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
68  |TYC 7545-434-1                                                                                           |Star                                  |01 41 42.8435886696 -40 46 59.178704376|268.9380654913593 -72.8595871426136|    4.012 5.632   |10.557   |~              |    ~     ~    |    1|  235.276   pc  |  -2.8580     +2.8580  |ST-L    |2020AJ....160...83S
69  |TYC 7545-448-1                                                                                           |Star                                  |01 42 03.0547250640 -40 36 29.684537712|268.3819054819938 -72.9485933399739|  -5.898 -3.765   |10.939   |~              |    ~     ~    |    1| 1667.260   pc  |-148.4000   +148.4000  |ST-L    |2020AJ....160...83S
70  |TYC 7545-463-1                                                                                           |Star                                  |01 43 13.6651732512 -40 50 55.136882976|268.3612682724966 -72.6207741647761|-17.201 -15.640   |10.44    |~              |    ~     ~    |    1|  619.387   pc  |  -5.7162     +5.7162  |paral   |2020yCat.1350....0G
71  |TYC 7545-552-1                                                                                           |Star                                  |01 42 00.2589231624 -41 31 23.220561432|270.3999213304215 -72.2606606827658|  33.863 -7.326   |10.810   |~              |    ~     ~    |    1|  360.546   pc  |  -6.1650     +6.1650  |ST-L    |2020AJ....160...83S
72  |TYC 7545-967-1                                                                                           |Star                                  |01 43 46.5213338976 -41 14 50.994149496|268.9836252581560 -72.2540626709469|   8.968 -3.304   |10.870   |~              |    ~     ~    |    1| 1624.880   pc  |-136.0000   +136.0000  |ST-L    |2020AJ....160...83S
73  |HD 10217                                                                                                 |Star                                  |01 39 09.0920116800 -39 25 59.193844644|267.0546472821613 -74.1929105434497| -3.486 -18.118   |9.45     |G6/8III        |    ~     ~    |    1|  576.336   pc  |  -3.8531     +3.8531  |paral   |2020yCat.1350....0G
74  |HD 9506                                                                                                  |Star                                  |01 32 37.8597326472 -39 48 03.514080348|271.5337755436860 -74.7144901841605|  1.161 -14.302   |9.64     |K0III          |    ~     ~    |    1|  378.659   pc  |  -2.0360     +2.0360  |paral   |2020yCat.1350....0G
75  |CD-38 520                                                                                                |Star                                  |01 31 21.9562030824 -37 35 16.266367824|266.6352813479509 -76.5830692248034| 14.693 -20.090   |9.93     |F8             |    ~     ~    |    1|  228.071   pc  |  -0.8323     +0.8323  |paral   |2020yCat.1350....0G
76  |HD 9292                                                                                                  |Spectroscopic Binary                  |01 30 44.3801287776 -37 47 22.121863188|267.6066636224376 -76.5127768759606|   8.540 35.035   |8.05     |F2IV           |    ~     ~    |    1|  154.040   pc  |  -6.8148     +6.8148  |paral   |2020yCat.1350....0G
77  |HD 9219                                                                                                  |High Proper Motion Star               |01 30 01.9418157024 -38 52 30.369192060|270.9063229119651 -75.7557149843179| 57.684 -19.359   |9.88     |G5/6IV         |    ~     ~    |    1|  194.867   pc  |  -0.4519     +0.4519  |paral   |2020yCat.1350....0G
78  |HD 9247                                                                                                  |Star                                  |01 30 13.9851996840 -39 07 39.167252292|271.3949497156706 -75.5308369282713|    6.862 6.331   |9.54     |K2/3(III)      |    ~     ~    |    1|  888.968   pc  | -12.6442    +12.6442  |paral   |2020yCat.1350....0G
79  |HD 9328                                                                                                  |Star                                  |01 31 06.3817354248 -38 47 13.483334436|270.0173133226274 -75.6969459977490|   21.855 9.573   |9.80     |F7V            |    ~     ~    |    1|  155.275   pc  |  -0.4026     +0.4026  |paral   |2020yCat.1350....0G
80  |HD 9339                                                                                                  |Variable Star                         |01 31 16.8631288944 -38 25 46.651930536|268.9929683437485 -75.9538972831521| -6.250 -11.542   |7.98     |M2/3III        |    ~     ~    |    1|  469.417   pc  |  -4.2748     +4.2748  |paral   |2020yCat.1350....0G
