C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
148 |BD+39 4534                                                            |Star                           |21 21 37.0 +40 09 36                   |085.3138 -06.9156                  |            ~ ~   |9.5      |B8IV              |    ~     ~    
149 |BD+38 4428                                                            |Star                           |21 16 30.4126290480 +38 56 40.849731708|083.7442470286392 -07.0565890590077|   0.966 -3.572   |9.72     |A0IV              |    ~     ~    
150 |BD+38 4434                                                            |Star                           |21 17 43.8311705904 +38 38 11.231919924|083.6862564786576 -07.4420076438040|  -0.306 -4.394   |10.34    |A0IV              |    ~     ~    
151 |BD+38 4435                                                            |Star                           |21 17 56.5292382744 +39 11 53.442634308|084.1229156254905 -07.0819994489622|   0.995 -3.813   |9.73     |B9V               |    ~     ~    
152 |BD+38 4443                                                            |Star                           |21 19 01.8097064520 +38 52 22.432553436|084.0352978081715 -07.4600100280780|   5.423 -2.791   |9.55     |A1IV              |    ~     ~    
153 |BD+38 4444                                                            |Star                           |21 19 04.5132055824 +39 25 30.725028948|084.4408930985839 -07.0815348653797|  -3.296 -9.120   |10.20    |B9V               |    ~     ~    
154 |BD+38 4447                                                            |Star                           |21 19 30.4579204584 +39 24 25.979730516|084.4866038798258 -07.1539287677942|   3.415 -0.730   |10.43    |A3V               |    ~     ~    
155 |BD+38 4450                                                            |Star                           |21 19 44.4568437264 +39 31 45.352456284|084.6063402013174 -07.1009457043374|  -0.428 -3.654   |9.99     |B8III             |    ~     ~    
156 |BD+38 4458                                                            |Star                           |21 20 51.8025721200 +38 39 09.582462612|084.1279202233460 -07.8696233226568|  -3.707 -5.334   |10.57    |B9IV              |    ~     ~    
157 |BD+38 4469                                                            |Star                           |21 22 44.1593643456 +38 52 17.139657972|084.5439760928504 -07.9759304665078|  -4.121 -5.985   |9.65     |A0IV              |    ~     ~    
158 |BD+37 4268                                                            |Star                           |21 19 09.8727682872 +38 21 24.765803424|083.6799264382541 -07.8380488119914|  -0.600 -6.817   |10.07    |B9IV              |    ~     ~    
159 |BD+37 4277                                                            |Spectroscopic Binary           |21 20 47.0984720688 +38 00 53.472443760|083.6566795180242 -08.3047831848256|  39.070 33.286   |10.15    |~                 |    ~     ~    
160 |BD+37 4289                                                            |Star                           |21 23 15.4817740776 +38 13 21.498722400|084.1513826226633 -08.5054430575456|   1.559 -3.305   |10.52    |B9V               |    ~     ~    
161 |BD+37 4297                                                            |Star                           |21 24 29.6577100776 +38 33 52.090081704|084.5690227250532 -08.4355368450006|  -1.459 -5.637   |10.39    |A0III             |    ~     ~    
162 |BD+37 4316                                                            |Star                           |21 27 25.3850438712 +38 37 33.191995296|085.0242312107757 -08.7942756538997|  -2.147 -5.020   |10.46    |A0V               |    ~     ~    
163 |BD+37 4321                                                            |High Proper Motion Star        |21 28 54.9743700264 +38 27 45.828135216|085.1204258858850 -09.1149479521242|-63.319 -109.530  |10.94    |~                 |    ~     ~    
164 |TYC 3169-1-1                                                          |Star                           |21 19 56.6756049576 +38 54 52.557904404|084.1905856405983 -07.5584731110758|  23.480 36.957   |9.98     |~                 |    ~     ~    
165 |TYC 3169-37-1                                                         |Star                           |21 15 39.5914698264 +38 58 58.269963252|083.6576476618148 -06.9110634189410|  -4.795 -0.219   |10.68    |~                 |    ~     ~    
166 |TYC 3169-47-1                                                         |Star                           |21 18 45.6500926368 +38 57 29.816640576|084.0603539122165 -07.3629649570566|  -7.517 -5.321   |10.11    |~                 |    ~     ~    
167 |TYC 3169-201-1                                                        |Star                           |21 17 58.1045057064 +39 01 49.255354596|084.0047279275359 -07.2021675515821|   0.740 -7.449   |10.53    |~                 |    ~     ~    
168 |TYC 3169-217-1                                                        |Star                           |21 19 33.6898965336 +38 55 14.644133580|084.1425618157216 -07.5008215896090|    6.216 1.268   |10.78    |~                 |    ~     ~    
169 |TYC 3169-289-1                                                        |Star                           |21 18 23.7280790328 +39 00 43.713699984|084.0495992177003 -07.2744876120783|   4.129 -0.919   |10.89    |~                 |    ~     ~    
170 |TYC 3169-367-1                                                        |Star                           |21 15 14.0721937248 +39 03 50.224126104|083.6595920161217 -06.7953175511166|    5.147 2.176   |10.97    |~                 |    ~     ~    
171 |TYC 3169-459-1                                                        |Star                           |21 15 35.1634186272 +39 17 26.356853832|083.8723581901874 -06.6885942324700|   13.058 1.843   |9.36     |~                 |    ~     ~    
172 |TYC 3169-551-1                                                        |Pulsating Variable             |21 18 36.5564065896 +39 05 22.573012596|084.1348173094287 -07.2504631727944|  -3.278 -4.848   |9.92     |~                 |    ~     ~    
173 |TYC 3169-853-1                                                        |Star                           |21 15 39.1276559088 +39 15 49.324140396|083.8615676421019 -06.7164353845835|  -5.815 -5.143   |10.21    |~                 |    ~     ~    
174 |TYC 3169-953-1                                                        |Star                           |21 15 57.6094234200 +39 14 31.187848488|083.8871486901354 -06.7745872723356| -12.999 -3.541   |10.97    |~                 |    ~     ~    
175 |BD+38 4425                                                            |Star                           |21 16 14.2902224904 +39 07 13.921290552|083.8360724948013 -06.8974042195970|  1.760 -10.026   |10.29    |A1IV              |    ~     ~    
176 |TYC 3169-995-1                                                        |Spectroscopic Binary           |21 15 19.8919433904 +38 56 56.965481592|083.5887681627309 -06.8879885289785|  35.281 27.845   |9.69     |~                 |    ~     ~    
177 |TYC 3169-1698-1                                                       |Star                           |21 18 56.1249246840 +38 32 38.567452632|083.7840999912508 -07.6756001186074|    5.298 0.489   |10.09    |~                 |    ~     ~    
178 |TYC 3169-1815-1                                                       |Star                           |21 16 51.5940645000 +38 31 31.239922728|083.4866277322463 -07.3960957395105|    6.103 4.054   |10.04    |~                 |    ~     ~    
179 |TYC 3169-1940-1                                                       |Star                           |21 16 31.7463955008 +38 40 35.628966408|083.5518480304501 -07.2449017532663|  11.905 -0.322   |10.32    |~                 |    ~     ~    
180 |TYC 3169-2070-1                                                       |Star                           |21 16 59.1867556032 +38 31 28.492902192|083.5033235651441 -07.4145085939627|  -0.292 -4.940   |9.76     |~                 |    ~     ~    
