C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
60  |TYC 4579-435-1                                                                                                                              |Star                                |16 06 32.1480125544 +81 49 00.843293964|115.6531300837980 +32.3320549866884|  -6.841 18.011  |10.77    |~              |    ~     ~          |    1|  406.785   pc  |  -1.9360     +1.9360  |paral   |2020yCat.1350....0G
61  |TYC 4579-705-1                                                                                                                              |Star                                |16 11 15.4887677232 +81 33 33.807899484|115.2881333713429 +32.3503276924916|    0.712 2.989  |10.92    |~              |    ~     ~          |    1|  564.302   pc  |  -4.4263     +4.4263  |paral   |2020yCat.1350....0G
62  |GSC 04579-00850                                                                                                                             |Double or Multiple Star             |16 09 21.7295870040 +81 00 52.958417040|114.8182581066859 +32.7310194695703| -10.326 -0.738  |10.856   |~              |    ~     ~          |    1| 2466.091   pc  | -69.9385    +69.9385  |paral   |2020yCat.1350....0G
63  |TYC 4579-1048-1                                                                                                                             |Star                                |16 09 15.4240730856 +82 16 05.233970820|116.0092073070729 +31.9833563442819|   2.226 -5.959  |10.87    |~              |    ~     ~          |    1|  337.064   pc  |  -1.3179     +1.3179  |paral   |2020yCat.1350....0G
64  |TYC 4647-1339-1                                                                                                                             |Star                                |16 10 15.4659832752 +82 40 55.349336676|116.3745975555144 +31.7075631961982| -24.026 43.568  |10.62    |~              |    ~     ~          |    1|  211.555   pc  |  -0.5684     +0.5684  |paral   |2020yCat.1350....0G
65  |TYC 4647-1459-1                                                                                                                             |Star                                |16 12 09.9927640248 +82 39 44.795050128|116.3132959674264 +31.6705823001009| -36.615 24.880  |10.78    |~              |    ~     ~          |    1|  202.446   pc  |  -0.4098     +0.4098  |paral   |2020yCat.1350....0G
66  |BD+84 357                                                                                                                                   |Star                                |16 04 07.8173355264 +84 01 11.854090452|117.7345077915720 +31.0199364507891|    4.631 2.278  |9.23     |K2             |    ~     ~          |    1|  477.236   pc  |  -2.9608     +2.9608  |paral   |2020yCat.1350....0G
67  |BD+74 653                                                                                                                                   |Star                                |16 06 03.3209184720 +73 55 12.463776516|107.8522244104643 +36.9405607920498| -21.356 26.545  |9.80     |F5             |    ~     ~          |    1|  278.932   pc  |  -1.4705     +1.4705  |paral   |2020yCat.1350....0G
68  |BD+74 655                                                                                                                                   |Star                                |16 06 57.3208850184 +73 56 33.752438664|107.8332484883061 +36.8760775710249| -18.502 26.165  |9.46     |F8             |    ~     ~          |    1|  256.141   pc  |  -1.0038     +1.0038  |paral   |2020yCat.1350....0G
69  |BD+74 656                                                                                                                                   |High Proper Motion Star             |16 08 16.7262310176 +73 57 20.323279548|107.7847683712726 +36.7922325847170| -26.839 60.621  |8.70     |K0             |    ~     ~          |    1|  291.971   pc  |  -1.2190     +1.2190  |paral   |2020yCat.1350....0G
70  |TYC 4425-1270-1                                                                                                                             |Star                                |16 09 46.8576005424 +73 55 42.110052456|107.6863862619906 +36.7192787916435|  7.536 -25.900  |10.79    |K0             |    ~     ~          |    1|  291.435   pc  |  -0.9428     +0.9428  |paral   |2020yCat.1350....0G
71  |V* UV UMi                                                                                                                                   |Long-Period Variable                |16 10 29.5435176696 +73 53 04.517958228|107.6074150132606 +36.7008643412959|-16.519 -13.181  |9.78     |M2             |    ~     ~          |    1|  944.465   pc  | -21.2300    +21.2300  |paral   |2020yCat.1350....0G
72  |BD+74 659                                                                                                                                   |Double or Multiple Star             |16 13 11.6969 +73 39 19.461            |107.2406069 +36.6603077            |     -41.6 19.5  |9.52     |F8             |    ~     ~          |    0|                |                       |        |                   
73  |BD+73 703                                                                                                                                   |Double or Multiple Star             |16 00 26.2627 +73 30 56.691            |107.7067206 +37.4929247            |    22.90 -4.10  |9.93     |F8             |    ~     ~          |    0|                |                       |        |                   
74  |HD 145368                                                                                                                                   |High Proper Motion Star             |16 04 00.2878405584 +73 08 54.126127824|107.1426300494808 +37.4858771091897| -51.687 90.075  |6.845    |F5             |    ~     ~          |    1|   52.842   pc  |  -0.0438     +0.0438  |paral   |2020yCat.1350....0G
75  |BD+73 708                                                                                                                                   |Star                                |16 07 00.1643538216 +73 15 12.027858192|107.1050817363708 +37.2470268149147|  -7.023 -5.806  |9.17     |F8             |    ~     ~          |    1|  243.463   pc  |  -0.6817     +0.6817  |paral   |2020yCat.1350....0G
76  |BD+73 712                                                                                                                                   |Star                                |16 13 44.8415765496 +73 17 30.098344596|106.8263781208903 +36.8140402660806| 11.064 -13.230  |8.30     |K0             |    ~     ~          |    1|  333.467   pc  |  -1.7236     +1.7236  |paral   |2020yCat.1350....0G
