C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
69  |BD+39 602                                                                                                                                   |Star                              |02 41 26.2687402464 +39 40 37.640573256|144.9340510138664 -18.4489826157803| 15.688 -12.352   |10.58    |F8               |    ~     ~    |    1|  230.362   pc  |  -1.0401     +1.0401  |paral   |2020yCat.1350....0G
70  |BD+39 606                                                                                                                                   |Star                              |02 41 40.0917200184 +39 44 58.748894844|144.9429901469070 -18.3644151662568|   -8.301 2.557   |9.81     |K0               |    ~     ~    |    1|  663.262   pc  |  -8.3144     +8.3144  |paral   |2020yCat.1350....0G
71  |BD+39 613                                                                                                                                   |Star                              |02 42 32.0723054760 +39 47 32.409280608|145.0812848781221 -18.2535283029947| -5.106 -22.543   |10.661   |G0               |    ~     ~    |    1|  202.556   pc  |  -7.0201     +7.0201  |paral   |2020yCat.1350....0G
72  |BD+39 614                                                                                                                                   |Star                              |02 42 47.8245716976 +39 47 25.095364260|145.1299788317496 -18.2333092197434|   -6.282 1.869   |10.28    |K0               |    ~     ~    |    1|  681.524   pc  |  -6.4098     +6.4098  |paral   |2020yCat.1350....0G
73  |BD+38 536                                                                                                                                   |Double or Multiple Star           |02 40 58.6366323236 +39 04 47.606216419|145.1224935008710 -19.0258359905067|  62.293 69.165   |9.120    |K2               |    ~     ~    |    1|   48.8296  pc  |  -1.4542     +1.4542  |paral   |2018yCat.1345....0G
74  |V* V560 Per                                                                                                                                 |Long-Period Variable Candidate    |02 41 39.2015735712 +39 32 16.522058292|145.0371653440778 -18.5563993262215|  -2.129 -3.825   |8.55     |M5               |    ~     ~    |    1| 1065.076   pc  | -82.4700    +82.4700  |paral   |2020yCat.1350....0G
75  |HD 16720                                                                                                                                    |Star                              |02 42 01.0852886928 +39 17 31.280980812|145.2170471330209 -18.7471387014622| 20.775 -18.356   |8.81     |K0               |    ~     ~    |    1|  378.258   pc  |  -4.2638     +4.2638  |paral   |2020yCat.1350....0G
76  |HD 16834                                                                                                                                    |Variable Star                     |02 43 14.7092905032 +39 21 58.393784340|145.4078822553858 -18.5764858646414|  6.251 -10.934   |8.660    |A0               |    ~     ~    |    1|  527.148   pc  | -10.6708    +10.6708  |paral   |2020yCat.1350....0G
77  |BD+38 547                                                                                                                                   |Star                              |02 44 57.0012848424 +39 35 01.888248516|145.6172342390571 -18.2356836543015| 20.145 -16.071   |10.80    |F5               |    ~     ~    |    1|  265.943   pc  |  -1.5348     +1.5348  |paral   |2020yCat.1350....0G
78  |HD 16760                                                                                                                                    |Double or Multiple Star           |02 42 21.3134499936 +38 37 07.231908072|145.5909934295187 -19.3239686052188|73.809 -106.607   |8.76     |G2V              |    ~     ~    |    1|   56.911   pc  |  -1.9245     +1.9245  |paral   |2020yCat.1350....0G
79  |HD 16760B                                                                                                                                   |High Proper Motion Star           |02 42 20.9504185128 +38 37 21.159114852|145.5880691279426 -19.3210109031993|82.112 -107.548   |10.27    |K2V              |    ~     ~    |    1|   49.783   pc  |  -0.0518     +0.0518  |paral   |2020yCat.1350....0G
80  |BD+38 501                                                                                                                                   |Star                              |02 32 24.7816409352 +39 04 36.815317500|143.5234555379441 -19.7236194216525|   18.830 1.969   |9.95     |~                |    ~     ~    |    1|  110.082   pc  |  -0.8580     +0.8580  |paral   |2020yCat.1350....0G
81  |TYC 2832-1318-1                                                                                                                             |Star                              |02 32 23.2176451104 +39 04 52.993247628|143.5166130125390 -19.7215464087550|  -1.431 -4.271   |10.68    |~                |    ~     ~    |    0|                |                       |        |                   
82  |ADS 2015 AB                                                                                                                                 |Double or Multiple Star           |02 39 58.03 +38 48 35.7                |145.05828 -19.35414                |            ~ ~   |10.6     |~                |    ~     ~    |    0|                |                       |        |                   
83  |NGC 1023A                          2MASXI J0240377+390326                                                                                   |Galaxy towards a Group of Galaxies|02 40 37.7 +39 03 29                   |145.0679 -19.0748                  |            ~ ~   |     ~   |~                | 1.3   0.6     |    1|   12       Mpc |                       |        |2007ApJS..173..185G
84  |HD 15913                                                                                                                                    |Star                              |02 34 40.0909667112 +39 52 50.096440776|143.5988026393494 -18.8124568467312|  -8.529 -1.517   |8.72     |A0               |    ~     ~    |    1|  474.203   pc  |  -7.9379     +7.9379  |paral   |2020yCat.1350....0G
85  |V* V377 And                                                                                                                                 |Eclipsing Binary                  |02 36 18.8877954432 +40 12 17.458057116|143.7609029324422 -18.3871770267065|   3.325 -6.806   |7.51     |B9               |0.0050  0.0    |    1|  314.782   pc  | -28.0914    +28.0914  |paral   |2020yCat.1350....0G
86  |BD+38 498                                                                                                                                   |Star                              |02 31 57.1566455088 +39 37 39.158634000|143.2023144383234 -19.2551250162694|   3.061 -1.158   |9.70     |K5               |    ~     ~    |    1| 1342.462   pc  | -36.5847    +36.5847  |paral   |2020yCat.1350....0G
87  |HD 15714                                                                                                                                    |Star                              |02 32 44.3981522664 +39 32 59.527794516|143.3825191727181 -19.2653027905990|   5.501 -8.343   |7.77     |B8               |    ~     ~    |    1|  373.009   pc  |  -7.6246     +7.6246  |paral   |2020yCat.1350....0G
88  |BD+37 569                                                                                                                                   |Star                              |02 31 19.9792660344 +38 31 00.523362216|143.5579765664953 -20.3210489500768| -9.254 -21.656   |8.45     |K5               |    ~     ~    |    1|  427.771   pc  |  -5.2152     +5.2152  |paral   |2020yCat.1350....0G
89  |BD+37 573                                                                                                                                   |Star                              |02 32 40.2143571144 +38 38 03.090182892|143.7624847746194 -20.1083102553159| -4.994 -13.567   |9.49     |K2               |    ~     ~    |    1|  458.631   pc  |  -3.6600     +3.6600  |paral   |2020yCat.1350....0G
90  |BD+37 583                                                                                                                                   |Star                              |02 36 39.7342179000 +38 17 33.964630332|144.6704895086225 -20.0969037493605| -11.725 -2.378   |8.99     |K0               |    ~     ~    |    1|  898.392   pc  | -16.0614    +16.0614  |paral   |2020yCat.1350....0G
91  |BD+37 578                                                                                                                                   |Star                              |02 34 44.9660143344 +38 05 20.428255788|144.3968667113687 -20.4387979484957|  -2.666 -2.495   |10.53    |K2               |    ~     ~    |    1| 1525.320   pc  | -57.0018    +57.0018  |paral   |2020yCat.1350....0G
92  |BD+37 580                                                                                                                                   |Star                              |02 36 08.8323628776 +38 07 17.629476672|144.6491080843185 -20.2947536894781|  -5.280 -2.839   |10.93    |F8               |    ~     ~    |    1|  297.974   pc  |  -1.5183     +1.5183  |paral   |2020yCat.1350....0G
93  |BD+37 581                                                                                                                                   |Star                              |02 36 12.5564560800 +38 07 21.669010752|144.6604262668533 -20.2886233804526| 25.041 -24.274   |10.31    |K2               |    ~     ~    |    1|  384.364   pc  |  -2.7331     +2.7331  |paral   |2020yCat.1350....0G
94  |BD+37 589                                                                                                                                   |Star                              |02 38 21.9522552696 +37 57 11.116805976|145.1471029488958 -20.2627872146939|  -6.961 -2.348   |9.46     |G5               |    ~     ~    |    1|  550.267   pc  |  -4.8447     +4.8447  |paral   |2020yCat.1350....0G
