C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
96  |HD 103081                                                                                                |Star                                |11 52 38.1316617120 +74 57 54.388413504|127.9808145771474 +41.5816319025680|    6.366 6.129    |9.57     |A2                |    ~     ~    |    1|  303.242   pc  |  -1.5357     +1.5357  |paral   |2020yCat.1350....0G
97  |HD 103429                                                                                                |Star                                |11 54 48.0999881232 +74 28 55.279102692|127.9909748175417 +42.0852861651660| -2.118 -14.453    |9.27     |K0                |    ~     ~    |    1|  301.750   pc  |  -4.3341     +4.3341  |paral   |2020yCat.1350....0G
98  |HD 103472                                                                                                |High Proper Motion Star             |11 55 05.9033346168 +74 44 36.117368160|127.8630171007386 +41.8410826911001|-55.798 -48.002    |10.01    |G5                |    ~     ~    |    1|  186.317   pc  |  -0.4339     +0.4339  |paral   |2020yCat.1350....0G
99  |HD 103809                                                                                                |Star                                |11 57 18.6987812952 +74 15 47.852464932|127.8573053965029 +42.3433802575468|  8.927 -16.543    |10.30    |G5                |    ~     ~    |    1|  200.856   pc  |  -0.4034     +0.4034  |paral   |2020yCat.1350....0G
100 |HD 103982                                                                                                |Star                                |11 58 40.5980186928 +74 19 29.001215568|127.7141756943687 +42.3100721862142|-17.677 -13.730    |10.11    |F8                |    ~     ~    |    1|  208.516   pc  |  -0.6044     +0.6044  |paral   |2020yCat.1350....0G
101 |BD+74 472                                                                                                |High Proper Motion Star             |11 45 51.8155494576 +74 04 25.494362256|128.9404098680209 +42.2808644044277|-63.435 -11.705    |9.42     |K0                |    ~     ~    |    1|  223.709   pc  |  -0.6756     +0.6756  |paral   |2020yCat.1350....0G
102 |HD 103202                                                                                                |Star                                |11 53 16.3153615008 +73 49 48.280648548|128.3894519373133 +42.6762943273946| -41.747 15.479    |9.21     |G5                |    ~     ~    |    1|  488.138   pc  |  -3.0976     +3.0976  |paral   |2020yCat.1350....0G
103 |HD 103246                                                                                                |Double or Multiple Star             |11 53 43.08041 +73 45 21.8428          |128.37960064 +42.75625688          | -48.44 -116.70    |6.778    |F8                |    ~     ~    |    0|                |                       |        |                   
104 |HD 103404                                                                                                |Star                                |11 54 39.2410623552 +73 46 56.646159384|128.2838731772002 +42.7507308879423| -33.393 -9.913    |8.63     |F2                |    ~     ~    |    1|  186.057   pc  |  -0.5781     +0.5781  |paral   |2020yCat.1350....0G
105 |HD 103885                                                                                                |Spectroscopic Binary                |11 57 59.8618914168 +73 46 54.186017880|127.9795882979101 +42.8188115892459| -10.535 -3.944    |8.79     |F2                |    ~     ~    |    1|  134.557   pc  |  -2.5203     +2.5203  |paral   |2020yCat.1350....0G
106 |HD 103068                                                                                                |Star                                |11 52 28.1284599792 +73 20 56.057551296|128.6648495082896 +43.1167955934122|   0.969 -0.314    |9.25     |K2                |    ~     ~    |    1|  966.277   pc  | -15.4993    +15.4993  |paral   |2020yCat.1350....0G
107 |HD 103203                                                                                                |Star                                |11 53 21.4940405928 +73 17 30.434189316|128.6057503753686 +43.1908002522761|  -11.985 2.498    |7.53     |K0                |    ~     ~    |    1|  288.193   pc  |  -1.3704     +1.3704  |paral   |2020yCat.1350....0G
108 |HD 103537                                                                                                |Spectroscopic Binary                |11 55 38.6055547872 +73 38 59.772665940|128.2468060971199 +42.8977617309731|   1.989 13.067    |9.89     |F8                |    ~     ~    |    1|  215.759   pc  |  -4.6459     +4.6459  |paral   |2020yCat.1350....0G
109 |HD 103473                                                                                                |Star                                |11 55 09.5784448728 +73 10 08.989568760|128.4864439591386 +43.3469186429948| -21.089 -0.869    |9.88     |F5                |    ~     ~    |    1|  211.837   pc  |  -0.5161     +0.5161  |paral   |2020yCat.1350....0G
110 |NGC 3890                           NGC 3890                                                              |Galaxy                              |11 49 19.8046331280 +74 18 08.086839264|128.5375647349895 +42.1432309718379|            ~ ~    |     ~   |~                 |0.613 0.552    |    0|                |                       |        |                   
111 |TYC 4399-269-1                                                                                           |Star                                |11 51 48.7541219256 +74 19 20.018102484|128.3142202967789 +42.1771507913302| 41.174 -26.305    |10.74    |~                 |    ~     ~    |    1|  208.199   pc  |  -0.4681     +0.4681  |paral   |2020yCat.1350....0G
112 |TYC 4399-306-1                                                                                           |Star                                |11 49 27.3705399672 +74 13 30.019909332|128.5601169881426 +42.2191253650198|   -5.681 3.162    |10.48    |~                 |    ~     ~    |    1|  923.788   pc  | -11.6914    +11.6914  |paral   |2020yCat.1350....0G
113 |TYC 4399-803-1                                                                                           |Star                                |11 45 08.2693841400 +73 48 28.142825652|129.1274227912312 +42.5135982056762|-30.184 -14.078    |10.58    |~                 |    ~     ~    |    1|  324.317   pc  |  -1.4200     +1.4200  |paral   |2020yCat.1350....0G
114 |TYC 4399-971-1                                                                                           |High Proper Motion Star             |11 56 21.8206630512 +73 31 21.769800204|128.2309385446702 +43.0342888637662| 36.392 -58.640    |10.61    |~                 |    ~     ~    |    1|  235.649   pc  |  -0.6997     +0.6997  |paral   |2020yCat.1350....0G
115 |TYC 4399-1545-1                                                                                          |Star                                |11 49 57.4307351256 +74 42 12.064458996|128.3122036780972 +41.7764118217559|    0.017 1.786    |10.50    |~                 |    ~     ~    |    1|  702.001   pc  |  -5.6673     +5.6673  |paral   |2020yCat.1350....0G
116 |TYC 4550-268-1                                                                                           |Star                                |11 54 24.3408515520 +75 26 58.055605476|127.6456596584738 +41.1525705749592| -38.730 -6.110    |10.70    |~                 |    ~     ~    |    1|  285.771   pc  |  -0.9147     +0.9147  |paral   |2020yCat.1350....0G
117 |TYC 4550-1105-1                                                                                          |Star                                |11 53 19.3114539768 +75 43 35.980686588|127.6234036871498 +40.8677791912551|  -18.845 4.529    |10.91    |~                 |    ~     ~    |    1|  436.433   pc  |  -3.5809     +3.5809  |paral   |2020yCat.1350....0G
118 |HD 104175                                                                                                |Star                                |11 59 54.8212068000 +75 23 04.954797744|127.2266886036902 +41.3110316479855|    0.364 8.421    |10.39    |K0                |    ~     ~    |    1|  430.663   pc  |  -2.5224     +2.5224  |paral   |2020yCat.1350....0G
119 |HD 103863                                                                                                |Star                                |11 57 45.2318572968 +72 59 58.610812020|128.3057999035660 +43.5640831469493|-27.323 -12.670    |8.76     |F2                |    ~     ~    |    1|  261.363   pc  |  -0.9359     +0.9359  |paral   |2020yCat.1350....0G
120 |HD 103474                                                                                                |High Proper Motion Star             |11 55 09.0040517256 +72 23 20.342059440|128.8105726557344 +44.0911002672869|  80.089 -3.219    |8.19     |F5                |    ~     ~    |    1|   96.430   pc  |  -0.9457     +0.9457  |paral   |2020yCat.1350....0G
121 |HD 103538                                                                                                |Double or Multiple Star             |11 55 33.9531918864 +72 28 30.310713408|128.7329805972420 +44.0183775898197|-22.723 -59.256    |9.06     |G0                |    ~     ~    |    1|   92.372   pc  |  -0.1092     +0.1092  |paral   |2020yCat.1350....0G
122 |HD 103642                                                                                                |Star                                |11 56 18.3579388176 +72 35 00.345769908|128.6146171313282 +43.9313831252637|  -5.402 -6.115    |9.84     |K0                |    ~     ~    |    1| 1037.990   pc  | -13.3601    +13.3601  |paral   |2020yCat.1350....0G
