C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
145 |TYC 7997-1-1                                                          |High Proper Motion Star       |22 38 18.5206147056 -39 16 06.833504640|000.6673583860403 -59.8394165385079| 89.909 -33.064   |10.41    |~               |    ~     ~    
146 |TYC 7997-82-1                                                         |Star                          |22 37 22.7094028536 -37 59 17.237491188|003.2380314813209 -59.9366943472219|  15.787 -8.522   |10.500   |~               |    ~     ~    
147 |TYC 7997-214-1                                                        |Star                          |22 32 01.0454871144 -39 05 21.586198596|001.5340290736252 -58.6894486094299|  33.720 -8.379   |10.25    |~               |    ~     ~    
148 |TYC 7997-223-1                                                        |Star                          |22 33 42.2487491064 -38 15 22.706502696|002.9913075378481 -59.1760955679552| 22.828 -26.286   |10.47    |~               |    ~     ~    
149 |TYC 7997-284-1                                                        |Star                          |22 32 59.1239292720 -38 10 11.578153512|003.2078125191908 -59.0534151377741| 12.954 -10.001   |10.709   |~               |    ~     ~    
150 |TYC 7997-315-1                                                        |Star                          |22 33 52.7217035664 -37 58 31.550637864|003.5183411260189 -59.2616815239333|  17.581 -0.213   |10.70    |~               |    ~     ~    
151 |TYC 7997-348-1                                                        |Star                          |22 35 18.6689640816 -38 00 31.500976212|003.3519795208033 -59.5329564200424| 28.845 -18.579   |10.59    |~               |    ~     ~    
152 |TYC 7997-447-1                                                        |High Proper Motion Star       |22 32 35.1616659312 -38 59 43.927313712|001.6674056267406 -58.8167279703859|-14.058 -54.210   |10.997   |~               |    ~     ~    
153 |TYC 7997-593-1                                                        |Star                          |22 35 05.0884321080 -38 52 27.540021252|001.7016762272550 -59.3172335604557|  3.579 -17.070   |10.82    |~               |    ~     ~    
154 |TYC 7997-645-1                                                        |Spectroscopic Binary          |22 33 41.2194357312 -38 53 23.618540292|001.7825931685101 -59.0479310665203|  10.427 -7.545   |10.78    |~               |    ~     ~    
155 |TYC 7997-747-1                                                        |High Proper Motion Star       |22 37 35.9438164152 -38 17 14.283490056|002.6356851655545 -59.9196470467010|  66.531 80.199   |10.74    |~               |    ~     ~    
156 |TYC 7997-897-1                                                        |Star                          |22 38 55.3382430336 -39 15 49.117863492|000.6210441636853 -59.9559965897850| 21.297 -22.418   |10.868   |~               |    ~     ~    
157 |TYC 7997-956-1                                                        |Star                          |22 37 25.7786789520 -39 40 31.914368364|359.9640943343420 -59.5775545986625|   3.371 -9.164   |10.833   |~               |    ~     ~    
158 |TYC 7997-1099-1                                                       |Star                          |22 33 57.9106902552 -39 02 59.771435964|001.4562394989951 -59.0674120744856|-42.768 -24.263   |10.99    |~               |    ~     ~    
159 |TYC 8004-217-1                                                        |High Proper Motion Star       |22 40 01.3219735416 -38 14 35.369844252|002.5238265930737 -60.3940359264402|-19.812 -47.278   |10.771   |~               |    ~     ~    
160 |TYC 8004-481-1                                                        |Star                          |22 40 46.7860995552 -38 57 09.365902704|001.0574503861169 -60.3796171115667|   1.245 -8.083   |10.65    |~               |    ~     ~    
161 |HD 214818                                                             |High Proper Motion Star       |22 41 20.4720374208 -40 28 35.585509908|358.0355918877928 -60.0898961455618| 61.186 -67.732   |10.47    |F2/3V           |    ~     ~    
162 |HD 214803                                                             |Star                          |22 41 16.0316017152 -38 13 35.005495620|002.4507730148569 -60.6364708178002|   38.693 2.362   |9.50     |K1/2III         |    ~     ~    
163 |HD 214830                                                             |Star                          |22 41 28.8060489744 -38 02 03.988360176|002.8153850621759 -60.7184096307648|   43.285 4.196   |9.96     |K1IV(+G)        |    ~     ~    
164 |HD 214875                                                             |High Proper Motion Star       |22 41 50.1333858336 -38 03 53.826215364|002.7239360191678 -60.7803056018130| 37.465 -50.585   |9.18     |G0V             |    ~     ~    
165 |HD 214914                                                             |Star                          |22 42 08.7646055520 -38 05 02.692746600|002.6587457224440 -60.8358892969395|  26.691 -6.469   |9.27     |K1IV            |    ~     ~    
166 |HD 215021                                                             |Spectroscopic Binary          |22 42 49.2285098616 -38 02 36.223631592|002.6814289074108 -60.9742883989493|-10.236 -20.867   |9.64     |K2/3(III)       |    ~     ~    
167 |HD 214817                                                             |High Proper Motion Star       |22 41 20.7115667424 -39 20 54.780194400|000.2263346227957 -60.3899774955534|-100.653 -21.574  |8.89     |G8V             |    ~     ~    
168 |HD 214915                                                             |Star                          |22 42 13.2911860656 -39 05 03.149566908|000.6613157865202 -60.6198081361326| 36.352 -20.317   |8.86     |K2III           |    ~     ~    
169 |HD 215036                                                             |Star                          |22 43 00.1780503456 -38 46 37.478057988|001.1954549834962 -60.8416819817112|  18.029 22.331   |10.02    |F7/8V           |    ~     ~    
170 |HD 215185                                                             |Star                          |22 44 03.7761532224 -38 45 37.954667772|001.1258206024882 -61.0461735925575|-31.396 -12.290   |10.337   |A(pSrCrEu)      |    ~     ~    
171 |HD 214867                                                             |High Proper Motion Star       |22 41 45.4736590008 -39 27 41.917545972|359.9639970165317 -60.4386561021451| 51.228 -72.611   |8.97     |G3V             |    ~     ~    
172 |HD 215006                                                             |Star                          |22 42 44.8884874296 -39 38 09.662890380|359.5214993435057 -60.5779082123598|  9.444 -11.925   |9.15     |F6V             |    ~     ~    
173 |HD 215052                                                             |Star                          |22 42 58.9569986064 -39 22 43.862014884|000.0038480164143 -60.6884885206945|  5.228 -23.033   |10.27    |F0V             |    ~     ~    
174 |HD 214890                                                             |Star                          |22 41 56.6959999104 -39 56 30.258599460|359.0070009409572 -60.3478206372673|  1.237 -22.528   |9.93     |G8/K0III/IV     |    ~     ~    
175 |HD 215085                                                             |High Proper Motion Star       |22 43 16.9557419616 -40 00 32.912829360|358.7337667039795 -60.5760135205962| 36.561 -39.650   |7.75     |G8III/IV        |    ~     ~    
176 |V* DE Gru                                                             |Long-Period Variable          |22 43 30.2309494680 -40 07 43.710494484|358.4757911061283 -60.5833336733907| 30.917 -25.392   |7.61     |M4III           |    ~     ~    
177 |CD-39 14795                                                           |Star                          |22 41 15.8795519376 -39 16 59.565934056|000.3622603555011 -60.3911045050084|  22.393 26.257   |10.79    |~               |    ~     ~    
178 |CD-38 15174                                                           |Star                          |22 41 32.4974828208 -38 10 54.125982912|002.5160593315830 -60.6987671512981|    1.538 4.417   |10.47    |~               |    ~     ~    
179 |CD-39 14806                                                           |Star                          |22 43 39.7729964832 -39 09 09.766368108|000.3829799936991 -60.8734837099805|   7.907 -1.941   |10.477   |~               |    ~     ~    
180 |HD 215246                                                             |Double or Multiple Star       |22 44 25.5785 -38 33 19.568            |001.5024158 -61.1644444            | 108.976 -6.677   |8.48     |K1/2(III)+F/G   |    ~     ~    
181 |HD 215284                                                             |Star                          |22 44 37.0792866840 -38 48 25.551884844|000.9776034584586 -61.1396315003963| -32.988 10.527   |9.07     |G8IV            |    ~     ~    
182 |HD 215238                                                             |High Proper Motion Star       |22 44 21.1633544616 -39 44 20.440230504|359.1493752918804 -60.8476560359610| 57.819 -57.599   |8.53     |G8III/IV        |    ~     ~    
