C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
107 |HD 214048                                                             |Star                          |22 36 11.0578595376 -37 36 13.787559648|004.0774965600988 -59.7765915341180| 14.797 -11.089   |9.52     |K1III/IV        |    ~     ~    
108 |HD 214387                                                             |Star                          |22 38 21.5050952112 -37 39 36.664445952|003.8088189514532 -60.1893821343322|   45.053 4.043   |10.09    |F7V             |    ~     ~    
109 |HD 213589                                                             |High Proper Motion Star       |22 33 07.8296947344 -38 02 14.596661004|003.4512925014189 -59.1055370468181| 12.694 -54.892   |9.37     |G2V             |    ~     ~    
110 |HD 213602                                                             |High Proper Motion Star       |22 33 14.7171751416 -38 20 15.288510048|002.8688483077003 -59.0723591014370| 45.898 -22.550   |9.38     |G0V             |    ~     ~    
111 |HD 213629                                                             |Star                          |22 33 28.8075480960 -38 11 44.417200704|003.1235487432184 -59.1442112858720| 26.855 -36.728   |10.02    |F3/5V           |    ~     ~    
112 |HD 213682                                                             |Star                          |22 33 48.7885647552 -38 08 22.568991000|003.2073895725384 -59.2189314367507|  41.224 -2.402   |8.20     |K5III           |    ~     ~    
113 |HD 213771                                                             |Star                          |22 34 24.6200838264 -38 20 42.979109280|002.7688962163213 -59.2951245213473|  16.600 19.892   |10.02    |F3/5V           |    ~     ~    
114 |HD 213971                                                             |Star                          |22 35 46.3112981040 -38 15 33.939994248|002.8321971848522 -59.5738404916405| 19.286 -10.120   |9.13     |G8IV            |    ~     ~    
115 |HD 214123                                                             |Double or Multiple Star       |22 36 44.06588 -37 59 53.6238          |003.26712643 -59.81023976          |   -15.56 -2.71   |9.34     |F6/8(V)+A/F     |    ~     ~    
116 |HD 214148                                                             |Spectroscopic Binary          |22 36 56.5014062472 -38 14 19.605731352|002.7822081332420 -59.8030580761924|-16.554 -23.287   |10.509   |A8/9V           |    ~     ~    
117 |HD 214214                                                             |Star                          |22 37 18.4861026216 -38 19 20.151212700|002.5906374181807 -59.8566396040207|-19.914 -17.751   |9.73     |K1(III)         |    ~     ~    
118 |HD 213603                                                             |Double or Multiple Star       |22 33 15.9290805864 -38 44 25.293095592|002.0994628298707 -58.9978968737526|101.599 -44.128   |8.84     |G2V             |    ~     ~    
119 |HD 213715                                                             |Star                          |22 34 04.6294044744 -38 51 21.602345508|001.8166706421609 -59.1292279038329|  -0.301 10.049   |10.05    |A9V             |    ~     ~    
120 |HD 213772                                                             |Star                          |22 34 28.9432025472 -39 08 28.004283204|001.2409929402855 -59.1459579265051|-35.331 -13.034   |10.00    |G8III/IV        |    ~     ~    
121 |HD 213794                                                             |Star                          |22 34 36.3777052776 -38 32 14.622643212|002.3852079411104 -59.2950036460977|    1.814 2.596   |9.89     |A5III           |    ~     ~    
122 |HD 213926                                                             |Star                          |22 35 28.3489179552 -38 25 58.926873108|002.5195448104219 -59.4819364327027| 38.465 -20.108   |8.66     |K0III           |    ~     ~    
123 |HD 213940                                                             |Star                          |22 35 34.8517293408 -38 43 28.098198300|001.9495376855751 -59.4431572010401| -13.177 26.070   |7.75     |F3/5IV/V        |    ~     ~    
124 |HD 214149                                                             |Star                          |22 36 55.7240011968 -39 17 01.424807628|000.7610198449826 -59.5761367522544|   3.637 -2.867   |10.267   |F3+(G)          |    ~     ~    
125 |HD 214466                                                             |Star                          |22 38 56.5284054888 -39 09 17.725735980|000.8303736011491 -59.9853340056666|   2.031 -6.109   |6.95     |K0III           |    ~     ~    
126 |HD 214465                                                             |Star                          |22 38 55.5944618808 -38 28 38.432975844|002.1548109896106 -60.1343114932923|-21.970 -17.612   |6.56     |K3III           |    ~     ~    
127 |HD 214500                                                             |Star                          |22 39 05.4197863104 -39 12 05.648955516|000.7262190656520 -60.0022894950808|  11.162 -3.080   |9.32     |K1III           |    ~     ~    
128 |HD 214602                                                             |Star                          |22 39 54.6958395240 -39 14 03.809896584|000.5864123903516 -60.1489726796779| 26.857 -13.086   |9.95     |F5              |    ~     ~    
129 |HD 214646                                                             |Star                          |22 40 16.4907439464 -38 29 05.597381508|002.0244377371982 -60.3902364119534|   26.723 0.686   |10.29    |F0V             |    ~     ~    
130 |HD 214704                                                             |High Proper Motion Star       |22 40 38.1529466880 -39 16 35.659038612|000.4356682054835 -60.2747880637243|-55.127 -43.817   |9.83     |G3V             |    ~     ~    
131 |HD 214775                                                             |High Proper Motion Star       |22 40 58.5483006960 -39 18 25.981972308|000.3431170433917 -60.3310230089384|-85.895 -123.008  |9.42     |G5III/IV        |    ~     ~    
132 |HD 213955                                                             |Star                          |22 35 39.0362140272 -39 31 49.027563660|000.4012143348875 -59.2790626498859| -5.672 -20.587   |8.67     |K2III           |    ~     ~    
133 |HD 214160                                                             |High Proper Motion Star       |22 37 04.8928536264 -39 32 14.311582152|000.2607188346402 -59.5456353851674| 47.173 -64.478   |9.30     |F7V             |    ~     ~    
134 |HD 214215                                                             |Star                          |22 37 21.9436826352 -39 30 17.467411392|000.2972825119144 -59.6065782900879|-26.673 -28.698   |10.145   |F2/3V           |    ~     ~    
135 |HD 214291                                                             |Spectroscopic Binary          |22 37 47.7333864360 -39 51 25.611689988|359.5822302935733 -59.6010629789176|  -18.191 2.066   |6.59     |F7V             |    ~     ~    
136 |CPD-39 9145                                                           |High Proper Motion Star       |22 34 57.6212286288 -38 39 32.497671276|002.1243866057919 -59.3381951421364| 43.581 -29.416   |10.43    |~               |    ~     ~    
137 |CD-40 14853                                                           |High Proper Motion Star       |22 38 10.5875604840 -39 43 51.696562512|359.7880387837374 -59.7032329024632| 27.051 -46.064   |10.770   |~               |    ~     ~    
138 |CD-39 14788                                                           |High Proper Motion Star       |22 40 16.8304239240 -38 59 01.821860412|001.0421825815253 -60.2779506444974| -53.324 -6.660   |10.633   |~               |    ~     ~    
139 |CD-38 15115                                                           |Star                          |22 35 00.8466057648 -37 49 48.107904672|003.7195643008873 -59.5082689416730|  -1.156 -7.982   |10.43    |~               |    ~     ~    
140 |CD-38 15126                                                           |Star                          |22 35 47.0017145592 -37 54 21.216862116|003.5172975978942 -59.6435924810725|  24.544 -0.397   |10.10    |~               |    ~     ~    
141 |CD-38 15141                                                           |High Proper Motion Star       |22 37 21.6216558624 -37 43 25.423604220|003.7578791518450 -59.9835271826081| 93.004 -53.201   |10.46    |~               |    ~     ~    
142 |CD-38 15153                                                           |Star                          |22 38 45.0704818920 -37 37 35.629898556|003.8457788220846 -60.2720772287383|   10.700 0.815   |10.27    |~               |    ~     ~    
143 |CD-40 14861                                                           |Star                          |22 40 36.9374059440 -39 25 21.190268172|000.1524506411429 -60.2350261981631|   9.272 -2.807   |10.54    |~               |    ~     ~    
144 |CD-40 14831                                                           |Star                          |22 35 08.2448761416 -39 31 30.691629984|000.4554567512504 -59.1839385836760|  21.893 -3.244   |10.49    |~               |    ~     ~    
