C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
71  |TYC 4571-615-1                                                                                                                              |Star                                |16 36 26.5583003712 +77 49 14.005938036|110.8066946654881 +33.3693097539488|   13.268 9.536    |9.23     |~                  |    ~     ~    |    1|  646.831   pc  |  -4.6860     +4.6860  |paral   |2020yCat.1350....0G
72  |TYC 4572-524-1                                                                                                                              |Star                                |16 43 46.3052468640 +76 59 59.762350716|109.7139920358728 +33.3767406313329|  -7.493 -3.951    |10.78    |~                  |    ~     ~    |    1|  614.855   pc  |  -4.8390     +4.8390  |paral   |2020yCat.1350....0G
73  |TYC 4572-546-1                                                                                                                              |High Proper Motion Star             |16 44 17.2026804480 +76 59 38.826323340|109.6929458427156 +33.3529937543449|  -8.476 67.255    |10.34    |~                  |    ~     ~    |    1|   87.374   pc  |  -1.3093     +1.3093  |paral   |2020yCat.1350....0G
74  |TYC 4572-1278-1                                                                                                                             |Star                                |16 43 31.7624701944 +77 41 11.333118768|110.4619147405420 +33.0935935826888|  -8.563 -0.746    |10.54    |~                  |    ~     ~    |    1|  288.884   pc  |  -1.2852     +1.2852  |paral   |2020yCat.1350....0G
75  |TYC 4571-801-1                                                                                                                              |Star                                |16 36 06.4852490040 +77 50 17.557430028|110.8352200280230 +33.3767310540045|  6.214 -25.126    |10.66    |~                  |    ~     ~    |    1|  322.862   pc  |  -1.0632     +1.0632  |paral   |2020yCat.1350....0G
76  |BD+81 558                                                                                                                                   |Star                                |16 38 46.8261190896 +80 55 04.341189828|113.9865136252510 +31.8109561756077|   3.120 -1.052    |10.43    |K2                 |    ~     ~    |    1|  731.208   pc  |  -5.3467     +5.3467  |paral   |2020yCat.1350....0G
77  |BD+80 518                                                                                                                                   |High Proper Motion Star             |16 30 08.4455141760 +80 18 26.926436592|113.5667919757837 +32.4193764750762| -18.265 66.417    |9.33     |G0                 |    ~     ~    |    1|   98.369   pc  |  -0.1790     +0.1790  |paral   |2020yCat.1350....0G
78  |HD 150706                                                                                                                                   |High Proper Motion Star             |16 31 17.5830478008 +79 47 23.197555824|113.0071624107830 +32.6381562924682| 94.947 -86.853    |7.016    |G0                 |    ~     ~    |    1|   28.183   pc  |  -0.0107     +0.0107  |paral   |2020yCat.1350....0G
79  |BD+80 524                                                                                                                                   |Star                                |16 36 06.8983960272 +79 50 12.417759492|112.9313254900592 +32.4294150693857|  -16.322 2.649    |9.22     |K0                 |    ~     ~    |    1|  743.605   pc  | -17.0308    +17.0308  |paral   |2020yCat.1350....0G
80  |BD+79 505                                                                                                                                   |Star                                |16 33 04.2306854664 +79 27 08.876488824|112.6120086504453 +32.7360373875908|  -1.028 24.272    |9.78     |F2                 |    ~     ~    |    1|  257.043   pc  |  -1.0109     +1.0109  |paral   |2020yCat.1350....0G
81  |TYC 4575-1217-1                                                                                                                             |Star                                |16 34 48.9656988096 +79 01 53.887794420|112.1273572966412 +32.8693849878760|-19.849 -19.924    |10.60    |G5                 |    ~     ~    |    1|  211.269   pc  |  -0.5936     +0.5936  |paral   |2020yCat.1350....0G
82  |BD+79 506                                                                                                                                   |Star                                |16 34 19.6342055520 +79 01 39.294336864|112.1364677124143 +32.8917191096707|   2.132 -3.452    |10.02    |K0                 |    ~     ~    |    1|  737.790   pc  |  -7.0219     +7.0219  |paral   |2020yCat.1350....0G
83  |BD+79 507                                                                                                                                   |Star                                |16 35 23.8058192472 +79 08 50.013044448|112.2323286877774 +32.7897874306165| -30.795 -7.979    |9.42     |K2                 |    ~     ~    |    1|  494.438   pc  |  -3.2759     +3.2759  |paral   |2020yCat.1350....0G
84  |HD 151340                                                                                                                                   |High Proper Motion Star             |16 35 55.9994505096 +79 12 17.082254268|112.2780492663454 +32.7401396536664| 40.046 -58.445    |7.80     |F2                 |    ~     ~    |    1|  128.352   pc  |  -0.2982     +0.2982  |paral   |2020yCat.1350....0G
85  |HD 151588                                                                                                                                   |Star                                |16 37 25.1329214808 +79 11 17.207829888|112.2213709732508 +32.6867676855317|  11.715 -9.672    |8.22     |K0                 |    ~     ~    |    1|  289.226   pc  |  -1.4555     +1.4555  |paral   |2020yCat.1350....0G
86  |HD 151623                                                                                                                                   |High Proper Motion Star             |16 37 52.7352571920 +78 55 07.215106260|111.9263659907676 +32.7940244204274| -23.846 44.114    |6.317    |G9III              |    ~     ~    |    1|  124.133   pc  |  -0.3590     +0.3590  |paral   |2020yCat.1350....0G
87  |BD+79 513                                                                                                                                   |Star                                |16 37 57.9240014544 +79 12 07.330415292|112.2216419120219 +32.6576156789237| -11.729 -7.361    |10.47    |F0                 |    ~     ~    |    1|  442.791   pc  |  -4.8232     +4.8232  |paral   |2020yCat.1350....0G
88  |HD 152745                                                                                                                                   |Star                                |16 43 37.8393276456 +79 31 04.964917872|112.4117726225280 +32.2801282219096| -12.086 42.600    |8.46     |K0                 |    ~     ~    |    1|  351.395   pc  |  -2.9017     +2.9017  |paral   |2020yCat.1350....0G
89  |BD+78 560                                                                                                                                   |Star                                |16 30 50.1500700552 +77 57 40.483155708|111.1226211125533 +33.5611067959213|  -4.189 21.768    |9.51     |K5                 |    ~     ~    |    1|  631.672   pc  |  -4.9477     +4.9477  |paral   |2020yCat.1350....0G
90  |NGC 6217                           NGC 6217                                                                                                 |Active Galaxy Nucleus               |16 32 39.2100852960 +78 11 53.487076092|111.3165261104981 +33.3641693950014|   4.031 -0.651    |13.88    |~                  |1.713 1.165    |    0|                |                       |        |                   
91  |IRAS 16361+8010                                                                                                                             |Star                                |16 32 47.2777223952 +80 04 54.138235764|113.2684686753454 +32.4357764056682|  -4.904 -4.020    |9.58     |~                  |    ~     ~    |    1| 1157.140   pc  | -19.6829    +19.6829  |paral   |2020yCat.1350....0G
92  |RX J1639.8+7809                                                                                                                             |Spectroscopic Binary                |16 39 49.5896526552 +78 09 20.987843112|111.0664579011681 +33.0592013955512| -36.546 14.495    |9.40     |~                  |    ~     ~    |    1|  353.682   pc  |  -1.6512     +1.6512  |paral   |2020yCat.1350....0G
93  |TYC 4571-1186-1                                                                                                                             |Star                                |16 35 53.9646732912 +78 42 03.793647420|111.7515145968845 +32.9811631608726|  2.410 -20.779    |10.97    |~                  |    ~     ~    |    1|  786.473   pc  | -11.8141    +11.8141  |paral   |2020yCat.1350....0G
