C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:20:27

Vmag< 11&dec >=0&rah >=23.25&rah< 23.5
--------------------------------------

Number of objects : 4862

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------
117 |TYC 3636-2403-1                                                       |Star                           |23 23 24.4047629976 +45 57 09.011475612|107.3396394614866 -14.2371381010246|   8.089 -2.574  |10.61    |~                    |    ~     ~    
118 |TYC 3636-2433-1                                                       |Star                           |23 19 29.5176950832 +46 08 40.640188560|106.7535542991790 -13.8188224025512|    4.021 2.164  |10.53    |~                    |    ~     ~    
119 |TYC 3636-2494-1                                                       |Star                           |23 22 00.0889814712 +46 23 03.810075396|107.2585560357885 -13.7477186793135|   44.897 7.260  |10.81    |~                    |    ~     ~    
120 |TYC 3636-2501-1                                                       |High Proper Motion Star        |23 18 06.9212370168 +46 33 12.995294040|106.6770649732211 -13.3517310400613| 99.290 -23.490  |10.61    |~                    |    ~     ~    
121 |TYC 3640-142-1                                                        |Star                           |23 16 43.5178617696 +47 07 12.918680580|106.6617386748525 -12.7374218463058|  -0.849 -2.976  |10.95    |~                    |    ~     ~    
122 |TYC 3640-298-1                                                        |Star                           |23 15 50.8826683968 +47 02 43.280642112|106.4911116385530 -12.7521002948736|  -1.842 -0.832  |10.80    |~                    |    ~     ~    
123 |TYC 3640-396-1                                                        |Star                           |23 21 01.5063983304 +47 12 04.976377884|107.3913144642652 -12.9238785341734| 16.372 -40.605  |10.90    |~                    |    ~     ~    
124 |TYC 3640-428-1                                                        |Star                           |23 18 27.6420891240 +47 18 21.758540688|107.0123809109365 -12.6713653476526|   0.338 -6.026  |10.79    |~                    |    ~     ~    
125 |TYC 3640-442-1                                                        |Star                           |23 20 30.2889783648 +46 52 56.915522688|107.1908814268568 -13.1911519674593| -12.348 -6.810  |10.46    |~                    |    ~     ~    
126 |TYC 3640-714-1                                                        |Star                           |23 15 06.4365620352 +47 03 30.779504280|106.3760049556820 -12.6930409744581| -3.008 -11.355  |10.29    |~                    |    ~     ~    
127 |TYC 3640-728-1                                                        |Star                           |23 21 06.1698513648 +46 55 35.691742524|107.3050236635306 -13.1858418488825|  -3.718 -5.891  |10.22    |~                    |    ~     ~    
128 |TYC 3640-730-1                                                        |Star                           |23 16 38.1090473424 +47 06 09.004213440|106.6404351555169 -12.7483167403293|-16.083 -28.610  |10.57    |~                    |    ~     ~    
129 |BD+46 4044                                                            |Star                           |23 25 42.7322737392 +47 23 40.409667312|108.2253728068944 -13.0144622300116|  11.596 -1.694  |9.51     |K5III                |    ~     ~    
130 |HD 220820                                                             |Spectroscopic Binary           |23 26 35.7611923872 +47 18 02.534323032|108.3383292232863 -13.1527208315704|   21.973 2.437  |8.16     |A0                   |    ~     ~    
131 |BD+46 4051                                                            |High Proper Motion Star        |23 27 49.0147299096 +46 49 51.769806024|108.3814579916115 -13.6646199996095|  53.905 -6.342  |9.56     |F8                   |    ~     ~    
132 |HD 221024                                                             |Star                           |23 28 21.0302443368 +47 16 27.258139704|108.6181905813491 -13.2751620545633|   -3.115 7.829  |8.48     |K5                   |    ~     ~    
133 |BD+46 4054                                                            |High Proper Motion Star        |23 28 42.7795193424 +47 20 58.274046924|108.7029436259021 -13.2238121690161|   56.964 0.186  |9.31     |F2                   |    ~     ~    
134 |BD+46 4056                                                            |Star                           |23 29 49.0638690072 +47 30 05.613466716|108.9347994656937 -13.1397419779525|   14.514 2.629  |9.26     |K7III                |    ~     ~    
135 |BD+46 4057                                                            |Star                           |23 29 52.2450153360 +46 54 31.606549812|108.7492187270880 -13.7044406878495|  23.844 -9.926  |9.96     |F2                   |    ~     ~    
136 |BD+45 4223                                                            |Star                           |23 26 37.0323697416 +46 47 08.048041152|108.1665713624227 -13.6400196810328|  -5.088 -7.742  |10.60    |K5V                  |    ~     ~    
137 |BD+45 4225                                                            |Star                           |23 26 55.0384278960 +46 47 17.932376184|108.2173945348578 -13.6544173616814|  -9.561 -5.275  |9.36     |A2                   |    ~     ~    
138 |BD+45 4234                                                            |Star                           |23 28 27.6286479120 +46 36 24.650048916|108.4136286935440 -13.9125236863289| -17.358 -5.621  |8.91     |F8                   |    ~     ~    
139 |BD+45 4235                                                            |Star                           |23 28 30.6522041088 +46 45 36.520452756|108.4732911680066 -13.7703305456547|   4.670 -6.578  |9.44     |K5III                |    ~     ~    
140 |BD+45 4237                                                            |Double or Multiple Star        |23 28 48.5212603968 +46 16 49.772868420|108.3630006575899 -14.2406913894149|  -7.286 -5.370  |10.284   |K0III                |    ~     ~    
141 |BD+45 4238                                                            |Pulsating Variable             |23 28 54.6196092264 +46 31 08.944935132|108.4597320012531 -14.0205417199431|  -7.211 -5.900  |9.63     |A2                   |    ~     ~    
142 |HD 221169                                                             |Star                           |23 29 26.9470749336 +46 27 53.696126232|108.5322105164773 -14.1017694890211| 13.930 -10.791  |6.88     |A2                   |    ~     ~    
